Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.790	COMP1837	(0.443 COMP1862) (0.312 COMP285) (0.285 COMP910) (0.280 COMP1850) (0.245 COMP1848) (0.234 COMP1859) (0.232 COMP927) (0.201 COMP1866) (0.180 COMP1849) (0.145 COMP1346) (0.142 COMP1843) (0.138 COMP1855) (0.134 COMP1845) (0.130 COMP1839) (0.122 COMP238) (0.121 COMP1347) (0.116 COMP1852/COMP292) (0.114 COMP178/COMP1861) (0.113 COMP1840)
Aldehyde dehydrogenase substrate	0.475	COMP1837	(0.189 COMP1866) (0.136 COMP910) (0.127 COMP927) (0.099 COMP217/COMP308) (0.098 COMP1838)
Aldehyde oxidase substrate	0.164	COMP308	
Aldose reductase substrate	0.496	COMP217	(0.442 COMP301) (0.404 COMP348) (0.402 COMP1838) (0.379 COMP46) (0.348 COMP361) (0.324 COMP1840) (0.271 COMP1841/COMP1844/COMP1856/COMP1867) (0.268 COMP1858) (0.258 COMP1854/COMP1863) (0.252 COMP1847/COMP1853/COMP1860) (0.249 COMP1846) (0.247 COMP1851) (0.189 COMP1837)
Arylamine N-Acetyltransferase substrate	0.338	COMP361	(0.150 COMP1837) (0.135 COMP308)
CYP1A2 inhibitor	0.908	COMP308	(0.455 COMP1838) (0.397 COMP301) (0.280 COMP46) (0.277 COMP361) (0.252 COMP348) (0.240 COMP217)
CYP1A2 substrate	0.980	COMP1847/COMP1853/COMP1860	(0.972 COMP1846) (0.962 COMP1844/COMP1856) (0.956 COMP1845) (0.948 COMP1346) (0.945 COMP1840) (0.940 COMP1858) (0.874 COMP1347) (0.798 COMP1841) (0.755 COMP308) (0.572 COMP301) (0.569 COMP1838) (0.557 COMP46) (0.544 COMP348) (0.524 COMP217) (0.442 COMP1867) (0.399 COMP1862) (0.380 COMP1850) (0.371 COMP1837) (0.357 COMP1854/COMP1863) (0.339 COMP361) (0.338 COMP1859) (0.316 COMP1848) (0.236 COMP285) (0.232 COMP1849) (0.209 COMP1851)
CYP24 inhibitor	0.060	COMP285	
CYP2A6 inhibitor	0.066	COMP308	
CYP2B6 inhibitor	0.533	COMP308	(0.256 COMP1837)
CYP2C19 inhibitor	0.762	COMP1862	(0.575 COMP308) (0.560 COMP1859) (0.531 COMP1346) (0.527 COMP1849) (0.524 COMP1845) (0.496 COMP1850) (0.478 COMP1347) (0.465 COMP1848) (0.376 COMP1838) (0.354 COMP301) (0.327 COMP1840) (0.303 COMP1846) (0.296 COMP1847/COMP1853/COMP1860) (0.264 COMP46) (0.253 COMP1858) (0.251 COMP348) (0.247 COMP217) (0.246 COMP1844/COMP1856) (0.219 COMP285)
CYP2C19 substrate	0.978	COMP1844/COMP1856	(0.976 COMP1847/COMP1853/COMP1858/COMP1860) (0.974 COMP1846) (0.966 COMP1840) (0.956 COMP1347) (0.955 COMP1841) (0.946 COMP1845) (0.926 COMP1346) (0.847 COMP1867) (0.783 COMP285) (0.765 COMP1854/COMP1863) (0.734 COMP217) (0.676 COMP1848) (0.659 COMP1838) (0.648 COMP301) (0.595 COMP308) (0.577 COMP1849) (0.566 COMP46) (0.549 COMP1851) (0.548 COMP1850) (0.546 COMP361) (0.538 COMP348) (0.502 COMP1859) (0.478 COMP1862) (0.407 COMP927) (0.395 COMP910) (0.250 COMP1852) (0.236 COMP238) (0.222 COMP1861) (0.216 COMP1866) (0.196 COMP292) (0.194 COMP1837) (0.177 COMP1855)
CYP2C9 inhibitor	0.565	COMP308	(0.305 COMP1862)
CYP2C9 substrate	0.984	COMP1847/COMP1853/COMP1860	(0.983 COMP1846) (0.978 COMP1840) (0.977 COMP1844/COMP1856) (0.974 COMP1858) (0.973 COMP1845) (0.966 COMP1346) (0.960 COMP1841) (0.958 COMP1347) (0.909 COMP1867) (0.872 COMP1854/COMP1863) (0.869 COMP217) (0.805 COMP361) (0.750 COMP301) (0.747 COMP1838) (0.735 COMP46) (0.726 COMP348) (0.718 COMP1862) (0.703 COMP1851) (0.677 COMP285) (0.673 COMP1848) (0.618 COMP1849) (0.611 COMP1859) (0.592 COMP308) (0.533 COMP1850) (0.431 COMP927) (0.397 COMP910) (0.367 COMP1837)
CYP2D6 substrate	0.983	COMP1847/COMP1853/COMP1860	(0.978 COMP1846) (0.976 COMP1844/COMP1856) (0.965 COMP1858) (0.958 COMP1845) (0.955 COMP1840) (0.945 COMP1347/COMP1841) (0.943 COMP1346) (0.805 COMP1867) (0.742 COMP1854/COMP1863) (0.547 COMP217) (0.532 COMP1848) (0.461 COMP308) (0.449 COMP1851) (0.410 COMP1838) (0.391 COMP301) (0.379 COMP1850) (0.367 COMP1849) (0.334 COMP348) (0.327 COMP46) (0.320 COMP1859/COMP1862) (0.313 COMP361) (0.312 COMP285) (0.199 COMP1837)
