Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.320	COMP1841/COMP1844/COMP1856	(0.258 COMP1867) (0.247 COMP1837) (0.191 COMP1847/COMP1853/COMP1860) (0.187 COMP1854/COMP1863) (0.173 COMP1851) (0.160 COMP361) (0.126 COMP1858) (0.121 COMP1864) (0.110 COMP217/COMP308)
Actinic keratosis treatment	0.275	COMP285	(0.213 COMP927) (0.202 COMP1845) (0.179 COMP1837) (0.176 COMP910) (0.173 COMP1848) (0.161 COMP1346) (0.156 COMP1839) (0.150 COMP1855) (0.149 COMP1347/COMP178) (0.147 COMP1859) (0.143 COMP238) (0.125 COMP1864) (0.123 COMP1852) (0.116 COMP1847/COMP1853/COMP1860) (0.114 COMP1849) (0.113 COMP1843) (0.111 COMP301) (0.109 COMP361) (0.108 COMP1861) (0.106 COMP1850) (0.102 COMP308) (0.101 COMP292) (0.094 COMP1866) (0.092 COMP1846) (0.089 COMP1862) (0.084 COMP1844/COMP1856/COMP348) (0.082 COMP46)
Acute neurologic disorders treatment	0.214	COMP1852	(0.178 COMP1837) (0.155 COMP1862)
Acute respiratory distress syndrome (ARDS) treatment	0.532	COMP1837	(0.439 COMP927) (0.398 COMP910) (0.392 COMP238) (0.366 COMP348) (0.349 COMP46) (0.345 COMP292) (0.339 COMP1858) (0.338 COMP1855) (0.323 COMP361) (0.322 COMP1840) (0.317 COMP178) (0.310 COMP1864) (0.300 COMP217) (0.298 COMP301) (0.291 COMP1852/COMP1861) (0.274 COMP1844/COMP1856) (0.272 COMP1841) (0.270 COMP1839) (0.268 COMP1846) (0.260 COMP1838) (0.256 COMP1843) (0.226 COMP1866) (0.213 COMP1847/COMP1853/COMP1860) (0.209 COMP1865) (0.203 COMP1867) (0.180 COMP285) (0.156 COMP1854/COMP1863) (0.142 COMP1347) (0.133 COMP1851)
Age-related macular degeneration treatment	0.186	COMP1848	(0.183 COMP1849)
Allergic rhinitis treatment	0.323	COMP1849	
Alzheimer's disease treatment	0.600	COMP285	(0.575 COMP46) (0.557 COMP348) (0.526 COMP301) (0.491 COMP1838) (0.467 COMP361) (0.447 COMP308) (0.371 COMP910) (0.350 COMP217) (0.319 COMP1852) (0.307 COMP927) (0.300 COMP1843) (0.291 COMP292) (0.278 COMP1855) (0.267 COMP238) (0.250 COMP1839) (0.242 COMP1861) (0.237 COMP178)
Amyotrophic lateral sclerosis treatment	0.701	COMP285	(0.250 COMP1859) (0.242 COMP927) (0.195 COMP910)
Anabolic	0.337	COMP1859	(0.279 COMP1850) (0.263 COMP1848) (0.229 COMP1862) (0.228 COMP1849) (0.221 COMP1347) (0.216 COMP1845) (0.212 COMP285) (0.209 COMP1346) (0.201 COMP1852) (0.186 COMP1861) (0.181 COMP1866/COMP292/COMP927) (0.180 COMP238) (0.177 COMP178) (0.176 COMP910) (0.171 COMP1843/COMP1855) (0.169 COMP1864) (0.167 COMP1839) (0.163 COMP1837) (0.158 COMP1865) (0.149 COMP1844/COMP1856/COMP1858) (0.144 COMP1846/COMP1847/COMP1853/COMP1860) (0.136 COMP1841) (0.118 COMP1867) (0.117 COMP1857/COMP308) (0.111 COMP1840) (0.108 COMP1842) (0.107 COMP1854/COMP1863)
Analeptic	0.920	COMP1846	(0.917 COMP1840) (0.890 COMP1859) (0.886 COMP1858) (0.884 COMP1850) (0.870 COMP1845) (0.866 COMP1847/COMP1853/COMP1860) (0.851 COMP1346) (0.794 COMP1347) (0.789 COMP1844/COMP1856) (0.753 COMP1862) (0.702 COMP217) (0.620 COMP1841) (0.613 COMP1848) (0.595 COMP1849) (0.587 COMP285) (0.574 COMP1867) (0.535 COMP361) (0.531 COMP301) (0.472 COMP1838) (0.458 COMP1851) (0.417 COMP348) (0.407 COMP46) (0.355 COMP1857) (0.351 COMP927) (0.346 COMP1837) (0.339 COMP910) (0.323 COMP1854/COMP1863) (0.319 COMP1842) (0.283 COMP308) (0.221 COMP238) (0.199 COMP1861) (0.185 COMP1866) (0.176 COMP1865) (0.174 COMP1864) (0.172 COMP1855)
Analgesic	0.234	COMP285	
Andropause treatment	0.080	COMP285	(0.077 COMP1862) (0.073 COMP1848/COMP1849) (0.071 COMP1347) (0.068 COMP1859/COMP910) (0.065 COMP1850/COMP927) (0.064 COMP1346/COMP1840)
Anesthetic	0.835	COMP1845	(0.715 COMP285) (0.694 COMP1346) (0.683 COMP1347) (0.674 COMP1847/COMP1853/COMP1860) (0.662 COMP1862) (0.544 COMP1850) (0.542 COMP1846) (0.499 COMP1859) (0.482 COMP1844/COMP1856) (0.478 COMP1848) (0.344 COMP1841) (0.342 COMP1858) (0.283 COMP1852) (0.281 COMP1849) (0.265 COMP1840) (0.263 COMP1861) (0.261 COMP292) (0.257 COMP1867) (0.177 COMP1866) (0.174 COMP1837) (0.169 COMP178) (0.162 COMP1843) (0.140 COMP1864) (0.134 COMP1839) (0.126 COMP1854/COMP1863/COMP927) (0.120 COMP910)
Anesthetic general	0.939	COMP1844/COMP1856	(0.901 COMP1858) (0.881 COMP1347) (0.843 COMP1847/COMP1853/COMP1860) (0.841 COMP1840) (0.824 COMP1841) (0.819 COMP1862) (0.798 COMP1346) (0.794 COMP1846) (0.769 COMP1867) (0.768 COMP1845) (0.691 COMP285) (0.623 COMP1848) (0.606 COMP1854/COMP1863) (0.593 COMP1849) (0.585 COMP1850) (0.549 COMP1859) (0.504 COMP1851) (0.391 COMP217) (0.215 COMP292) (0.198 COMP1837/COMP927) (0.184 COMP910) (0.172 COMP301) (0.169 COMP348) (0.164 COMP1838) (0.157 COMP1861) (0.156 COMP1866) (0.148 COMP1852) (0.145 COMP46) (0.141 COMP1864)
Anesthetic inhalation	0.085	COMP910	(0.074 COMP1347) (0.071 COMP927) (0.068 COMP1346) (0.063 COMP1837/COMP1862) (0.060 COMP285) (0.055 COMP1848) (0.054 COMP1852/COMP292) (0.051 COMP1845) (0.049 COMP1865)
Anesthetic local	0.135	COMP1859	(0.123 COMP1845) (0.118 COMP285) (0.099 COMP1850)
Angiogenesis inhibitor	0.382	COMP361	(0.361 COMP1867) (0.326 COMP308) (0.306 COMP1840) (0.277 COMP46) (0.270 COMP1838) (0.269 COMP1846) (0.257 COMP1847/COMP1853/COMP1860) (0.254 COMP348) (0.253 COMP1854/COMP1863) (0.234 COMP217) (0.227 COMP301) (0.223 COMP1851) (0.203 COMP1841) (0.202 COMP1858) (0.191 COMP1844/COMP1856)
Angiogenesis stimulant	0.820	COMP361	(0.771 COMP348) (0.764 COMP301) (0.763 COMP46) (0.715 COMP1838) (0.669 COMP217) (0.619 COMP1840) (0.607 COMP910) (0.574 COMP927) (0.504 COMP1865) (0.477 COMP1858) (0.472 COMP1846) (0.381 COMP1847/COMP1853/COMP1860) (0.379 COMP238) (0.377 COMP1844/COMP1856) (0.369 COMP1864) (0.365 COMP1841/COMP1855) (0.364 COMP1837) (0.348 COMP1861) (0.346 COMP1843) (0.342 COMP1867) (0.340 COMP1852/COMP292) (0.338 COMP308) (0.328 COMP178) (0.321 COMP1845) (0.318 COMP285) (0.317 COMP1839) (0.313 COMP1854/COMP1863) (0.308 COMP1346) (0.305 COMP1347/COMP1851) (0.296 COMP1866) (0.290 COMP1849) (0.261 COMP1848) (0.224 COMP1862) (0.210 COMP1850) (0.170 COMP1857/COMP1859) (0.146 COMP1842)
Antiacne	0.574	COMP285	(0.555 COMP1859) (0.545 COMP1862) (0.543 COMP1850) (0.502 COMP1848) (0.424 COMP927) (0.419 COMP1849) (0.411 COMP910) (0.352 COMP238) (0.348 COMP1844/COMP1856) (0.346 COMP1858) (0.341 COMP292) (0.334 COMP1855) (0.333 COMP1847/COMP1853/COMP1860) (0.331 COMP1846) (0.325 COMP1867) (0.313 COMP1347) (0.310 COMP1854/COMP1863) (0.309 COMP1840) (0.305 COMP1852) (0.298 COMP1841) (0.295 COMP1845) (0.294 COMP178) (0.284 COMP1346) (0.277 COMP1839) (0.267 COMP1843) (0.258 COMP1861) (0.227 COMP1866) (0.224 COMP1865) (0.222 COMP1851) (0.209 COMP1864) (0.185 COMP1837) (0.166 COMP348) (0.153 COMP46) (0.151 COMP361) (0.136 COMP217) (0.125 COMP1842) (0.124 COMP1857) (0.117 COMP301)
Antialcoholic	0.375	COMP1862	(0.283 COMP1849) (0.267 COMP1848) (0.264 COMP1347) (0.254 COMP301) (0.241 COMP910) (0.240 COMP285) (0.220 COMP927) (0.204 COMP1838) (0.184 COMP1859) (0.178 COMP308) (0.169 COMP1845) (0.165 COMP1346) (0.161 COMP1850)
Antiallergic	0.766	COMP1849	(0.757 COMP1837) (0.616 COMP1862) (0.306 COMP217) (0.299 COMP361) (0.239 COMP308) (0.186 COMP1838)
Antiamyloidogenic	0.753	COMP46	(0.731 COMP1838) (0.704 COMP348) (0.673 COMP361) (0.670 COMP301) (0.634 COMP308) (0.558 COMP217)
Antiarrhythmic	0.287	COMP1347	(0.229 COMP1845) (0.224 COMP1844/COMP1856) (0.207 COMP1346) (0.185 COMP1847/COMP1853/COMP1860) (0.173 COMP1858) (0.147 COMP1846) (0.145 COMP1841)
Antiarthritic	0.622	COMP1837	(0.461 COMP348/COMP361) (0.455 COMP46) (0.446 COMP217) (0.400 COMP1854/COMP1863/COMP301) (0.374 COMP1838) (0.362 COMP1855) (0.340 COMP238) (0.321 COMP1839) (0.303 COMP1858) (0.295 COMP178) (0.278 COMP292) (0.254 COMP1840) (0.232 COMP1844/COMP1856) (0.230 COMP1843)
Antiasthmatic	0.527	COMP1837	(0.349 COMP1849)
