Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.121	COMP3076	(0.116 COMP987) (0.113 COMP3074) (0.106 COMP2171) (0.102 COMP191/COMP198)
AR expression inhibitor	0.902	COMP462	(0.873 COMP2159) (0.870 COMP191) (0.862 COMP198) (0.730 COMP337) (0.725 COMP310) (0.708 COMP361) (0.707 COMP2171) (0.688 COMP3078) (0.640 COMP3072) (0.591 COMP3073) (0.568 COMP3074) (0.566 COMP3075) (0.543 COMP3076) (0.539 COMP1530) (0.509 COMP3077) (0.446 COMP987)
CTGF expression inhibitor	0.912	COMP191	(0.902 COMP198) (0.761 COMP2171) (0.758 COMP462) (0.681 COMP3078) (0.673 COMP987) (0.671 COMP361) (0.640 COMP337) (0.629 COMP310) (0.620 COMP3074) (0.609 COMP2159) (0.255 COMP3077) (0.245 COMP2833)
GRP78 expression inhibitor	0.033	COMP987	(0.028 COMP310) (0.025 COMP337) (0.024 COMP361) (0.022 COMP2833) (0.021 COMP1530)
ICAM1 expression inhibitor	0.620	COMP3072	(0.598 COMP1530) (0.595 COMP3073) (0.589 COMP3075) (0.572 COMP310) (0.569 COMP337) (0.567 COMP361) (0.534 COMP3078) (0.507 COMP462) (0.506 COMP3076) (0.486 COMP2159) (0.457 COMP3074) (0.456 COMP191) (0.452 COMP198) (0.451 COMP2171) (0.447 COMP3077) (0.337 COMP987)
LDLR expression enhancer	0.315	COMP191	(0.286 COMP198) (0.255 COMP2171) (0.218 COMP987) (0.213 COMP3074) (0.197 COMP462) (0.136 COMP2159)
NOS2 expression inhibitor	0.960	COMP462	(0.949 COMP2159) (0.943 COMP337) (0.938 COMP310) (0.921 COMP3078) (0.894 COMP2171) (0.890 COMP361) (0.876 COMP3072) (0.861 COMP191) (0.816 COMP3073) (0.807 COMP198) (0.754 COMP1530) (0.731 COMP3075) (0.675 COMP3074) (0.392 COMP987) (0.385 COMP3077) (0.377 COMP3076) (0.152 COMP2833)
NOS3 expression enhancer	0.731	COMP462	(0.704 COMP2159) (0.661 COMP337) (0.660 COMP310) (0.635 COMP3078) (0.623 COMP3072) (0.599 COMP191) (0.594 COMP361) (0.562 COMP198) (0.540 COMP1530) (0.512 COMP3073) (0.489 COMP3075) (0.485 COMP2171) (0.381 COMP3074) (0.175 COMP3076) (0.166 COMP3077)
NOS3 expression inhibitor	0.815	COMP310	(0.806 COMP337) (0.747 COMP361) (0.728 COMP3078) (0.713 COMP462) (0.703 COMP191) (0.702 COMP198) (0.652 COMP2159) (0.628 COMP2171) (0.609 COMP3076) (0.566 COMP1530) (0.515 COMP3077) (0.510 COMP987) (0.487 COMP3075) (0.483 COMP3072) (0.462 COMP3073) (0.364 COMP3074) (0.278 COMP2833)
TNF expression inhibitor	0.947	COMP337	(0.941 COMP310) (0.937 COMP361) (0.936 COMP3078) (0.882 COMP2171) (0.848 COMP3074) (0.836 COMP191) (0.792 COMP198) (0.748 COMP462) (0.651 COMP1530) (0.615 COMP2159) (0.592 COMP987) (0.542 COMP3075) (0.519 COMP3076) (0.492 COMP3072) (0.433 COMP3073) (0.332 COMP2833) (0.301 COMP3077)
VCAM1 expression inhibitor	0.969	COMP1530	(0.793 COMP3072) (0.784 COMP3075) (0.748 COMP3073) (0.687 COMP3078) (0.668 COMP310) (0.651 COMP337) (0.554 COMP2171) (0.542 COMP361) (0.485 COMP3074) (0.369 COMP462) (0.361 COMP198) (0.359 COMP191) (0.318 COMP987) (0.297 COMP2159) (0.196 COMP3077) (0.186 COMP3076)
VEGF expression inhibitor	0.504	COMP191	(0.469 COMP198) (0.322 COMP2171) (0.250 COMP987) (0.246 COMP462) (0.220 COMP337) (0.216 COMP310) (0.213 COMP361) (0.201 COMP2159) (0.188 COMP3074) (0.165 COMP3078) (0.156 COMP2833)
