Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.575	COMP987	(0.528 COMP2171) (0.465 COMP191) (0.445 COMP198) (0.300 COMP2833) (0.248 COMP3074) (0.225 COMP2159) (0.214 COMP361) (0.206 COMP337) (0.192 COMP462)
Adenosine uptake inhibitor	0.057	COMP987	
Antiviral (CMV)	0.146	COMP987	
Apical sodium codependent bile acid transporter inhibitor	0.047	COMP987	
Dopamine uptake inhibitor	0.058	COMP987	
Electron transport complex I inhibitor	0.535	COMP987	(0.181 COMP198/COMP2171) (0.175 COMP191) (0.155 COMP462) (0.140 COMP2159) (0.111 COMP337) (0.110 COMP361) (0.105 COMP310) (0.104 COMP3074)
Endocannabinoid uptake inhibitor	0.163	COMP987	(0.117 COMP3074)
Equilibrative nucleoside transport protein inhibitor	0.068	COMP462	(0.067 COMP2159) (0.065 COMP310) (0.064 COMP337) (0.061 COMP1530) (0.047 COMP3075) (0.046 COMP3072)
Excitatory amino acid transporter 3 inhibitor	0.024	COMP987	
Excitatory amino acid transporter EAAC1 inhibitor	0.320	COMP987	(0.168 COMP2833) (0.135 COMP198) (0.104 COMP191/COMP2171)
Folate transporter 1 inhibitor	0.010	COMP987	
GABA transporter 1 inhibitor	0.015	COMP987	
GABA transporter 3 inhibitor	0.054	COMP987	
GABA transporter inhibitor	0.023	COMP987	(0.021 COMP3074)
GABA uptake inhibitor	0.062	COMP987	(0.037 COMP3074)
Glycine transporter 2 inhibitor	0.092	COMP987	
Glycine transporter inhibitor	0.045	COMP987	
Ileal bile acid transport inhibitor	0.040	COMP987	(0.017 COMP361) (0.015 COMP310)
Monocarboxylic acid transporter 1 inhibitor	0.031	COMP198	(0.028 COMP191) (0.022 COMP987)
Monocarboxylic acid transporter inhibitor	0.031	COMP198	(0.028 COMP191) (0.022 COMP987)
Multidrug resistance-associated protein 1 inhibitor	0.341	COMP198	(0.337 COMP191) (0.274 COMP361) (0.267 COMP2171) (0.215 COMP337) (0.212 COMP310) (0.202 COMP3078) (0.197 COMP462) (0.175 COMP2159)
Nucleoside transporters inhibitor	0.086	COMP462	(0.080 COMP337) (0.076 COMP310) (0.074 COMP198) (0.069 COMP191/COMP2159) (0.034 COMP987) (0.029 COMP2171)
P-glycoprotein inhibitor	0.586	COMP198	(0.578 COMP191) (0.513 COMP3078) (0.448 COMP3074) (0.420 COMP361) (0.419 COMP337) (0.417 COMP2171) (0.407 COMP310) (0.385 COMP462) (0.326 COMP1530) (0.315 COMP2159) (0.277 COMP3072) (0.255 COMP3076) (0.248 COMP3075) (0.211 COMP3073) (0.172 COMP3077) (0.154 COMP987)
P2 nucleoside transporter inhibitor	0.011	COMP987	
Proline transporter inhibitor	0.016	COMP987	
Sodium-dependent vitamin C transporter 2 inhibitor	0.070	COMP987	(0.051 COMP3074) (0.050 COMP198) (0.039 COMP191) (0.034 COMP2171)
Sodium/bile acid cotransporter inhibitor	0.410	COMP3076	(0.381 COMP987) (0.337 COMP3077) (0.264 COMP198) (0.261 COMP2833) (0.257 COMP191) (0.222 COMP2171) (0.218 COMP3074) (0.205 COMP361)
Sodium/calcium exchanger inhibitor	0.085	COMP2171	
Sodium/glucose cotransporter 1 inhibitor	0.184	COMP462	(0.177 COMP2159) (0.174 COMP310) (0.165 COMP337) (0.086 COMP3078) (0.084 COMP1530) (0.052 COMP3072) (0.046 COMP361) (0.043 COMP3073) (0.040 COMP2171/COMP3075) (0.034 COMP987) (0.024 COMP198) (0.022 COMP191)
Sodium/glucose cotransporter 2 inhibitor	0.176	COMP2159	(0.174 COMP310) (0.172 COMP462) (0.159 COMP337) (0.144 COMP1530) (0.140 COMP3072) (0.131 COMP3073) (0.125 COMP3075) (0.115 COMP3078) (0.110 COMP361) (0.064 COMP2171) (0.034 COMP987) (0.030 COMP198) (0.026 COMP191)
Sodium/glucose cotransporter inhibitor	0.236	COMP310	(0.235 COMP2159) (0.231 COMP462) (0.217 COMP337) (0.173 COMP1530) (0.151 COMP3072) (0.125 COMP3073) (0.112 COMP3075) (0.105 COMP3078) (0.098 COMP361) (0.051 COMP2171) (0.032 COMP987) (0.027 COMP198) (0.025 COMP191)
Sodium/hydrogen exchanger 5 inhibitor	0.099	COMP2833	
Urate transporter 1 inhibitor	0.040	COMP987	
Vesicle monoamine transporter inhibitor	0.036	COMP2833	
Vesicular acetylcholine transporter inhibitor	0.030	COMP2833	(0.018 COMP987)
Vesicular glutamate transport inhibitor	0.028	COMP987	
