Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.641	COMP2	(0.535 COMP525) (0.375 COMP2426) (0.312 COMP389) (0.214 COMP153) (0.211 COMP2420) (0.180 COMP1113/COMP523) (0.177 COMP1943/COMP774) (0.159 COMP2423) (0.123 COMP48) (0.112 COMP2424) (0.109 COMP8)
Acetylcholine release stimulant	0.208	COMP2426	(0.138 COMP525) (0.132 COMP2) (0.100 COMP389)
Actinic keratosis treatment	0.225	COMP389	(0.187 COMP525) (0.184 COMP1113/COMP523) (0.178 COMP153) (0.172 COMP2) (0.162 COMP2420) (0.145 COMP2422) (0.143 COMP48) (0.142 COMP1943/COMP774) (0.137 COMP2423) (0.131 COMP2425) (0.111 COMP56) (0.102 COMP2424) (0.096 COMP2426/COMP8) (0.082 COMP46)
Acute neurologic disorders treatment	0.254	COMP8	(0.162 COMP2)
Acute respiratory distress syndrome (ARDS) treatment	0.402	COMP8	(0.352 COMP1829) (0.349 COMP46) (0.315 COMP2422) (0.298 COMP56) (0.240 COMP1943) (0.235 COMP2) (0.233 COMP774) (0.220 COMP2420) (0.177 COMP2424) (0.169 COMP389) (0.134 COMP2421)
Age-related macular degeneration treatment	0.221	COMP525	(0.199 COMP2426) (0.190 COMP389)
Alzheimer's disease treatment	0.575	COMP46	(0.526 COMP56) (0.510 COMP1942) (0.502 COMP48) (0.479 COMP2422) (0.388 COMP774) (0.384 COMP2420) (0.375 COMP1943) (0.326 COMP153) (0.323 COMP2424) (0.292 COMP1829) (0.277 COMP2421) (0.273 COMP389) (0.267 COMP2)
Amyotrophic lateral sclerosis treatment	0.179	COMP8	(0.174 COMP389) (0.172 COMP48) (0.169 COMP2)
Anabolic	0.190	COMP8	(0.184 COMP2425) (0.183 COMP153) (0.171 COMP1113/COMP523) (0.166 COMP2) (0.155 COMP1943/COMP774) (0.153 COMP1829) (0.150 COMP2420) (0.145 COMP389) (0.137 COMP2424) (0.135 COMP2426) (0.133 COMP48) (0.111 COMP2423) (0.106 COMP525)
Analeptic	0.592	COMP2422	(0.568 COMP8) (0.531 COMP56) (0.475 COMP525) (0.474 COMP2) (0.439 COMP1113/COMP523) (0.407 COMP46) (0.358 COMP389) (0.357 COMP2426) (0.353 COMP153) (0.323 COMP1829/COMP774) (0.318 COMP2423) (0.315 COMP1943/COMP2420) (0.293 COMP2424) (0.290 COMP48) (0.289 COMP2425) (0.277 COMP1942)
Analgesic	0.505	COMP2421	(0.299 COMP1942)
Analgesic. opioid	0.081	COMP2421	
Andropause treatment	0.084	COMP8	(0.069 COMP2)
Anesthetic	0.390	COMP525	(0.349 COMP2424) (0.226 COMP2) (0.209 COMP389) (0.207 COMP774) (0.189 COMP1943) (0.182 COMP2420) (0.177 COMP2426) (0.171 COMP8) (0.164 COMP153) (0.147 COMP2423) (0.126 COMP2425)
Anesthetic general	0.528	COMP525	(0.478 COMP389) (0.400 COMP2426) (0.388 COMP2) (0.325 COMP2424/COMP774) (0.291 COMP2423) (0.288 COMP8) (0.285 COMP2420) (0.279 COMP2425) (0.265 COMP1943) (0.172 COMP2422/COMP56) (0.145 COMP46) (0.142 COMP1829)
Anesthetic inhalation	0.241	COMP2	(0.173 COMP2426) (0.089 COMP8) (0.085 COMP2425) (0.082 COMP525) (0.065 COMP1113/COMP523) (0.062 COMP153) (0.046 COMP389)
Anesthetic local	0.287	COMP525	(0.184 COMP2426) (0.173 COMP2) (0.113 COMP389) (0.108 COMP2424)
Angiogenesis inhibitor	0.467	COMP8	(0.332 COMP2426) (0.277 COMP46) (0.228 COMP48) (0.227 COMP56) (0.222 COMP2422/COMP2424) (0.194 COMP1113/COMP523)
Angiogenesis stimulant	0.764	COMP56	(0.763 COMP46) (0.673 COMP2422) (0.577 COMP1829) (0.406 COMP2) (0.398 COMP48) (0.376 COMP1113/COMP523) (0.358 COMP153) (0.354 COMP389) (0.344 COMP2420) (0.331 COMP774) (0.312 COMP1943) (0.305 COMP2424) (0.299 COMP8) (0.290 COMP2423) (0.273 COMP2425) (0.181 COMP525)
Antiacne	0.463	COMP153	(0.382 COMP1113/COMP523) (0.351 COMP8) (0.338 COMP389) (0.329 COMP1943/COMP2425) (0.309 COMP2420) (0.306 COMP2424) (0.302 COMP1829) (0.298 COMP774) (0.289 COMP2423) (0.159 COMP2) (0.153 COMP46) (0.122 COMP2422) (0.119 COMP525) (0.117 COMP56)
Antialcoholic	0.676	COMP153	(0.254 COMP56) (0.225 COMP48) (0.215 COMP2426) (0.191 COMP2/COMP2422) (0.185 COMP1113/COMP523) (0.165 COMP389)
Antiallergic	0.593	COMP2	(0.454 COMP389) (0.314 COMP8) (0.286 COMP2426) (0.236 COMP48)
Antiamyloidogenic	0.753	COMP46	(0.684 COMP2422) (0.670 COMP56) (0.574 COMP2420) (0.560 COMP1943) (0.552 COMP774) (0.519 COMP48) (0.466 COMP389) (0.454 COMP2424) (0.294 COMP525) (0.279 COMP2426)
Antianemic	0.273	COMP389	(0.168 COMP2) (0.140 COMP2426) (0.135 COMP48)
Antianginal	0.196	COMP2426	(0.134 COMP525) (0.129 COMP389)
Antianorexic	0.247	COMP525	(0.235 COMP2426)
Antiarrhythmic	0.207	COMP2426	(0.172 COMP525)
