Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.209	COMP270	(0.027 COMP964)
5 Hydroxytryptamine 1A agonist	0.044	COMP965	
5 Hydroxytryptamine 1B agonist	0.056	COMP221	
5 Hydroxytryptamine 2A agonist	0.059	COMP965	
5 Hydroxytryptamine 3 agonist	0.065	COMP317	
5 Hydroxytryptamine 3A agonist	0.153	COMP221	(0.146 COMP965) (0.098 COMP964)
ATPase inhibitor	0.252	COMP964	(0.248 COMP221) (0.231 COMP966) (0.171 COMP965) (0.166 COMP317)
Acetylcholine M1 receptor antagonist	0.147	COMP964	
Acetylcholine M3 receptor agonist	0.106	COMP965	
Acetylcholine M3 receptor antagonist	0.062	COMP317	(0.052 COMP964)
Acetylcholinesterase inhibitor	0.522	COMP221	(0.256 COMP965)
Aconitate hydratase inhibitor	0.211	COMP966	(0.180 COMP964) (0.099 COMP221) (0.088 COMP317) (0.087 COMP965)
Acyl-CoA dehydrogenase inhibitor	0.128	COMP964	(0.100 COMP966) (0.076 COMP317) (0.072 COMP221) (0.053 COMP965)
Adenosine deaminase inhibitor	0.070	COMP964	
Adenylate cyclase inhibitor	0.208	COMP964	(0.200 COMP317) (0.185 COMP966) (0.110 COMP965) (0.097 COMP221)
Adenylate kinase inhibitor	0.327	COMP964	(0.203 COMP966) (0.165 COMP317) (0.148 COMP221) (0.117 COMP965)
Alcohol dehydrogenase inhibitor	0.310	COMP964	(0.194 COMP317) (0.170 COMP966) (0.126 COMP221) (0.084 COMP965)
Aldosterone antagonist	0.144	COMP965	(0.105 COMP221)
Alkaline phosphatase inhibitor	0.251	COMP317	(0.244 COMP221) (0.173 COMP964) (0.126 COMP965) (0.122 COMP966)
Alpha 2a adrenoreceptor agonist	0.048	COMP317	
Alpha 2b adrenoreceptor agonist	0.022	COMP317	
Alpha-mannosidase inhibitor	0.083	COMP964	(0.063 COMP966) (0.061 COMP317) (0.054 COMP221) (0.051 COMP270) (0.048 COMP965)
Aminopeptidase A inhibitor	0.032	COMP964	
Aminopeptidase N inhibitor	0.056	COMP964	
Androgen agonist	0.111	COMP221	(0.106 COMP965) (0.084 COMP964) (0.057 COMP317)
Androgen antagonist	0.183	COMP965	(0.178 COMP221) (0.160 COMP317) (0.113 COMP966) (0.076 COMP964)
Arginase inhibitor	0.064	COMP964	(0.037 COMP966)
Argininosuccinate synthase inhibitor	0.182	COMP964	(0.112 COMP966) (0.101 COMP317) (0.074 COMP221) (0.064 COMP965)
Aryl hydrocarbon receptor agonist	0.610	COMP221	(0.495 COMP317) (0.226 COMP965) (0.148 COMP964)
Beta 1 adrenoreceptor agonist	0.031	COMP964	
Beta 1 adrenoreceptor antagonist	0.087	COMP964	(0.079 COMP317)
Beta 2 adrenoreceptor agonist	0.080	COMP964	(0.065 COMP317) (0.061 COMP966)
Beta 2 adrenoreceptor antagonist	0.083	COMP964	(0.070 COMP317)
Butyrylcholinesterase inhibitor	0.383	COMP221	(0.139 COMP965)
CYP1A2 inhibitor	0.532	COMP221	(0.360 COMP966) (0.279 COMP965) (0.275 COMP317) (0.171 COMP964)
CYP2C9 inhibitor	0.348	COMP221	(0.333 COMP966) (0.318 COMP965) (0.299 COMP964) (0.240 COMP317)
CYP2D6 inhibitor	0.290	COMP965	(0.229 COMP221)
CYP3A4 inhibitor	0.332	COMP221	(0.296 COMP965)
