Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.437	COMP964	(0.391 COMP966) (0.244 COMP317) (0.211 COMP965) (0.187 COMP221)
Carcinogenic	0.732	COMP270	(0.614 COMP317) (0.564 COMP966) (0.476 COMP221) (0.432 COMP965) (0.427 COMP964)
Carcinogenic. group 1	0.696	COMP221	(0.425 COMP964) (0.324 COMP965) (0.274 COMP317) (0.270 COMP966)
Carcinogenic. group 2A	0.445	COMP221	(0.199 COMP965) (0.160 COMP317) (0.125 COMP966) (0.116 COMP964)
Carcinogenic. group 2B	0.432	COMP966	(0.393 COMP317) (0.254 COMP965) (0.245 COMP221) (0.233 COMP964)
Carcinogenic. group 3	0.735	COMP221	(0.564 COMP965) (0.359 COMP317) (0.343 COMP966) (0.322 COMP964)
Cardiodepressant	0.315	COMP964	(0.259 COMP221) (0.247 COMP317) (0.226 COMP966) (0.184 COMP965)
Cytotoxic	0.897	COMP270	(0.446 COMP317) (0.311 COMP964) (0.268 COMP221) (0.252 COMP965) (0.228 COMP966)
DNA damaging	0.395	COMP221	(0.370 COMP966) (0.357 COMP965) (0.344 COMP317) (0.239 COMP964) (0.237 COMP270)
Embryotoxic	0.772	COMP270	(0.543 COMP964) (0.443 COMP966) (0.387 COMP965) (0.321 COMP317) (0.267 COMP221)
Eye irritation. high	0.582	COMP964	(0.511 COMP966) (0.317 COMP317) (0.248 COMP965) (0.227 COMP221)
Genotoxic	0.484	COMP317	(0.350 COMP964) (0.304 COMP966) (0.292 COMP965) (0.260 COMP221) (0.117 COMP270)
Hypoglycemic	0.740	COMP270	(0.535 COMP966) (0.508 COMP964) (0.331 COMP221) (0.265 COMP965) (0.165 COMP317)
Mutagenic	0.651	COMP317	(0.508 COMP966) (0.370 COMP221) (0.357 COMP270) (0.346 COMP965) (0.330 COMP964)
Pneumotoxic	0.506	COMP966	(0.495 COMP964) (0.490 COMP317) (0.433 COMP965) (0.417 COMP221)
Sedative	0.224	COMP221	(0.186 COMP964) (0.143 COMP965) (0.132 COMP317)
Sensitization	0.745	COMP966	(0.722 COMP270) (0.650 COMP317) (0.623 COMP965) (0.527 COMP964) (0.335 COMP221)
Skin irritative effect	0.634	COMP317	(0.512 COMP966) (0.382 COMP964) (0.162 COMP965) (0.161 COMP221)
Teratogen	0.832	COMP270	(0.577 COMP964) (0.477 COMP966) (0.432 COMP965) (0.338 COMP317) (0.298 COMP221)
Toxic. respiratory center	0.235	COMP964	
Ulceration	0.752	COMP964	(0.600 COMP221) (0.552 COMP966) (0.460 COMP317) (0.395 COMP965)
