Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.041	COMP1425	(0.038 COMP1061) (0.037 COMP62) (0.035 COMP77) (0.031 COMP36) (0.030 COMP1935/COMP238)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.246	COMP238	(0.042 COMP77)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.812	COMP238	(0.102 COMP77) (0.033 COMP62)
12-Lipoxygenase inhibitor	0.271	COMP1934	
15-Lipoxygenase inhibitor	0.452	COMP1425	(0.357 COMP1932) (0.301 COMP36) (0.241 COMP1061) (0.207 COMP1934)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.220	COMP1425	(0.203 COMP77) (0.086 COMP1061) (0.049 COMP62) (0.044 COMP36) (0.039 COMP238)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.021	COMP77	(0.015 COMP62)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.069	COMP77	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.222	COMP1934	(0.060 COMP1425)
3C-like protease (Human coronavirus) inhibitor	0.162	COMP1061	
5 Hydroxytryptamine 3E antagonist	0.166	COMP1061	
5 Hydroxytryptamine release inhibitor	0.489	COMP36	(0.426 COMP1425) (0.285 COMP1934) (0.279 COMP1061)
5 Hydroxytryptamine release stimulant	0.736	COMP238	(0.632 COMP62) (0.526 COMP1425) (0.404 COMP1061) (0.276 COMP77) (0.194 COMP1934)
5 Hydroxytryptamine uptake stimulant	0.305	COMP1934	(0.195 COMP1425) (0.193 COMP1061)
5-Alpha-reductase 1 inhibitor	0.560	COMP77	(0.133 COMP62)
5-Alpha-reductase 2 inhibitor	0.588	COMP77	(0.254 COMP62) (0.023 COMP238)
5-Alpha-reductase inhibitor	0.554	COMP77	(0.365 COMP62) (0.126 COMP238) (0.033 COMP1425)
5-Lipoxygenase inhibitor	0.462	COMP36	(0.310 COMP1934) (0.289 COMP1061) (0.203 COMP1425)
ABCA1 expression enhancer	0.469	COMP1061	(0.362 COMP77) (0.194 COMP1934) (0.162 COMP36) (0.159 COMP62) (0.140 COMP1425) (0.136 COMP238)
AMP-activated protein kinase stimulant	0.721	COMP238	(0.526 COMP62) (0.243 COMP1934) (0.208 COMP77) (0.097 COMP1425)
ATP citrate lysase inhibitor	0.064	COMP1934	
ATPase (Vacuolar H+) inhibitor	0.221	COMP1932	(0.143 COMP1935) (0.102 COMP1934) (0.101 COMP62) (0.095 COMP1425)
ATPase inhibitor	0.529	COMP1932	(0.202 COMP1425) (0.187 COMP1061) (0.161 COMP1934) (0.135 COMP1935)
Acetyl-CoA transferase 2 inhibitor	0.079	COMP238	
Acetyl-CoA transferase inhibitor	0.072	COMP238	(0.063 COMP36) (0.061 COMP77) (0.053 COMP1425)
Acetylcholine M1 receptor antagonist	0.120	COMP1425	
Acetylcholine M2 receptor agonist	0.062	COMP1935	
Acetylcholine M3 receptor agonist	0.138	COMP1935	
Acetylcholine antagonist	0.240	COMP1935	
Acetylcholine muscarinic antagonist	0.190	COMP1935	
Acetylcholinesterase inhibitor	0.113	COMP238	(0.102 COMP36)
Aconitate hydratase inhibitor	0.123	COMP1425	(0.095 COMP1934) (0.083 COMP1061)
Acyl-CoA dehydrogenase inhibitor	0.102	COMP1425	(0.059 COMP1061) (0.048 COMP1934)
Adenine nucleotide translocase inhibitor	0.101	COMP36	(0.082 COMP1425) (0.071 COMP1934) (0.066 COMP1061)
Adenosine deaminase inhibitor	0.049	COMP1425	
Adenylate cyclase inhibitor	0.339	COMP1934	(0.128 COMP62)
Adenylate cyclase stimulant	0.211	COMP1934	(0.187 COMP1425) (0.185 COMP238) (0.157 COMP36) (0.150 COMP1061)
Adenylate kinase inhibitor	0.176	COMP1061	(0.150 COMP1425) (0.115 COMP1934)
Alcohol dehydrogenase inhibitor	0.098	COMP1425	(0.097 COMP1934)
Alcohol oxidase inhibitor	0.097	COMP1425	(0.092 COMP1061) (0.083 COMP1934)
Aldehyde dehydrogenase inhibitor	0.241	COMP1061	(0.193 COMP1425) (0.148 COMP1934) (0.144 COMP62) (0.125 COMP77)
Aldehyde oxidase inhibitor	0.435	COMP1425	(0.369 COMP1934) (0.154 COMP1061)
Aldose reductase inhibitor	0.206	COMP1934	
Aldosterone antagonist	0.167	COMP238	(0.149 COMP77) (0.055 COMP1425)
Alkylator	0.270	COMP62	(0.149 COMP1425) (0.122 COMP77) (0.103 COMP1935)
Alpha tubulin antagonist	0.051	COMP1934	
Alpha-N-acetylglucosaminidase inhibitor	0.333	COMP1425	(0.315 COMP1061) (0.258 COMP1934) (0.108 COMP238)
Alpha-mannosidase inhibitor	0.067	COMP1425	(0.064 COMP62) (0.052 COMP1935) (0.049 COMP1934)
Aminopeptidase B inhibitor	0.162	COMP1425	(0.153 COMP1061) (0.108 COMP1934)
Aminopeptidase I inhibitor	0.134	COMP1425	(0.085 COMP1934) (0.084 COMP1061)
Amylase inhibitor	0.846	COMP62	(0.584 COMP77) (0.410 COMP1934) (0.406 COMP1061) (0.347 COMP1425) (0.105 COMP238)
Amyloid beta aggregation inhibitor	0.588	COMP1934	(0.195 COMP36)
Amyloid beta precursor protein antagonist	0.171	COMP1934	
Anabolic	0.213	COMP77	(0.180 COMP238) (0.153 COMP62) (0.143 COMP1425) (0.133 COMP1061) (0.114 COMP1934/COMP36)
Analgesic	0.335	COMP1935	
Androgen agonist	0.450	COMP77	(0.178 COMP62) (0.160 COMP36) (0.109 COMP238) (0.078 COMP1935) (0.070 COMP1425)
Androgen antagonist	0.667	COMP77	(0.196 COMP62) (0.110 COMP238)
Anesthetic general	0.844	COMP62	(0.807 COMP77) (0.362 COMP1425) (0.251 COMP1934) (0.177 COMP36)
Anesthetic local	0.136	COMP77	(0.126 COMP1425) (0.095 COMP1934)
Angiogenesis inhibitor	0.280	COMP1425	(0.228 COMP36)
Angiogenesis stimulant	0.623	COMP62	(0.379 COMP238) (0.362 COMP1425) (0.361 COMP77) (0.294 COMP1934) (0.279 COMP1932) (0.177 COMP1061)
Angiotensin-converting enzyme inhibitor	0.052	COMP1934	
Antiamyloidogenic	0.503	COMP36	(0.405 COMP1934) (0.184 COMP1425) (0.159 COMP62)
Antibacterial	0.944	COMP1932	(0.686 COMP62) (0.563 COMP1061) (0.531 COMP1425) (0.513 COMP1935) (0.465 COMP77) (0.385 COMP238) (0.380 COMP1934) (0.376 COMP36)
Antibiotic Aminoglycoside-like	0.115	COMP1932	(0.073 COMP62)
Antibiotic Macrolide-like	0.542	COMP1932	(0.021 COMP1061) (0.012 COMP62)
Anticonvulsant	0.142	COMP36	
Antiinflammatory	0.924	COMP238	(0.881 COMP62) (0.848 COMP77) (0.847 COMP36) (0.707 COMP1935) (0.626 COMP1934) (0.607 COMP1425) (0.575 COMP1932) (0.377 COMP1061)
Antimetabolite	0.083	COMP1425	(0.049 COMP1061) (0.041 COMP36)
Antimitotic	0.600	COMP1932	(0.177 COMP1934)
Antineoplastic alkaloid	0.285	COMP1935	(0.150 COMP77) (0.078 COMP1932)
Antineoplastic antibiotic	0.607	COMP1932	(0.254 COMP62) (0.204 COMP1425) (0.180 COMP1061) (0.174 COMP36) (0.165 COMP77) (0.145 COMP1935) (0.130 COMP238) (0.074 COMP1934)
Antiobesity	0.441	COMP62	(0.387 COMP1934) (0.380 COMP77) (0.327 COMP238)
Antioxidant	0.957	COMP36	(0.739 COMP1934) (0.708 COMP1061) (0.597 COMP62) (0.591 COMP1425) (0.585 COMP238) (0.413 COMP77) (0.229 COMP1932) (0.223 COMP1935)
Antipruritic	0.229	COMP77	(0.167 COMP36) (0.135 COMP1425)
Antithrombotic	0.647	COMP1934	(0.606 COMP1425) (0.539 COMP1061) (0.467 COMP62) (0.425 COMP238) (0.301 COMP1932) (0.254 COMP36)
Apoptosis agonist	0.952	COMP238	(0.823 COMP62) (0.814 COMP77) (0.752 COMP36) (0.703 COMP1425) (0.645 COMP1932) (0.617 COMP1061) (0.582 COMP1935) (0.560 COMP1934)
Apoptosis antagonist	0.696	COMP238	(0.668 COMP62) (0.622 COMP77) (0.571 COMP1061) (0.526 COMP1934) (0.521 COMP36) (0.475 COMP1425) (0.333 COMP1932) (0.201 COMP1935)
Arachidonic acid antagonist	0.294	COMP77	(0.262 COMP1425) (0.236 COMP62) (0.232 COMP1061) (0.211 COMP1934) (0.206 COMP238) (0.203 COMP36) (0.123 COMP1935)
