Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.041	COMP1425	(0.038 COMP1061) (0.037 COMP62) (0.035 COMP77) (0.031 COMP36) (0.030 COMP1935/COMP238)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.246	COMP238	(0.042 COMP77)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.812	COMP238	(0.102 COMP77) (0.033 COMP62)
12-Lipoxygenase inhibitor	0.271	COMP1934	
15-Lipoxygenase inhibitor	0.452	COMP1425	(0.357 COMP1932) (0.301 COMP36) (0.241 COMP1061) (0.207 COMP1934)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.220	COMP1425	(0.203 COMP77) (0.086 COMP1061) (0.049 COMP62) (0.044 COMP36) (0.039 COMP238)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.021	COMP77	(0.015 COMP62)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.069	COMP77	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.222	COMP1934	(0.060 COMP1425)
3C-Like protease (MERS coronavirus) inhibitor	0.019	COMP1061	
3C-Like protease (SARS coronavirus) inhibitor	0.184	COMP1061	(0.108 COMP238) (0.089 COMP1934)
3C-like protease (Human coronavirus) inhibitor	0.162	COMP1061	
5 Hydroxytryptamine 3E antagonist	0.166	COMP1061	
5 Hydroxytryptamine release inhibitor	0.489	COMP36	(0.426 COMP1425) (0.285 COMP1934) (0.279 COMP1061)
5 Hydroxytryptamine release stimulant	0.736	COMP238	(0.632 COMP62) (0.526 COMP1425) (0.404 COMP1061) (0.276 COMP77) (0.194 COMP1934)
5 Hydroxytryptamine uptake stimulant	0.305	COMP1934	(0.195 COMP1425) (0.193 COMP1061)
5-Alpha-reductase 1 inhibitor	0.560	COMP77	(0.133 COMP62)
5-Alpha-reductase 2 inhibitor	0.588	COMP77	(0.254 COMP62) (0.023 COMP238)
5-Alpha-reductase inhibitor	0.554	COMP77	(0.365 COMP62) (0.126 COMP238) (0.033 COMP1425)
5-Lipoxygenase inhibitor	0.462	COMP36	(0.310 COMP1934) (0.289 COMP1061) (0.203 COMP1425)
ABCA1 expression enhancer	0.469	COMP1061	(0.362 COMP77) (0.194 COMP1934) (0.162 COMP36) (0.159 COMP62) (0.140 COMP1425) (0.136 COMP238)
AMP-activated protein kinase stimulant	0.721	COMP238	(0.526 COMP62) (0.243 COMP1934) (0.208 COMP77) (0.097 COMP1425)
AR expression inhibitor	0.958	COMP1061	(0.927 COMP36) (0.670 COMP1425) (0.666 COMP238) (0.485 COMP77) (0.479 COMP62) (0.461 COMP1934) (0.316 COMP1935) (0.218 COMP1932)
ATP citrate lysase inhibitor	0.064	COMP1934	
ATPase (Vacuolar H+) inhibitor	0.221	COMP1932	(0.143 COMP1935) (0.102 COMP1934) (0.101 COMP62) (0.095 COMP1425)
ATPase inhibitor	0.529	COMP1932	(0.202 COMP1425) (0.187 COMP1061) (0.161 COMP1934) (0.135 COMP1935)
Abortion inducer	0.581	COMP77	(0.515 COMP1425) (0.456 COMP36) (0.453 COMP238) (0.436 COMP62) (0.430 COMP1061) (0.316 COMP1934)
Acaricide	0.245	COMP1934	(0.173 COMP1425)
Acetyl-CoA transferase 2 inhibitor	0.079	COMP238	
Acetyl-CoA transferase inhibitor	0.072	COMP238	(0.063 COMP36) (0.061 COMP77) (0.053 COMP1425)
Acetylcholine M1 receptor antagonist	0.120	COMP1425	
Acetylcholine M2 receptor agonist	0.062	COMP1935	
Acetylcholine M3 receptor agonist	0.138	COMP1935	
Acetylcholine antagonist	0.240	COMP1935	
Acetylcholine muscarinic antagonist	0.190	COMP1935	
Acetylcholinesterase inhibitor	0.113	COMP238	(0.102 COMP36)
Aconitate hydratase inhibitor	0.123	COMP1425	(0.095 COMP1934) (0.083 COMP1061)
Actinic keratosis treatment	0.383	COMP77	(0.297 COMP62) (0.164 COMP1934) (0.143 COMP238) (0.110 COMP1425) (0.096 COMP36)
Acute neurologic disorders treatment	0.838	COMP36	(0.447 COMP1061) (0.319 COMP1425)
Acute respiratory distress syndrome (ARDS) treatment	0.392	COMP238	(0.311 COMP62) (0.179 COMP1934) (0.152 COMP77) (0.121 COMP1932)
Acyl-CoA dehydrogenase inhibitor	0.102	COMP1425	(0.059 COMP1061) (0.048 COMP1934)
Adenine nucleotide translocase inhibitor	0.101	COMP36	(0.082 COMP1425) (0.071 COMP1934) (0.066 COMP1061)
Adenosine deaminase inhibitor	0.049	COMP1425	
Adenylate cyclase 1 inhibitor	0.047	COMP1934	
Adenylate cyclase inhibitor	0.339	COMP1934	(0.128 COMP62)
Adenylate cyclase stimulant	0.211	COMP1934	(0.187 COMP1425) (0.185 COMP238) (0.157 COMP36) (0.150 COMP1061)
Adenylate kinase inhibitor	0.176	COMP1061	(0.150 COMP1425) (0.115 COMP1934)
Age-related macular degeneration treatment	0.178	COMP77	
Alcohol dehydrogenase inhibitor	0.098	COMP1425	(0.097 COMP1934)
Alcohol dehydrogenase substrate	0.830	COMP1061	(0.569 COMP1425) (0.332 COMP77) (0.269 COMP62) (0.179 COMP1934) (0.132 COMP36) (0.122 COMP238)
Alcohol oxidase inhibitor	0.097	COMP1425	(0.092 COMP1061) (0.083 COMP1934)
Aldehyde dehydrogenase inhibitor	0.241	COMP1061	(0.193 COMP1425) (0.148 COMP1934) (0.144 COMP62) (0.125 COMP77)
Aldehyde dehydrogenase substrate	0.698	COMP1061	(0.268 COMP1425) (0.173 COMP1934) (0.108 COMP36)
Aldehyde oxidase inhibitor	0.435	COMP1425	(0.369 COMP1934) (0.154 COMP1061)
Aldehyde oxidase substrate	0.189	COMP1934	(0.181 COMP1061)
Aldose reductase inhibitor	0.206	COMP1934	
Aldose reductase substrate	0.949	COMP1061	(0.356 COMP62) (0.300 COMP1425) (0.231 COMP1932) (0.187 COMP36) (0.167 COMP1934)
Aldosterone antagonist	0.167	COMP238	(0.149 COMP77) (0.055 COMP1425)
Alkylator	0.270	COMP62	(0.149 COMP1425) (0.122 COMP77) (0.103 COMP1935)
Alpha tubulin antagonist	0.051	COMP1934	
Alpha-N-acetylglucosaminidase inhibitor	0.333	COMP1425	(0.315 COMP1061) (0.258 COMP1934) (0.108 COMP238)
Alpha-glucosidase inhibitor	0.641	COMP238	(0.258 COMP1934)
Alpha-mannosidase inhibitor	0.067	COMP1425	(0.064 COMP62) (0.052 COMP1935) (0.049 COMP1934)
Alzheimer's disease treatment	0.560	COMP36	(0.471 COMP1061) (0.428 COMP77) (0.424 COMP1935) (0.388 COMP62) (0.357 COMP1425) (0.297 COMP1934) (0.267 COMP238)
Aminopeptidase B inhibitor	0.162	COMP1425	(0.153 COMP1061) (0.108 COMP1934)
Aminopeptidase I inhibitor	0.134	COMP1425	(0.085 COMP1934) (0.084 COMP1061)
Amylase inhibitor	0.846	COMP62	(0.584 COMP77) (0.410 COMP1934) (0.406 COMP1061) (0.347 COMP1425) (0.105 COMP238)
Amyloid beta aggregation inhibitor	0.588	COMP1934	(0.195 COMP36)
Amyloid beta precursor protein antagonist	0.171	COMP1934	
Amyotrophic lateral sclerosis treatment	0.685	COMP77	(0.592 COMP62) (0.430 COMP36) (0.229 COMP1425)
Anabolic	0.213	COMP77	(0.180 COMP238) (0.153 COMP62) (0.143 COMP1425) (0.133 COMP1061) (0.114 COMP1934/COMP36)
Analeptic	0.902	COMP62	(0.762 COMP77) (0.404 COMP1425) (0.362 COMP1934) (0.331 COMP1061) (0.229 COMP36) (0.221 COMP1935/COMP238) (0.199 COMP1932)
Analgesic	0.335	COMP1935	
Androgen agonist	0.450	COMP77	(0.178 COMP62) (0.160 COMP36) (0.109 COMP238) (0.078 COMP1935) (0.070 COMP1425)
Androgen antagonist	0.667	COMP77	(0.196 COMP62) (0.110 COMP238)
Andropause treatment	0.080	COMP77	(0.076 COMP62)
Anesthetic	0.828	COMP77	(0.532 COMP62) (0.202 COMP1425) (0.136 COMP1934)
Anesthetic general	0.844	COMP62	(0.807 COMP77) (0.362 COMP1425) (0.251 COMP1934) (0.177 COMP36)
Anesthetic inhalation	0.091	COMP1425	(0.082 COMP1061) (0.065 COMP77)
Anesthetic local	0.136	COMP77	(0.126 COMP1425) (0.095 COMP1934)
Angiogenesis inhibitor	0.280	COMP1425	(0.228 COMP36)
