Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.180	COMP155	(0.098 COMP153)
AR expression inhibitor	0.651	COMP1973	(0.338 COMP153) (0.181 COMP155)
CTGF expression inhibitor	0.435	COMP1973	(0.305 COMP155) (0.228 COMP153)
ICAM1 expression inhibitor	0.785	COMP155	(0.569 COMP1973) (0.498 COMP153)
LDLR expression enhancer	0.208	COMP153	(0.199 COMP1973) (0.176 COMP155)
NOS2 expression inhibitor	0.736	COMP1973	(0.613 COMP155) (0.578 COMP153)
NOS3 expression enhancer	0.360	COMP1973	
NOS3 expression inhibitor	0.557	COMP1973	(0.205 COMP155)
TNF expression inhibitor	0.634	COMP153	(0.604 COMP1973) (0.447 COMP155)
VCAM1 expression inhibitor	0.448	COMP1973	(0.276 COMP155) (0.275 COMP153)
VEGF expression inhibitor	0.181	COMP1973	
