Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.029	COMP1072	
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.060	COMP1072	
12-Lipoxygenase inhibitor	0.786	COMP1975	
15-Lipoxygenase inhibitor	0.672	COMP1975	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.181	COMP1975	
3C-like protease (Human coronavirus) inhibitor	0.151	COMP1976	(0.146 COMP1975)
5 Hydroxytryptamine 1E antagonist	0.213	COMP1975	
5 Hydroxytryptamine release inhibitor	0.616	COMP1975	(0.525 COMP1976) (0.317 COMP1072)
5 Hydroxytryptamine release stimulant	0.459	COMP1975	(0.308 COMP1072)
5 Hydroxytryptamine uptake stimulant	0.425	COMP1975	(0.379 COMP1976) (0.289 COMP1072)
5-Alpha-reductase 2 inhibitor	0.018	COMP1072	
5-Alpha-reductase inhibitor	0.114	COMP1072	
5-Lipoxygenase inhibitor	0.340	COMP1975	(0.101 COMP1976)
ABCA1 expression enhancer	0.121	COMP1976	(0.102 COMP1072)
AMP-activated protein kinase stimulant	0.185	COMP1975	
ATP citrate lysase inhibitor	0.106	COMP1072	(0.038 COMP1975)
ATPase (Vacuolar H+) inhibitor	0.178	COMP1072	(0.104 COMP1976)
ATPase inhibitor	0.370	COMP1072	(0.165 COMP1976) (0.138 COMP1975)
Acetyl-CoA transferase 1 inhibitor	0.048	COMP1072	
Acetyl-CoA transferase 2 inhibitor	0.138	COMP1976	(0.096 COMP1072)
Acetyl-CoA transferase inhibitor	0.100	COMP1072	(0.055 COMP1976)
Acetylcholine M1 receptor antagonist	0.129	COMP1072	
Acetylcholine antagonist	0.120	COMP1072	
Acetylcholine muscarinic antagonist	0.108	COMP1072	
Acetylcholine nicotinic antagonist	0.113	COMP1072	
Acetylcholinesterase inhibitor	0.452	COMP1975	(0.262 COMP1976)
Aconitate hydratase inhibitor	0.056	COMP1072	
Acyl-CoA dehydrogenase inhibitor	0.049	COMP1072	
Adenosine A3 receptor antagonist	0.078	COMP1975	
Adenylate cyclase inhibitor	0.116	COMP1072	
Adenylate cyclase stimulant	0.192	COMP1072	(0.155 COMP1975)
Adenylate kinase inhibitor	0.100	COMP1072	
Alcohol dehydrogenase inhibitor	0.122	COMP1975	
Alcohol oxidase inhibitor	0.085	COMP1975	(0.062 COMP1072)
Aldehyde dehydrogenase inhibitor	0.257	COMP1975	
Aldehyde oxidase inhibitor	0.819	COMP1975	(0.167 COMP1976)
Aldose reductase inhibitor	0.409	COMP1975	(0.046 COMP1976)
Alkaline phosphatase inhibitor	0.319	COMP1975	
Alkylator	0.205	COMP1975	(0.134 COMP1072)
Alpha 2c adrenoreceptor antagonist	0.087	COMP1975	
Alpha tubulin antagonist	0.282	COMP1975	
Alpha-N-acetylglucosaminidase inhibitor	0.256	COMP1072	(0.104 COMP1975)
Amylase inhibitor	0.549	COMP1975	(0.206 COMP1976) (0.183 COMP1072)
Amyloid beta aggregation inhibitor	0.683	COMP1975	(0.197 COMP1976)
Amyloid beta precursor protein antagonist	0.290	COMP1975	
Anabolic	0.169	COMP1072	(0.105 COMP1975)
Analgesic	0.419	COMP1072	
Analgesic. opioid	0.116	COMP1072	
Androgen agonist	0.111	COMP1072	
Androgen antagonist	0.159	COMP1976	(0.113 COMP1975) (0.101 COMP1072)
Anesthetic general	0.576	COMP1072	(0.226 COMP1975)
Anesthetic local	0.442	COMP1072	
Angiogenesis inhibitor	0.210	COMP1976	
Angiogenesis stimulant	0.297	COMP1975	(0.187 COMP1072)
Antiamyloidogenic	0.505	COMP1975	
Antibacterial	0.552	COMP1072	(0.422 COMP1975) (0.387 COMP1976)
Antibiotic Anthracycline-like	0.018	COMP1072/COMP1975	
Antibiotic Macrolide-like	0.016	COMP1072	
Anticoagulant	0.149	COMP1072	
Antiinflammatory	0.809	COMP1072	(0.613 COMP1975) (0.573 COMP1976)
Antimitotic	0.508	COMP1975	(0.323 COMP1072)
Antineoplastic alkaloid	0.149	COMP1072	
Antineoplastic antibiotic	0.258	COMP1072	(0.234 COMP1976) (0.147 COMP1975)
Antioxidant	0.815	COMP1975	(0.468 COMP1976) (0.303 COMP1072)
Antipruritic	0.288	COMP1072	
Antithrombotic	0.524	COMP1072	(0.304 COMP1975)
Apoptosis agonist	0.864	COMP1975	(0.662 COMP1976) (0.646 COMP1072)
Apoptosis antagonist	0.484	COMP1975	(0.339 COMP1072) (0.218 COMP1976)
Arachidonic acid antagonist	0.244	COMP1072	(0.181 COMP1975) (0.159 COMP1976)
Arginase inhibitor	0.037	COMP1975	(0.033 COMP1072)
Argininosuccinate synthase inhibitor	0.051	COMP1072	
Aromatase inhibitor	0.197	COMP1975	(0.150 COMP1072)
Aryl hydrocarbon receptor agonist	0.543	COMP1975	(0.145 COMP1976)
Aryl hydrocarbon receptor antagonist	0.101	COMP1975	
Beta 3 adrenoreceptor antagonist	0.073	COMP1975	
Beta adrenoreceptor antagonist	0.063	COMP1975	
Beta amyloid protein antagonist	0.125	COMP1975	
Beta glucuronidase inhibitor	0.409	COMP1975	(0.111 COMP1976)
Beta tubulin antagonist	0.287	COMP1975	
Bone formation stimulant	0.293	COMP1975	
Botulinum neurotoxin type A inhibitor	0.055	COMP1072	
Breast cancer-resistant protein inhibitor	0.697	COMP1975	
Bronchodilator	0.096	COMP1975	
Butyrylcholinesterase inhibitor	0.247	COMP1975	(0.086 COMP1976)
CD45 antagonist	0.060	COMP1975	
CDC25A inhibitor	0.212	COMP1975	(0.068 COMP1072)
CDC25B inhibitor	0.111	COMP1975	
CF transmembrane conductance regulator agonist	0.209	COMP1072	(0.191 COMP1975)
CYP2A6 inhibitor	0.110	COMP1072	(0.092 COMP1975) (0.077 COMP1976)
Ca2+-transporting ATPase inhibitor	0.192	COMP1072	(0.142 COMP1975) (0.140 COMP1976)
Calcineurin inhibitor	0.018	COMP1072	
Calcium antagonist	0.173	COMP1976	(0.152 COMP1072) (0.116 COMP1975)
Calcium channel (voltage-sensitive) blocker	0.110	COMP1072	
Calcium channel L-type activator	0.480	COMP1975	
Calcium channel L-type blocker	0.123	COMP1072	
Calcium channel P-type blocker	0.071	COMP1072	
Calcium channel activator	0.454	COMP1072	(0.345 COMP1975) (0.272 COMP1976)
Calcium channel blocker	0.281	COMP1072	
Carbonic anhydrase III inhibitor	0.347	COMP1975	(0.127 COMP1976)
Carbonic anhydrase V inhibitor	0.111	COMP1975	
Carbonic anhydrase VA inhibitor	0.106	COMP1975	
Carbonic anhydrase VB inhibitor	0.062	COMP1975	
Carbonic anhydrase VI inhibitor	0.320	COMP1975	(0.112 COMP1976)
Carbonic anhydrase VII inhibitor	0.191	COMP1975	
Carbonic anhydrase XII inhibitor	0.059	COMP1975	
Carbonic anhydrase XIII inhibitor	0.476	COMP1975	(0.208 COMP1976)
Carbonic anhydrase XIV inhibitor	0.076	COMP1975	
Carbonic anhydrase XV inhibitor	0.287	COMP1975	(0.165 COMP1976)
Carboxypeptidase B inhibitor	0.032	COMP1072	
Caspase 3 stimulant	0.752	COMP1975	(0.491 COMP1072) (0.374 COMP1976)
Caspase 9 stimulant	0.914	COMP1975	(0.495 COMP1072) (0.460 COMP1976)
Catenin beta inhibitor	0.304	COMP1976	(0.155 COMP1975)
Cell wall synthesis inhibitor	0.175	COMP1072	
Chelator	0.285	COMP1975	
Cholesterol antagonist	0.598	COMP1072	(0.236 COMP1976) (0.202 COMP1975)
Cholesterol ester transfer protein antagonist	0.043	COMP1072	
Cholesterol esterase inhibitor	0.090	COMP1072	
Cholesterol synthesis inhibitor	0.387	COMP1072	(0.172 COMP1976) (0.127 COMP1975)
Cholinergic	0.357	COMP1975	(0.213 COMP1976)
Cholinergic antagonist	0.128	COMP1072	
Chymotrypsin inhibitor	0.080	COMP1976	
Creatine kinase inhibitor	0.442	COMP1975	
Cyclic AMP phosphodiesterase inhibitor	0.297	COMP1975	(0.205 COMP1072)
Cyclin B inhibitor	0.051	COMP1975	
Cyclin B1 inhibitor	0.064	COMP1975	
Cyclin B2 inhibitor	0.061	COMP1975	
Cyclin B3 inhibitor	0.177	COMP1975	
Cyclin D1 inhibitor	0.069	COMP1975	
Cyclin-dependent kinase 9 inhibitor	0.094	COMP1975	
Cyclooxygenase 1 inhibitor	0.211	COMP1975	
Cyclooxygenase 2 inhibitor	0.202	COMP1975	(0.149 COMP1976)
Cyclooxygenase 3 inhibitor	0.565	COMP1072	(0.196 COMP1975)
Cyclooxygenase inhibitor	0.233	COMP1975	(0.144 COMP1976)
Cyclophilin D inhibitor	0.518	COMP1976	(0.312 COMP1072) (0.256 COMP1975)
Cystathionine beta-synthase inhibitor	0.817	COMP1975	(0.136 COMP1976) (0.101 COMP1072)
Cytidine deaminase inhibitor	0.219	COMP1072	
Cytokine production inhibitor	0.124	COMP1975	
D-Ala-D-Ala ligase inhibitor	0.169	COMP1975	
DNA damaging	0.531	COMP1975	(0.374 COMP1072) (0.165 COMP1976)
DNA directed DNA polymerase inhibitor	0.360	COMP1975	
DNA gyrase subunit A inhibitor	0.056	COMP1976	
DNA intercalator	0.110	COMP1975	(0.103 COMP1976)
DNA methylase inhibitor	0.281	COMP1975	
DNA methyltransferase I inhibitor	0.317	COMP1975	
DNA polymerase beta inhibitor	0.389	COMP1975	
DNA repair enzyme inhibitor	0.171	COMP1975	
DNA synthesis inhibitor	0.346	COMP1072	(0.198 COMP1975) (0.180 COMP1976)
DNA-dependent protein kinase inhibitor	0.074	COMP1975	
DOPA decarboxylase inhibitor	0.210	COMP1975	
Dopamine D1 agonist	0.034	COMP1975	
Dopamine D1 antagonist	0.077	COMP1975	
Dopamine D2 agonist	0.039	COMP1975	
Dopamine D5 agonist	0.087	COMP1975	
Dopamine D5 antagonist	0.061	COMP1975	
Dopamine agonist	0.108	COMP1975	
Dopamine autoreceptor agonist	0.024	COMP1975	
Dopamine transporter inhibitor	0.052	COMP1072	
Dual specificity phosphatase 3 inhibitor	0.416	COMP1975	
Dual specificity phosphatase inhibitor	0.428	COMP1975	
Dual specificity tyrosine-phosphorylation regulated kinase 1A inhibitor	0.329	COMP1975	
Dyrk kinase inhibitor	0.296	COMP1975	
Elastase 1 inhibitor	0.087	COMP1072	(0.063 COMP1975)
Elastase 2B inhibitor	0.040	COMP1072	
Elastase 3A inhibitor	0.040	COMP1072	
Elastase 3B inhibitor	0.040	COMP1072	
Electron transport complex I inhibitor	0.628	COMP1976	(0.194 COMP1975)
Estradiol 17 beta-dehydrogenase 1 inhibitor	0.051	COMP1975	
Estrogen agonist	0.195	COMP1975	
Estrogen antagonist	0.268	COMP1975	(0.146 COMP1976)
Estrogen receptor alpha antagonist	0.179	COMP1975	(0.079 COMP1976)
Estrogen receptor beta antagonist	0.288	COMP1975	(0.151 COMP1976)
Estrogen-related receptor alpha antagonist	0.029	COMP1975	
Estrogen-related receptor beta antagonist	0.058	COMP1975	
Estrone sulfatase inhibitor	0.027	COMP1975	
Expectorant	0.496	COMP1072	(0.185 COMP1975) (0.101 COMP1976)
Farnesoid X receptor agonist	0.043	COMP1072	
Farnesoid X receptor antagonist	0.139	COMP1072	(0.116 COMP1975)
Fatty acid synthase inhibitor	0.149	COMP1975	
Free radical scavenger	0.831	COMP1975	(0.468 COMP1976) (0.274 COMP1072)
GABA B receptor antagonist	0.168	COMP1975	
GABA C receptor agonist	0.157	COMP1072	
GABA C receptor antagonist	0.196	COMP1975	(0.119 COMP1072)
GABA C receptor rho-1 antagonist	0.222	COMP1975	
GABA C receptor rho-2 antagonist	0.385	COMP1975	
GABA C receptor rho-3 antagonist	0.666	COMP1975	
GABA aminotransferase inhibitor	0.082	COMP1975	
GABA receptor antagonist	0.052	COMP1975	
Gastrin inhibitor	0.363	COMP1072	
Glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase inhibitor	0.440	COMP1975	
Glucose-6-phosphate isomerase inhibitor	0.056	COMP1072	(0.049 COMP1976)
Glucose-6-phosphate translocase inhibitor	0.078	COMP1975	
Glutamate (mGluR group II) antagonist	0.037	COMP1072	
Glutamate (mGluR3) agonist	0.109	COMP1072	
Glutamate (mGluR3) antagonist	0.110	COMP1072	
Glutamate (mGluR6) antagonist	0.089	COMP1072	
Glutamate (mGluR7) antagonist	0.099	COMP1975	
Glutamate (mGluR8) agonist	0.035	COMP1072	
Glutamate decarboxylase inhibitor	0.083	COMP1975	
Glutathione S-transferase inhibitor	0.095	COMP1975	
Glyceraldehyde-3-phosphate dehydrogenase inhibitor	0.485	COMP1975	(0.269 COMP1072) (0.162 COMP1976)
Glycine receptor agonist	0.227	COMP1072	
Glycine receptor antagonist	0.134	COMP1072	
Granulocyte macrophage colony stimulating factor agonist	0.097	COMP1975	
Growth hormone agonist	0.184	COMP1072	
HCV NS3/NS4A protease inhibitor	0.062	COMP1072	
HIV-1 integrase (3'-Processing) inhibitor	0.257	COMP1975	
HIV-1 integrase (Overall Integration) inhibitor	0.102	COMP1975	(0.085 COMP1072)
HIV-1 integrase (Strand Transfer) inhibitor	0.263	COMP1975	
HIV-1 integrase inhibitor	0.148	COMP1975	
HMG CoA reductase inhibitor	0.075	COMP1072	
Heat shock protein 70 antagonist	0.204	COMP1975	(0.132 COMP1976)
Heat shock protein 90 alpha antagonist	0.181	COMP1975	
Heat shock protein 90 antagonist	0.228	COMP1975	(0.149 COMP1072)
Heat shock protein 90 beta antagonist	0.082	COMP1072	(0.055 COMP1975)
Hedgehog signaling activator	0.030	COMP1072	
Hemostatic	0.218	COMP1975	
Hepatoprotectant	0.473	COMP1975	(0.292 COMP1072) (0.240 COMP1976)
Hexokinase inhibitor	0.125	COMP1975	
Histamine release inhibitor	0.686	COMP1975	(0.375 COMP1976) (0.216 COMP1072)
Histidine decarboxylase inhibitor	0.241	COMP1975	
Histone acetyltransferase inhibitor	0.181	COMP1975	
Histone deacetylase SIRT1 stimulant	0.256	COMP1975	(0.091 COMP1976)
Histone deacetylase stimulant	0.256	COMP1975	(0.091 COMP1976)
Hypoglycemic	0.425	COMP1975	(0.335 COMP1976) (0.230 COMP1072)
Hypolipemic	0.490	COMP1072	(0.383 COMP1976)
I kappa B kinase epsilon inhibitor	0.172	COMP1975	
Immunomodulator	0.439	COMP1072	
