Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.255	COMP1247	
Actinic keratosis treatment	0.241	COMP1247	(0.094 COMP1974)
Alzheimer's disease treatment	0.434	COMP1974	(0.381 COMP180)
Anabolic	0.176	COMP1247	(0.106 COMP1974)
Analeptic	0.526	COMP1247	(0.268 COMP1974) (0.249 COMP180)
Anesthetic general	0.162	COMP180	
Anesthetic inhalation	0.074	COMP1247	
Angiogenesis inhibitor	0.310	COMP1974	(0.252 COMP180)
Angiogenesis stimulant	0.385	COMP1974	(0.379 COMP1247) (0.315 COMP180)
Antiacne	0.421	COMP1247	
Antialcoholic	0.212	COMP1247	(0.163 COMP1974)
Antiallergic	0.361	COMP180	(0.231 COMP1974)
Antiamyloidogenic	0.604	COMP180	(0.548 COMP1974)
Antianorexic	0.237	COMP1247	
Antibacterial	0.482	COMP1974	(0.423 COMP180) (0.391 COMP1247)
Antibiotic	0.102	COMP1247	(0.079 COMP1974)
Antibiotic Glycopeptide-like	0.050	COMP1974	
Anticataract	0.097	COMP180	(0.088 COMP1974)
Anticholelithogenic	0.065	COMP1974	
Antidiabetic	0.327	COMP1974	(0.259 COMP180)
Antidiabetic symptomatic	0.333	COMP180	(0.284 COMP1974) (0.239 COMP1247)
Antidiarrheal	0.144	COMP1974	(0.143 COMP180)
Antidote	0.327	COMP1974	(0.238 COMP180)
Antidote. heavy metal	0.119	COMP1974	(0.068 COMP180)
Antidote. mercury	0.090	COMP1247	(0.083 COMP1974)
Antiepileptic	0.598	COMP1247	
Antifungal	0.456	COMP1247	(0.351 COMP1974) (0.309 COMP180)
Antifungal (Aspergillus)	0.105	COMP1974	(0.102 COMP1247) (0.097 COMP180)
Antifungal (Cryptococcus)	0.129	COMP1247	
Antifungal (Pneumocystis)	0.157	COMP180	(0.148 COMP1974)
Antifungal enhancer	0.239	COMP1247	(0.234 COMP1974) (0.187 COMP180)
Antiglaucomic	0.408	COMP1247	
Antihelmintic	0.460	COMP1247	(0.403 COMP1974) (0.299 COMP180)
Antihelmintic (Nematodes)	0.283	COMP1247	(0.132 COMP1974)
Antihelmintic (Trematoda)	0.694	COMP1974	(0.487 COMP180)
Antihemorrhagic	0.597	COMP1974	(0.442 COMP180) (0.139 COMP1247)
Antihypercholesterolemic	0.495	COMP1974	(0.470 COMP180) (0.258 COMP1247)
Antihyperlipoproteinemic	0.120	COMP1247	(0.119 COMP180)
