Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.184	COMP572/COMP574	(0.107 COMP575) (0.099 COMP571) (0.087 COMP568)
AR expression inhibitor	0.804	COMP574	(0.792 COMP571) (0.791 COMP572) (0.648 COMP575) (0.505 COMP468) (0.417 COMP568) (0.354 COMP570) (0.286 COMP573) (0.227 COMP300)
CTGF expression inhibitor	0.783	COMP571	(0.605 COMP468) (0.588 COMP574) (0.536 COMP572) (0.449 COMP568) (0.402 COMP575) (0.258 COMP300)
GRP78 expression inhibitor	0.035	COMP568	(0.027 COMP570) (0.021 COMP468)
ICAM1 expression inhibitor	0.554	COMP570	(0.488 COMP568) (0.477 COMP573) (0.471 COMP574) (0.461 COMP572) (0.445 COMP571) (0.441 COMP468) (0.344 COMP575) (0.318 COMP300) (0.292 COMP569)
LDLR expression enhancer	0.279	COMP571	(0.240 COMP574) (0.228 COMP572) (0.217 COMP568) (0.216 COMP468) (0.163 COMP575) (0.139 COMP573) (0.136 COMP300)
NOS2 expression inhibitor	0.951	COMP574	(0.940 COMP572) (0.779 COMP571) (0.654 COMP575) (0.593 COMP573) (0.481 COMP468) (0.425 COMP570) (0.355 COMP568) (0.296 COMP300) (0.208 COMP569)
NOS3 expression enhancer	0.646	COMP574	(0.633 COMP572) (0.621 COMP571) (0.371 COMP570) (0.370 COMP575) (0.288 COMP568) (0.220 COMP468)
NOS3 expression inhibitor	0.662	COMP571	(0.612 COMP575) (0.588 COMP570) (0.582 COMP568) (0.493 COMP468) (0.489 COMP574) (0.462 COMP572) (0.367 COMP573) (0.300 COMP300)
TNF expression inhibitor	0.886	COMP574	(0.855 COMP572) (0.723 COMP571) (0.627 COMP568) (0.595 COMP468) (0.540 COMP575) (0.484 COMP570) (0.398 COMP573) (0.384 COMP300) (0.224 COMP569)
VCAM1 expression inhibitor	0.595	COMP574	(0.573 COMP572) (0.382 COMP571) (0.363 COMP468) (0.338 COMP300) (0.334 COMP568) (0.275 COMP575) (0.272 COMP573) (0.267 COMP570) (0.215 COMP569)
VEGF expression inhibitor	0.307	COMP571	(0.302 COMP575) (0.285 COMP468) (0.230 COMP568) (0.185 COMP574) (0.173 COMP572) (0.165 COMP300)
