Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.480	COMP568	(0.380 COMP300) (0.331 COMP468) (0.162 COMP571) (0.140 COMP569)
Acetylcholine release stimulant	0.139	COMP468	(0.097 COMP575)
Actinic keratosis treatment	0.189	COMP571	(0.180 COMP568) (0.145 COMP300) (0.136 COMP575) (0.125 COMP468) (0.118 COMP574) (0.115 COMP572) (0.091 COMP573)
Acute neurologic disorders treatment	0.175	COMP468	
Acute respiratory distress syndrome (ARDS) treatment	0.193	COMP570	(0.133 COMP568)
Alzheimer's disease treatment	0.743	COMP570	(0.644 COMP571) (0.627 COMP300) (0.559 COMP574) (0.558 COMP572) (0.388 COMP569) (0.331 COMP575) (0.287 COMP568)
Amyotrophic lateral sclerosis treatment	0.232	COMP569	(0.171 COMP570)
Anabolic	0.167	COMP573	(0.164 COMP568) (0.158 COMP300) (0.156 COMP468) (0.140 COMP571) (0.133 COMP574) (0.127 COMP572) (0.106 COMP569) (0.087 COMP575)
Analeptic	0.707	COMP574	(0.674 COMP572) (0.544 COMP568) (0.481 COMP570) (0.467 COMP468) (0.340 COMP571) (0.304 COMP300) (0.274 COMP573) (0.180 COMP575)
Analgesic	0.658	COMP300	(0.419 COMP568)
Analgesic. opioid	0.124	COMP568	(0.078 COMP574) (0.071 COMP571)
Andropause treatment	0.068	COMP568	(0.064 COMP468)
Anesthetic	0.538	COMP568	(0.247 COMP468) (0.199 COMP300)
Anesthetic general	0.603	COMP568	(0.552 COMP570) (0.470 COMP468) (0.278 COMP300) (0.206 COMP573) (0.153 COMP571)
Anesthetic inhalation	0.116	COMP568	(0.108 COMP468) (0.064 COMP300) (0.063 COMP575) (0.047 COMP569)
Anesthetic local	0.334	COMP568	(0.176 COMP468) (0.107 COMP300)
Angiogenesis inhibitor	0.476	COMP570	(0.387 COMP571) (0.317 COMP574) (0.311 COMP572) (0.221 COMP569) (0.189 COMP575)
Angiogenesis stimulant	0.822	COMP570	(0.681 COMP300) (0.338 COMP571) (0.241 COMP574) (0.234 COMP468) (0.229 COMP568) (0.226 COMP572)
Ankylosing spondylitis treatment	0.168	COMP569	
Antiacne	0.363	COMP300	(0.291 COMP573) (0.276 COMP570) (0.217 COMP568) (0.145 COMP574) (0.144 COMP572) (0.129 COMP468) (0.106 COMP575)
Antialcoholic	0.476	COMP571	(0.389 COMP573) (0.346 COMP569) (0.284 COMP300) (0.263 COMP468) (0.238 COMP568)
Antiallergic	0.229	COMP575	
Antiamyloidogenic	0.642	COMP571	(0.617 COMP574) (0.593 COMP570) (0.592 COMP572) (0.323 COMP575) (0.282 COMP468) (0.271 COMP569)
Antianemic	0.260	COMP468	
Antianginal	0.280	COMP575	
Antianorexic	0.285	COMP300	(0.168 COMP468)
Antiarrhythmic	0.362	COMP575	
Antiarthritic	0.285	COMP570	
Antibacterial	0.739	COMP570	(0.619 COMP574) (0.616 COMP572) (0.551 COMP568) (0.537 COMP571) (0.439 COMP573) (0.429 COMP300) (0.361 COMP468) (0.304 COMP569) (0.284 COMP575)
