Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.157	COMP3121	(0.133 COMP3119) (0.129 COMP3120)
AR expression inhibitor	0.916	COMP3118	(0.871 COMP3121) (0.815 COMP3119) (0.810 COMP3120) (0.601 COMP3122) (0.519 COMP3123)
CTGF expression inhibitor	0.779	COMP3121	(0.709 COMP3118) (0.661 COMP3119) (0.504 COMP3120) (0.440 COMP3122)
ICAM1 expression inhibitor	0.468	COMP3121	(0.441 COMP3119) (0.424 COMP3123) (0.412 COMP3120) (0.398 COMP3118) (0.252 COMP3122)
LDLR expression enhancer	0.222	COMP3121	(0.188 COMP3120) (0.182 COMP3119)
NOS2 expression inhibitor	0.943	COMP3121	(0.938 COMP3118) (0.935 COMP3119) (0.856 COMP3120) (0.608 COMP3123) (0.488 COMP3122)
NOS3 expression enhancer	0.669	COMP3121	(0.653 COMP3118) (0.630 COMP3120) (0.581 COMP3119) (0.361 COMP3122) (0.237 COMP3123)
NOS3 expression inhibitor	0.758	COMP3118	(0.563 COMP3122) (0.516 COMP3121) (0.489 COMP3119) (0.448 COMP3120) (0.365 COMP3123)
TNF expression inhibitor	0.752	COMP3121	(0.693 COMP3120) (0.612 COMP3119) (0.493 COMP3118) (0.270 COMP3123)
VCAM1 expression inhibitor	0.362	COMP3120	(0.340 COMP3121) (0.319 COMP3119) (0.210 COMP3118)
VEGF expression inhibitor	0.219	COMP3118	(0.214 COMP3121)
