Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.789	COMP3121	(0.414 COMP3120) (0.368 COMP3119) (0.246 COMP3118)
15-Lipoxygenase inhibitor	0.848	COMP3121	(0.674 COMP3123) (0.530 COMP3120) (0.460 COMP3119) (0.255 COMP3118) (0.213 COMP3122)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.172	COMP3121	(0.115 COMP3120) (0.098 COMP3119) (0.064 COMP3118)
5 Hydroxytryptamine release inhibitor	0.489	COMP3119	(0.473 COMP3118) (0.370 COMP3121)
5 Hydroxytryptamine uptake stimulant	0.210	COMP3121	
5-Alpha-reductase inhibitor	0.033	COMP3121	
5-Lipoxygenase inhibitor	0.542	COMP3121	(0.458 COMP3119) (0.329 COMP3120) (0.238 COMP3118) (0.142 COMP3123)
ABCA1 expression enhancer	0.157	COMP3121	(0.133 COMP3119) (0.129 COMP3120)
AMP-activated protein kinase stimulant	0.286	COMP3119	(0.185 COMP3121)
AR expression inhibitor	0.916	COMP3118	(0.871 COMP3121) (0.815 COMP3119) (0.810 COMP3120) (0.601 COMP3122) (0.519 COMP3123)
ATP citrate lysase inhibitor	0.033	COMP3119	(0.029 COMP3121)
ATPase (Vacuolar H+) inhibitor	0.081	COMP3123	
Abortion inducer	0.177	COMP3121	(0.168 COMP3120)
Acetyl-CoA transferase 2 inhibitor	0.066	COMP3123	(0.055 COMP3121) (0.054 COMP3120)
Acetylcholinesterase inhibitor	0.404	COMP3118	(0.357 COMP3121) (0.281 COMP3123) (0.223 COMP3122) (0.215 COMP3120) (0.206 COMP3119)
Actinic keratosis treatment	0.179	COMP3118	(0.143 COMP3119) (0.130 COMP3122) (0.091 COMP3121)
Acute neurologic disorders treatment	0.183	COMP3119	
Acute respiratory distress syndrome (ARDS) treatment	0.134	COMP3119	
Adenylate cyclase stimulant	0.149	COMP3120	(0.126 COMP3118)
Alcohol dehydrogenase inhibitor	0.154	COMP3118	(0.086 COMP3121)
Alcohol dehydrogenase substrate	0.289	COMP3122	(0.122 COMP3120) (0.106 COMP3121)
Aldehyde dehydrogenase inhibitor	0.177	COMP3121	(0.106 COMP3120)
Aldehyde dehydrogenase substrate	0.301	COMP3122	
Aldehyde oxidase inhibitor	0.671	COMP3121	(0.301 COMP3120) (0.273 COMP3119) (0.261 COMP3122) (0.256 COMP3118)
Aldose reductase inhibitor	0.193	COMP3121	(0.142 COMP3119) (0.091 COMP3118) (0.072 COMP3120) (0.048 COMP3123)
Alkaline phosphatase inhibitor	0.593	COMP3121	(0.297 COMP3120) (0.255 COMP3119)
Alpha tubulin antagonist	0.066	COMP3121	(0.050 COMP3122)
Alpha-glucosidase inhibitor	0.815	COMP3121	(0.762 COMP3120) (0.453 COMP3119)
Alzheimer's disease treatment	0.624	COMP3118/COMP3122	(0.542 COMP3121) (0.467 COMP3123)
Amylase inhibitor	0.476	COMP3121	(0.280 COMP3119) (0.232 COMP3120) (0.202 COMP3118) (0.186 COMP3123)
Amyloid beta aggregation inhibitor	0.559	COMP3121	(0.309 COMP3119) (0.308 COMP3120) (0.224 COMP3118)
Amyloid beta precursor protein antagonist	0.129	COMP3121	
Anabolic	0.171	COMP3122	(0.124 COMP3120) (0.109 COMP3121) (0.107 COMP3118) (0.101 COMP3119)
Analeptic	0.541	COMP3119	(0.503 COMP3120) (0.463 COMP3121) (0.213 COMP3122) (0.175 COMP3123)
Androgen agonist	0.063	COMP3121	(0.056 COMP3120) (0.055 COMP3119)
Androgen antagonist	0.131	COMP3121	(0.084 COMP3122) (0.079 COMP3119)
Angiogenesis inhibitor	0.575	COMP3120	(0.554 COMP3119) (0.286 COMP3121)
Angiogenesis stimulant	0.442	COMP3123	(0.314 COMP3121) (0.281 COMP3122) (0.271 COMP3119) (0.248 COMP3120) (0.178 COMP3118)
Antiacne	0.167	COMP3123	(0.163 COMP3119) (0.146 COMP3121) (0.128 COMP3120) (0.104 COMP3122)
Antiamyloidogenic	0.543	COMP3121	(0.239 COMP3119) (0.176 COMP3120)
Antianorexic	0.274	COMP3122	
Antiarthritic	0.313	COMP3123	
Antiasthmatic	0.502	COMP3118	
Antibacterial	0.693	COMP3119	(0.684 COMP3123) (0.643 COMP3121) (0.641 COMP3120) (0.612 COMP3118) (0.539 COMP3122)
Antibacterial (Helicobacter pylori)	0.363	COMP3121	(0.127 COMP3120) (0.120 COMP3119)
Antibiotic	0.168	COMP3123	(0.133 COMP3119) (0.122 COMP3121) (0.092 COMP3120) (0.083 COMP3118)
Antibiotic Tetracycline-like	0.019	COMP3123	
Antidiabetic	0.543	COMP3121	(0.531 COMP3119) (0.517 COMP3122) (0.505 COMP3120) (0.487 COMP3123) (0.313 COMP3118)
Antidiabetic (type 2)	0.425	COMP3120	(0.291 COMP3121) (0.199 COMP3123)
Antidiabetic symptomatic	0.373	COMP3123	(0.325 COMP3121) (0.223 COMP3118) (0.203 COMP3119) (0.166 COMP3122)
Antidiarrheal	0.302	COMP3121	(0.234 COMP3123) (0.164 COMP3119) (0.146 COMP3120)
Antidote	0.198	COMP3121	(0.146 COMP3119) (0.140 COMP3120)
Antidote. heavy metal	0.084	COMP3121	(0.065 COMP3120)
Antifungal	0.530	COMP3118	(0.480 COMP3119) (0.476 COMP3123) (0.471 COMP3121) (0.422 COMP3120) (0.386 COMP3122)
Antifungal (Aspergillus)	0.106	COMP3121	
Antifungal (Candida)	0.099	COMP3123	
Antifungal (Cryptococcus)	0.463	COMP3123	(0.189 COMP3121) (0.173 COMP3120) (0.169 COMP3122) (0.151 COMP3119)
Antifungal enhancer	0.208	COMP3122	(0.192 COMP3119) (0.170 COMP3121) (0.165 COMP3118) (0.153 COMP3120)
Antiglaucomic	0.385	COMP3123	(0.278 COMP3121) (0.148 COMP3122)
Antihelmintic	0.617	COMP3121	(0.516 COMP3118) (0.439 COMP3119) (0.364 COMP3120) (0.355 COMP3123) (0.305 COMP3122)
Antihelmintic (Trematoda)	0.192	COMP3121	(0.122 COMP3119)
Antihemorrhagic	0.514	COMP3121	(0.439 COMP3119) (0.370 COMP3120) (0.276 COMP3123) (0.272 COMP3118) (0.146 COMP3122)
Antihypercholesterolemic	0.700	COMP3121	(0.599 COMP3120) (0.578 COMP3119) (0.428 COMP3118) (0.311 COMP3123) (0.205 COMP3122)
Antihypertriglyceridemic	0.575	COMP3121	(0.505 COMP3118) (0.476 COMP3119) (0.465 COMP3120) (0.331 COMP3123) (0.215 COMP3122)
Antihypotensive	0.747	COMP3121	(0.537 COMP3119) (0.475 COMP3120) (0.459 COMP3118) (0.427 COMP3123) (0.305 COMP3122)
Antihypoxic	0.497	COMP3121	(0.414 COMP3119) (0.409 COMP3120) (0.372 COMP3118)
Antiinflammatory	0.814	COMP3121	(0.809 COMP3123) (0.788 COMP3118) (0.776 COMP3120) (0.767 COMP3119) (0.660 COMP3122)
Antileukemic	0.867	COMP3123	(0.836 COMP3120) (0.784 COMP3119) (0.728 COMP3122) (0.705 COMP3118) (0.680 COMP3121)
Antimitotic	0.145	COMP3122	(0.143 COMP3118)
Antimutagenic	0.730	COMP3121	(0.630 COMP3120) (0.589 COMP3119) (0.382 COMP3118)
Antimycobacterial	0.419	COMP3121	(0.321 COMP3118) (0.233 COMP3119) (0.219 COMP3123) (0.199 COMP3120) (0.198 COMP3122)
Antimycoplasmal	0.056	COMP3120	
Antineoplastic (bladder cancer)	0.260	COMP3121	(0.225 COMP3118)
Antineoplastic (bone cancer)	0.178	COMP3118	
Antineoplastic (brain cancer)	0.624	COMP3121	(0.534 COMP3123) (0.448 COMP3120) (0.442 COMP3119) (0.431 COMP3122) (0.373 COMP3118)
Antineoplastic (breast cancer)	0.835	COMP3119	(0.773 COMP3121) (0.732 COMP3118) (0.656 COMP3120) (0.561 COMP3123) (0.529 COMP3122)
Antineoplastic (carcinoma)	0.485	COMP3118	(0.391 COMP3121) (0.314 COMP3120) (0.205 COMP3119)
Antineoplastic (cervical cancer)	0.664	COMP3119	(0.630 COMP3121) (0.485 COMP3118) (0.469 COMP3123) (0.445 COMP3120) (0.340 COMP3122)
