Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.177	COMP3121	(0.168 COMP3120)
Carcinogenic	0.761	COMP3120	(0.641 COMP3121) (0.555 COMP3118) (0.377 COMP3119) (0.354 COMP3122) (0.160 COMP3123)
Carcinogenic. group 2B	0.140	COMP3121	(0.139 COMP3120) (0.118 COMP3118) (0.109 COMP3119)
Carcinogenic. group 3	0.244	COMP3118	(0.231 COMP3121) (0.229 COMP3120) (0.165 COMP3119)
Cardiodepressant	0.189	COMP3121	(0.160 COMP3120)
Cytotoxic	0.408	COMP3118	(0.404 COMP3121) (0.403 COMP3122) (0.395 COMP3119) (0.323 COMP3120) (0.162 COMP3123)
DNA damaging	0.395	COMP3118	(0.368 COMP3121) (0.283 COMP3119) (0.161 COMP3120)
Embryotoxic	0.328	COMP3121	(0.300 COMP3120) (0.208 COMP3119) (0.201 COMP3118)
Eye irritation. high	0.234	COMP3120	(0.155 COMP3121) (0.119 COMP3119)
Genotoxic	0.590	COMP3121	(0.419 COMP3120) (0.367 COMP3119) (0.234 COMP3118) (0.141 COMP3123) (0.123 COMP3122)
Hypoglycemic	0.526	COMP3121	(0.450 COMP3118) (0.420 COMP3119) (0.365 COMP3123) (0.325 COMP3120) (0.194 COMP3122)
Mutagenic	0.555	COMP3120	(0.530 COMP3121) (0.458 COMP3118) (0.375 COMP3122) (0.285 COMP3119) (0.267 COMP3123)
Pneumotoxic	0.272	COMP3120	(0.220 COMP3121) (0.209 COMP3118)
Sedative	0.153	COMP3118	
Sensitization	0.764	COMP3121	(0.719 COMP3120) (0.577 COMP3119) (0.435 COMP3123) (0.176 COMP3122) (0.175 COMP3118)
Skin irritative effect	0.142	COMP3120	
Teratogen	0.371	COMP3121	(0.325 COMP3120) (0.246 COMP3119) (0.238 COMP3118) (0.135 COMP3122)
Toxic. respiratory center	0.153	COMP3123	
Ulceration	0.396	COMP3121	(0.351 COMP3118) (0.299 COMP3119)
