Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP128/COMP499/COMP513	(0.435 COMP30) (0.362 COMP77) (0.325 COMP621) (0.240 COMP285) (0.189 COMP1346) (0.184 COMP1845) (0.180 COMP155) (0.176 COMP2077) (0.163 COMP18) (0.140 COMP1152/COMP292) (0.136 COMP238) (0.132 COMP2073) (0.129 COMP1864) (0.127 COMP1117) (0.119 COMP2062/COMP2071) (0.118 COMP1855/COMP2065) (0.115 COMP2063) (0.112 COMP2076) (0.111 COMP178) (0.110 COMP1848/COMP2070) (0.108 COMP927) (0.107 COMP2060) (0.106 COMP1861) (0.105 COMP1309/COMP1852/COMP1859) (0.103 COMP2078/COMP27) (0.101 COMP1847/COMP1853/COMP1860) (0.100 COMP490) (0.098 COMP2061) (0.097 COMP1839) (0.096 COMP1862) (0.094 COMP1843/COMP1846) (0.092 COMP1850) (0.091 COMP910) (0.090 COMP264) (0.087 COMP308) (0.085 COMP1866/COMP2069)
AR expression inhibitor	0.991	COMP128/COMP499/COMP513	(0.806 COMP30/COMP308) (0.793 COMP46) (0.786 COMP910/COMP927) (0.784 COMP348) (0.771 COMP301) (0.750 COMP2064) (0.726 COMP1838) (0.708 COMP361) (0.681 COMP292) (0.666 COMP238) (0.661 COMP2065) (0.653 COMP2063) (0.650 COMP621) (0.647 COMP1849) (0.640 COMP1865/COMP2060) (0.624 COMP2062) (0.618 COMP1852) (0.616 COMP1848) (0.614 COMP1862) (0.613 COMP2066) (0.611 COMP2068) (0.602 COMP2067) (0.594 COMP1855) (0.589 COMP1861) (0.581 COMP178) (0.577 COMP150) (0.576 COMP1843) (0.574 COMP1866) (0.555 COMP1186/COMP1859) (0.540 COMP2061) (0.533 COMP1850) (0.524 COMP2078/COMP27) (0.510 COMP1839) (0.504 COMP18) (0.495 COMP1864) (0.485 COMP77) (0.481 COMP217) (0.471 COMP264) (0.462 COMP1845) (0.457 COMP285) (0.450 COMP1847/COMP1853/COMP1860) (0.445 COMP110) (0.436 COMP1347) (0.430 COMP1844/COMP1856/COMP2077) (0.429 COMP1846) (0.423 COMP1346) (0.412 COMP2076) (0.408 COMP1851) (0.406 COMP1840/COMP1858) (0.403 COMP1854/COMP1863) (0.394 COMP1841/COMP1867) (0.388 COMP2069) (0.347 COMP1152) (0.343 COMP2075) (0.337 COMP490) (0.327 COMP2071) (0.313 COMP2070) (0.297 COMP1309) (0.290 COMP1857) (0.277 COMP1117) (0.250 COMP2073) (0.242 COMP1842) (0.181 COMP155)
CTGF expression inhibitor	0.905	COMP308	(0.814 COMP2076) (0.811 COMP77) (0.767 COMP285) (0.766 COMP18) (0.742 COMP2078/COMP27) (0.704 COMP128/COMP499/COMP513) (0.686 COMP1152/COMP1186) (0.671 COMP361) (0.669 COMP2077) (0.664 COMP301) (0.630 COMP1838) (0.610 COMP490) (0.608 COMP46) (0.604 COMP1309) (0.560 COMP2073) (0.555 COMP348) (0.549 COMP1117) (0.532 COMP1850) (0.513 COMP2075) (0.499 COMP2070) (0.493 COMP2071) (0.454 COMP1848) (0.451 COMP1859) (0.439 COMP2069) (0.383 COMP621) (0.330 COMP30) (0.327 COMP1862) (0.322 COMP110) (0.315 COMP1866/COMP2064) (0.311 COMP1849) (0.305 COMP155) (0.295 COMP2065) (0.271 COMP1852/COMP292) (0.264 COMP264) (0.245 COMP2061/COMP2063) (0.238 COMP1861) (0.237 COMP1347) (0.227 COMP178) (0.222 COMP217) (0.217 COMP2060) (0.216 COMP1346) (0.208 COMP1843) (0.207 COMP2062) (0.191 COMP238)
GRP78 expression inhibitor	0.050	COMP1840	(0.046 COMP1841/COMP1844/COMP1856/COMP1867) (0.045 COMP1858) (0.043 COMP2069) (0.042 COMP2068) (0.041 COMP1309) (0.037 COMP1854/COMP1863) (0.034 COMP1117/COMP217) (0.033 COMP18) (0.030 COMP1846/COMP1847/COMP1851/COMP1853/COMP1860) (0.027 COMP1152/COMP2073) (0.024 COMP361) (0.023 COMP1186/COMP490) (0.022 COMP2071/COMP2077) (0.021 COMP110/COMP2064/COMP2078/COMP27/COMP348) (0.020 COMP301)
ICAM1 expression inhibitor	0.785	COMP155	(0.688 COMP238) (0.687 COMP292) (0.679 COMP178) (0.670 COMP1843) (0.669 COMP1855) (0.665 COMP2062) (0.661 COMP1839) (0.659 COMP1852) (0.657 COMP2061) (0.645 COMP1866) (0.643 COMP1861) (0.634 COMP2065) (0.615 COMP348) (0.611 COMP46) (0.599 COMP2064) (0.593 COMP1864) (0.584 COMP1865) (0.578 COMP301) (0.568 COMP927) (0.567 COMP361) (0.564 COMP217) (0.556 COMP1838) (0.549 COMP910) (0.526 COMP2063) (0.523 COMP2066/COMP2067) (0.511 COMP2078/COMP27) (0.510 COMP1846) (0.497 COMP1845) (0.496 COMP1840) (0.494 COMP1858) (0.486 COMP1847/COMP1853/COMP1860) (0.485 COMP1848) (0.478 COMP1867) (0.473 COMP1347) (0.467 COMP1849) (0.466 COMP1844/COMP1856) (0.465 COMP1186) (0.458 COMP1841) (0.457 COMP1851) (0.448 COMP1346) (0.446 COMP2068) (0.445 COMP2060) (0.436 COMP18) (0.432 COMP308) (0.430 COMP1854/COMP1863/COMP2076) (0.419 COMP2075) (0.415 COMP1862) (0.413 COMP77) (0.406 COMP1857) (0.405 COMP150/COMP285) (0.399 COMP490) (0.392 COMP1842) (0.383 COMP1859) (0.378 COMP1850) (0.354 COMP1152) (0.353 COMP264) (0.345 COMP1309) (0.335 COMP2070) (0.326 COMP2077) (0.325 COMP30) (0.294 COMP1117/COMP2073) (0.290 COMP2069) (0.259 COMP2071) (0.238 COMP621) (0.192 COMP2072)
LDLR expression enhancer	0.375	COMP308	(0.365 COMP77) (0.271 COMP30) (0.256 COMP285) (0.246 COMP1186) (0.227 COMP1152) (0.226 COMP2078/COMP27) (0.223 COMP2069) (0.215 COMP1309/COMP2071) (0.214 COMP2073) (0.209 COMP2076) (0.208 COMP1848) (0.203 COMP1849) (0.202 COMP1862) (0.193 COMP1117) (0.192 COMP292) (0.189 COMP1845) (0.184 COMP1346) (0.178 COMP18) (0.176 COMP155) (0.173 COMP2077) (0.172 COMP621) (0.170 COMP1347/COMP490) (0.168 COMP2070) (0.167 COMP2060) (0.165 COMP2062/COMP2064) (0.158 COMP238) (0.156 COMP1852) (0.154 COMP1859) (0.152 COMP1850) (0.149 COMP1838/COMP2075) (0.147 COMP2074) (0.145 COMP150/COMP1861) (0.141 COMP2063)
NOS2 expression inhibitor	0.967	COMP46	(0.965 COMP1838) (0.960 COMP348) (0.958 COMP301) (0.922 COMP1858) (0.917 COMP1347) (0.914 COMP217) (0.898 COMP1840) (0.896 COMP2068) (0.893 COMP308) (0.890 COMP361) (0.865 COMP1844/COMP1856) (0.859 COMP1346) (0.817 COMP1846) (0.801 COMP1845) (0.761 COMP910) (0.730 COMP927) (0.716 COMP1847/COMP1853/COMP1860) (0.679 COMP1841) (0.637 COMP1849) (0.613 COMP155) (0.606 COMP1861) (0.604 COMP264) (0.603 COMP77) (0.596 COMP238) (0.595 COMP292) (0.592 COMP2062) (0.551 COMP2076) (0.543 COMP1848) (0.542 COMP2078/COMP27) (0.537 COMP30) (0.529 COMP1852) (0.528 COMP1865) (0.518 COMP1855) (0.515 COMP285) (0.512 COMP1843) (0.479 COMP178) (0.478 COMP1867) (0.476 COMP2061) (0.475 COMP2075) (0.472 COMP1851) (0.470 COMP2064) (0.457 COMP1186) (0.456 COMP1862) (0.448 COMP1859/COMP1866) (0.445 COMP18) (0.432 COMP2067) (0.431 COMP490) (0.426 COMP2066) (0.420 COMP2065/COMP2071) (0.419 COMP150) (0.414 COMP2077) (0.409 COMP1850) (0.407 COMP1839) (0.392 COMP2060/COMP2063) (0.387 COMP2070) (0.378 COMP2073) (0.376 COMP1152) (0.363 COMP1864) (0.362 COMP1309) (0.361 COMP1854/COMP1863) (0.359 COMP1117) (0.355 COMP2069) (0.290 COMP128/COMP499/COMP513) (0.277 COMP110) (0.267 COMP621) (0.229 COMP2074) (0.213 COMP2072) (0.209 COMP1857) (0.155 COMP1842)
NOS3 expression enhancer	0.722	COMP46	(0.721 COMP301) (0.720 COMP348) (0.690 COMP1838) (0.594 COMP361) (0.474 COMP308) (0.402 COMP217) (0.356 COMP1862) (0.324 COMP285) (0.310 COMP1848) (0.284 COMP1849) (0.263 COMP77) (0.247 COMP2068) (0.244 COMP2073) (0.243 COMP1117) (0.183 COMP2069) (0.170 COMP1859) (0.167 COMP1840) (0.157 COMP1850) (0.154 COMP1186) (0.141 COMP2078/COMP27) (0.136 COMP1846) (0.134 COMP1858) (0.125 COMP1847/COMP1853/COMP1860) (0.123 COMP1844/COMP1856)
NOS3 expression inhibitor	0.910	COMP77	(0.862 COMP285) (0.842 COMP2078/COMP27) (0.837 COMP301) (0.798 COMP1838) (0.785 COMP1862) (0.761 COMP217) (0.759 COMP348) (0.757 COMP46) (0.755 COMP1186) (0.747 COMP361) (0.714 COMP1848) (0.676 COMP1346) (0.674 COMP1840) (0.664 COMP18) (0.660 COMP2068) (0.653 COMP1849) (0.631 COMP308) (0.628 COMP1845) (0.617 COMP1846) (0.605 COMP1847/COMP1853/COMP1860) (0.603 COMP1347) (0.596 COMP1858) (0.594 COMP2071) (0.583 COMP1844/COMP1856) (0.579 COMP1850) (0.576 COMP1859) (0.547 COMP1841) (0.545 COMP1854/COMP1863) (0.534 COMP1867) (0.528 COMP1852/COMP292) (0.523 COMP1843/COMP2064) (0.520 COMP1861) (0.512 COMP2077) (0.510 COMP1851) (0.498 COMP178/COMP910) (0.495 COMP2061) (0.492 COMP1839) (0.486 COMP1152) (0.482 COMP1866) (0.473 COMP927) (0.472 COMP2076) (0.470 COMP238) (0.469 COMP2062/COMP2065) (0.466 COMP1855) (0.464 COMP2066) (0.460 COMP490) (0.453 COMP2063/COMP2070) (0.446 COMP2067) (0.427 COMP2060) (0.420 COMP1864) (0.412 COMP2069) (0.401 COMP1865) (0.374 COMP1857) (0.345 COMP1842) (0.315 COMP110) (0.309 COMP128/COMP499/COMP513) (0.295 COMP1309) (0.287 COMP2075) (0.255 COMP150) (0.237 COMP1117) (0.225 COMP2073) (0.217 COMP30) (0.205 COMP155) (0.200 COMP264)
TNF expression inhibitor	0.959	COMP1838	(0.951 COMP301) (0.948 COMP1849) (0.937 COMP361) (0.899 COMP77) (0.896 COMP1862) (0.894 COMP217) (0.886 COMP1846/COMP1848) (0.885 COMP1850) (0.883 COMP1840) (0.881 COMP2078/COMP27) (0.869 COMP46) (0.863 COMP1859) (0.860 COMP308) (0.846 COMP1858) (0.841 COMP30) (0.836 COMP348) (0.814 COMP1845) (0.809 COMP238) (0.806 COMP2070) (0.790 COMP2062) (0.784 COMP1346) (0.777 COMP2075) (0.772 COMP2064) (0.763 COMP18) (0.758 COMP292) (0.755 COMP285) (0.748 COMP1347) (0.742 COMP2068) (0.713 COMP1847/COMP1853/COMP1860) (0.710 COMP910) (0.705 COMP2071) (0.703 COMP927) (0.696 COMP1855) (0.688 COMP1186) (0.678 COMP1852) (0.667 COMP1865) (0.666 COMP1861) (0.657 COMP1843) (0.650 COMP178) (0.647 COMP1844/COMP1856) (0.632 COMP2061) (0.622 COMP2076) (0.621 COMP2077) (0.616 COMP490) (0.608 COMP1864) (0.590 COMP1152) (0.586 COMP1841) (0.579 COMP2063) (0.567 COMP1866) (0.558 COMP1839) (0.551 COMP2066) (0.542 COMP2067) (0.538 COMP1867) (0.519 COMP2065) (0.505 COMP621) (0.497 COMP2069) (0.493 COMP264) (0.484 COMP150) (0.457 COMP1117) (0.448 COMP128/COMP499/COMP513) (0.447 COMP155) (0.440 COMP2060) (0.434 COMP2073) (0.418 COMP1309) (0.397 COMP1854/COMP1863) (0.376 COMP1851) (0.338 COMP110) (0.298 COMP1857) (0.280 COMP2074) (0.251 COMP2072) (0.219 COMP1842)
