Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.928	COMP128/COMP499/COMP513	(0.880 COMP110) (0.714 COMP621) (0.638 COMP1152) (0.580 COMP264) (0.563 COMP2071) (0.521 COMP30) (0.488 COMP1186) (0.443 COMP1862) (0.434 COMP2077) (0.400 COMP2078/COMP27) (0.352 COMP18) (0.332 COMP77) (0.312 COMP285) (0.290 COMP2065) (0.288 COMP2070) (0.285 COMP910) (0.280 COMP1850) (0.245 COMP1848) (0.234 COMP1859) (0.232 COMP927) (0.216 COMP490) (0.201 COMP1866) (0.180 COMP1849) (0.176 COMP2060/COMP2076) (0.164 COMP2063) (0.152 COMP150) (0.147 COMP2066) (0.146 COMP2069) (0.145 COMP1346) (0.142 COMP1843) (0.138 COMP1855) (0.134 COMP1845) (0.130 COMP1839) (0.126 COMP2064) (0.124 COMP155/COMP2067) (0.122 COMP238) (0.121 COMP1347) (0.120 COMP2068) (0.116 COMP1852/COMP292) (0.115 COMP2062) (0.114 COMP178/COMP1861) (0.113 COMP1840) (0.108 COMP2061) (0.107 COMP1309) (0.106 COMP1117)
Aldehyde dehydrogenase substrate	0.934	COMP128/COMP499/COMP513	(0.729 COMP110) (0.497 COMP621) (0.352 COMP2065) (0.351 COMP264) (0.327 COMP1152) (0.326 COMP1186) (0.304 COMP30) (0.301 COMP2078/COMP27) (0.294 COMP18) (0.292 COMP2077) (0.289 COMP2071) (0.241 COMP490) (0.221 COMP2076) (0.216 COMP2070) (0.189 COMP1866) (0.136 COMP910) (0.132 COMP150) (0.129 COMP1309) (0.127 COMP927) (0.121 COMP2069) (0.099 COMP217/COMP308) (0.098 COMP1838/COMP2075)
Aldehyde oxidase substrate	0.332	COMP128/COMP499/COMP513	(0.292 COMP1309) (0.269 COMP1117) (0.267 COMP2073) (0.261 COMP2075) (0.255 COMP18) (0.242 COMP2070) (0.225 COMP2077) (0.215 COMP2069) (0.212 COMP1152) (0.182 COMP1186) (0.180 COMP2071) (0.178 COMP621) (0.166 COMP2078/COMP27) (0.164 COMP308/COMP490) (0.157 COMP2076)
Aldose reductase substrate	0.992	COMP128/COMP499/COMP513	(0.496 COMP217) (0.442 COMP301) (0.404 COMP348) (0.402 COMP1838) (0.379 COMP46) (0.360 COMP2077) (0.348 COMP361) (0.324 COMP1840) (0.274 COMP2065) (0.272 COMP2068) (0.271 COMP1841/COMP1844/COMP1856/COMP1867) (0.268 COMP1858) (0.258 COMP1854/COMP1863) (0.252 COMP1847/COMP1853/COMP1860) (0.249 COMP1846) (0.248 COMP18) (0.247 COMP1851) (0.230 COMP2071) (0.214 COMP1152) (0.179 COMP2078/COMP27) (0.155 COMP2074) (0.145 COMP2070)
Arylamine N-Acetyltransferase substrate	0.418	COMP2078/COMP27	(0.338 COMP361) (0.318 COMP18) (0.231 COMP1186) (0.204 COMP2073) (0.184 COMP1117) (0.171 COMP2075) (0.166 COMP2070) (0.148 COMP2071) (0.144 COMP2076) (0.135 COMP308) (0.131 COMP1152) (0.121 COMP1309) (0.117 COMP490) (0.102 COMP2069) (0.065 COMP2077)
CYP1A2 inhibitor	0.908	COMP308	(0.455 COMP1838) (0.398 COMP2074) (0.397 COMP301) (0.341 COMP30) (0.298 COMP2073) (0.280 COMP46) (0.279 COMP1117) (0.277 COMP361) (0.257 COMP1186/COMP2076) (0.252 COMP2075/COMP348) (0.240 COMP217) (0.235 COMP1309) (0.226 COMP2072) (0.197 COMP1152/COMP2069) (0.178 COMP2078/COMP27)
CYP1A2 substrate	0.980	COMP1847/COMP1853/COMP1860	(0.972 COMP1846) (0.962 COMP1844/COMP1856) (0.956 COMP1845) (0.949 COMP2068) (0.948 COMP1346) (0.945 COMP1840) (0.943 COMP2072) (0.940 COMP1858) (0.891 COMP2075) (0.874 COMP1347) (0.798 COMP1841) (0.755 COMP308) (0.664 COMP621) (0.655 COMP30) (0.600 COMP2078/COMP27) (0.572 COMP301) (0.569 COMP1838) (0.557 COMP46) (0.544 COMP348) (0.524 COMP217) (0.504 COMP2074) (0.488 COMP1152) (0.465 COMP1186) (0.442 COMP1867) (0.437 COMP1309) (0.428 COMP18) (0.424 COMP2071) (0.410 COMP2073) (0.403 COMP1117) (0.399 COMP1862) (0.380 COMP1850) (0.357 COMP1854/COMP1863) (0.356 COMP2069) (0.342 COMP128/COMP499/COMP513) (0.339 COMP361) (0.338 COMP1859) (0.337 COMP2076) (0.316 COMP1848) (0.296 COMP2077) (0.269 COMP77) (0.252 COMP490) (0.236 COMP285) (0.235 COMP264) (0.232 COMP1849) (0.218 COMP2070) (0.209 COMP1851) (0.205 COMP155)
CYP24 inhibitor	0.060	COMP285/COMP77	(0.027 COMP150) (0.025 COMP264) (0.023 COMP1117) (0.021 COMP1309/COMP2069)
CYP2A6 inhibitor	0.294	COMP2073	(0.252 COMP264) (0.248 COMP1117) (0.234 COMP1309) (0.150 COMP621) (0.148 COMP1186) (0.125 COMP2069) (0.091 COMP128/COMP499/COMP513) (0.089 COMP2076) (0.081 COMP155) (0.073 COMP18) (0.067 COMP2070/COMP490) (0.066 COMP308)
CYP2B6 inhibitor	0.533	COMP308	(0.430 COMP2078/COMP27) (0.424 COMP1186) (0.399 COMP2076) (0.367 COMP1152) (0.362 COMP2071) (0.353 COMP30) (0.349 COMP264) (0.340 COMP1309) (0.330 COMP18) (0.327 COMP2069) (0.313 COMP1117) (0.304 COMP2075/COMP2077) (0.298 COMP490) (0.295 COMP2073) (0.278 COMP621) (0.250 COMP128/COMP499/COMP513) (0.219 COMP2070) (0.170 COMP155) (0.152 COMP77) (0.148 COMP110) (0.147 COMP2074)
