Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.566 COMP285) (0.555 COMP910) (0.545 COMP2064) (0.539 COMP927) (0.530 COMP2078/COMP27) (0.507 COMP18) (0.506 COMP1859) (0.495 COMP490) (0.492 COMP1839) (0.491 COMP1843) (0.484 COMP1186) (0.476 COMP2071) (0.474 COMP1855) (0.473 COMP178) (0.471 COMP150) (0.470 COMP2070) (0.469 COMP1861) (0.467 COMP2061) (0.466 COMP2066/COMP2077) (0.465 COMP1152/COMP1849) (0.464 COMP1852/COMP292) (0.460 COMP1850) (0.459 COMP1848) (0.453 COMP238) (0.448 COMP1845) (0.447 COMP2062) (0.445 COMP1862/COMP2067) (0.440 COMP1864) (0.433 COMP2063) (0.429 COMP2072) (0.422 COMP2060) (0.419 COMP110) (0.417 COMP2069) (0.412 COMP1866) (0.405 COMP264) (0.399 COMP2065) (0.398 COMP1347) (0.395 COMP2075) (0.389 COMP2076) (0.375 COMP1346/COMP2068) (0.358 COMP128/COMP499/COMP513) (0.347 COMP1309) (0.328 COMP30) (0.327 COMP1117) (0.312 COMP2073) (0.301 COMP1865) (0.300 COMP621) (0.230 COMP308) (0.218 COMP2074) (0.204 COMP155) (0.164 COMP1846/COMP1847/COMP1853/COMP1860)
Carcinogenic	0.944	COMP285	(0.940 COMP46) (0.932 COMP348) (0.925 COMP77) (0.912 COMP301) (0.879 COMP1847/COMP1853/COMP1860) (0.878 COMP1846) (0.873 COMP1840) (0.867 COMP1844/COMP1856) (0.866 COMP1858/COMP2068) (0.853 COMP1845) (0.848 COMP1838) (0.842 COMP1347) (0.834 COMP361) (0.831 COMP1849) (0.827 COMP1862) (0.811 COMP1346) (0.749 COMP2072) (0.748 COMP2078/COMP27) (0.746 COMP217) (0.731 COMP128/COMP499/COMP513) (0.699 COMP2077) (0.671 COMP264) (0.668 COMP30) (0.661 COMP1850) (0.655 COMP1841) (0.650 COMP1848) (0.649 COMP2070) (0.620 COMP2075) (0.602 COMP18) (0.594 COMP2071) (0.566 COMP1152) (0.552 COMP927) (0.540 COMP1867) (0.538 COMP1859) (0.532 COMP110) (0.512 COMP308) (0.499 COMP910) (0.494 COMP1186) (0.474 COMP2064) (0.450 COMP621) (0.420 COMP150) (0.419 COMP490) (0.416 COMP178) (0.414 COMP1866) (0.389 COMP1839) (0.386 COMP238) (0.369 COMP1843) (0.365 COMP1855) (0.364 COMP292) (0.363 COMP2076) (0.350 COMP1861) (0.323 COMP2073) (0.314 COMP1852) (0.313 COMP1117) (0.306 COMP2061) (0.292 COMP2065) (0.288 COMP2062) (0.279 COMP1309) (0.263 COMP2069) (0.256 COMP1854/COMP1863) (0.243 COMP1865) (0.227 COMP155) (0.201 COMP2063) (0.172 COMP1851) (0.154 COMP1864) (0.138 COMP2060) (0.125 COMP2067)
Carcinogenic. group 1	0.766	COMP217	(0.461 COMP18) (0.453 COMP1309) (0.412 COMP1117) (0.398 COMP2073) (0.393 COMP2078/COMP27/COMP301) (0.390 COMP1186) (0.383 COMP1152) (0.368 COMP490) (0.357 COMP1838) (0.331 COMP2071) (0.318 COMP2069) (0.296 COMP2075) (0.291 COMP2076) (0.289 COMP2070) (0.267 COMP128/COMP499/COMP513) (0.264 COMP2077) (0.250 COMP308) (0.247 COMP2072) (0.220 COMP348) (0.201 COMP2074) (0.197 COMP361) (0.195 COMP264) (0.193 COMP46) (0.167 COMP110) (0.146 COMP155) (0.143 COMP621)
Carcinogenic. group 2A	0.675	COMP217	(0.334 COMP1117) (0.298 COMP2073) (0.232 COMP1309) (0.231 COMP2069) (0.194 COMP1186/COMP2075) (0.177 COMP1152) (0.158 COMP301) (0.149 COMP490) (0.148 COMP1838) (0.145 COMP128/COMP499/COMP513) (0.144 COMP2072) (0.138 COMP2074) (0.130 COMP2077) (0.122 COMP18) (0.119 COMP2071) (0.107 COMP348) (0.106 COMP264) (0.100 COMP155) (0.099 COMP110) (0.087 COMP2070) (0.083 COMP46) (0.082 COMP2078/COMP27) (0.078 COMP308) (0.076 COMP621)
Carcinogenic. group 2B	0.405	COMP2073	(0.388 COMP1117) (0.375 COMP1309/COMP2072) (0.273 COMP348) (0.264 COMP46) (0.257 COMP128/COMP499/COMP513) (0.248 COMP2071) (0.232 COMP2069) (0.223 COMP308) (0.205 COMP2070) (0.203 COMP1152/COMP18) (0.202 COMP1862/COMP301) (0.194 COMP1186) (0.184 COMP361) (0.177 COMP2077) (0.164 COMP2076) (0.145 COMP1838/COMP264) (0.143 COMP621) (0.137 COMP490) (0.135 COMP2078/COMP27) (0.131 COMP2074) (0.125 COMP155) (0.123 COMP217) (0.119 COMP1849) (0.118 COMP1850) (0.109 COMP1859) (0.090 COMP2075) (0.088 COMP110/COMP1848)
Carcinogenic. group 3	0.772	COMP264	(0.721 COMP128/COMP499/COMP513) (0.511 COMP2073) (0.456 COMP1117) (0.448 COMP2072) (0.441 COMP2070) (0.431 COMP18) (0.410 COMP2077) (0.408 COMP490) (0.395 COMP301) (0.381 COMP2078/COMP27) (0.371 COMP1186) (0.347 COMP1152) (0.329 COMP2075) (0.327 COMP308) (0.324 COMP348) (0.286 COMP46) (0.268 COMP1309) (0.253 COMP217) (0.252 COMP155) (0.240 COMP1838/COMP77) (0.227 COMP2069) (0.225 COMP2071) (0.215 COMP361) (0.190 COMP2076) (0.148 COMP1848) (0.142 COMP621) (0.117 COMP1346) (0.114 COMP1347/COMP1862/COMP285) (0.110 COMP30) (0.102 COMP1845) (0.100 COMP1849)
Cardiodepressant	0.835	COMP2075	(0.559 COMP2076) (0.534 COMP1862) (0.510 COMP2062) (0.503 COMP238) (0.491 COMP1347) (0.482 COMP1152) (0.479 COMP2072) (0.477 COMP2077) (0.463 COMP2070) (0.449 COMP2071) (0.445 COMP1309) (0.441 COMP1845) (0.421 COMP292) (0.412 COMP18) (0.405 COMP490) (0.391 COMP1117) (0.364 COMP1346) (0.357 COMP77) (0.356 COMP1855/COMP308) (0.353 COMP2069) (0.350 COMP1861) (0.344 COMP1852) (0.337 COMP1186) (0.330 COMP1850) (0.314 COMP1859) (0.309 COMP1843) (0.307 COMP2073) (0.304 COMP2061) (0.303 COMP1849) (0.299 COMP178) (0.270 COMP285) (0.264 COMP2078/COMP27) (0.241 COMP910) (0.232 COMP2074/COMP927) (0.224 COMP128/COMP499/COMP513) (0.177 COMP1866) (0.171 COMP1848) (0.168 COMP1839) (0.148 COMP1838) (0.137 COMP2065) (0.135 COMP301)
Cytotoxic	0.929	COMP1840	(0.918 COMP1847/COMP1853/COMP1860) (0.908 COMP1846) (0.841 COMP1844/COMP1856) (0.829 COMP1858) (0.823 COMP1857) (0.802 COMP1842) (0.785 COMP2068) (0.767 COMP1841) (0.757 COMP1845) (0.719 COMP1867) (0.706 COMP1346) (0.667 COMP1347) (0.658 COMP46) (0.644 COMP2063) (0.640 COMP348) (0.629 COMP1851) (0.626 COMP1838/COMP301) (0.623 COMP1854/COMP1863) (0.607 COMP77) (0.604 COMP2062/COMP217) (0.599 COMP1855) (0.595 COMP238) (0.594 COMP2060) (0.592 COMP361) (0.586 COMP285) (0.579 COMP2064) (0.562 COMP1866/COMP2066) (0.557 COMP150/COMP2067) (0.553 COMP1843) (0.552 COMP910) (0.551 COMP2061) (0.549 COMP292) (0.547 COMP1839) (0.543 COMP178) (0.541 COMP927) (0.538 COMP1852) (0.530 COMP1861) (0.521 COMP1849) (0.510 COMP1865) (0.507 COMP2065) (0.484 COMP155) (0.482 COMP1848) (0.456 COMP2078/COMP27) (0.451 COMP30) (0.432 COMP1850) (0.431 COMP1859) (0.427 COMP308) (0.417 COMP1862) (0.416 COMP2071) (0.394 COMP621) (0.384 COMP1864) (0.362 COMP110) (0.360 COMP18) (0.332 COMP2070) (0.330 COMP1186/COMP128/COMP2077/COMP499/COMP513) (0.322 COMP264) (0.302 COMP2072) (0.291 COMP490) (0.279 COMP2076) (0.263 COMP1152) (0.243 COMP2075) (0.230 COMP2069) (0.199 COMP1309) (0.197 COMP2073) (0.195 COMP1117) (0.181 COMP2074)
DNA damaging	0.876	COMP46	(0.867 COMP1858) (0.862 COMP1840) (0.861 COMP348) (0.851 COMP1838) (0.844 COMP1844/COMP1856) (0.825 COMP1846) (0.824 COMP301) (0.791 COMP1847/COMP1853/COMP1860) (0.719 COMP217) (0.704 COMP2068) (0.687 COMP1347) (0.634 COMP2074) (0.630 COMP1841) (0.621 COMP1845) (0.566 COMP1346) (0.542 COMP308/COMP361) (0.520 COMP1867) (0.452 COMP2072) (0.405 COMP490) (0.402 COMP2070) (0.334 COMP18) (0.326 COMP1851) (0.318 COMP1152) (0.300 COMP1848) (0.289 COMP1865) (0.264 COMP2071/COMP2076) (0.260 COMP1849) (0.259 COMP1854/COMP1863) (0.241 COMP1186) (0.236 COMP1117) (0.235 COMP2073) (0.226 COMP2078/COMP27) (0.223 COMP2069) (0.219 COMP1309) (0.199 COMP2075) (0.194 COMP77) (0.187 COMP155) (0.183 COMP2077) (0.180 COMP621) (0.179 COMP1862) (0.178 COMP150)
Embryotoxic	0.953	COMP2068	(0.951 COMP1840) (0.944 COMP1847/COMP1853/COMP1860) (0.935 COMP1846) (0.930 COMP1844/COMP1856) (0.922 COMP1858) (0.913 COMP1857) (0.908 COMP77) (0.907 COMP1849/COMP1862) (0.906 COMP1842) (0.900 COMP1848) (0.899 COMP285) (0.885 COMP1845) (0.881 COMP1841) (0.863 COMP1347) (0.847 COMP1346) (0.839 COMP1867) (0.836 COMP1850) (0.797 COMP46) (0.784 COMP348) (0.769 COMP1854/COMP1863) (0.768 COMP301) (0.766 COMP1859) (0.747 COMP2077) (0.717 COMP2075) (0.712 COMP128/COMP499/COMP513) (0.710 COMP217) (0.702 COMP1838) (0.697 COMP2070) (0.692 COMP361) (0.675 COMP1152) (0.671 COMP18) (0.650 COMP264) (0.644 COMP2078/COMP27) (0.620 COMP1851) (0.608 COMP490) (0.593 COMP2071) (0.535 COMP30) (0.521 COMP1186) (0.494 COMP910) (0.426 COMP621) (0.399 COMP2076) (0.380 COMP2069) (0.371 COMP2072) (0.370 COMP927) (0.307 COMP155) (0.303 COMP1309) (0.299 COMP2064) (0.290 COMP1117) (0.281 COMP308) (0.234 COMP150) (0.226 COMP2073) (0.223 COMP1843) (0.213 COMP1852) (0.206 COMP2065) (0.198 COMP1861) (0.196 COMP2062) (0.194 COMP1855) (0.188 COMP110) (0.184 COMP2061) (0.182 COMP1839) (0.170 COMP2067) (0.163 COMP238) (0.161 COMP292) (0.160 COMP1865) (0.154 COMP178) (0.141 COMP2063)
