Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.414	COMP1775	(0.393 COMP1754) (0.054 COMP2761) (0.034 COMP2762) (0.033 COMP2764)
5 Hydroxytryptamine 1A agonist	0.336	COMP455	(0.091 COMP1757) (0.044 COMP2761)
5 Hydroxytryptamine 1B agonist	0.678	COMP455	(0.133 COMP1086) (0.063 COMP2761)
5 Hydroxytryptamine 2A agonist	0.499	COMP455	(0.093 COMP1086) (0.088 COMP2763/COMP2769/COMP2770) (0.083 COMP2761) (0.079 COMP1757) (0.059 COMP2774) (0.057 COMP2762)
5 Hydroxytryptamine 2B agonist	0.160	COMP455	(0.077 COMP2763/COMP2769/COMP2770) (0.059 COMP2761) (0.043 COMP1086) (0.041 COMP2762) (0.040 COMP1757)
5 Hydroxytryptamine 2C antagonist	0.375	COMP455	(0.210 COMP2761) (0.160 COMP1757) (0.098 COMP2763/COMP2769/COMP2770) (0.072 COMP1086)
5 Hydroxytryptamine 3 agonist	0.305	COMP455	(0.166 COMP2761) (0.127 COMP2763/COMP2769/COMP2770) (0.105 COMP2762) (0.092 COMP1086) (0.091 COMP1501) (0.062 COMP2774)
5 Hydroxytryptamine 3A agonist	0.433	COMP455	(0.275 COMP1086) (0.240 COMP2761) (0.214 COMP2763/COMP2769/COMP2770) (0.212 COMP1501) (0.179 COMP2762) (0.105 COMP2764)
5 Hydroxytryptamine 4 agonist	0.028	COMP455	(0.026 COMP1086)
5 Hydroxytryptamine uptake inhibitor	0.189	COMP455	(0.080 COMP1757) (0.059 COMP2763/COMP2769/COMP2770)
ATPase inhibitor	0.779	COMP2765	(0.428 COMP2766) (0.318 COMP2039) (0.301 COMP15) (0.296 COMP1916) (0.237 COMP697) (0.215 COMP542) (0.214 COMP539) (0.199 COMP2767) (0.185 COMP1298) (0.182 COMP2772) (0.176 COMP2764) (0.143 COMP1086)
Acetylcholine M1 receptor agonist	0.276	COMP2761	(0.239 COMP2762) (0.154 COMP2763/COMP2769/COMP2770) (0.044 COMP2774)
Acetylcholine M1 receptor antagonist	0.382	COMP2761	(0.283 COMP2762) (0.270 COMP1086) (0.253 COMP2763/COMP2769/COMP2770) (0.244 COMP1757) (0.239 COMP2764) (0.234 COMP2775/COMP2776) (0.223 COMP2774) (0.193 COMP455) (0.157 COMP539) (0.133 COMP2772)
Acetylcholine M2 receptor agonist	0.073	COMP2774	(0.070 COMP2762) (0.057 COMP2761)
Acetylcholine M2 receptor antagonist	0.202	COMP2761	(0.127 COMP2762) (0.104 COMP1086) (0.095 COMP2764) (0.078 COMP2774) (0.069 COMP2763/COMP2769/COMP2770)
Acetylcholine M3 receptor agonist	0.174	COMP2762	(0.154 COMP2774) (0.105 COMP1757) (0.095 COMP2761/COMP2763/COMP2769/COMP2770)
Acetylcholine M3 receptor antagonist	0.118	COMP2761	(0.112 COMP1086) (0.090 COMP2764) (0.073 COMP2774) (0.059 COMP2762) (0.052 COMP2763/COMP2769/COMP2770)
Acetylcholinesterase inhibitor	0.231	COMP1757	(0.224 COMP1754) (0.222 COMP2771) (0.192 COMP1916) (0.187 COMP1775) (0.185 COMP2767) (0.172 COMP1086) (0.167 COMP1298) (0.119 COMP2766) (0.117 COMP2764)
Aconitate hydratase inhibitor	0.524	COMP542	(0.478 COMP539) (0.472 COMP2775/COMP2776) (0.215 COMP697) (0.139 COMP2764) (0.095 COMP2772) (0.084 COMP1086) (0.080 COMP2774) (0.076 COMP15) (0.053 COMP2767) (0.052 COMP1298) (0.050 COMP455) (0.046 COMP1501)
Acyl-CoA dehydrogenase inhibitor	0.258	COMP539	(0.240 COMP2764) (0.216 COMP1086) (0.200 COMP15) (0.199 COMP542) (0.149 COMP2772) (0.121 COMP2775/COMP2776) (0.115 COMP697) (0.065 COMP2774) (0.055 COMP2767)
