Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.346	COMP697	(0.252 COMP542) (0.163 COMP539) (0.151 COMP15) (0.142 COMP1775) (0.132 COMP1754) (0.125 COMP2773) (0.121 COMP2775/COMP2776) (0.117 COMP2039)
AR expression inhibitor	0.780	COMP15	(0.717 COMP1916) (0.706 COMP2772) (0.656 COMP2039) (0.652 COMP697) (0.621 COMP2771) (0.590 COMP1775) (0.587 COMP2773) (0.577 COMP1754) (0.504 COMP539) (0.484 COMP2767) (0.457 COMP2768) (0.438 COMP542) (0.430 COMP2765) (0.391 COMP1298) (0.386 COMP2766) (0.336 COMP1757) (0.334 COMP2764) (0.234 COMP2775/COMP2776)
CTGF expression inhibitor	0.899	COMP2039	(0.807 COMP697) (0.766 COMP539) (0.752 COMP15) (0.607 COMP542) (0.585 COMP2764) (0.540 COMP1916) (0.529 COMP1298) (0.510 COMP2771) (0.483 COMP2767) (0.399 COMP2766) (0.302 COMP2772) (0.272 COMP2773) (0.249 COMP1757) (0.236 COMP2762) (0.224 COMP1501) (0.220 COMP2775/COMP2776) (0.218 COMP1086) (0.210 COMP2761) (0.203 COMP2768) (0.201 COMP2774) (0.193 COMP2763/COMP2769/COMP2770)
GRP78 expression inhibitor	0.058	COMP1086/COMP455	(0.046 COMP2765) (0.038 COMP2775/COMP2776) (0.035 COMP2774) (0.034 COMP542) (0.033 COMP539) (0.021 COMP697) (0.020 COMP2764)
ICAM1 expression inhibitor	0.583	COMP1916	(0.514 COMP2771) (0.481 COMP1775) (0.476 COMP697) (0.466 COMP2765) (0.459 COMP2766) (0.436 COMP539) (0.406 COMP542) (0.388 COMP2039) (0.383 COMP1298) (0.381 COMP2767) (0.368 COMP1754) (0.340 COMP2772) (0.318 COMP2773) (0.300 COMP15) (0.272 COMP2775/COMP2776)
LDLR expression enhancer	0.495	COMP1757	(0.291 COMP1298) (0.279 COMP1754) (0.273 COMP2772) (0.267 COMP2767) (0.258 COMP1775) (0.249 COMP2761/COMP697) (0.233 COMP2039) (0.197 COMP2762) (0.196 COMP2764) (0.180 COMP2771) (0.178 COMP539) (0.175 COMP2773) (0.169 COMP15) (0.168 COMP542) (0.166 COMP1086) (0.165 COMP2763/COMP2769/COMP2770) (0.135 COMP2766)
NOS2 expression inhibitor	0.962	COMP1916	(0.929 COMP2771) (0.865 COMP2765) (0.640 COMP2772) (0.578 COMP2039) (0.560 COMP1775) (0.558 COMP697) (0.531 COMP1298) (0.509 COMP1754) (0.478 COMP2767) (0.470 COMP2768) (0.445 COMP539) (0.433 COMP542) (0.392 COMP2764) (0.360 COMP2766) (0.325 COMP15) (0.318 COMP2773) (0.243 COMP1757) (0.194 COMP1086) (0.188 COMP455) (0.173 COMP2775/COMP2776) (0.162 COMP2774)
NOS3 expression enhancer	0.672	COMP697	(0.622 COMP1916) (0.406 COMP2762) (0.386 COMP2761) (0.360 COMP2771) (0.267 COMP2763/COMP2769/COMP2770) (0.254 COMP2039) (0.164 COMP1501) (0.149 COMP2767) (0.124 COMP2766) (0.123 COMP2765) (0.119 COMP542)
NOS3 expression inhibitor	0.674	COMP1916	(0.664 COMP539) (0.649 COMP1775) (0.622 COMP1754) (0.583 COMP2765) (0.545 COMP542) (0.526 COMP697) (0.520 COMP15) (0.508 COMP2773) (0.466 COMP1298) (0.420 COMP2766) (0.405 COMP2764) (0.384 COMP2772) (0.380 COMP2767) (0.369 COMP2771) (0.368 COMP2039) (0.361 COMP2775/COMP2776) (0.356 COMP2768) (0.246 COMP1757) (0.183 COMP2774)
TNF expression inhibitor	0.893	COMP2773	(0.887 COMP2772) (0.880 COMP1916) (0.876 COMP1775) (0.772 COMP697) (0.763 COMP539) (0.737 COMP542) (0.733 COMP2764) (0.705 COMP2771) (0.682 COMP1754) (0.651 COMP1298) (0.647 COMP2765) (0.604 COMP2039) (0.586 COMP2767) (0.572 COMP15) (0.565 COMP2766) (0.431 COMP1086) (0.341 COMP2768) (0.334 COMP1757) (0.307 COMP2775/COMP2776) (0.297 COMP2774) (0.231 COMP455) (0.207 COMP1501)
VCAM1 expression inhibitor	0.669	COMP2771	(0.668 COMP1916) (0.558 COMP1298) (0.511 COMP697) (0.499 COMP2766) (0.423 COMP539) (0.409 COMP2767) (0.401 COMP2772) (0.393 COMP2039) (0.358 COMP542) (0.291 COMP15) (0.264 COMP2764) (0.210 COMP1501) (0.203 COMP2768/COMP2774) (0.202 COMP2775/COMP2776) (0.190 COMP2765) (0.179 COMP1086) (0.173 COMP1757) (0.158 COMP2773)
VEGF expression inhibitor	0.271	COMP2767	(0.260 COMP1757) (0.244 COMP1086) (0.243 COMP2764) (0.230 COMP1298) (0.228 COMP697) (0.226 COMP2039) (0.225 COMP539) (0.218 COMP455) (0.214 COMP542) (0.183 COMP2763/COMP2769/COMP2770) (0.181 COMP1501) (0.179 COMP2761) (0.177 COMP1916) (0.165 COMP2762) (0.159 COMP2775/COMP2776) (0.158 COMP15/COMP2771) (0.157 COMP2774)
