Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.934	COMP15	(0.833 COMP2039) (0.792 COMP2772) (0.654 COMP2764) (0.352 COMP539) (0.351 COMP2768) (0.307 COMP697) (0.290 COMP1298) (0.263 COMP542) (0.237 COMP1775) (0.234 COMP1754) (0.173 COMP2773) (0.142 COMP2771) (0.139 COMP2766) (0.115 COMP2767)
Aldehyde dehydrogenase substrate	0.804	COMP15	(0.598 COMP2039) (0.294 COMP539) (0.237 COMP2768) (0.218 COMP1298) (0.214 COMP542) (0.211 COMP697) (0.203 COMP2772) (0.198 COMP2764) (0.140 COMP455) (0.134 COMP1086) (0.119 COMP2767) (0.110 COMP2771)
Aldehyde oxidase substrate	0.722	COMP2761	(0.490 COMP2762) (0.342 COMP2763/COMP2769/COMP2770) (0.275 COMP2039) (0.255 COMP539) (0.234 COMP455) (0.229 COMP542) (0.210 COMP1298) (0.193 COMP2767) (0.189 COMP1086) (0.180 COMP697) (0.178 COMP15) (0.174 COMP1501) (0.158 COMP2764) (0.143 COMP1757)
Aldose reductase substrate	0.760	COMP15	(0.528 COMP2039) (0.429 COMP542) (0.373 COMP1916) (0.271 COMP2765) (0.248 COMP539) (0.204 COMP697) (0.192 COMP1298) (0.190 COMP2767) (0.188 COMP2766) (0.152 COMP2772) (0.131 COMP2775/COMP2776)
Arylamine N-Acetyltransferase substrate	0.372	COMP1086	(0.357 COMP455) (0.318 COMP539) (0.219 COMP697) (0.179 COMP542) (0.146 COMP2775/COMP2776) (0.086 COMP1501) (0.077 COMP2764) (0.067 COMP15)
CYP1A2 inhibitor	0.803	COMP2771	(0.395 COMP2039) (0.352 COMP697) (0.339 COMP455) (0.337 COMP2767) (0.320 COMP1916) (0.270 COMP1298/COMP1501) (0.247 COMP2764) (0.196 COMP2772) (0.169 COMP2763/COMP2769/COMP2770)
CYP1A2 substrate	0.962	COMP2765	(0.713 COMP2039) (0.654 COMP15) (0.574 COMP697) (0.537 COMP1298) (0.470 COMP2767) (0.430 COMP2764) (0.428 COMP539) (0.414 COMP1916) (0.399 COMP1757) (0.357 COMP2761) (0.342 COMP455) (0.340 COMP2772) (0.297 COMP2762/COMP542) (0.294 COMP2766) (0.262 COMP1086) (0.228 COMP2771) (0.219 COMP2763/COMP2769/COMP2770) (0.187 COMP2768)
CYP24 inhibitor	0.038	COMP1775	(0.034 COMP1754) (0.020 COMP2039)
CYP2A6 inhibitor	0.356	COMP455	(0.303 COMP2761) (0.289 COMP2763/COMP2769/COMP2770) (0.194 COMP2762) (0.174 COMP2768) (0.167 COMP2772) (0.150 COMP1086) (0.140 COMP2764) (0.093 COMP2767) (0.073 COMP539) (0.067 COMP15)
CYP2B6 inhibitor	0.556	COMP2772	(0.346 COMP1086) (0.330 COMP539) (0.321 COMP2764) (0.317 COMP697) (0.315 COMP15) (0.308 COMP2763/COMP2769/COMP2770) (0.293 COMP2761) (0.269 COMP1298) (0.260 COMP2039) (0.249 COMP542) (0.237 COMP455) (0.223 COMP2762) (0.221 COMP2767) (0.193 COMP1757) (0.173 COMP2768) (0.164 COMP1754) (0.159 COMP1775) (0.151 COMP2771)
