Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.488	COMP2764	(0.462 COMP539) (0.322 COMP15) (0.320 COMP2765) (0.318 COMP542) (0.296 COMP697) (0.292 COMP2766) (0.248 COMP2767) (0.200 COMP2772) (0.181 COMP1298) (0.165 COMP2768) (0.144 COMP2039) (0.136 COMP1086) (0.112 COMP2775/COMP2776) (0.111 COMP2774)
Acetylcholine release stimulant	0.306	COMP2762	(0.226 COMP2761) (0.184 COMP2764) (0.178 COMP2763/COMP2769/COMP2770) (0.149 COMP539) (0.145 COMP2767) (0.144 COMP455) (0.137 COMP1298) (0.136 COMP1501) (0.105 COMP697) (0.104 COMP1086) (0.099 COMP542) (0.097 COMP2039)
Actinic keratosis treatment	0.249	COMP539	(0.224 COMP697) (0.199 COMP542) (0.198 COMP2768) (0.177 COMP2764) (0.140 COMP1775) (0.106 COMP2773) (0.104 COMP15) (0.100 COMP1754) (0.099 COMP2766) (0.096 COMP2775/COMP2776) (0.095 COMP1086) (0.090 COMP2774) (0.089 COMP2767) (0.087 COMP2772) (0.084 COMP2765)
Acute neurologic disorders treatment	0.769	COMP2775/COMP2776	(0.639 COMP2774) (0.396 COMP539) (0.372 COMP2772) (0.370 COMP15) (0.346 COMP542) (0.309 COMP1086) (0.298 COMP2763/COMP2769/COMP2770) (0.297 COMP1757) (0.279 COMP2039) (0.247 COMP455) (0.178 COMP1298)
Acute respiratory distress syndrome (ARDS) treatment	0.364	COMP2773	(0.331 COMP1916) (0.274 COMP2765) (0.234 COMP2764) (0.211 COMP1086) (0.209 COMP539) (0.188 COMP542) (0.172 COMP697) (0.151 COMP2775/COMP2776) (0.150 COMP1775) (0.136 COMP2761)
Age-related macular degeneration treatment	0.249	COMP1086	(0.239 COMP539) (0.219 COMP455) (0.214 COMP542) (0.176 COMP2763/COMP2769/COMP2770) (0.169 COMP1757) (0.165 COMP697)
Allergic rhinitis treatment	0.330	COMP539	(0.281 COMP542)
Alzheimer's disease treatment	0.747	COMP1775	(0.740 COMP1754) (0.635 COMP2766) (0.604 COMP2761) (0.582 COMP1501) (0.559 COMP2763/COMP2769/COMP2770) (0.536 COMP2762) (0.535 COMP2771) (0.493 COMP1916) (0.442 COMP1757) (0.420 COMP2772) (0.339 COMP2775/COMP2776) (0.236 COMP2764)
Amyotrophic lateral sclerosis treatment	0.523	COMP2761	(0.397 COMP2763/COMP2769/COMP2770) (0.345 COMP2762) (0.307 COMP2764) (0.189 COMP539) (0.180 COMP455) (0.169 COMP2774)
Anabolic	0.203	COMP2773	(0.189 COMP2764) (0.182 COMP539) (0.173 COMP2766) (0.165 COMP2768) (0.156 COMP1775) (0.155 COMP542) (0.154 COMP697) (0.153 COMP15/COMP1754) (0.152 COMP2772) (0.149 COMP2765) (0.128 COMP1086) (0.122 COMP2767) (0.117 COMP2771) (0.112 COMP2775/COMP2776) (0.109 COMP2774) (0.097 COMP1298) (0.095 COMP2039)
Analeptic	0.789	COMP2765	(0.647 COMP2761) (0.622 COMP539) (0.601 COMP542) (0.550 COMP1298) (0.519 COMP2762) (0.508 COMP2763/COMP2769/COMP2770) (0.471 COMP2773) (0.463 COMP1086) (0.461 COMP15) (0.423 COMP2767) (0.398 COMP2774) (0.384 COMP2766) (0.366 COMP1757) (0.357 COMP697) (0.355 COMP2771) (0.345 COMP2039) (0.327 COMP1916) (0.320 COMP2768) (0.312 COMP2772) (0.294 COMP2764) (0.286 COMP2775/COMP2776) (0.281 COMP1775) (0.271 COMP455) (0.245 COMP1754)
Analgesic	0.659	COMP2761	(0.652 COMP2774) (0.600 COMP2763/COMP2769/COMP2770) (0.542 COMP1757) (0.377 COMP2762)
Analgesic. non-opioid	0.641	COMP2763/COMP2769/COMP2770	(0.512 COMP2761) (0.388 COMP2774) (0.243 COMP2762)
Analgesic. opioid	0.170	COMP1757	(0.142 COMP2761) (0.087 COMP542) (0.086 COMP2774) (0.068 COMP2768)
Andropause treatment	0.075	COMP2773	
Anesthetic	0.482	COMP2765	(0.355 COMP2766) (0.309 COMP2773) (0.301 COMP539) (0.300 COMP2764) (0.242 COMP1298) (0.204 COMP542) (0.203 COMP2767) (0.202 COMP697) (0.166 COMP1086) (0.164 COMP1775) (0.133 COMP1757) (0.132 COMP15) (0.123 COMP1754) (0.119 COMP2761) (0.109 COMP2772)
Anesthetic general	0.939	COMP2765	(0.590 COMP539) (0.547 COMP2764) (0.526 COMP542) (0.492 COMP697) (0.426 COMP2767) (0.367 COMP1298) (0.314 COMP2773) (0.303 COMP1757) (0.287 COMP2761) (0.251 COMP1086) (0.216 COMP2766) (0.198 COMP2762) (0.189 COMP15) (0.186 COMP2039) (0.182 COMP2772) (0.165 COMP2768) (0.162 COMP2763/COMP2769/COMP2770) (0.157 COMP2774/COMP2775/COMP2776) (0.145 COMP1775) (0.143 COMP2771) (0.141 COMP1916) (0.139 COMP1501)
Anesthetic inhalation	0.155	COMP2764	(0.144 COMP1086) (0.142 COMP539) (0.133 COMP15) (0.116 COMP2772) (0.114 COMP542) (0.111 COMP2767) (0.077 COMP1298) (0.061 COMP2039/COMP2775/COMP2776) (0.054 COMP2773) (0.053 COMP2774) (0.051 COMP2768) (0.050 COMP455/COMP697)
Anesthetic local	0.286	COMP2764	(0.242 COMP1086) (0.189 COMP1298) (0.181 COMP539) (0.145 COMP15/COMP542) (0.141 COMP2767) (0.122 COMP2761) (0.104 COMP1757) (0.101 COMP697)
Angiogenesis inhibitor	0.463	COMP2039	(0.425 COMP1916) (0.409 COMP2771) (0.191 COMP2765)
