Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.133	COMP16/COMP54	(0.098 COMP321) (0.041 COMP322) (0.037 COMP271)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.020	COMP16/COMP321/COMP54	(0.019 COMP322) (0.016 COMP317) (0.013 COMP271)
1.3-Beta-glucan synthase inhibitor	0.037	COMP62	(0.035 COMP77) (0.034 COMP324) (0.031 COMP290) (0.030 COMP238) (0.028 COMP16/COMP327/COMP46/COMP54) (0.026 COMP326)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.300	COMP290	(0.246 COMP238) (0.169 COMP282) (0.123 COMP326) (0.109 COMP320) (0.042 COMP77)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.827	COMP290	(0.812 COMP238) (0.513 COMP326) (0.205 COMP282) (0.186 COMP320) (0.102 COMP77) (0.033 COMP62) (0.028 COMP322) (0.026 COMP321)
12-Lipoxygenase inhibitor	0.740	COMP198	(0.710 COMP101) (0.586 COMP328) (0.500 COMP116) (0.482 COMP271) (0.450 COMP317) (0.416 COMP325) (0.296 COMP327) (0.289 COMP322) (0.260 COMP16/COMP54) (0.250 COMP321) (0.182 COMP1) (0.177 COMP319)
15-Lipoxygenase inhibitor	0.738	COMP198	(0.639 COMP101) (0.561 COMP325) (0.541 COMP317) (0.491 COMP271) (0.474 COMP116) (0.440 COMP328) (0.431 COMP319) (0.401 COMP324) (0.383 COMP322) (0.335 COMP323) (0.322 COMP1) (0.317 COMP16/COMP54) (0.294 COMP321)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.236	COMP282	(0.203 COMP77) (0.094 COMP290) (0.069 COMP1) (0.053 COMP326) (0.049 COMP62) (0.042 COMP116) (0.041 COMP317) (0.039 COMP238) (0.037 COMP16/COMP54) (0.034 COMP324) (0.033 COMP321)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.021	COMP77	(0.016 COMP320) (0.015 COMP62) (0.013 COMP282) (0.012 COMP326)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.207	COMP317	(0.110 COMP322/COMP325) (0.105 COMP271) (0.101 COMP101) (0.092 COMP198) (0.081 COMP116) (0.070 COMP321) (0.069 COMP77) (0.063 COMP323) (0.058 COMP16/COMP324/COMP54) (0.053 COMP282) (0.052 COMP320) (0.049 COMP290)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.148	COMP271	(0.119 COMP322) (0.096 COMP325) (0.080 COMP321) (0.074 COMP317) (0.069 COMP16/COMP54) (0.067 COMP323) (0.051 COMP198) (0.045 COMP101) (0.039 COMP116)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.343	COMP198	(0.207 COMP271) (0.195 COMP46) (0.141 COMP325) (0.137 COMP16/COMP54) (0.130 COMP321) (0.124 COMP322) (0.093 COMP101) (0.082 COMP317) (0.066 COMP1) (0.059 COMP116) (0.057 COMP323)
3C-Like protease (MERS coronavirus) inhibitor	0.017	COMP1	
3C-Like protease (SARS coronavirus) inhibitor	0.201	COMP1	(0.163 COMP282) (0.142 COMP326) (0.141 COMP290) (0.112 COMP320) (0.108 COMP238) (0.086 COMP198) (0.085 COMP322) (0.078 COMP271/COMP325)
