Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.037	COMP1954	(0.035 COMP1093/COMP1956)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.023	COMP1956	(0.019 COMP1093) (0.016 COMP1955) (0.012 COMP1957)
1.3-Beta-glucan synthase inhibitor	0.034	COMP1093	(0.033 COMP1955) (0.030 COMP816) (0.027 COMP1949)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.028	COMP1956	
12-Lipoxygenase inhibitor	0.188	COMP1956	
15-Lipoxygenase inhibitor	0.219	COMP1956	
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.057	COMP1956	(0.054 COMP1955) (0.043 COMP1093)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.067	COMP1956	(0.051 COMP1093)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.074	COMP1093	(0.068 COMP1956/COMP816) (0.058 COMP1957) (0.052 COMP825) (0.047 COMP1949) (0.046 COMP1955)
3C-like protease (Human coronavirus) inhibitor	0.196	COMP1956	(0.185 COMP1955) (0.162 COMP1093)
5 Hydroxytryptamine 1 agonist	0.158	COMP1459	(0.064 COMP1093)
5 Hydroxytryptamine 1B agonist	0.274	COMP1459	(0.143 COMP1093) (0.088 COMP1956)
5 Hydroxytryptamine 1B antagonist	0.068	COMP1956	(0.062 COMP1093)
5 Hydroxytryptamine 1D agonist	0.121	COMP1459	(0.059 COMP1093) (0.051 COMP1956) (0.046 COMP1949)
5 Hydroxytryptamine 1D antagonist	0.073	COMP1956	(0.071 COMP1093)
5 Hydroxytryptamine 1E antagonist	0.319	COMP1956	(0.314 COMP1093) (0.239 COMP1955) (0.213 COMP1459) (0.208 COMP1949)
5 Hydroxytryptamine 1F agonist	0.051	COMP1956	
5 Hydroxytryptamine 1F antagonist	0.380	COMP1956	(0.060 COMP1093)
5 Hydroxytryptamine 2 agonist	0.074	COMP1093	(0.064 COMP1956) (0.045 COMP1955)
5 Hydroxytryptamine 2 antagonist	0.087	COMP1956	
5 Hydroxytryptamine 2A agonist	0.123	COMP1093	(0.114 COMP1949) (0.086 COMP1955) (0.079 COMP1956) (0.055 COMP825)
5 Hydroxytryptamine 2B agonist	0.061	COMP1093	(0.047 COMP1956) (0.043 COMP1955)
5 Hydroxytryptamine 2B antagonist	0.117	COMP1093	(0.114 COMP1956)
5 Hydroxytryptamine 2C antagonist	0.084	COMP1093	(0.078 COMP1956)
5 Hydroxytryptamine 3 agonist	0.127	COMP1459	(0.122 COMP1093) (0.119 COMP1949) (0.116 COMP1956) (0.067 COMP1957) (0.064 COMP1955)
5 Hydroxytryptamine 3 antagonist	0.167	COMP1459	(0.053 COMP1956) (0.049 COMP1949)
5 Hydroxytryptamine 3A agonist	0.296	COMP1093	(0.293 COMP1949) (0.213 COMP1956) (0.194 COMP1955) (0.186 COMP1459) (0.168 COMP1957) (0.112 COMP825) (0.093 COMP816)
5 Hydroxytryptamine 3A antagonist	0.089	COMP1459	(0.075 COMP1956) (0.061 COMP1093)
5 Hydroxytryptamine 3B antagonist	0.043	COMP1956	
5 Hydroxytryptamine 3E antagonist	0.337	COMP1956	(0.335 COMP1459) (0.315 COMP1093) (0.261 COMP1955) (0.239 COMP1949) (0.199 COMP1954) (0.192 COMP1951) (0.184 COMP820) (0.183 COMP1957) (0.179 COMP816)
5 Hydroxytryptamine 4 agonist	0.026	COMP1093	(0.024 COMP1956)
5 Hydroxytryptamine 4 antagonist	0.073	COMP1093	(0.056 COMP1956) (0.048 COMP1459)
5 Hydroxytryptamine 5 antagonist	0.078	COMP1949	(0.072 COMP1956) (0.071 COMP1093) (0.066 COMP1459)
5 Hydroxytryptamine 5A antagonist	0.087	COMP1949	(0.081 COMP1093/COMP1956) (0.075 COMP1459)
5 Hydroxytryptamine 6 agonist	0.043	COMP1956	(0.038 COMP1093) (0.036 COMP1459)
5 Hydroxytryptamine 6 antagonist	0.076	COMP1956	(0.055 COMP1093)
5 Hydroxytryptamine 7 agonist	0.076	COMP1956	(0.071 COMP1093) (0.068 COMP1459)
5 Hydroxytryptamine agonist	0.174	COMP1459	(0.139 COMP1093)
5 Hydroxytryptamine release inhibitor	0.534	COMP1955	(0.502 COMP1093) (0.488 COMP820) (0.477 COMP1956) (0.460 COMP816) (0.457 COMP1954) (0.446 COMP1950) (0.436 COMP1957) (0.368 COMP1459) (0.367 COMP1949) (0.351 COMP1951) (0.346 COMP825)
5 Hydroxytryptamine release stimulant	0.758	COMP1955	(0.742 COMP1093) (0.694 COMP816) (0.617 COMP1956) (0.525 COMP1459) (0.474 COMP1949) (0.397 COMP825) (0.310 COMP1957) (0.264 COMP820) (0.215 COMP1950) (0.191 COMP1954)
5 Hydroxytryptamine uptake inhibitor	0.197	COMP1956	
5 Hydroxytryptamine uptake stimulant	0.539	COMP1093	(0.530 COMP816) (0.474 COMP825) (0.442 COMP1949) (0.435 COMP1956) (0.428 COMP1955) (0.376 COMP1957) (0.281 COMP820) (0.238 COMP1459) (0.228 COMP1954)
5-Alpha-reductase inhibitor	0.032	COMP1956	
ABCA1 expression enhancer	0.114	COMP1951	
AICAR transformylase inhibitor	0.083	COMP820	(0.082 COMP816) (0.076 COMP1954) (0.073 COMP825) (0.068 COMP1951) (0.065 COMP1957) (0.060 COMP1950) (0.055 COMP1093) (0.054 COMP1956) (0.048 COMP1459) (0.045 COMP1955)
AMP-activated protein kinase stimulant	0.111	COMP1957	(0.103 COMP1956) (0.100 COMP1093/COMP825) (0.099 COMP1949)
AMPA 1 receptor antagonist	0.329	COMP816	(0.239 COMP820) (0.118 COMP1954) (0.103 COMP825) (0.093 COMP1093) (0.053 COMP1951) (0.041 COMP1957) (0.031 COMP1955) (0.030 COMP1949) (0.028 COMP1459)
