Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.440	COMP2731	(0.429 COMP2711) (0.415 COMP2725) (0.392 COMP1966) (0.368 COMP2712) (0.346 COMP2726/COMP697) (0.345 COMP2718) (0.339 COMP1902) (0.338 COMP1692) (0.337 COMP2736) (0.289 COMP2735) (0.287 COMP1961) (0.279 COMP2733) (0.269 COMP2732) (0.265 COMP1960) (0.264 COMP2714) (0.256 COMP1706) (0.248 COMP2730) (0.245 COMP2716) (0.240 COMP2717) (0.232 COMP1696/COMP950) (0.231 COMP2737) (0.230 COMP2728) (0.225 COMP887) (0.215 COMP2278/COMP2348) (0.212 COMP2722) (0.211 COMP2720/COMP2741) (0.200 COMP2724) (0.194 COMP2729) (0.175 COMP1962) (0.170 COMP2739) (0.166 COMP2719) (0.146 COMP131) (0.141 COMP48) (0.140 COMP1187) (0.135 COMP1116) (0.130 COMP1231) (0.126 COMP2721) (0.119 COMP2177) (0.111 COMP1352) (0.104 COMP1953) (0.102 COMP1255/COMP198) (0.101 COMP777) (0.100 COMP175) (0.099 COMP1225) (0.097 COMP2742) (0.095 COMP2727) (0.094 COMP1478) (0.093 COMP1482/COMP2713/COMP2723/COMP2738) (0.092 COMP2743) (0.087 COMP2708)
AR expression inhibitor	0.937	COMP48	(0.879 COMP1352) (0.862 COMP198) (0.857 COMP1225) (0.851 COMP1953) (0.842 COMP1478) (0.833 COMP1255) (0.821 COMP563) (0.812 COMP2177) (0.810 COMP777) (0.793 COMP46) (0.774 COMP1482/COMP2278/COMP2348) (0.769 COMP2743) (0.753 COMP2713) (0.744 COMP2742) (0.738 COMP2723/COMP2738) (0.685 COMP2569) (0.657 COMP2731) (0.656 COMP1692/COMP2725) (0.652 COMP697) (0.651 COMP1116) (0.622 COMP2740) (0.618 COMP2712) (0.613 COMP1696) (0.591 COMP1231) (0.587 COMP887) (0.570 COMP2727) (0.546 COMP2736) (0.544 COMP2724) (0.541 COMP2734) (0.537 COMP2717) (0.532 COMP1706) (0.526 COMP2726) (0.518 COMP2711/COMP2728) (0.515 COMP2745) (0.511 COMP2730) (0.510 COMP2722) (0.509 COMP2692) (0.507 COMP2737) (0.505 COMP2714) (0.503 COMP2718) (0.491 COMP1966) (0.486 COMP2716) (0.482 COMP2739) (0.481 COMP1902) (0.480 COMP1962) (0.478 COMP1961) (0.476 COMP2719) (0.465 COMP2741) (0.463 COMP1960) (0.462 COMP2721) (0.457 COMP950) (0.456 COMP175) (0.455 COMP2729) (0.450 COMP2732) (0.449 COMP212) (0.431 COMP2720) (0.429 COMP2715/COMP303) (0.427 COMP2746) (0.392 COMP2708) (0.384 COMP1187) (0.380 COMP2735) (0.378 COMP2733) (0.337 COMP1605) (0.300 COMP949) (0.255 COMP131) (0.227 COMP300)
CTGF expression inhibitor	0.928	COMP48	(0.910 COMP1953) (0.902 COMP198) (0.898 COMP1255) (0.881 COMP1352) (0.878 COMP1478) (0.873 COMP1482) (0.872 COMP2743) (0.871 COMP1225) (0.865 COMP212/COMP2713) (0.864 COMP2177) (0.852 COMP2723/COMP2738) (0.824 COMP2742) (0.819 COMP777) (0.807 COMP697) (0.802 COMP887) (0.713 COMP563) (0.608 COMP46) (0.565 COMP1231) (0.562 COMP2708) (0.550 COMP2734) (0.539 COMP1696) (0.508 COMP2740) (0.478 COMP1605) (0.450 COMP2735) (0.444 COMP2718) (0.432 COMP2736) (0.407 COMP2715/COMP303) (0.400 COMP2569) (0.396 COMP2717) (0.389 COMP2730) (0.387 COMP1116) (0.386 COMP1960/COMP949) (0.381 COMP1187) (0.371 COMP2278/COMP2348) (0.353 COMP131) (0.347 COMP2741) (0.332 COMP2725) (0.324 COMP175) (0.321 COMP1706) (0.320 COMP2714) (0.303 COMP1966) (0.276 COMP950) (0.269 COMP2692) (0.262 COMP2719) (0.259 COMP2727) (0.258 COMP2720/COMP300) (0.244 COMP2724) (0.241 COMP2745) (0.240 COMP1961) (0.236 COMP2733) (0.226 COMP2711) (0.222 COMP1962/COMP2729) (0.212 COMP1902) (0.199 COMP2732)
GRP78 expression inhibitor	0.039	COMP175	(0.034 COMP949) (0.032 COMP1187) (0.028 COMP1231/COMP2692) (0.025 COMP131) (0.023 COMP950) (0.021 COMP2746/COMP697) (0.020 COMP212/COMP2569/COMP2745/COMP563)
ICAM1 expression inhibitor	0.617	COMP563	(0.611 COMP46) (0.560 COMP48) (0.544 COMP2692) (0.543 COMP2746) (0.527 COMP2745) (0.523 COMP2569) (0.507 COMP1225) (0.501 COMP2278/COMP2348) (0.500 COMP1953) (0.499 COMP1478) (0.496 COMP1696) (0.487 COMP2727) (0.481 COMP2708) (0.479 COMP2712) (0.476 COMP697) (0.470 COMP2740) (0.458 COMP2714) (0.457 COMP777) (0.452 COMP198/COMP887) (0.446 COMP2720) (0.445 COMP1692) (0.434 COMP2731) (0.429 COMP950) (0.422 COMP2726) (0.420 COMP1231) (0.414 COMP1482) (0.413 COMP2717) (0.409 COMP2737) (0.404 COMP175) (0.399 COMP2716) (0.398 COMP2736) (0.396 COMP1352) (0.392 COMP1116/COMP1255) (0.391 COMP1960) (0.388 COMP2728) (0.387 COMP2742) (0.386 COMP131) (0.383 COMP1966/COMP949) (0.370 COMP2734) (0.365 COMP2715/COMP303) (0.361 COMP1706/COMP2743) (0.358 COMP2713) (0.355 COMP1605/COMP2741) (0.353 COMP2177) (0.350 COMP2733) (0.348 COMP2718) (0.344 COMP2723/COMP2730/COMP2738) (0.342 COMP1961) (0.337 COMP2725) (0.336 COMP2722/COMP2739) (0.331 COMP212) (0.325 COMP2724) (0.321 COMP2719) (0.319 COMP2721) (0.318 COMP1187/COMP300) (0.317 COMP2732) (0.315 COMP1962/COMP2729) (0.278 COMP2735) (0.261 COMP2711) (0.225 COMP1902)
LDLR expression enhancer	0.424	COMP2278/COMP2348	(0.353 COMP2736) (0.349 COMP2718/COMP48) (0.329 COMP2711) (0.327 COMP1478) (0.324 COMP1696) (0.317 COMP1482) (0.315 COMP777) (0.312 COMP887) (0.304 COMP2714) (0.302 COMP2733) (0.299 COMP1225) (0.298 COMP1966) (0.294 COMP2729) (0.289 COMP2732) (0.286 COMP198) (0.285 COMP1953) (0.283 COMP2725) (0.282 COMP2713) (0.281 COMP1960) (0.280 COMP2730) (0.277 COMP2743) (0.275 COMP2731) (0.274 COMP2723/COMP2738) (0.270 COMP1706) (0.266 COMP2717) (0.259 COMP2727) (0.255 COMP2741) (0.249 COMP697) (0.241 COMP1255) (0.238 COMP950) (0.236 COMP1961) (0.230 COMP1962/COMP2728) (0.229 COMP2724) (0.222 COMP2742) (0.216 COMP2720) (0.214 COMP2719) (0.213 COMP1352) (0.205 COMP2734) (0.203 COMP1116) (0.199 COMP2737) (0.197 COMP2716) (0.195 COMP2722) (0.192 COMP1231) (0.191 COMP2177) (0.190 COMP1692) (0.189 COMP2739/COMP2740) (0.184 COMP1605) (0.177 COMP2744) (0.173 COMP2726) (0.171 COMP2708) (0.164 COMP2712) (0.153 COMP212) (0.143 COMP175) (0.138 COMP2715/COMP303) (0.137 COMP563) (0.136 COMP300/COMP949)
NOS2 expression inhibitor	0.967	COMP46	(0.955 COMP563) (0.951 COMP2742) (0.929 COMP2569) (0.907 COMP1953) (0.903 COMP48) (0.892 COMP1478) (0.890 COMP1255) (0.884 COMP2713/COMP2743) (0.881 COMP2746) (0.866 COMP1225) (0.861 COMP2723/COMP2738) (0.857 COMP777) (0.856 COMP1352) (0.834 COMP2177) (0.818 COMP2692) (0.807 COMP198) (0.803 COMP1482) (0.736 COMP2745) (0.649 COMP2278/COMP2348/COMP887) (0.612 COMP1696) (0.576 COMP2717) (0.569 COMP2727) (0.568 COMP1116) (0.561 COMP2720) (0.558 COMP697) (0.545 COMP2734) (0.539 COMP2731) (0.533 COMP1706) (0.527 COMP2729) (0.525 COMP2737) (0.524 COMP2736) (0.508 COMP2714) (0.490 COMP2728) (0.481 COMP2718/COMP2730) (0.480 COMP2732) (0.465 COMP1962) (0.459 COMP2741) (0.452 COMP950) (0.448 COMP1605) (0.432 COMP2724) (0.419 COMP1961) (0.418 COMP2725) (0.417 COMP2739) (0.415 COMP1960) (0.414 COMP2740) (0.412 COMP1692) (0.405 COMP212) (0.400 COMP1966/COMP2711) (0.381 COMP1187/COMP2708) (0.373 COMP2722) (0.369 COMP2733) (0.368 COMP2726) (0.367 COMP2719) (0.347 COMP2712) (0.345 COMP1902) (0.344 COMP2716) (0.333 COMP1231) (0.323 COMP2715/COMP303) (0.301 COMP949) (0.298 COMP175) (0.296 COMP300) (0.271 COMP131) (0.250 COMP2735) (0.217 COMP2721)
NOS3 expression enhancer	0.722	COMP46	(0.705 COMP563) (0.703 COMP48) (0.672 COMP697) (0.664 COMP2569) (0.648 COMP1953) (0.643 COMP1352) (0.641 COMP777) (0.631 COMP2692) (0.623 COMP2177) (0.562 COMP198) (0.559 COMP2278/COMP2348) (0.557 COMP2746) (0.550 COMP887) (0.494 COMP1255) (0.483 COMP2745) (0.482 COMP1225) (0.457 COMP1478) (0.418 COMP2742) (0.394 COMP1482) (0.386 COMP2734) (0.373 COMP2743) (0.359 COMP2713) (0.334 COMP2723/COMP2738) (0.323 COMP175) (0.260 COMP2727) (0.229 COMP2740) (0.211 COMP1696) (0.181 COMP2718/COMP2736) (0.178 COMP1966) (0.165 COMP2714) (0.162 COMP212) (0.157 COMP2731) (0.148 COMP2730) (0.143 COMP2717) (0.134 COMP1116) (0.130 COMP1960) (0.128 COMP949) (0.124 COMP2741)
NOS3 expression inhibitor	0.859	COMP563	(0.827 COMP48) (0.786 COMP2569) (0.757 COMP46) (0.706 COMP2745) (0.702 COMP198/COMP2746) (0.695 COMP1352) (0.682 COMP2692) (0.676 COMP2177) (0.671 COMP777) (0.648 COMP2718) (0.647 COMP1225/COMP1953) (0.639 COMP1255) (0.636 COMP1478) (0.602 COMP1696) (0.590 COMP1482) (0.572 COMP2742) (0.566 COMP2743) (0.547 COMP2713) (0.546 COMP2736) (0.540 COMP2730) (0.539 COMP2714) (0.534 COMP949) (0.529 COMP2717) (0.526 COMP2723/COMP2738/COMP2741/COMP697) (0.524 COMP2727) (0.523 COMP2740) (0.519 COMP2278/COMP2348) (0.505 COMP2712) (0.504 COMP1960) (0.495 COMP1706) (0.492 COMP1966) (0.489 COMP2720) (0.487 COMP1231) (0.482 COMP175) (0.480 COMP2719) (0.456 COMP2725) (0.454 COMP887) (0.450 COMP2708) (0.444 COMP2724) (0.437 COMP2739) (0.436 COMP2721/COMP2734) (0.432 COMP1692/COMP1961) (0.429 COMP2726) (0.419 COMP1962/COMP2715/COMP2729/COMP303) (0.412 COMP2722/COMP2733) (0.407 COMP2732) (0.395 COMP1116) (0.393 COMP1902) (0.389 COMP212/COMP950) (0.387 COMP2716) (0.380 COMP2728) (0.373 COMP2735) (0.365 COMP2731) (0.356 COMP2737) (0.354 COMP1187) (0.315 COMP2711) (0.314 COMP131) (0.300 COMP300) (0.297 COMP1605)
TNF expression inhibitor	0.962	COMP563	(0.916 COMP2692) (0.890 COMP1116) (0.885 COMP2742) (0.877 COMP48) (0.869 COMP46) (0.849 COMP1696) (0.833 COMP887) (0.826 COMP2739) (0.803 COMP1953) (0.797 COMP777) (0.793 COMP2728) (0.792 COMP198) (0.791 COMP1706) (0.784 COMP2743) (0.783 COMP1478) (0.776 COMP2737) (0.772 COMP697) (0.769 COMP1482/COMP2736) (0.768 COMP2713) (0.757 COMP2729) (0.753 COMP1225/COMP2717) (0.750 COMP2731) (0.749 COMP1255) (0.748 COMP2726) (0.738 COMP2723/COMP2738) (0.733 COMP2278/COMP2348) (0.722 COMP2718) (0.714 COMP2720) (0.708 COMP2722) (0.707 COMP2732) (0.692 COMP1962/COMP2569) (0.688 COMP2745) (0.679 COMP2727) (0.672 COMP2714) (0.669 COMP2724) (0.664 COMP2740) (0.663 COMP1960/COMP2730) (0.662 COMP2746) (0.659 COMP2741) (0.655 COMP1961) (0.629 COMP1966) (0.626 COMP2708) (0.613 COMP950) (0.601 COMP2734) (0.593 COMP2733) (0.591 COMP2716) (0.576 COMP1352) (0.562 COMP1692) (0.559 COMP1231/COMP2719) (0.534 COMP1605/COMP2725) (0.514 COMP2177) (0.513 COMP2715/COMP303) (0.509 COMP175) (0.507 COMP949) (0.506 COMP2721) (0.501 COMP2711) (0.478 COMP2712) (0.469 COMP212) (0.384 COMP300) (0.375 COMP1187) (0.361 COMP2735) (0.342 COMP131) (0.295 COMP1902)
