Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.727	COMP212	(0.695 COMP1116) (0.393 COMP2735) (0.391 COMP2728) (0.307 COMP697) (0.291 COMP2716) (0.254 COMP887) (0.252 COMP1902) (0.224 COMP2731) (0.213 COMP2737) (0.209 COMP2714) (0.205 COMP2727) (0.196 COMP2740) (0.192 COMP2718) (0.188 COMP2734) (0.175 COMP2739) (0.173 COMP2692) (0.172 COMP2736) (0.165 COMP2708) (0.164 COMP1696) (0.158 COMP2717) (0.156 COMP2726) (0.155 COMP2722) (0.150 COMP1960) (0.149 COMP1187) (0.148 COMP1966) (0.145 COMP2741) (0.144 COMP950) (0.143 COMP1706/COMP2730) (0.142 COMP2712) (0.141 COMP2720) (0.136 COMP1231/COMP1692) (0.131 COMP2715/COMP2719/COMP303) (0.130 COMP131) (0.128 COMP2724) (0.125 COMP2725) (0.123 COMP1962/COMP2729) (0.121 COMP1961/COMP2733) (0.119 COMP2721) (0.116 COMP2177/COMP2732) (0.115 COMP2569) (0.111 COMP1352) (0.106 COMP300) (0.105 COMP175) (0.104 COMP2711)
Aldehyde dehydrogenase substrate	0.576	COMP212	(0.369 COMP2735) (0.223 COMP1116) (0.211 COMP697) (0.206 COMP887) (0.183 COMP1902) (0.155 COMP2692) (0.154 COMP2731) (0.139 COMP2734) (0.137 COMP2177) (0.129 COMP1352) (0.128 COMP2716) (0.120 COMP2569) (0.113 COMP2708/COMP2728) (0.103 COMP2726) (0.101 COMP1605) (0.099 COMP175)
Aldehyde oxidase substrate	0.553	COMP212	(0.205 COMP887) (0.180 COMP697) (0.175 COMP175) (0.162 COMP198) (0.159 COMP1482) (0.152 COMP2734) (0.143 COMP1953) (0.139 COMP48) (0.138 COMP777)
Aldose reductase substrate	0.532	COMP2569	(0.502 COMP2692) (0.446 COMP2746) (0.444 COMP2745) (0.442 COMP563) (0.379 COMP46) (0.338 COMP1116) (0.249 COMP175) (0.204 COMP697) (0.197 COMP212/COMP2177) (0.180 COMP887) (0.177 COMP1352) (0.140 COMP1482) (0.135 COMP2723/COMP2738/COMP2743) (0.131 COMP777) (0.130 COMP198) (0.128 COMP2713)
Arylamine N-Acetyltransferase substrate	0.219	COMP697	(0.206 COMP198) (0.164 COMP175) (0.157 COMP212) (0.140 COMP1255) (0.128 COMP1482) (0.123 COMP1953) (0.115 COMP887) (0.114 COMP48) (0.104 COMP2734) (0.091 COMP1352) (0.086 COMP2177) (0.082 COMP2743) (0.066 COMP2713)
CYP1A2 inhibitor	0.993	COMP2713	(0.989 COMP2743) (0.987 COMP2723/COMP2738) (0.986 COMP2742) (0.965 COMP1478) (0.947 COMP1225) (0.945 COMP48) (0.944 COMP1255) (0.900 COMP1352) (0.875 COMP2177) (0.856 COMP1482) (0.806 COMP1953) (0.796 COMP198) (0.489 COMP563) (0.430 COMP887) (0.389 COMP2569) (0.378 COMP777) (0.352 COMP697) (0.280 COMP46) (0.268 COMP212) (0.215 COMP2734)
CYP1A2 substrate	0.954	COMP2742	(0.947 COMP777) (0.912 COMP48) (0.901 COMP2177) (0.884 COMP1352) (0.873 COMP2713) (0.865 COMP2743) (0.852 COMP1255) (0.847 COMP2723/COMP2738) (0.782 COMP1225) (0.769 COMP1478) (0.746 COMP198) (0.744 COMP212) (0.723 COMP1482) (0.639 COMP563) (0.621 COMP2278/COMP2348) (0.597 COMP2569) (0.595 COMP1953) (0.574 COMP697) (0.568 COMP1605) (0.564 COMP887) (0.557 COMP46) (0.443 COMP2734) (0.379 COMP2719) (0.378 COMP2740) (0.372 COMP2725) (0.364 COMP2741) (0.360 COMP2718) (0.352 COMP175) (0.348 COMP949) (0.324 COMP1696) (0.323 COMP2736) (0.317 COMP2735) (0.311 COMP1962) (0.309 COMP2724) (0.308 COMP1116) (0.306 COMP2692) (0.299 COMP1706) (0.290 COMP2729) (0.289 COMP2730/COMP2732) (0.285 COMP2744) (0.282 COMP1966) (0.277 COMP1960) (0.268 COMP2733) (0.266 COMP1961) (0.263 COMP2714) (0.261 COMP2715/COMP303) (0.257 COMP2711) (0.249 COMP2708) (0.241 COMP2720) (0.232 COMP2717) (0.221 COMP2727) (0.220 COMP300) (0.185 COMP1902) (0.182 COMP1231)
CYP24 inhibitor	0.104	COMP950	(0.068 COMP2727) (0.037 COMP2739) (0.031 COMP2731) (0.030 COMP175) (0.029 COMP2716/COMP2726/COMP2728) (0.028 COMP2722) (0.027 COMP300) (0.026 COMP2734) (0.025 COMP1187) (0.024 COMP1696/COMP2737) (0.023 COMP1966) (0.021 COMP2736)
CYP2A6 inhibitor	0.277	COMP212	(0.179 COMP2177) (0.158 COMP300) (0.154 COMP949) (0.143 COMP1255/COMP198) (0.106 COMP2743) (0.100 COMP1482) (0.096 COMP1352) (0.095 COMP2723/COMP2738) (0.093 COMP48) (0.092 COMP2713) (0.085 COMP1225) (0.077 COMP1953) (0.067 COMP2742)
CYP2B6 inhibitor	0.506	COMP198	(0.505 COMP2713) (0.500 COMP2177/COMP2743) (0.497 COMP1482) (0.485 COMP2723/COMP2738) (0.478 COMP1255) (0.438 COMP1953) (0.427 COMP1116) (0.415 COMP1352) (0.374 COMP48) (0.353 COMP1478) (0.349 COMP1225) (0.320 COMP887) (0.317 COMP697) (0.289 COMP2734) (0.288 COMP300) (0.272 COMP950) (0.271 COMP2742) (0.258 COMP212) (0.243 COMP2715/COMP303) (0.227 COMP777) (0.222 COMP2728) (0.219 COMP1605/COMP949) (0.213 COMP1960) (0.202 COMP2731) (0.193 COMP2733) (0.189 COMP1902) (0.171 COMP1231) (0.168 COMP2708/COMP2717) (0.163 COMP2736) (0.161 COMP131) (0.159 COMP1966/COMP2711) (0.158 COMP1187) (0.151 COMP2727/COMP2739)
