Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.935	COMP2728	(0.813 COMP2737) (0.769 COMP2722) (0.705 COMP2726) (0.692 COMP2716) (0.661 COMP2731) (0.650 COMP2739) (0.578 COMP2712) (0.570 COMP1692) (0.528 COMP1116) (0.468 COMP950) (0.465 COMP1231) (0.458 COMP1696) (0.450 COMP2736) (0.446 COMP2727/COMP949) (0.445 COMP2714) (0.429 COMP697) (0.422 COMP2718) (0.418 COMP1966) (0.417 COMP2715/COMP303) (0.413 COMP1902) (0.407 COMP2717) (0.406 COMP2720) (0.405 COMP175) (0.388 COMP2741) (0.385 COMP1706) (0.375 COMP887) (0.368 COMP1187) (0.366 COMP2732) (0.354 COMP2721/COMP2740) (0.348 COMP2719) (0.345 COMP1961/COMP2724) (0.339 COMP2730) (0.335 COMP1962/COMP2729) (0.333 COMP2278/COMP2348) (0.327 COMP131) (0.323 COMP1960) (0.315 COMP2177) (0.310 COMP2708) (0.307 COMP212) (0.296 COMP2733) (0.294 COMP300) (0.269 COMP2734) (0.267 COMP198/COMP2711) (0.259 COMP2725/COMP777) (0.249 COMP1352) (0.248 COMP1482) (0.201 COMP1478/COMP48) (0.198 COMP1225) (0.192 COMP1255) (0.190 COMP2713) (0.187 COMP2743) (0.186 COMP2692) (0.182 COMP2723/COMP2738) (0.172 COMP2735) (0.160 COMP1605) (0.156 COMP1953)
Carcinogenic	0.940	COMP46	(0.898 COMP563) (0.828 COMP1116) (0.775 COMP2708) (0.755 COMP1255) (0.753 COMP48) (0.737 COMP2742) (0.727 COMP2569) (0.696 COMP1953) (0.681 COMP175) (0.668 COMP2692) (0.646 COMP2731) (0.643 COMP2727) (0.639 COMP198) (0.634 COMP2743) (0.613 COMP2737) (0.605 COMP212) (0.597 COMP2713/COMP697) (0.576 COMP1352) (0.561 COMP2723/COMP2738) (0.548 COMP777) (0.542 COMP2722) (0.535 COMP2278/COMP2348) (0.530 COMP2739) (0.511 COMP2728) (0.489 COMP2734) (0.488 COMP1225) (0.472 COMP2177) (0.470 COMP1696) (0.449 COMP2716) (0.445 COMP1478) (0.440 COMP1482) (0.433 COMP887) (0.426 COMP2726) (0.422 COMP131) (0.402 COMP2718) (0.392 COMP2745) (0.378 COMP1706) (0.369 COMP2712) (0.350 COMP1692) (0.327 COMP2736) (0.308 COMP1960) (0.282 COMP2730/COMP2740) (0.280 COMP2714) (0.277 COMP2724) (0.274 COMP950) (0.265 COMP2746) (0.259 COMP2717) (0.254 COMP1961) (0.251 COMP2725/COMP2735) (0.242 COMP2715/COMP303) (0.237 COMP2741) (0.235 COMP949) (0.228 COMP2720) (0.221 COMP1966) (0.201 COMP2729) (0.194 COMP1962) (0.188 COMP2732) (0.184 COMP1605) (0.180 COMP2719) (0.160 COMP2733) (0.153 COMP300) (0.148 COMP1231) (0.145 COMP1902) (0.127 COMP2711)
Carcinogenic. group 1	0.394	COMP2569	(0.356 COMP212) (0.334 COMP563) (0.318 COMP198) (0.315 COMP2177) (0.313 COMP2692) (0.304 COMP697) (0.299 COMP2746) (0.274 COMP1482) (0.269 COMP1225) (0.268 COMP48) (0.254 COMP2734) (0.251 COMP1255) (0.249 COMP1478/COMP949) (0.241 COMP1352) (0.229 COMP1953) (0.224 COMP2745) (0.223 COMP887) (0.217 COMP2743) (0.208 COMP2713) (0.207 COMP1605) (0.204 COMP175) (0.199 COMP2723/COMP2738) (0.193 COMP46) (0.173 COMP1116) (0.170 COMP777) (0.158 COMP131) (0.153 COMP2742) (0.148 COMP300)
Carcinogenic. group 2A	0.512	COMP2569	(0.260 COMP2746) (0.232 COMP2745) (0.214 COMP2692) (0.207 COMP2177) (0.178 COMP212) (0.158 COMP563) (0.153 COMP2734) (0.132 COMP1352) (0.122 COMP131) (0.121 COMP1605/COMP697) (0.115 COMP175) (0.113 COMP1482) (0.110 COMP198) (0.109 COMP777) (0.093 COMP887) (0.085 COMP1255/COMP2723/COMP2738) (0.083 COMP46) (0.080 COMP1225) (0.079 COMP2743) (0.075 COMP1116)
Carcinogenic. group 2B	0.495	COMP697	(0.464 COMP1255) (0.378 COMP2723/COMP2738) (0.376 COMP212) (0.370 COMP2743) (0.348 COMP887) (0.341 COMP2713) (0.338 COMP198) (0.279 COMP1482) (0.266 COMP1352) (0.265 COMP1953) (0.264 COMP46) (0.253 COMP2177) (0.238 COMP2569) (0.231 COMP2734) (0.226 COMP48/COMP563) (0.221 COMP2692) (0.220 COMP2742) (0.197 COMP1225) (0.169 COMP777) (0.162 COMP131) (0.161 COMP1605) (0.156 COMP1478) (0.146 COMP1116) (0.111 COMP949) (0.101 COMP2745) (0.089 COMP175)
Carcinogenic. group 3	0.773	COMP175	(0.751 COMP48) (0.741 COMP1255) (0.608 COMP198) (0.527 COMP2743) (0.519 COMP697) (0.489 COMP2177) (0.478 COMP2713) (0.469 COMP1953) (0.467 COMP1352) (0.464 COMP563) (0.445 COMP2723/COMP2738) (0.420 COMP1225) (0.418 COMP212) (0.403 COMP2734) (0.368 COMP1482) (0.337 COMP2742) (0.334 COMP1478) (0.286 COMP46) (0.277 COMP887) (0.262 COMP2708) (0.258 COMP2569) (0.213 COMP777) (0.183 COMP131) (0.164 COMP1116) (0.135 COMP2740) (0.125 COMP2692) (0.123 COMP2715/COMP303) (0.107 COMP2712) (0.099 COMP1902) (0.095 COMP1692)
Cardiodepressant	0.773	COMP2744	(0.414 COMP1478) (0.408 COMP1692) (0.407 COMP2712) (0.398 COMP1225) (0.353 COMP1696) (0.336 COMP1482) (0.329 COMP48) (0.328 COMP198) (0.317 COMP887) (0.309 COMP2278/COMP2348) (0.296 COMP2729) (0.295 COMP2724) (0.278 COMP1352) (0.275 COMP1953) (0.266 COMP1605/COMP1966) (0.265 COMP2718/COMP2734) (0.264 COMP131) (0.261 COMP1961) (0.257 COMP1116/COMP2736) (0.252 COMP175) (0.250 COMP697) (0.246 COMP1706) (0.238 COMP2732) (0.224 COMP2177/COMP2723/COMP2738) (0.222 COMP1962) (0.221 COMP2714) (0.220 COMP2713) (0.217 COMP2717) (0.214 COMP2743) (0.206 COMP212/COMP2722/COMP2737) (0.202 COMP777) (0.191 COMP2716/COMP2739) (0.190 COMP1255) (0.174 COMP2725) (0.162 COMP2726) (0.145 COMP2719) (0.142 COMP2711)
Cytotoxic	0.658	COMP46	(0.634 COMP563) (0.559 COMP2726) (0.556 COMP1696) (0.553 COMP2742) (0.551 COMP2692) (0.544 COMP2724) (0.539 COMP2746) (0.538 COMP2729) (0.536 COMP2708) (0.535 COMP1962) (0.531 COMP2569) (0.525 COMP1706) (0.524 COMP2718) (0.521 COMP2716) (0.513 COMP2725) (0.512 COMP2731) (0.498 COMP2714) (0.497 COMP2719/COMP2737) (0.495 COMP2745) (0.490 COMP2727) (0.488 COMP2722) (0.487 COMP2717/COMP950) (0.485 COMP2736) (0.477 COMP2739/COMP2743) (0.473 COMP1255) (0.472 COMP2741) (0.466 COMP2730) (0.464 COMP2713) (0.454 COMP48) (0.448 COMP2732) (0.445 COMP212) (0.442 COMP2723/COMP2738) (0.435 COMP175) (0.430 COMP1960) (0.420 COMP2728) (0.417 COMP2720) (0.414 COMP2278/COMP2348/COMP2740) (0.411 COMP1961) (0.408 COMP1692) (0.407 COMP2711) (0.406 COMP777) (0.398 COMP198) (0.384 COMP1478) (0.377 COMP1225) (0.366 COMP1116/COMP2712) (0.362 COMP1187/COMP1231) (0.361 COMP1482) (0.351 COMP1352) (0.344 COMP1966) (0.342 COMP949) (0.323 COMP1605) (0.322 COMP2733) (0.320 COMP1953) (0.304 COMP2721) (0.302 COMP2715/COMP303) (0.296 COMP2734) (0.291 COMP887) (0.288 COMP697) (0.278 COMP2735) (0.254 COMP2177) (0.232 COMP300) (0.217 COMP1902) (0.214 COMP131)
DNA damaging	0.876	COMP46	(0.728 COMP563) (0.669 COMP2692) (0.611 COMP2569) (0.586 COMP777) (0.576 COMP1478) (0.571 COMP2743) (0.561 COMP2713) (0.559 COMP2723/COMP2738) (0.544 COMP1255) (0.531 COMP1225) (0.485 COMP2742) (0.479 COMP48) (0.470 COMP1482/COMP2746) (0.463 COMP198) (0.453 COMP1953) (0.439 COMP1352) (0.437 COMP887) (0.428 COMP2278/COMP2348) (0.418 COMP2745) (0.397 COMP697) (0.392 COMP1962) (0.386 COMP2724) (0.377 COMP2729) (0.366 COMP2720) (0.358 COMP2177) (0.346 COMP2719) (0.342 COMP2708) (0.341 COMP2714) (0.337 COMP1706/COMP212) (0.329 COMP2732) (0.314 COMP1696) (0.310 COMP2727) (0.299 COMP2740) (0.294 COMP2741) (0.290 COMP1961) (0.288 COMP2736) (0.287 COMP2730) (0.269 COMP1960) (0.264 COMP2725) (0.261 COMP2718/COMP2733) (0.243 COMP1966) (0.229 COMP2711) (0.212 COMP175) (0.207 COMP1116) (0.190 COMP2744) (0.180 COMP2717) (0.171 COMP1605) (0.166 COMP2734/COMP950)
Embryotoxic	0.800	COMP563	(0.797 COMP46) (0.785 COMP2737) (0.784 COMP2731) (0.747 COMP2692) (0.731 COMP1116) (0.701 COMP2728) (0.648 COMP2740) (0.598 COMP2718) (0.565 COMP2278/COMP2348) (0.546 COMP2569) (0.542 COMP2726) (0.513 COMP175/COMP2708/COMP697) (0.501 COMP2739) (0.491 COMP2714) (0.485 COMP1696) (0.484 COMP1706/COMP2716/COMP777) (0.473 COMP2727) (0.470 COMP2741) (0.468 COMP2736) (0.461 COMP48) (0.459 COMP2722) (0.457 COMP2715/COMP303) (0.450 COMP2712) (0.443 COMP2735) (0.436 COMP2746) (0.416 COMP1960) (0.403 COMP2745) (0.397 COMP2742) (0.393 COMP2717) (0.380 COMP1692) (0.377 COMP1255/COMP887) (0.366 COMP2725) (0.365 COMP198) (0.352 COMP2730) (0.344 COMP1961) (0.331 COMP1966/COMP212) (0.318 COMP950) (0.315 COMP2711) (0.299 COMP300) (0.292 COMP2734) (0.282 COMP1953) (0.281 COMP2743) (0.277 COMP1231/COMP2724) (0.274 COMP2732) (0.267 COMP2719) (0.254 COMP2713) (0.245 COMP1482) (0.240 COMP2720) (0.239 COMP2723/COMP2738) (0.232 COMP949) (0.228 COMP2729) (0.227 COMP2733) (0.216 COMP2721) (0.215 COMP1225/COMP1962) (0.204 COMP1605) (0.201 COMP1478) (0.195 COMP1352) (0.177 COMP1902) (0.176 COMP2177) (0.170 COMP131)
