Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.324 COMP2141/COMP389) (0.194 COMP2140) (0.186 COMP2119) (0.177 COMP2138) (0.150 COMP717) (0.136 COMP238) (0.131 COMP2108/COMP2121/COMP2125) (0.130 COMP2105/COMP2107/COMP2109/COMP2110/COMP2112/COMP2116) (0.126 COMP2115/COMP2117/COMP2118/COMP2120/COMP2132) (0.124 COMP2106/COMP2111/COMP2113/COMP2124/COMP2126/COMP2135/COMP2136) (0.123 COMP2137) (0.116 COMP2114) (0.111 COMP178/COMP2102/COMP2103) (0.110 COMP2104) (0.108 COMP927) (0.106 COMP2127/COMP2171) (0.105 COMP2101) (0.100 COMP2129) (0.096 COMP2134) (0.093 COMP2130) (0.092 COMP2139) (0.089 COMP2142)
AR expression inhibitor	0.886	COMP2130	(0.793 COMP354) (0.786 COMP927) (0.783 COMP1558) (0.772 COMP1559) (0.756 COMP1576/COMP2142) (0.733 COMP2134/COMP2139) (0.707 COMP2171) (0.697 COMP1569) (0.677 COMP2131) (0.666 COMP238) (0.659 COMP2141/COMP389) (0.602 COMP2127) (0.581 COMP178) (0.576 COMP2121/COMP2125) (0.572 COMP2122) (0.560 COMP2108) (0.492 COMP2123) (0.486 COMP2114) (0.485 COMP77) (0.474 COMP2110/COMP2117/COMP2126/COMP2132) (0.472 COMP2137) (0.469 COMP2128) (0.463 COMP2129) (0.461 COMP2140) (0.451 COMP2105/COMP2107/COMP2109/COMP2111/COMP2112/COMP2115/COMP2116/COMP2118/COMP2120/COMP2124/COMP2135/COMP2136) (0.443 COMP2106/COMP2113) (0.440 COMP2103) (0.418 COMP2102) (0.414 COMP13) (0.413 COMP2138) (0.411 COMP2104) (0.401 COMP2101) (0.389 COMP2100) (0.353 COMP2119) (0.351 COMP717)
CTGF expression inhibitor	0.880	COMP2142	(0.872 COMP2130) (0.840 COMP354) (0.821 COMP1559/COMP2141/COMP389) (0.811 COMP77) (0.802 COMP1576/COMP2139) (0.761 COMP2171) (0.748 COMP1569) (0.722 COMP2131) (0.706 COMP1558/COMP2129) (0.672 COMP2140) (0.660 COMP2134) (0.582 COMP2138) (0.490 COMP717) (0.311 COMP13) (0.227 COMP178) (0.191 COMP238)
GRP78 expression inhibitor	0.039	COMP717	
ICAM1 expression inhibitor	0.688	COMP238	(0.679 COMP178) (0.568 COMP927) (0.514 COMP2130) (0.507 COMP2103) (0.500 COMP2117/COMP2132) (0.494 COMP2102) (0.490 COMP2100/COMP2104) (0.488 COMP2108) (0.486 COMP2110/COMP2115/COMP2118/COMP2120/COMP2121/COMP2125) (0.480 COMP2141/COMP389) (0.478 COMP2101) (0.471 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.453 COMP2114) (0.452 COMP1558) (0.451 COMP2171) (0.443 COMP2137) (0.442 COMP2119) (0.440 COMP2123) (0.438 COMP2129) (0.425 COMP2122/COMP2126/COMP2127) (0.422 COMP2128) (0.413 COMP77) (0.409 COMP2140) (0.407 COMP2142) (0.404 COMP2111/COMP2124/COMP2135/COMP2136) (0.400 COMP354) (0.397 COMP2134) (0.393 COMP2106/COMP2113) (0.389 COMP2138) (0.386 COMP1576) (0.384 COMP1559) (0.372 COMP717) (0.356 COMP2139) (0.349 COMP2131) (0.347 COMP1569) (0.312 COMP13)
LDLR expression enhancer	0.365	COMP77	(0.353 COMP2139) (0.347 COMP2130/COMP2142) (0.327 COMP1569) (0.320 COMP2131) (0.314 COMP354) (0.295 COMP1559) (0.289 COMP1576) (0.266 COMP2141/COMP389) (0.259 COMP1558) (0.255 COMP2171) (0.235 COMP2129) (0.170 COMP717) (0.160 COMP2140) (0.158 COMP238) (0.148 COMP2138) (0.146 COMP2134)
NOS2 expression inhibitor	0.894	COMP2171	(0.860 COMP2130) (0.843 COMP2142) (0.794 COMP354) (0.764 COMP1558) (0.762 COMP1559) (0.754 COMP2139) (0.745 COMP1576) (0.741 COMP1569) (0.730 COMP927) (0.724 COMP2131) (0.717 COMP2134) (0.614 COMP2129) (0.603 COMP77) (0.596 COMP238) (0.585 COMP2141/COMP389) (0.512 COMP2138) (0.498 COMP2140) (0.485 COMP2121/COMP2125) (0.479 COMP178) (0.463 COMP2127) (0.452 COMP13) (0.406 COMP2110) (0.385 COMP2114) (0.382 COMP717) (0.365 COMP2137) (0.362 COMP2108) (0.358 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.356 COMP2117/COMP2126/COMP2132) (0.345 COMP2122) (0.339 COMP2123) (0.321 COMP2103) (0.306 COMP2111/COMP2115/COMP2118/COMP2120/COMP2124/COMP2135/COMP2136) (0.290 COMP2106/COMP2113) (0.287 COMP2128) (0.268 COMP2102) (0.254 COMP2104) (0.249 COMP2101) (0.196 COMP2100) (0.187 COMP2119)
NOS3 expression enhancer	0.673	COMP2141/COMP389	(0.499 COMP2130) (0.485 COMP2171) (0.454 COMP2134) (0.377 COMP2142) (0.316 COMP2140/COMP354) (0.310 COMP2139) (0.309 COMP2129) (0.271 COMP2138) (0.270 COMP1559) (0.263 COMP77) (0.247 COMP1576) (0.234 COMP1569) (0.209 COMP2131) (0.202 COMP1558) (0.182 COMP13) (0.135 COMP2124) (0.126 COMP2117/COMP2132) (0.121 COMP2127)
NOS3 expression inhibitor	0.910	COMP77	(0.708 COMP2134) (0.677 COMP2130) (0.628 COMP2171) (0.583 COMP2110) (0.582 COMP717) (0.581 COMP2142) (0.579 COMP2127) (0.558 COMP2114) (0.554 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.547 COMP2117/COMP2132) (0.545 COMP2123) (0.541 COMP2137) (0.529 COMP2121/COMP2125) (0.528 COMP2103) (0.519 COMP2115/COMP2118/COMP2120) (0.518 COMP2128) (0.513 COMP354) (0.506 COMP2141/COMP389) (0.504 COMP2108/COMP2122) (0.502 COMP1559) (0.501 COMP2102) (0.500 COMP2126) (0.498 COMP178) (0.491 COMP2104) (0.478 COMP13) (0.476 COMP1576/COMP2139) (0.473 COMP927) (0.471 COMP2101) (0.470 COMP2111/COMP2124/COMP2135/COMP2136/COMP238) (0.467 COMP1569) (0.458 COMP2106/COMP2113) (0.447 COMP2119) (0.444 COMP1558) (0.438 COMP2100) (0.437 COMP2140) (0.435 COMP2131) (0.402 COMP2129) (0.387 COMP2138)
TNF expression inhibitor	0.928	COMP2127	(0.899 COMP77) (0.882 COMP2171) (0.809 COMP238) (0.808 COMP2130) (0.804 COMP2128) (0.801 COMP2141/COMP389) (0.798 COMP2142) (0.794 COMP2140) (0.793 COMP2123) (0.753 COMP2137) (0.747 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.744 COMP354) (0.735 COMP2110) (0.711 COMP2129) (0.709 COMP1559) (0.705 COMP2139) (0.703 COMP927) (0.699 COMP2114) (0.694 COMP2122) (0.691 COMP1569) (0.678 COMP1576) (0.669 COMP2115/COMP2118/COMP2120) (0.661 COMP2131) (0.658 COMP13/COMP2117/COMP2132) (0.650 COMP178) (0.648 COMP717) (0.626 COMP2138) (0.623 COMP2102) (0.621 COMP2121/COMP2125) (0.613 COMP2103) (0.608 COMP2134) (0.603 COMP2104/COMP2111/COMP2124/COMP2135/COMP2136) (0.596 COMP1558) (0.594 COMP2101/COMP2126) (0.584 COMP2106/COMP2113) (0.577 COMP2108) (0.521 COMP2100) (0.341 COMP2119)
