Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.046	COMP717	(0.037 COMP2141/COMP389)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.013	COMP2141/COMP389/COMP717	
1.3-Beta-glucan synthase inhibitor	0.035	COMP77	(0.030 COMP238) (0.028 COMP178)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.246	COMP238	(0.243 COMP178) (0.133 COMP927) (0.042 COMP77)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.843	COMP178	(0.812 COMP238) (0.193 COMP927) (0.102 COMP77)
12-Lipoxygenase inhibitor	0.856	COMP2130	(0.781 COMP354) (0.776 COMP2142) (0.730 COMP1559) (0.722 COMP1576/COMP2139) (0.644 COMP2129) (0.625 COMP1558) (0.507 COMP1569) (0.498 COMP2131) (0.422 COMP2171) (0.399 COMP2141/COMP389) (0.348 COMP2138) (0.321 COMP2134) (0.271 COMP2140)
15-Lipoxygenase inhibitor	0.844	COMP2130	(0.760 COMP354) (0.742 COMP2142) (0.721 COMP2139) (0.698 COMP1559) (0.685 COMP1576) (0.628 COMP2171) (0.604 COMP2129) (0.555 COMP1569) (0.538 COMP2131) (0.486 COMP1558/COMP2141/COMP389) (0.462 COMP2134) (0.258 COMP2138) (0.207 COMP2140)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.203	COMP77	(0.078 COMP927) (0.051 COMP178) (0.039 COMP238)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.021	COMP77	(0.012 COMP927)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.090	COMP2134	(0.080 COMP717) (0.075 COMP2171) (0.069 COMP77) (0.063 COMP2142) (0.055 COMP1559/COMP2141/COMP389) (0.049 COMP13) (0.048 COMP354)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.066	COMP717	(0.065 COMP2141/COMP389) (0.041 COMP2142) (0.040 COMP1576/COMP2139) (0.039 COMP1559)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.237	COMP2142	(0.229 COMP2130) (0.228 COMP2141/COMP389) (0.222 COMP2140) (0.198 COMP2171) (0.191 COMP2139) (0.185 COMP354) (0.175 COMP2129) (0.172 COMP1559) (0.169 COMP1576) (0.162 COMP2138) (0.140 COMP1558) (0.135 COMP1569) (0.132 COMP2131) (0.090 COMP717) (0.069 COMP2134)
3C-like protease (Human coronavirus) inhibitor	0.380	COMP927	(0.249 COMP2131) (0.246 COMP1569) (0.216 COMP1558) (0.200 COMP1576) (0.196 COMP1559) (0.187 COMP2134) (0.174 COMP717) (0.173 COMP2139) (0.170 COMP2142) (0.169 COMP354) (0.164 COMP2130) (0.139 COMP178)
5 Hydroxytryptamine 1E antagonist	0.278	COMP2142	(0.272 COMP1569) (0.266 COMP2131) (0.257 COMP354) (0.254 COMP1559) (0.247 COMP1576/COMP2139) (0.218 COMP2141/COMP389) (0.216 COMP1558) (0.186 COMP2129)
5 Hydroxytryptamine 3E antagonist	0.185	COMP717	(0.180 COMP2141/COMP389) (0.178 COMP1569) (0.175 COMP2131) (0.169 COMP1558)
5 Hydroxytryptamine release inhibitor	0.673	COMP1569	(0.672 COMP2139) (0.668 COMP2131) (0.646 COMP2142) (0.637 COMP2134) (0.635 COMP1558) (0.614 COMP1559) (0.609 COMP1576) (0.601 COMP717) (0.581 COMP354) (0.502 COMP2130) (0.465 COMP2171) (0.397 COMP2141/COMP389) (0.358 COMP2129) (0.320 COMP13) (0.285 COMP2140)
