Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.340	COMP717	(0.332 COMP77) (0.306 COMP2141/COMP389) (0.286 COMP13) (0.232 COMP927) (0.200 COMP2100) (0.179 COMP2140) (0.156 COMP2127) (0.151 COMP2129) (0.150 COMP2138) (0.135 COMP2102/COMP2103/COMP2104) (0.133 COMP2121/COMP2125) (0.131 COMP2105/COMP2107/COMP2109/COMP2110/COMP2112/COMP2116) (0.127 COMP2137) (0.124 COMP2114) (0.122 COMP238) (0.121 COMP2115/COMP2117/COMP2118/COMP2120/COMP2132) (0.119 COMP2108) (0.118 COMP2123/COMP2128) (0.116 COMP2122) (0.114 COMP178/COMP2101) (0.108 COMP2111/COMP2124/COMP2126/COMP2134/COMP2135/COMP2136) (0.107 COMP2106/COMP2113) (0.106 COMP2119)
Aldehyde dehydrogenase substrate	0.219	COMP2141/COMP389	(0.206 COMP717) (0.177 COMP2129) (0.174 COMP2100) (0.173 COMP2140) (0.150 COMP2138) (0.127 COMP927) (0.125 COMP13)
Aldehyde oxidase substrate	0.332	COMP717	(0.219 COMP2141/COMP389) (0.189 COMP2140) (0.183 COMP354) (0.170 COMP1559) (0.165 COMP1569/COMP1576/COMP2139) (0.164 COMP2142) (0.161 COMP2131) (0.149 COMP1558) (0.147 COMP2130) (0.146 COMP2129)
Aldose reductase substrate	0.487	COMP717	(0.190 COMP2141/COMP389) (0.167 COMP2140) (0.148 COMP13) (0.144 COMP2134) (0.130 COMP1559/COMP1576/COMP2139)
Arylamine N-Acetyltransferase substrate	0.305	COMP717	(0.185 COMP2141/COMP389) (0.158 COMP354) (0.156 COMP1559) (0.155 COMP1576) (0.120 COMP2139) (0.108 COMP2142) (0.074 COMP2130) (0.073 COMP1569) (0.071 COMP2131)
CYP1A2 inhibitor	0.941	COMP2130	(0.896 COMP1558) (0.884 COMP2142) (0.837 COMP354) (0.816 COMP1559) (0.810 COMP1576) (0.777 COMP1569) (0.772 COMP2131) (0.769 COMP2139) (0.701 COMP2171) (0.464 COMP2134) (0.458 COMP2129) (0.362 COMP2141/COMP389) (0.188 COMP2138) (0.174 COMP2140)
CYP1A2 substrate	0.928	COMP2171	(0.824 COMP2130) (0.712 COMP2139) (0.705 COMP2142) (0.624 COMP354) (0.621 COMP1576) (0.602 COMP1559) (0.569 COMP2141/COMP389) (0.519 COMP2131) (0.502 COMP1569) (0.479 COMP2140) (0.444 COMP1558) (0.403 COMP2129) (0.398 COMP717) (0.343 COMP2134) (0.294 COMP2138) (0.269 COMP77) (0.263 COMP13)
CYP24 inhibitor	0.060	COMP77	
CYP2A6 inhibitor	0.155	COMP1558	(0.130 COMP2134) (0.110 COMP1569/COMP2131) (0.073 COMP1559) (0.072 COMP1576/COMP2139) (0.071 COMP2142) (0.070 COMP717)
CYP2B6 inhibitor	0.502	COMP2142	(0.451 COMP354) (0.438 COMP1559) (0.435 COMP1576/COMP2139) (0.414 COMP1569) (0.411 COMP2131) (0.388 COMP1558) (0.315 COMP2130/COMP2141/COMP389) (0.236 COMP2129/COMP2171) (0.230 COMP717) (0.179 COMP2134) (0.166 COMP2140) (0.164 COMP2138) (0.152 COMP77)
CYP2C19 inhibitor	0.624	COMP2130	(0.615 COMP2171) (0.578 COMP2142) (0.546 COMP1558) (0.530 COMP354) (0.528 COMP1559) (0.527 COMP1576) (0.525 COMP2139) (0.516 COMP2134) (0.495 COMP1569) (0.494 COMP2131) (0.461 COMP2141/COMP389) (0.357 COMP2129) (0.305 COMP717) (0.261 COMP77) (0.235 COMP2138) (0.233 COMP2127)
