Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.539 COMP927) (0.521 COMP2123/COMP2128) (0.505 COMP2122) (0.501 COMP2102/COMP2103) (0.500 COMP13) (0.489 COMP2104/COMP2137) (0.488 COMP2115/COMP2117/COMP2118/COMP2119/COMP2120/COMP2132) (0.474 COMP2114) (0.473 COMP178) (0.470 COMP2108) (0.457 COMP2105/COMP2107/COMP2109/COMP2110/COMP2111/COMP2112/COMP2116/COMP2124/COMP2126/COMP2135/COMP2136) (0.453 COMP238) (0.444 COMP2106/COMP2113) (0.435 COMP717) (0.429 COMP2127) (0.421 COMP2101) (0.417 COMP2121) (0.409 COMP2100) (0.392 COMP2141/COMP389) (0.373 COMP2125) (0.317 COMP2138) (0.316 COMP2140) (0.269 COMP2129) (0.255 COMP1559) (0.253 COMP2142) (0.246 COMP2171) (0.243 COMP1576) (0.238 COMP2134) (0.226 COMP354) (0.217 COMP1569) (0.210 COMP2139) (0.208 COMP2131) (0.196 COMP1558) (0.183 COMP2130)
Carcinogenic	0.925	COMP77	(0.847 COMP2127) (0.607 COMP2141/COMP389) (0.606 COMP717) (0.552 COMP927) (0.540 COMP2171) (0.492 COMP2130) (0.486 COMP2140) (0.416 COMP178) (0.396 COMP2139/COMP2142) (0.386 COMP238/COMP354) (0.350 COMP1559) (0.349 COMP2129/COMP2137) (0.340 COMP2138) (0.318 COMP2107) (0.315 COMP1576) (0.306 COMP2134) (0.296 COMP2115/COMP2120) (0.295 COMP2132) (0.282 COMP13) (0.276 COMP2114) (0.270 COMP2128) (0.267 COMP2102) (0.266 COMP2103) (0.253 COMP2105/COMP2109/COMP2112/COMP2116) (0.252 COMP1569/COMP2110) (0.247 COMP2104) (0.241 COMP1558) (0.240 COMP2101) (0.237 COMP2118) (0.236 COMP2117) (0.231 COMP2131) (0.221 COMP2124) (0.216 COMP2123) (0.213 COMP2136) (0.202 COMP2100) (0.189 COMP2121/COMP2125) (0.177 COMP2111/COMP2135) (0.176 COMP2126) (0.167 COMP2106/COMP2113) (0.159 COMP2108) (0.146 COMP2122)
Carcinogenic. group 1	0.493	COMP717	(0.322 COMP2139) (0.287 COMP1558) (0.265 COMP1559/COMP1576) (0.263 COMP1569/COMP2131) (0.253 COMP2142) (0.239 COMP354) (0.236 COMP2141/COMP389) (0.235 COMP2130) (0.178 COMP2171) (0.174 COMP2129) (0.169 COMP2140) (0.160 COMP2138) (0.148 COMP2134)
Carcinogenic. group 2A	0.184	COMP717	(0.144 COMP1558) (0.142 COMP2139) (0.134 COMP1569) (0.131 COMP2131) (0.111 COMP1559) (0.108 COMP1576) (0.102 COMP2141/COMP389) (0.101 COMP2142/COMP2171) (0.094 COMP354)
Carcinogenic. group 2B	0.509	COMP2141/COMP389	(0.393 COMP2140) (0.358 COMP717) (0.221 COMP2171) (0.212 COMP2142) (0.188 COMP2129) (0.179 COMP2138) (0.166 COMP354) (0.159 COMP1576/COMP2139) (0.157 COMP1559) (0.137 COMP2131) (0.136 COMP13) (0.135 COMP1569) (0.127 COMP2134) (0.114 COMP2130)
Carcinogenic. group 3	0.439	COMP2141/COMP389	(0.388 COMP717) (0.324 COMP2130) (0.298 COMP2142) (0.250 COMP2171) (0.240 COMP77) (0.215 COMP2140) (0.205 COMP1576) (0.203 COMP1559) (0.194 COMP2139) (0.192 COMP354) (0.165 COMP2131) (0.164 COMP1569) (0.159 COMP13) (0.149 COMP2129) (0.139 COMP2138) (0.133 COMP1558) (0.096 COMP2127)
Cardiodepressant	0.503	COMP238	(0.437 COMP2129) (0.426 COMP354) (0.415 COMP1576) (0.414 COMP1558) (0.410 COMP2130) (0.408 COMP1559) (0.379 COMP2131) (0.373 COMP1569) (0.370 COMP717) (0.357 COMP77) (0.351 COMP2139/COMP2142) (0.299 COMP178) (0.298 COMP2127) (0.295 COMP2141/COMP389) (0.265 COMP2137) (0.259 COMP2111/COMP2124/COMP2126/COMP2135/COMP2136) (0.257 COMP2140) (0.251 COMP2115/COMP2117/COMP2118/COMP2120/COMP2132/COMP2138) (0.246 COMP2106/COMP2113) (0.244 COMP2105/COMP2107/COMP2109/COMP2110/COMP2112/COMP2116) (0.232 COMP2108/COMP927) (0.225 COMP2171) (0.217 COMP2114) (0.204 COMP2102/COMP2103) (0.191 COMP2104) (0.176 COMP2121/COMP2125) (0.172 COMP2101) (0.157 COMP2123/COMP2128) (0.141 COMP2122)
Cytotoxic	0.607	COMP77	(0.595 COMP238) (0.574 COMP2103) (0.573 COMP2100) (0.566 COMP2104/COMP2121/COMP2125) (0.564 COMP2137) (0.561 COMP2107/COMP2112/COMP2116) (0.560 COMP2127) (0.557 COMP2110) (0.554 COMP2115) (0.553 COMP2128) (0.551 COMP2101) (0.550 COMP2117/COMP2132) (0.549 COMP2108/COMP2123) (0.548 COMP2122) (0.546 COMP2102) (0.543 COMP178) (0.542 COMP2114) (0.541 COMP927) (0.526 COMP2105/COMP2109) (0.517 COMP2118/COMP2120) (0.495 COMP2171) (0.494 COMP2124) (0.492 COMP2136) (0.486 COMP2126) (0.472 COMP2106/COMP2113) (0.449 COMP13) (0.433 COMP2130) (0.427 COMP2111/COMP2135) (0.407 COMP354) (0.387 COMP1559) (0.368 COMP2142) (0.364 COMP1576) (0.340 COMP2139) (0.317 COMP2140) (0.314 COMP2138) (0.308 COMP2134) (0.307 COMP2129) (0.305 COMP1569) (0.293 COMP717) (0.290 COMP2141/COMP389) (0.289 COMP1558) (0.277 COMP2131) (0.267 COMP2119)
DNA damaging	0.539	COMP354	(0.518 COMP1559) (0.515 COMP2130) (0.509 COMP2142) (0.505 COMP1558) (0.489 COMP1576/COMP2139) (0.478 COMP1569) (0.448 COMP2131) (0.435 COMP2129) (0.403 COMP2141/COMP389) (0.359 COMP2171) (0.326 COMP2138) (0.317 COMP2134) (0.237 COMP2140) (0.203 COMP717) (0.194 COMP77)
Embryotoxic	0.908	COMP77	(0.670 COMP2127) (0.589 COMP2105/COMP2109) (0.568 COMP2111/COMP2135) (0.536 COMP2114) (0.529 COMP2118) (0.508 COMP2123) (0.502 COMP2141/COMP389) (0.500 COMP2137) (0.488 COMP717) (0.484 COMP2110) (0.476 COMP2102) (0.475 COMP2112/COMP2116) (0.464 COMP2126) (0.423 COMP2117) (0.420 COMP2106/COMP2113) (0.418 COMP2120) (0.409 COMP2101/COMP2129) (0.408 COMP2171) (0.388 COMP2128/COMP2140) (0.370 COMP927) (0.367 COMP2103) (0.362 COMP2107) (0.358 COMP2138) (0.343 COMP2136) (0.332 COMP2124) (0.329 COMP2104) (0.315 COMP2132) (0.311 COMP2130) (0.306 COMP2115) (0.296 COMP13) (0.261 COMP354) (0.249 COMP1559) (0.244 COMP2139) (0.230 COMP2142) (0.229 COMP2100) (0.220 COMP1576) (0.201 COMP1569) (0.196 COMP2134) (0.173 COMP2131) (0.168 COMP2121/COMP2125) (0.166 COMP1558) (0.163 COMP238) (0.160 COMP2122) (0.154 COMP178)
