Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.874	COMP685	(0.346 COMP697/COMP889) (0.324 COMP389) (0.246 COMP728) (0.225 COMP887) (0.221 COMP258) (0.217 COMP2388) (0.194 COMP2140) (0.186 COMP2119) (0.171 COMP60) (0.159 COMP2387) (0.131 COMP2108/COMP2121/COMP2125) (0.130 COMP2105/COMP2107/COMP2109/COMP2110/COMP2112/COMP2116) (0.128 COMP271) (0.126 COMP2115/COMP2117/COMP2118/COMP2120/COMP2132) (0.124 COMP2106/COMP2113/COMP2124/COMP2126/COMP2135/COMP2136) (0.123 COMP2137) (0.119 COMP322) (0.117 COMP1683) (0.116 COMP2114) (0.108 COMP2044) (0.106 COMP2171) (0.100 COMP2129) (0.099 COMP2381) (0.088 COMP2385) (0.086 COMP463/COMP774)
AR expression inhibitor	0.968	COMP685	(0.894 COMP463/COMP774) (0.874 COMP188) (0.870 COMP2386) (0.793 COMP354) (0.783 COMP1558) (0.772 COMP1559) (0.750 COMP2385) (0.734 COMP2378) (0.707 COMP2171) (0.692 COMP2379) (0.677 COMP2131) (0.659 COMP389) (0.652 COMP697/COMP889) (0.613 COMP728) (0.587 COMP887) (0.576 COMP2121/COMP2125) (0.572 COMP2122) (0.566 COMP2387) (0.560 COMP2108) (0.542 COMP258) (0.540 COMP60) (0.531 COMP2388) (0.492 COMP2123) (0.486 COMP2114) (0.474 COMP2110/COMP2117/COMP2126/COMP2132/COMP271) (0.472 COMP2044/COMP2137) (0.469 COMP2128) (0.463 COMP2129) (0.461 COMP2140) (0.451 COMP2105/COMP2107/COMP2109/COMP2112/COMP2115/COMP2116/COMP2118/COMP2120/COMP2124/COMP2135/COMP2136) (0.443 COMP2106/COMP2113) (0.369 COMP1400) (0.363 COMP322) (0.353 COMP2119) (0.345 COMP1683) (0.289 COMP2279) (0.272 COMP2383)
CTGF expression inhibitor	0.840	COMP354	(0.833 COMP258) (0.821 COMP1559/COMP2388/COMP389) (0.807 COMP697/COMP889) (0.802 COMP887) (0.797 COMP2385) (0.761 COMP2171) (0.731 COMP728) (0.722 COMP2131) (0.706 COMP1558/COMP2129) (0.704 COMP60) (0.677 COMP271) (0.672 COMP2140) (0.616 COMP2044) (0.610 COMP322) (0.607 COMP2378) (0.559 COMP2387) (0.551 COMP463/COMP774) (0.518 COMP1400) (0.431 COMP2379) (0.403 COMP2386) (0.376 COMP1683) (0.348 COMP2383) (0.342 COMP188) (0.300 COMP2380) (0.293 COMP2381) (0.207 COMP685) (0.204 COMP2377)
GRP78 expression inhibitor	0.030	COMP322/COMP60	(0.027 COMP2381) (0.025 COMP2379/COMP271) (0.023 COMP2377) (0.021 COMP697/COMP889) (0.020 COMP188)
ICAM1 expression inhibitor	0.533	COMP2379	(0.500 COMP2117/COMP2132) (0.499 COMP2386) (0.488 COMP2108) (0.486 COMP2110/COMP2115/COMP2118/COMP2120/COMP2121/COMP2125) (0.482 COMP2378) (0.480 COMP389) (0.476 COMP697/COMP889) (0.471 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.470 COMP463/COMP774) (0.463 COMP60) (0.457 COMP685) (0.453 COMP2114) (0.452 COMP1558/COMP887) (0.451 COMP2171) (0.443 COMP2137) (0.442 COMP2119) (0.440 COMP2123) (0.439 COMP258) (0.438 COMP2129) (0.437 COMP2385) (0.433 COMP1683) (0.432 COMP271) (0.430 COMP2388) (0.429 COMP728) (0.425 COMP2122/COMP2126) (0.422 COMP2128) (0.410 COMP2044) (0.409 COMP2140/COMP2387) (0.404 COMP2124/COMP2135/COMP2136) (0.400 COMP354) (0.393 COMP2106/COMP2113) (0.384 COMP1559) (0.378 COMP188) (0.372 COMP322) (0.349 COMP1400/COMP2131) (0.298 COMP2279) (0.218 COMP2383) (0.191 COMP2381)
LDLR expression enhancer	0.526	COMP258	(0.513 COMP2387) (0.497 COMP2388) (0.431 COMP685) (0.375 COMP2385) (0.323 COMP188) (0.320 COMP2131) (0.314 COMP354) (0.312 COMP887) (0.307 COMP728) (0.306 COMP271) (0.295 COMP1559) (0.266 COMP389) (0.262 COMP60) (0.259 COMP1558) (0.255 COMP2171) (0.249 COMP697/COMP889) (0.235 COMP2129) (0.227 COMP1400) (0.216 COMP2378) (0.208 COMP322) (0.163 COMP1683) (0.160 COMP2140) (0.157 COMP2044) (0.137 COMP463/COMP774)
NOS2 expression inhibitor	0.963	COMP2386	(0.931 COMP2378) (0.917 COMP2379) (0.894 COMP2171) (0.890 COMP2385) (0.824 COMP2387) (0.794 COMP354) (0.764 COMP1558) (0.762 COMP1559) (0.724 COMP2131) (0.713 COMP2388) (0.688 COMP258) (0.649 COMP887) (0.618 COMP1400) (0.614 COMP2129) (0.585 COMP389) (0.582 COMP188) (0.558 COMP697/COMP889) (0.555 COMP728) (0.508 COMP271) (0.498 COMP2140) (0.494 COMP2044) (0.485 COMP2121/COMP2125) (0.466 COMP463/COMP774) (0.457 COMP60) (0.443 COMP1683) (0.431 COMP685) (0.406 COMP2110) (0.385 COMP2114) (0.365 COMP2137) (0.362 COMP2108) (0.361 COMP322) (0.358 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.356 COMP2117/COMP2126/COMP2132) (0.345 COMP2122) (0.339 COMP2123) (0.334 COMP2383) (0.306 COMP2115/COMP2118/COMP2120/COMP2124/COMP2135/COMP2136) (0.290 COMP2106/COMP2113) (0.287 COMP2128) (0.249 COMP2279) (0.221 COMP2380) (0.187 COMP2119) (0.153 COMP2381) (0.149 COMP2384)
NOS3 expression enhancer	0.767	COMP463/COMP774	(0.700 COMP2386) (0.673 COMP389) (0.672 COMP697/COMP889) (0.587 COMP2379) (0.552 COMP728) (0.550 COMP887) (0.541 COMP2385) (0.490 COMP2378) (0.485 COMP2171) (0.381 COMP60) (0.361 COMP258) (0.339 COMP2388) (0.329 COMP2044) (0.316 COMP2140/COMP354) (0.309 COMP2129) (0.292 COMP2381) (0.289 COMP2387) (0.283 COMP271) (0.275 COMP1400) (0.270 COMP1559) (0.209 COMP2131) (0.202 COMP1558) (0.199 COMP322) (0.168 COMP188) (0.156 COMP2383) (0.135 COMP2124) (0.126 COMP2117/COMP2132) (0.124 COMP1683)
NOS3 expression inhibitor	0.813	COMP258	(0.801 COMP2388) (0.765 COMP2379) (0.714 COMP2387) (0.628 COMP2171) (0.619 COMP2386) (0.614 COMP2385) (0.603 COMP2378) (0.583 COMP2110) (0.564 COMP463/COMP774) (0.558 COMP2114) (0.554 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.547 COMP2117/COMP2132) (0.545 COMP2123) (0.541 COMP2137) (0.529 COMP2121/COMP2125) (0.526 COMP697/COMP889) (0.519 COMP2115/COMP2118/COMP2120) (0.518 COMP2128) (0.513 COMP354) (0.506 COMP389) (0.504 COMP2108/COMP2122) (0.502 COMP1559) (0.500 COMP2126) (0.477 COMP1080) (0.470 COMP2124/COMP2135/COMP2136) (0.459 COMP2044) (0.458 COMP2106/COMP2113) (0.454 COMP887) (0.451 COMP60) (0.447 COMP2119) (0.444 COMP1558) (0.437 COMP2140) (0.435 COMP2131) (0.429 COMP728) (0.402 COMP2129) (0.400 COMP271) (0.368 COMP322) (0.353 COMP1400) (0.334 COMP188) (0.296 COMP2279) (0.282 COMP1683) (0.269 COMP2383)
TNF expression inhibitor	0.973	COMP2387	(0.945 COMP2388) (0.931 COMP258) (0.918 COMP2379) (0.905 COMP685) (0.882 COMP2171) (0.856 COMP2382) (0.840 COMP2044) (0.833 COMP887) (0.828 COMP2385) (0.804 COMP2128) (0.801 COMP389) (0.794 COMP2140) (0.793 COMP2123) (0.772 COMP697/COMP889) (0.764 COMP188) (0.760 COMP728) (0.753 COMP2137) (0.747 COMP2105/COMP2107/COMP2109/COMP2112/COMP2116) (0.744 COMP354) (0.735 COMP2110) (0.726 COMP2378) (0.711 COMP2129) (0.709 COMP1559) (0.699 COMP2114) (0.694 COMP2122) (0.669 COMP2115/COMP2118/COMP2120) (0.661 COMP2131) (0.658 COMP2117/COMP2132) (0.651 COMP271) (0.636 COMP463/COMP774) (0.621 COMP2121/COMP2125) (0.619 COMP60) (0.603 COMP2124/COMP2135/COMP2136) (0.596 COMP1558) (0.594 COMP2126) (0.584 COMP2106/COMP2113) (0.577 COMP2108) (0.546 COMP2386) (0.517 COMP322) (0.496 COMP1400) (0.479 COMP1683) (0.421 COMP2380) (0.354 COMP2383) (0.341 COMP2119) (0.293 COMP2381) (0.234 COMP2377)
