Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.788	COMP685	(0.495 COMP188) (0.307 COMP697/COMP889) (0.306 COMP389) (0.274 COMP258) (0.271 COMP2388) (0.254 COMP887) (0.245 COMP728) (0.220 COMP2387) (0.219 COMP2044) (0.179 COMP2140) (0.152 COMP60) (0.151 COMP2129) (0.144 COMP1080) (0.137 COMP463/COMP774) (0.135 COMP271) (0.133 COMP2121/COMP2125) (0.131 COMP2105/COMP2107/COMP2109/COMP2110/COMP2112/COMP2116) (0.127 COMP2137) (0.124 COMP1400/COMP2114) (0.123 COMP2380) (0.121 COMP2115/COMP2117/COMP2118/COMP2120/COMP2132) (0.119 COMP2108) (0.118 COMP2123/COMP2128) (0.117 COMP322) (0.116 COMP2122) (0.108 COMP2124/COMP2126/COMP2135/COMP2136) (0.107 COMP2106/COMP2113) (0.106 COMP2119)
Aldehyde dehydrogenase substrate	0.422	COMP685	(0.219 COMP389) (0.217 COMP60) (0.211 COMP697/COMP889) (0.206 COMP887) (0.202 COMP271) (0.188 COMP728) (0.182 COMP188) (0.180 COMP2380) (0.177 COMP2129) (0.176 COMP2044) (0.173 COMP2140) (0.156 COMP1400) (0.149 COMP322) (0.135 COMP2381/COMP2384) (0.118 COMP463/COMP774) (0.102 COMP2387) (0.101 COMP2383) (0.099 COMP1683) (0.098 COMP2377)
Aldehyde oxidase substrate	0.322	COMP60	(0.303 COMP271) (0.279 COMP322) (0.265 COMP2377) (0.242 COMP1080) (0.238 COMP2381) (0.219 COMP389) (0.205 COMP887) (0.189 COMP2140) (0.183 COMP354) (0.180 COMP697/COMP889) (0.173 COMP728) (0.170 COMP1559) (0.166 COMP2044) (0.163 COMP2383) (0.161 COMP2131) (0.156 COMP188) (0.149 COMP1558) (0.147 COMP2380) (0.146 COMP2129)
Aldose reductase substrate	0.716	COMP1080	(0.443 COMP2379) (0.355 COMP2378) (0.309 COMP2386) (0.267 COMP463/COMP774) (0.204 COMP697/COMP889) (0.197 COMP2044) (0.190 COMP389) (0.182 COMP728) (0.180 COMP887) (0.167 COMP2140) (0.165 COMP60) (0.161 COMP322) (0.159 COMP271) (0.131 COMP2385) (0.130 COMP1559)
Arylamine N-Acetyltransferase substrate	0.350	COMP60	(0.238 COMP271) (0.234 COMP322) (0.219 COMP697/COMP889) (0.211 COMP2381) (0.185 COMP389) (0.158 COMP354) (0.156 COMP1559) (0.136 COMP2383) (0.115 COMP887) (0.099 COMP728) (0.098 COMP188) (0.095 COMP1400) (0.090 COMP2377) (0.087 COMP2044) (0.071 COMP2131)
CYP1A2 inhibitor	0.896	COMP1558	(0.837 COMP354) (0.816 COMP1559) (0.772 COMP2131) (0.701 COMP2171) (0.458 COMP2129) (0.436 COMP2385) (0.430 COMP887) (0.400 COMP728) (0.366 COMP685) (0.362 COMP389) (0.352 COMP697/COMP889) (0.317 COMP2379) (0.260 COMP271) (0.250 COMP188) (0.245 COMP1683) (0.228 COMP2381) (0.217 COMP60) (0.211 COMP2378) (0.206 COMP2377) (0.178 COMP322) (0.174 COMP2140)
CYP1A2 substrate	0.946	COMP2382/COMP2385	(0.935 COMP685) (0.928 COMP2171) (0.624 COMP354) (0.602 COMP1559) (0.585 COMP728) (0.574 COMP697/COMP889) (0.569 COMP389) (0.564 COMP887) (0.541 COMP2383) (0.519 COMP2131) (0.498 COMP2380) (0.479 COMP2140) (0.444 COMP1558) (0.403 COMP2129) (0.398 COMP2379) (0.393 COMP2378) (0.359 COMP60) (0.354 COMP271) (0.350 COMP2377) (0.299 COMP2044) (0.293 COMP1400) (0.275 COMP322) (0.265 COMP2384) (0.264 COMP463/COMP774) (0.259 COMP258) (0.253 COMP2386) (0.244 COMP1080) (0.229 COMP188) (0.225 COMP2381) (0.224 COMP2388) (0.206 COMP1683) (0.198 COMP2387)
CYP24 inhibitor	0.041	COMP258	(0.038 COMP2387/COMP2388)
CYP2A6 inhibitor	0.280	COMP188	(0.271 COMP2377) (0.155 COMP1558) (0.132 COMP2381) (0.122 COMP322) (0.110 COMP2131) (0.073 COMP1559)
CYP2B6 inhibitor	0.646	COMP685	(0.462 COMP188) (0.451 COMP354) (0.438 COMP1559) (0.411 COMP2131) (0.388 COMP1558) (0.320 COMP887) (0.317 COMP697/COMP889) (0.315 COMP389) (0.286 COMP728) (0.245 COMP2377) (0.243 COMP271) (0.239 COMP322) (0.238 COMP60) (0.236 COMP2129/COMP2171) (0.230 COMP2385) (0.208 COMP2380) (0.178 COMP1400) (0.171 COMP2044) (0.166 COMP2140) (0.146 COMP2378)
