Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.041	COMP1752	(0.039 COMP1751) (0.037 COMP1750) (0.031 COMP288/COMP290) (0.029 COMP292/COMP45) (0.027 COMP1743)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.300	COMP290	(0.295 COMP292) (0.247 COMP288) (0.243 COMP45) (0.217 COMP1751) (0.125 COMP1752) (0.099 COMP1750)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.888	COMP45	(0.867 COMP288) (0.856 COMP292) (0.827 COMP290) (0.284 COMP1751) (0.086 COMP1752) (0.041 COMP1750)
12-Lipoxygenase inhibitor	0.493	COMP1746	(0.301 COMP1749)
15-Lipoxygenase inhibitor	0.578	COMP1746	(0.236 COMP1749)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.267	COMP1750	(0.162 COMP1751) (0.157 COMP1752) (0.147 COMP292) (0.094 COMP290) (0.051 COMP45) (0.039 COMP288)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.012	COMP1750/COMP1752/COMP292	(0.011 COMP1751)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.053	COMP1746	(0.049 COMP290)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.065	COMP1746	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.160	COMP1746	
3C-Like protease (SARS coronavirus) inhibitor	0.158	COMP288	(0.148 COMP45) (0.141 COMP290) (0.131 COMP292) (0.095 COMP1746) (0.089 COMP1750) (0.084 COMP1751)
3C-like protease (Human coronavirus) inhibitor	0.209	COMP1749	(0.138 COMP1746)
5 Hydroxytryptamine 1 agonist	0.073	COMP1744	
5 Hydroxytryptamine 1 antagonist	0.095	COMP1747	
5 Hydroxytryptamine 1A agonist	0.138	COMP1744	
5 Hydroxytryptamine 1A antagonist	0.089	COMP1747	
5 Hydroxytryptamine 1E antagonist	0.253	COMP1747	
5 Hydroxytryptamine 1F antagonist	0.092	COMP1747	
5 Hydroxytryptamine 2A antagonist	0.074	COMP1745/COMP1748	
5 Hydroxytryptamine 2B antagonist	0.136	COMP1747	
5 Hydroxytryptamine 3E antagonist	0.178	COMP1749	
5 Hydroxytryptamine 6 antagonist	0.061	COMP1747	
5 Hydroxytryptamine 7 agonist	0.053	COMP1747	
5 Hydroxytryptamine 7 antagonist	0.100	COMP1747	
5 Hydroxytryptamine agonist	0.061	COMP1744	
5 Hydroxytryptamine antagonist	0.117	COMP1747	
5 Hydroxytryptamine release inhibitor	0.561	COMP1749	(0.547 COMP1746)
5 Hydroxytryptamine release stimulant	0.849	COMP288	(0.828 COMP290) (0.753 COMP45) (0.711 COMP292) (0.656 COMP1747) (0.578 COMP1745/COMP1748) (0.333 COMP1749)
5 Hydroxytryptamine uptake stimulant	0.402	COMP1746	(0.377 COMP1747) (0.333 COMP1749)
5-Alpha-reductase 1 inhibitor	0.078	COMP1750	(0.076 COMP45) (0.062 COMP292) (0.017 COMP288) (0.015 COMP1746)
5-Alpha-reductase 2 inhibitor	0.089	COMP1750	(0.040 COMP292) (0.036 COMP45) (0.025 COMP1746) (0.018 COMP1752/COMP290)
5-Alpha-reductase inhibitor	0.268	COMP1750	(0.220 COMP45) (0.195 COMP292) (0.184 COMP288) (0.153 COMP290) (0.122 COMP1746) (0.087 COMP1752) (0.075 COMP1751)
5-Lipoxygenase inhibitor	0.337	COMP1746	(0.199 COMP1749)
ABCA1 expression enhancer	0.201	COMP1746	(0.191 COMP288) (0.185 COMP290) (0.149 COMP45) (0.140 COMP292) (0.119 COMP1750) (0.107 COMP1751) (0.091 COMP1752)
AMP-activated protein kinase stimulant	0.648	COMP290	(0.528 COMP292) (0.467 COMP288) (0.331 COMP45) (0.244 COMP1746) (0.122 COMP1749)
AR expression inhibitor	0.776	COMP290	(0.722 COMP288) (0.681 COMP292) (0.635 COMP45) (0.493 COMP1751) (0.484 COMP1746) (0.450 COMP1750) (0.413 COMP1752) (0.326 COMP1743) (0.234 COMP1749) (0.203 COMP1747)
ATP citrate lysase inhibitor	0.079	COMP1746	
ATPase (Vacuolar H+) inhibitor	0.182	COMP1749	(0.143 COMP1745/COMP1748) (0.102 COMP1750) (0.098 COMP1752) (0.097 COMP1743) (0.083 COMP1746)
ATPase inhibitor	0.315	COMP1749	(0.267 COMP1743) (0.215 COMP1746) (0.194 COMP1745/COMP1748)
Abortion inducer	0.465	COMP45	(0.464 COMP292) (0.445 COMP288) (0.444 COMP290) (0.429 COMP1746) (0.404 COMP1750) (0.333 COMP1752) (0.248 COMP1751) (0.175 COMP1743) (0.174 COMP1749)
Acaricide	0.253	COMP1749	(0.193 COMP1746)
Acetyl-CoA transferase 1 inhibitor	0.049	COMP288	(0.046 COMP45) (0.040 COMP1749)
Acetyl-CoA transferase 2 inhibitor	0.128	COMP288	(0.123 COMP45) (0.089 COMP290) (0.085 COMP292) (0.066 COMP1746) (0.059 COMP1749) (0.052 COMP1751)
Acetyl-CoA transferase inhibitor	0.136	COMP288	(0.134 COMP45) (0.098 COMP290/COMP292) (0.058 COMP1749)
Acetylcholine M1 receptor antagonist	0.318	COMP1745/COMP1748	(0.266 COMP1747)
Acetylcholine M2 receptor agonist	0.062	COMP1744	
Acetylcholine M3 receptor agonist	0.152	COMP1744	(0.122 COMP1745/COMP1748) (0.081 COMP1747)
Acetylcholine M4 receptor agonist	0.041	COMP1744	
Acetylcholine M4 receptor antagonist	0.092	COMP1747	
Acetylcholine M5 receptor agonist	0.068	COMP1749	
Acetylcholine agonist	0.092	COMP1744	(0.078 COMP1747)
Acetylcholine antagonist	0.202	COMP1747	(0.158 COMP1745/COMP1748) (0.129 COMP1744)
Acetylcholine muscarinic agonist	0.072	COMP1744	
Acetylcholine muscarinic antagonist	0.153	COMP1747	(0.147 COMP1745/COMP1748) (0.103 COMP1744)
Acetylcholine nicotinic antagonist	0.159	COMP1747	(0.084 COMP1744)
Acetylcholine release stimulant	0.123	COMP1749	
Acetylcholinesterase inhibitor	0.260	COMP1747	(0.259 COMP1749) (0.254 COMP1745/COMP1748) (0.139 COMP1752) (0.133 COMP290) (0.131 COMP292) (0.130 COMP1751) (0.117 COMP288) (0.116 COMP45)
Aconitate hydratase inhibitor	0.100	COMP1746	(0.049 COMP1749)
Actinic keratosis treatment	0.287	COMP1746	(0.148 COMP1750) (0.122 COMP45) (0.116 COMP288) (0.101 COMP292) (0.098 COMP1749) (0.097 COMP290) (0.095 COMP1751) (0.094 COMP1752)
Acute respiratory distress syndrome (ARDS) treatment	0.436	COMP288	(0.419 COMP290) (0.376 COMP45) (0.345 COMP292) (0.183 COMP1743)
Acyl-CoA dehydrogenase inhibitor	0.056	COMP1746	
Adenine nucleotide translocase inhibitor	0.065	COMP1743/COMP1746	
Adenosine A1 receptor agonist	0.021	COMP1743	
Adenosine deaminase inhibitor	0.045	COMP1746	
Adenylate cyclase 1 inhibitor	0.059	COMP288	(0.048 COMP290)
Adenylate cyclase inhibitor	0.137	COMP1746	
Adenylate cyclase stimulant	0.225	COMP288	(0.213 COMP290) (0.193 COMP45) (0.184 COMP292) (0.183 COMP1746) (0.153 COMP1750) (0.136 COMP1751) (0.134 COMP1752) (0.122 COMP1749)
Adenylate kinase inhibitor	0.219	COMP1746	
Adrenaline agonist	0.110	COMP1746	
Adrenaline antagonist	0.185	COMP1745/COMP1748	(0.104 COMP1747)
Alcohol dehydrogenase inhibitor	0.169	COMP1746	
Alcohol dehydrogenase substrate	0.195	COMP1750	(0.166 COMP1751) (0.159 COMP1752) (0.128 COMP1746) (0.125 COMP290) (0.124 COMP1743) (0.117 COMP288) (0.116 COMP292) (0.112 COMP1744) (0.109 COMP45)
Alcohol oxidase inhibitor	0.193	COMP1746	(0.057 COMP1749)
Aldehyde dehydrogenase inhibitor	0.134	COMP1746	(0.104 COMP1749) (0.102 COMP1743)
Aldehyde dehydrogenase substrate	0.208	COMP1743	(0.187 COMP1744) (0.153 COMP1746)
Aldehyde oxidase inhibitor	0.648	COMP1746	(0.645 COMP1749) (0.561 COMP1745/COMP1748) (0.157 COMP1747)
Aldehyde oxidase substrate	0.217	COMP1749	
Aldose reductase inhibitor	0.259	COMP1746	
Aldose reductase substrate	0.542	COMP1743	(0.215 COMP1746) (0.157 COMP1744)
Aldosterone antagonist	0.261	COMP290	(0.201 COMP292) (0.179 COMP288) (0.135 COMP45) (0.046 COMP1749)
Alkaline phosphatase inhibitor	0.212	COMP1746	(0.166 COMP1749)
Alkylator	0.355	COMP1743	(0.151 COMP1749) (0.131 COMP1745/COMP1748) (0.102 COMP1746)
Allergic rhinitis treatment	0.195	COMP1746	
Alpha 1 adrenoreceptor antagonist	0.172	COMP1745/COMP1748	(0.122 COMP1747)
Alpha 1a adrenoreceptor antagonist	0.141	COMP1745/COMP1748	(0.115 COMP1747)
Alpha 2 adrenoreceptor antagonist	0.295	COMP1745/COMP1748	(0.245 COMP1747)
Alpha 2a adrenoreceptor antagonist	0.200	COMP1747	(0.160 COMP1745/COMP1748)
Alpha 2b adrenoreceptor antagonist	0.183	COMP1747	(0.178 COMP1745/COMP1748)
Alpha 2c adrenoreceptor antagonist	0.226	COMP1747	(0.212 COMP1745/COMP1748)
Alpha 2d adrenoreceptor antagonist	0.108	COMP1747	
Alpha adrenoreceptor antagonist	0.315	COMP1745/COMP1748	(0.201 COMP1747)
Alpha tubulin antagonist	0.140	COMP1749	(0.101 COMP1745/COMP1748) (0.090 COMP1746)
Alpha-N-acetylglucosaminidase inhibitor	0.439	COMP1743	(0.332 COMP1746) (0.153 COMP1749)
Alpha-glucosidase inhibitor	0.583	COMP292	(0.560 COMP1743) (0.557 COMP290) (0.513 COMP1746) (0.424 COMP45) (0.402 COMP1749) (0.400 COMP288)
Alpha-mannosidase inhibitor	0.150	COMP1743	(0.048 COMP1746)
Alzheimer's disease treatment	0.693	COMP1743	(0.670 COMP1744) (0.656 COMP1751) (0.580 COMP1752) (0.326 COMP290) (0.294 COMP1745/COMP1748) (0.291 COMP292) (0.249 COMP288)
Aminopeptidase B inhibitor	0.130	COMP1746	
Aminopeptidase I inhibitor	0.091	COMP1746	
Amylase inhibitor	0.536	COMP1743	(0.532 COMP1746) (0.328 COMP1749) (0.196 COMP290) (0.164 COMP1750) (0.159 COMP292) (0.102 COMP288)
Amyloid beta aggregation inhibitor	0.549	COMP1743	(0.444 COMP1746) (0.292 COMP1749) (0.128 COMP1745/COMP1748)
Amyloid beta precursor protein antagonist	0.186	COMP1746	
Amyotrophic lateral sclerosis treatment	0.197	COMP288	(0.194 COMP1745/COMP1748) (0.187 COMP290)
