Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.465	COMP45	(0.464 COMP292) (0.445 COMP288) (0.444 COMP290) (0.429 COMP1746) (0.404 COMP1750) (0.333 COMP1752) (0.248 COMP1751) (0.175 COMP1743) (0.174 COMP1749)
Carcinogenic	0.527	COMP1751	(0.403 COMP1750) (0.391 COMP1746) (0.364 COMP292) (0.353 COMP45) (0.345 COMP1752) (0.342 COMP290) (0.338 COMP1749) (0.329 COMP288)
Carcinogenic. group 1	0.371	COMP1749	(0.193 COMP1743) (0.160 COMP1746) (0.142 COMP1745/COMP1748)
Carcinogenic. group 2A	0.217	COMP1749	(0.163 COMP1743)
Carcinogenic. group 2B	0.294	COMP1749	
Carcinogenic. group 3	0.205	COMP1749	(0.134 COMP1746)
Cardiodepressant	0.721	COMP288	(0.638 COMP290) (0.562 COMP1747) (0.558 COMP45) (0.538 COMP1749) (0.488 COMP1745/COMP1748) (0.421 COMP292) (0.370 COMP1746)
Cytotoxic	0.602	COMP290	(0.590 COMP288) (0.584 COMP1751) (0.581 COMP1750) (0.561 COMP1752) (0.549 COMP292) (0.537 COMP45) (0.529 COMP1743) (0.344 COMP1749) (0.280 COMP1746) (0.153 COMP1745/COMP1748)
DNA damaging	0.415	COMP1749	(0.414 COMP1745/COMP1748) (0.378 COMP1743) (0.241 COMP1746) (0.231 COMP1751) (0.224 COMP1750)
Embryotoxic	0.715	COMP1747	(0.696 COMP1750) (0.463 COMP1746) (0.342 COMP1752) (0.322 COMP1749) (0.228 COMP288) (0.223 COMP1743) (0.217 COMP45) (0.170 COMP290) (0.161 COMP292) (0.160 COMP1751)
Eye irritation. high	0.302	COMP1746	(0.209 COMP1749) (0.143 COMP1750)
Genotoxic	0.427	COMP1749	(0.300 COMP1746) (0.192 COMP1743) (0.170 COMP1745/COMP1748) (0.137 COMP1747)
Hypoglycemic	0.670	COMP1743	(0.592 COMP290) (0.576 COMP292) (0.556 COMP288) (0.546 COMP1751) (0.539 COMP45) (0.506 COMP1746) (0.503 COMP1752) (0.490 COMP1750) (0.236 COMP1749)
Mutagenic	0.752	COMP1743	(0.333 COMP1749) (0.287 COMP1746) (0.235 COMP1745/COMP1748) (0.178 COMP1750) (0.143 COMP1752) (0.111 COMP1751)
Pneumotoxic	0.536	COMP1747	(0.470 COMP1749) (0.429 COMP1746) (0.260 COMP1745/COMP1748)
Sedative	0.544	COMP1747	(0.202 COMP1750) (0.189 COMP1743) (0.133 COMP45)
Sensitization	0.776	COMP1746	(0.766 COMP1747) (0.721 COMP288) (0.632 COMP290) (0.620 COMP1750) (0.569 COMP45) (0.532 COMP1743) (0.452 COMP292) (0.403 COMP1749) (0.332 COMP1752) (0.255 COMP1751) (0.209 COMP1745/COMP1748)
Skin irritative effect	0.200	COMP1746	(0.173 COMP1750) (0.123 COMP1749) (0.103 COMP1752)
Teratogen	0.746	COMP1747	(0.720 COMP1750) (0.494 COMP1746) (0.360 COMP1749/COMP1752) (0.275 COMP288) (0.268 COMP45) (0.243 COMP1743) (0.201 COMP290) (0.196 COMP292) (0.168 COMP1751)
Toxic. respiratory center	0.709	COMP1747	(0.214 COMP1745/COMP1748) (0.196 COMP1750) (0.193 COMP45) (0.172 COMP292) (0.164 COMP288) (0.157 COMP1752) (0.140 COMP290)
Ulceration	0.775	COMP1746	(0.606 COMP1749)
