Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.509	COMP994	(0.346 COMP697) (0.324 COMP389/COMP390) (0.309 COMP1758) (0.231 COMP55) (0.159 COMP62) (0.153 COMP631) (0.142 COMP1775) (0.141 COMP1820) (0.140 COMP1818) (0.139 COMP1821) (0.132 COMP1754) (0.128 COMP271) (0.125 COMP1777) (0.122 COMP1784/COMP1787/COMP1809) (0.119 COMP322) (0.099 COMP1785/COMP1788/COMP1792) (0.094 COMP1812) (0.093 COMP1759)
AR expression inhibitor	0.881	COMP1759	(0.821 COMP1755) (0.703 COMP991) (0.659 COMP389/COMP390) (0.652 COMP697) (0.635 COMP1758) (0.590 COMP1775) (0.577 COMP1754) (0.572 COMP1818) (0.559 COMP994) (0.512 COMP1821) (0.486 COMP1779) (0.479 COMP62) (0.474 COMP271) (0.449 COMP212) (0.425 COMP1784/COMP1787/COMP1809) (0.411 COMP55) (0.403 COMP1770) (0.393 COMP1812) (0.383 COMP1777) (0.379 COMP1796) (0.371 COMP631) (0.363 COMP322) (0.362 COMP1782/COMP1797/COMP1806/COMP1807) (0.354 COMP1804) (0.349 COMP1802) (0.344 COMP1801) (0.342 COMP1805) (0.339 COMP446) (0.336 COMP1757/COMP1815) (0.329 COMP1785/COMP1788/COMP1792) (0.328 COMP1766) (0.327 COMP793) (0.326 COMP1743) (0.325 COMP1794) (0.322 COMP1820) (0.317 COMP1808) (0.315 COMP1793) (0.311 COMP1800) (0.297 COMP1795) (0.296 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.295 COMP1798) (0.294 COMP1813) (0.291 COMP1789) (0.283 COMP853) (0.279 COMP1803) (0.277 COMP1816) (0.265 COMP1817) (0.260 COMP1765/COMP1819) (0.246 COMP1762/COMP1771) (0.242 COMP1823) (0.234 COMP1749) (0.222 COMP1767) (0.203 COMP1747/COMP1799) (0.195 COMP1781) (0.194 COMP1760/COMP1769) (0.181 COMP1810)
CTGF expression inhibitor	0.889	COMP1759	(0.865 COMP212) (0.846 COMP1755) (0.821 COMP1758/COMP389/COMP390) (0.807 COMP697) (0.777 COMP1770) (0.677 COMP271) (0.648 COMP1818) (0.638 COMP991) (0.614 COMP994) (0.610 COMP322) (0.521 COMP55) (0.502 COMP631) (0.498 COMP1781) (0.467 COMP853) (0.449 COMP1820) (0.412 COMP1762/COMP1771) (0.384 COMP1760/COMP1769) (0.362 COMP1812) (0.360 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.317 COMP1766) (0.304 COMP1749) (0.303 COMP1767) (0.299 COMP1785/COMP1788/COMP1792) (0.284 COMP62) (0.265 COMP1753/COMP1774/COMP1817/COMP1824) (0.254 COMP1784/COMP1787/COMP1809) (0.252 COMP1813) (0.249 COMP1757/COMP1765/COMP1810/COMP1815/COMP1819) (0.243 COMP1789) (0.223 COMP1802) (0.214 COMP1779) (0.212 COMP1773/COMP1814) (0.207 COMP793)
GRP78 expression inhibitor	0.055	COMP991	(0.041 COMP994) (0.038 COMP55/COMP631) (0.034 COMP1820) (0.032 COMP1762/COMP1771) (0.031 COMP1781) (0.030 COMP322) (0.029 COMP1812) (0.027 COMP1810) (0.025 COMP271) (0.023 COMP1743) (0.022 COMP1749) (0.021 COMP697) (0.020 COMP1779/COMP212)
ICAM1 expression inhibitor	0.589	COMP991	(0.581 COMP1781) (0.524 COMP1779) (0.496 COMP1766) (0.495 COMP62) (0.481 COMP1775) (0.480 COMP389/COMP390) (0.476 COMP697) (0.468 COMP1758) (0.450 COMP1759) (0.449 COMP1743) (0.442 COMP1821) (0.432 COMP271) (0.416 COMP1755) (0.413 COMP1777) (0.406 COMP1804) (0.403 COMP994) (0.394 COMP1818) (0.385 COMP631) (0.384 COMP1762/COMP1771) (0.379 COMP1749) (0.372 COMP322) (0.368 COMP1754) (0.356 COMP1770) (0.339 COMP1820) (0.331 COMP1805/COMP212) (0.321 COMP446) (0.312 COMP1808) (0.311 COMP1800) (0.302 COMP1793) (0.290 COMP55) (0.280 COMP1796) (0.269 COMP1802) (0.263 COMP1784/COMP1787/COMP1809) (0.250 COMP1794/COMP1816) (0.242 COMP1812) (0.227 COMP1767) (0.209 COMP1823/COMP993) (0.204 COMP1078) (0.197 COMP1772) (0.196 COMP1785/COMP1788/COMP1792) (0.192 COMP1760/COMP1769)
LDLR expression enhancer	0.636	COMP1765/COMP1819	(0.495 COMP1757/COMP1815) (0.485 COMP1817) (0.351 COMP1745/COMP1748/COMP1783/COMP1786) (0.345 COMP1763/COMP1780) (0.323 COMP1770) (0.306 COMP271) (0.304 COMP1813) (0.303 COMP1773/COMP1814) (0.297 COMP1755) (0.281 COMP1078/COMP1749) (0.279 COMP1754) (0.270 COMP1772/COMP1785/COMP1788/COMP1792) (0.266 COMP389/COMP390) (0.258 COMP1758/COMP1775) (0.256 COMP1784/COMP1787/COMP1809) (0.249 COMP697) (0.248 COMP1759) (0.244 COMP793) (0.239 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.237 COMP1132) (0.231 COMP993) (0.228 COMP1803) (0.217 COMP1747/COMP1799/COMP1818) (0.214 COMP1753/COMP1774/COMP1824) (0.212 COMP1794) (0.211 COMP991) (0.210 COMP994) (0.208 COMP322) (0.201 COMP1789) (0.197 COMP1795) (0.196 COMP631) (0.193 COMP1781/COMP1801) (0.191 COMP1802) (0.190 COMP1767) (0.189 COMP1793) (0.181 COMP1798) (0.179 COMP1816) (0.177 COMP1760/COMP1769) (0.176 COMP1800) (0.175 COMP1762/COMP1771) (0.167 COMP1820/COMP1823) (0.166 COMP446) (0.153 COMP212) (0.145 COMP1804) (0.144 COMP1812) (0.143 COMP853)
NOS2 expression inhibitor	0.842	COMP1779	(0.786 COMP1755) (0.768 COMP1759) (0.767 COMP62) (0.748 COMP1766) (0.711 COMP1770) (0.585 COMP389/COMP390) (0.575 COMP1758) (0.561 COMP1781) (0.560 COMP1775) (0.558 COMP697) (0.540 COMP1818) (0.522 COMP1749) (0.509 COMP1754) (0.508 COMP271) (0.493 COMP1821) (0.486 COMP991) (0.405 COMP212) (0.401 COMP993) (0.393 COMP1820) (0.385 COMP1762/COMP1771) (0.378 COMP1812) (0.374 COMP994) (0.367 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.364 COMP1777) (0.361 COMP322) (0.355 COMP1743) (0.341 COMP1772) (0.339 COMP1782/COMP1797/COMP1806/COMP1807) (0.334 COMP631) (0.332 COMP1078) (0.321 COMP55) (0.305 COMP1132) (0.298 COMP1765/COMP1819) (0.284 COMP1745/COMP1748/COMP1783/COMP1786) (0.280 COMP1767) (0.272 COMP1784/COMP1787/COMP1809) (0.262 COMP1753/COMP1774/COMP1824) (0.258 COMP1763/COMP1780) (0.256 COMP1817) (0.243 COMP1757/COMP1815) (0.240 COMP1813) (0.239 COMP1760/COMP1769) (0.229 COMP1802) (0.225 COMP1773/COMP1814) (0.217 COMP1796) (0.215 COMP1798) (0.211 COMP1805) (0.209 COMP1785/COMP1788/COMP1792) (0.208 COMP1801/COMP1810) (0.203 COMP1789) (0.199 COMP1803) (0.186 COMP1794) (0.182 COMP1811) (0.178 COMP793) (0.170 COMP1808) (0.168 COMP446) (0.161 COMP1768) (0.151 COMP1795) (0.148 COMP853)
NOS3 expression enhancer	0.673	COMP389/COMP390	(0.672 COMP697) (0.656 COMP1758) (0.607 COMP1759) (0.584 COMP991) (0.539 COMP1779) (0.487 COMP994) (0.390 COMP1818) (0.365 COMP62) (0.356 COMP1755) (0.353 COMP1743) (0.283 COMP271) (0.209 COMP1801) (0.203 COMP631) (0.199 COMP322) (0.178 COMP1813) (0.168 COMP1802) (0.163 COMP1789) (0.162 COMP1773/COMP1814/COMP212) (0.153 COMP1784/COMP1787/COMP1809) (0.152 COMP1803) (0.145 COMP1796) (0.141 COMP1794) (0.139 COMP1782/COMP1797/COMP1806/COMP1807) (0.135 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778/COMP1785/COMP1788/COMP1792/COMP446) (0.130 COMP1747/COMP1795/COMP1799)
NOS3 expression inhibitor	0.927	COMP1762/COMP1771	(0.893 COMP62) (0.852 COMP1781) (0.803 COMP991) (0.770 COMP1818) (0.714 COMP1759) (0.660 COMP1779) (0.649 COMP1775) (0.622 COMP1754) (0.609 COMP1821) (0.600 COMP1743) (0.557 COMP55) (0.542 COMP1755) (0.526 COMP697) (0.515 COMP1820) (0.511 COMP1758) (0.506 COMP389/COMP390) (0.499 COMP994) (0.482 COMP853) (0.433 COMP1770) (0.412 COMP1785/COMP1788/COMP1792) (0.400 COMP1784/COMP1787/COMP1809/COMP271) (0.394 COMP1802) (0.389 COMP212) (0.376 COMP1777) (0.369 COMP1794) (0.368 COMP322) (0.335 COMP1782/COMP1797/COMP1806/COMP1807) (0.333 COMP1798) (0.328 COMP446) (0.324 COMP1795) (0.321 COMP1805) (0.317 COMP1766) (0.314 COMP631) (0.308 COMP1796) (0.305 COMP1793) (0.301 COMP1800) (0.297 COMP1808) (0.295 COMP1804) (0.294 COMP1789) (0.285 COMP1803) (0.282 COMP1801) (0.281 COMP1812) (0.271 COMP1816) (0.260 COMP1817) (0.257 COMP1823) (0.246 COMP1757/COMP1765/COMP1815/COMP1819) (0.239 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.226 COMP1747/COMP1799) (0.221 COMP793) (0.220 COMP1813) (0.215 COMP1790) (0.184 COMP1749)
TNF expression inhibitor	0.942	COMP62	(0.876 COMP1775) (0.801 COMP389/COMP390) (0.788 COMP1779) (0.785 COMP1758) (0.772 COMP697) (0.744 COMP1755) (0.704 COMP1821) (0.695 COMP1770/COMP1820) (0.682 COMP1754) (0.677 COMP1759) (0.651 COMP271) (0.635 COMP991) (0.621 COMP994) (0.606 COMP1818) (0.572 COMP55) (0.566 COMP1749) (0.557 COMP1762/COMP1771) (0.538 COMP1777) (0.534 COMP1781) (0.517 COMP322) (0.485 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.475 COMP1784/COMP1787/COMP1809) (0.474 COMP853) (0.469 COMP1766/COMP212) (0.464 COMP631) (0.438 COMP1812) (0.407 COMP1817) (0.391 COMP1765/COMP1819) (0.389 COMP1813) (0.378 COMP1802) (0.377 COMP1753/COMP1767/COMP1774/COMP1801/COMP1824) (0.376 COMP1773/COMP1814) (0.375 COMP1794) (0.369 COMP1804) (0.357 COMP1796) (0.354 COMP1760/COMP1769) (0.353 COMP1078) (0.334 COMP1757/COMP1815) (0.332 COMP1772/COMP446) (0.330 COMP1793) (0.322 COMP1743/COMP1795) (0.315 COMP1785/COMP1788/COMP1792) (0.307 COMP1782/COMP1797/COMP1806/COMP1807) (0.303 COMP1823) (0.299 COMP793) (0.293 COMP1816) (0.292 COMP1789) (0.289 COMP1800) (0.284 COMP993) (0.279 COMP1798) (0.273 COMP1805) (0.270 COMP1808) (0.269 COMP1763/COMP1780) (0.261 COMP1810) (0.258 COMP1803) (0.252 COMP1132)
