Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.051	COMP1770/COMP631	(0.045 COMP1820/COMP994) (0.041 COMP322) (0.040 COMP1758/COMP1762/COMP1771) (0.038 COMP697) (0.037 COMP271/COMP389/COMP390) (0.036 COMP55)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.019	COMP322	(0.018 COMP994) (0.017 COMP991) (0.015 COMP1770/COMP631) (0.013 COMP212/COMP271/COMP389/COMP390) (0.012 COMP55)
1.3-Beta-glucan synthase inhibitor	0.041	COMP1592/COMP991	(0.038 COMP1821) (0.037 COMP1775/COMP62) (0.033 COMP1754) (0.029 COMP1779) (0.027 COMP1743)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.195	COMP1775	(0.173 COMP1754) (0.149 COMP1785/COMP1788/COMP1792) (0.146 COMP1821) (0.121 COMP1784/COMP1787/COMP1809) (0.076 COMP853) (0.067 COMP1801) (0.053 COMP1789) (0.044 COMP1802)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.414	COMP1775	(0.393 COMP1754) (0.232 COMP1821) (0.044 COMP853) (0.042 COMP991) (0.034 COMP631) (0.033 COMP62) (0.028 COMP322)
12-Lipoxygenase inhibitor	0.823	COMP1759	(0.770 COMP1755) (0.482 COMP271) (0.472 COMP1770) (0.419 COMP1812) (0.399 COMP389/COMP390) (0.395 COMP212) (0.394 COMP1818) (0.380 COMP1758) (0.356 COMP697) (0.325 COMP993) (0.315 COMP1772) (0.308 COMP1813) (0.305 COMP1760/COMP1769) (0.301 COMP1749) (0.290 COMP1132) (0.289 COMP322) (0.280 COMP1757/COMP1815) (0.267 COMP1817) (0.257 COMP631) (0.246 COMP1767) (0.232 COMP1078) (0.231 COMP1765/COMP1819) (0.208 COMP991) (0.204 COMP994) (0.185 COMP1810)
15-Lipoxygenase inhibitor	0.816	COMP1759	(0.769 COMP1755) (0.509 COMP1768) (0.498 COMP1812) (0.491 COMP271) (0.486 COMP389/COMP390) (0.476 COMP212) (0.457 COMP1758) (0.451 COMP1813) (0.435 COMP697) (0.405 COMP1818) (0.383 COMP322) (0.365 COMP1772) (0.361 COMP1770) (0.356 COMP1132) (0.354 COMP1763/COMP1780) (0.351 COMP1757/COMP1815) (0.334 COMP1773/COMP1814) (0.312 COMP631) (0.311 COMP1765/COMP1819) (0.307 COMP1767) (0.302 COMP1078) (0.281 COMP1760/COMP1769) (0.274 COMP1817/COMP993) (0.257 COMP994) (0.253 COMP793) (0.250 COMP991) (0.236 COMP1749)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.322	COMP1775	(0.189 COMP1821) (0.091 COMP1754) (0.050 COMP991) (0.049 COMP62) (0.046 COMP1818) (0.042 COMP212) (0.038 COMP1762/COMP1771)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.016	COMP1754	(0.015 COMP62) (0.012 COMP1775/COMP1821)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.251	COMP212	(0.157 COMP1762/COMP1771) (0.120 COMP991) (0.110 COMP322) (0.108 COMP1818) (0.106 COMP631) (0.105 COMP271) (0.082 COMP1820) (0.069 COMP1758/COMP697/COMP994) (0.068 COMP1759) (0.062 COMP1812) (0.060 COMP55) (0.055 COMP389/COMP390) (0.054 COMP1755) (0.052 COMP1767) (0.051 COMP1789)
