Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.727	COMP212	(0.581 COMP1762/COMP1771) (0.520 COMP994) (0.362 COMP1820) (0.307 COMP697) (0.306 COMP389/COMP390) (0.288 COMP1758) (0.269 COMP62) (0.237 COMP1775) (0.234 COMP1754) (0.222 COMP991) (0.209 COMP1770) (0.185 COMP1818/COMP1821) (0.183 COMP55) (0.153 COMP1779) (0.147 COMP1766) (0.137 COMP631) (0.135 COMP271) (0.131 COMP1784/COMP1787/COMP1809) (0.125 COMP1812) (0.124 COMP1743) (0.117 COMP322) (0.112 COMP1801)
Aldehyde dehydrogenase substrate	0.576	COMP212	(0.232 COMP1762/COMP1771) (0.219 COMP389/COMP390) (0.211 COMP697) (0.210 COMP994) (0.209 COMP1758) (0.208 COMP1743) (0.202 COMP271) (0.201 COMP1770) (0.189 COMP55) (0.186 COMP1820) (0.179 COMP631) (0.175 COMP1818) (0.161 COMP1779) (0.149 COMP322) (0.147 COMP991) (0.128 COMP1592) (0.103 COMP1810)
Aldehyde oxidase substrate	0.553	COMP212	(0.342 COMP1820) (0.339 COMP991) (0.338 COMP1762/COMP1771) (0.303 COMP271) (0.291 COMP631) (0.289 COMP1818) (0.280 COMP1810) (0.279 COMP322) (0.258 COMP994) (0.249 COMP1773/COMP1814) (0.238 COMP1767) (0.233 COMP1813) (0.223 COMP55) (0.219 COMP389/COMP390) (0.217 COMP1749) (0.200 COMP853) (0.185 COMP1817) (0.183 COMP1758) (0.180 COMP697) (0.174 COMP1760/COMP1769) (0.170 COMP1759) (0.165 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.160 COMP1755) (0.157 COMP1770) (0.149 COMP1753/COMP1774/COMP1824) (0.143 COMP1757/COMP1765/COMP1815/COMP1819) (0.138 COMP793) (0.136 COMP1812)
Aldose reductase substrate	0.947	COMP1762/COMP1771	(0.759 COMP991) (0.542 COMP1743) (0.438 COMP1779) (0.384 COMP1820) (0.356 COMP62) (0.323 COMP994) (0.258 COMP55) (0.204 COMP697) (0.201 COMP631) (0.197 COMP212) (0.190 COMP1758/COMP389/COMP390) (0.163 COMP1781) (0.161 COMP322) (0.159 COMP271) (0.157 COMP1759) (0.141 COMP1810) (0.135 COMP1767) (0.132 COMP1760/COMP1769) (0.130 COMP1755) (0.129 COMP1812)
Arylamine N-Acetyltransferase substrate	0.302	COMP991	(0.299 COMP631) (0.296 COMP994) (0.277 COMP1820) (0.243 COMP1810) (0.238 COMP271) (0.234 COMP322) (0.219 COMP697) (0.206 COMP1759) (0.198 COMP1762/COMP1771) (0.196 COMP1758) (0.195 COMP1818) (0.193 COMP1755) (0.185 COMP389/COMP390) (0.172 COMP55) (0.157 COMP212) (0.134 COMP1812)
CYP1A2 inhibitor	0.836	COMP1755	(0.757 COMP1759) (0.482 COMP993) (0.430 COMP1767) (0.429 COMP1760/COMP1769) (0.407 COMP1772) (0.388 COMP1770) (0.379 COMP1758) (0.362 COMP389/COMP390) (0.352 COMP697) (0.312 COMP1132) (0.276 COMP1078/COMP1818) (0.268 COMP212) (0.260 COMP271) (0.223 COMP1763/COMP1780) (0.213 COMP1749) (0.185 COMP1811) (0.178 COMP322) (0.175 COMP631) (0.173 COMP991)
CYP1A2 substrate	0.923	COMP1798	(0.874 COMP1759) (0.870 COMP1782/COMP1797/COMP1806/COMP1807) (0.854 COMP1795) (0.770 COMP1818) (0.744 COMP212) (0.687 COMP1781) (0.674 COMP1755) (0.661 COMP1802) (0.617 COMP1794) (0.604 COMP1758) (0.590 COMP1803) (0.574 COMP697) (0.569 COMP389/COMP390) (0.551 COMP1749) (0.540 COMP1801) (0.499 COMP1800) (0.495 COMP1747/COMP1799) (0.487 COMP994) (0.469 COMP446) (0.468 COMP1772) (0.458 COMP1810) (0.446 COMP1823) (0.445 COMP1762/COMP1771) (0.435 COMP1789) (0.428 COMP1793) (0.420 COMP1779) (0.419 COMP1132) (0.418 COMP1813) (0.399 COMP1757/COMP1815) (0.387 COMP1816/COMP1820) (0.382 COMP991) (0.377 COMP1817) (0.370 COMP1765/COMP1819) (0.364 COMP1078) (0.355 COMP1773/COMP1814) (0.354 COMP271) (0.343 COMP1745/COMP1748/COMP1783/COMP1786) (0.339 COMP1796/COMP793) (0.317 COMP1804) (0.309 COMP1763/COMP1780) (0.303 COMP993) (0.298 COMP631) (0.281 COMP1770) (0.279 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.275 COMP322) (0.268 COMP1805) (0.247 COMP1808) (0.237 COMP55) (0.235 COMP1753/COMP1774/COMP1824) (0.234 COMP1811) (0.226 COMP1760/COMP1769) (0.199 COMP1767) (0.196 COMP853) (0.195 COMP1812) (0.191 COMP62)
CYP24 inhibitor	0.071	COMP1777	(0.041 COMP1818) (0.038 COMP1775) (0.034 COMP1754) (0.033 COMP1821) (0.025 COMP1770) (0.024 COMP1766/COMP62/COMP991) (0.021 COMP1758/COMP1760/COMP1769)
CYP2A6 inhibitor	0.277	COMP212	(0.155 COMP1781) (0.122 COMP322) (0.109 COMP991) (0.091 COMP1818) (0.089 COMP631) (0.088 COMP1767) (0.087 COMP1749) (0.083 COMP994) (0.080 COMP1755) (0.075 COMP1759/COMP1760/COMP1769) (0.071 COMP1820) (0.068 COMP1762/COMP1771)
CYP2B6 inhibitor	0.544	COMP1770	(0.467 COMP1755) (0.417 COMP1760/COMP1769) (0.398 COMP1759) (0.334 COMP1767) (0.323 COMP1758) (0.317 COMP697) (0.315 COMP389/COMP390) (0.310 COMP1818) (0.287 COMP994) (0.265 COMP1762/COMP1771) (0.263 COMP991) (0.258 COMP212) (0.243 COMP271) (0.239 COMP322) (0.234 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.230 COMP1817) (0.211 COMP1820) (0.210 COMP1753/COMP1774/COMP1824/COMP631) (0.193 COMP1757/COMP1765/COMP1815/COMP1819) (0.185 COMP55) (0.178 COMP853) (0.176 COMP1813) (0.171 COMP1773/COMP1814) (0.169 COMP993) (0.166 COMP1763/COMP1780) (0.164 COMP1749/COMP1754/COMP1781) (0.162 COMP1772) (0.159 COMP1775) (0.156 COMP1078) (0.149 COMP1812) (0.147 COMP1789)
CYP2C19 inhibitor	0.687	COMP1745/COMP1748/COMP1783/COMP1786	(0.671 COMP993) (0.665 COMP1772) (0.662 COMP1132) (0.647 COMP1763/COMP1780) (0.558 COMP1078) (0.541 COMP1755) (0.536 COMP1759) (0.516 COMP1760/COMP1769) (0.492 COMP1754) (0.479 COMP1813) (0.472 COMP697) (0.471 COMP1758) (0.461 COMP389/COMP390) (0.456 COMP1818) (0.448 COMP446) (0.444 COMP1773/COMP1814) (0.439 COMP1775) (0.431 COMP1798) (0.430 COMP1770) (0.427 COMP1793) (0.416 COMP212) (0.415 COMP1756/COMP1761/COMP1764/COMP1776/COMP1778) (0.402 COMP1782/COMP1797/COMP1806/COMP1807) (0.399 COMP1757/COMP1815) (0.398 COMP1796) (0.392 COMP1753/COMP1774/COMP1824) (0.391 COMP1801) (0.385 COMP1765/COMP1819) (0.373 COMP1805) (0.367 COMP1789) (0.350 COMP1808) (0.347 COMP1767) (0.344 COMP271) (0.339 COMP631) (0.335 COMP994) (0.326 COMP793) (0.323 COMP991) (0.321 COMP1817) (0.320 COMP1762/COMP1771) (0.319 COMP1749) (0.313 COMP1816) (0.310 COMP1803) (0.284 COMP1800) (0.279 COMP1785/COMP1788/COMP1792) (0.278 COMP1811) (0.275 COMP1781) (0.271 COMP322) (0.257 COMP1802) (0.256 COMP1795) (0.237 COMP1747/COMP1799) (0.235 COMP1794) (0.230 COMP1804/COMP1823) (0.221 COMP55) (0.218 COMP1810)
