Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.141	COMP48	(0.126 COMP1529)
AR expression inhibitor	0.937	COMP48	(0.885 COMP1529) (0.793 COMP46)
CTGF expression inhibitor	0.928	COMP48	(0.907 COMP1529) (0.608 COMP46)
ICAM1 expression inhibitor	0.611	COMP46	(0.560 COMP48) (0.526 COMP1529)
LDLR expression enhancer	0.391	COMP1529	(0.349 COMP48)
NOS2 expression inhibitor	0.967	COMP46	(0.903 COMP48) (0.901 COMP1529)
NOS3 expression enhancer	0.722	COMP46	(0.703 COMP48) (0.623 COMP1529)
NOS3 expression inhibitor	0.827	COMP48	(0.757 COMP46) (0.744 COMP1529)
TNF expression inhibitor	0.877	COMP48	(0.869 COMP46) (0.864 COMP1529)
VCAM1 expression inhibitor	0.556	COMP46	(0.340 COMP1529) (0.306 COMP48)
VEGF expression inhibitor	0.433	COMP48	(0.420 COMP1529) (0.166 COMP46)
