Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.123	COMP48	
Actinic keratosis treatment	0.143	COMP48	(0.099 COMP1529) (0.082 COMP46)
Acute respiratory distress syndrome (ARDS) treatment	0.349	COMP46	
Alzheimer's disease treatment	0.575	COMP46	(0.502 COMP48) (0.456 COMP1529)
Amyotrophic lateral sclerosis treatment	0.172	COMP48	
Anabolic	0.133	COMP48	(0.104 COMP1529)
Analeptic	0.407	COMP46	(0.290 COMP48) (0.206 COMP1529)
Anesthetic general	0.145	COMP46	
Angiogenesis inhibitor	0.277	COMP46	(0.268 COMP1529) (0.228 COMP48)
Angiogenesis stimulant	0.763	COMP46	(0.398 COMP48) (0.365 COMP1529)
Antiacne	0.153	COMP46	
Antialcoholic	0.225	COMP48	(0.187 COMP1529)
Antiallergic	0.252	COMP1529	(0.236 COMP48)
Antiamyloidogenic	0.753	COMP46	(0.558 COMP1529) (0.519 COMP48)
Antianemic	0.135	COMP48	(0.116 COMP1529)
Antiarthritic	0.455	COMP46	
Antibacterial	0.791	COMP46	(0.512 COMP48) (0.475 COMP1529)
Antibiotic	0.279	COMP46	(0.084 COMP48) (0.069 COMP1529)
Antibiotic Aminoglycoside-like	0.087	COMP46	
Antibiotic Anthracycline-like	0.031	COMP46	
Antibiotic Glycopeptide-like	0.208	COMP46	(0.069 COMP48) (0.043 COMP1529)
Antibiotic Macrolide-like	0.023	COMP46	
Antibiotic Tetracycline-like	0.015	COMP48	
Anticataract	0.124	COMP48	(0.095 COMP46)
Anticholelithogenic	0.074	COMP48	(0.068 COMP1529)
Antidiabetic	0.825	COMP46	(0.465 COMP48) (0.391 COMP1529)
Antidiabetic (type 2)	0.352	COMP46	
Antidiabetic symptomatic	0.461	COMP46	(0.290 COMP48) (0.251 COMP1529)
Antidiarrheal	0.261	COMP46	(0.166 COMP48) (0.145 COMP1529)
Antidote	0.765	COMP46	(0.434 COMP48) (0.351 COMP1529)
Antidote. heavy metal	0.174	COMP48	(0.140 COMP1529) (0.057 COMP46)
Antidote. mercury	0.109	COMP48	
Antidote. organophosphates	0.076	COMP48	
Antifungal	0.597	COMP46	(0.391 COMP48) (0.339 COMP1529)
Antifungal (Aspergillus)	0.109	COMP1529	(0.103 COMP48)
Antifungal (Cryptococcus)	0.333	COMP46	(0.123 COMP48)
Antifungal (Pneumocystis)	0.153	COMP1529	(0.127 COMP48)
Antifungal enhancer	0.466	COMP46	(0.230 COMP1529) (0.220 COMP48)
Antihelmintic	0.727	COMP46	(0.473 COMP48) (0.408 COMP1529)
Antihelmintic (Fasciola)	0.126	COMP48	
Antihelmintic (Nematodes)	0.334	COMP46	(0.166 COMP48) (0.146 COMP1529)
Antihelmintic (Trematoda)	0.794	COMP48	(0.615 COMP1529) (0.476 COMP46)
Antihemorrhagic	0.942	COMP46	(0.678 COMP48) (0.579 COMP1529)
Antihypercholesterolemic	0.919	COMP46	(0.508 COMP48) (0.484 COMP1529)
Antihyperlipoproteinemic	0.138	COMP48	(0.115 COMP1529)
Antihypertriglyceridemic	0.737	COMP46	(0.663 COMP48) (0.601 COMP1529)
Antihypotensive	0.876	COMP46	(0.488 COMP48) (0.472 COMP1529)
Antihypoxic	0.941	COMP46	(0.646 COMP48) (0.608 COMP1529)
Antiinflammatory	0.866	COMP46	(0.742 COMP48) (0.679 COMP1529)
Antiischemic	0.431	COMP46	(0.326 COMP48) (0.290 COMP1529)
Antileukemic	0.697	COMP1529	(0.689 COMP48) (0.671 COMP46)
Antimitotic	0.380	COMP1529	(0.288 COMP48)
Antimutagenic	0.989	COMP46	(0.961 COMP1529) (0.958 COMP48)
Antimycobacterial	0.378	COMP46	(0.211 COMP48) (0.209 COMP1529)
Antimycoplasmal	0.148	COMP46	(0.063 COMP48) (0.059 COMP1529)
Antineoplastic (bladder cancer)	0.358	COMP1529	(0.351 COMP48) (0.239 COMP46)
Antineoplastic (bone cancer)	0.218	COMP46	(0.217 COMP1529) (0.209 COMP48)
Antineoplastic (brain cancer)	0.443	COMP46	(0.372 COMP1529) (0.343 COMP48)
Antineoplastic (breast cancer)	0.742	COMP48	(0.734 COMP1529) (0.670 COMP46)
