Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.327	COMP2292	(0.305 COMP2293) (0.175 COMP192) (0.165 COMP307) (0.087 COMP308)
AR expression inhibitor	0.914	COMP307	(0.806 COMP308) (0.758 COMP305) (0.725 COMP310) (0.685 COMP306) (0.653 COMP311) (0.568 COMP309) (0.565 COMP314) (0.560 COMP313) (0.442 COMP2291) (0.416 COMP1016) (0.387 COMP2292) (0.346 COMP2293) (0.337 COMP4) (0.313 COMP312) (0.269 COMP192)
CTGF expression inhibitor	0.922	COMP307	(0.905 COMP308) (0.629 COMP310) (0.618 COMP305) (0.605 COMP306) (0.553 COMP192) (0.351 COMP311) (0.280 COMP1016/COMP2291) (0.250 COMP314) (0.231 COMP313) (0.210 COMP2294) (0.203 COMP4)
GRP78 expression inhibitor	0.029	COMP192	(0.028 COMP309/COMP310) (0.025 COMP305) (0.022 COMP306)
ICAM1 expression inhibitor	0.589	COMP309	(0.581 COMP305) (0.572 COMP310) (0.547 COMP306) (0.532 COMP311) (0.435 COMP313) (0.432 COMP308) (0.429 COMP2292) (0.427 COMP307) (0.425 COMP314) (0.357 COMP192) (0.328 COMP2293) (0.318 COMP2291) (0.257 COMP312) (0.234 COMP1016) (0.218 COMP4)
LDLR expression enhancer	0.375	COMP308	(0.248 COMP4) (0.237 COMP2291) (0.225 COMP312) (0.204 COMP307) (0.179 COMP192) (0.163 COMP313) (0.154 COMP306)
NOS2 expression inhibitor	0.952	COMP306	(0.949 COMP305) (0.938 COMP310) (0.924 COMP311) (0.893 COMP308) (0.873 COMP307) (0.712 COMP314) (0.678 COMP313) (0.633 COMP309) (0.594 COMP4) (0.493 COMP2291) (0.491 COMP312) (0.419 COMP192) (0.361 COMP1016) (0.274 COMP2292) (0.273 COMP2293)
NOS3 expression enhancer	0.728	COMP307	(0.718 COMP305) (0.660 COMP310) (0.600 COMP306) (0.484 COMP311) (0.474 COMP308) (0.462 COMP309) (0.262 COMP2291) (0.183 COMP4) (0.147 COMP1016) (0.138 COMP314) (0.136 COMP313) (0.123 COMP312)
NOS3 expression inhibitor	0.841	COMP305	(0.818 COMP307) (0.815 COMP310) (0.764 COMP306) (0.698 COMP311) (0.631 COMP308) (0.571 COMP309) (0.537 COMP1016) (0.407 COMP2292) (0.395 COMP192) (0.391 COMP314) (0.386 COMP313) (0.382 COMP2293) (0.194 COMP2291)
TNF expression inhibitor	0.956	COMP306	(0.941 COMP310) (0.937 COMP305) (0.912 COMP311) (0.860 COMP308) (0.725 COMP313) (0.613 COMP307) (0.600 COMP314) (0.578 COMP1016) (0.523 COMP309) (0.485 COMP2291) (0.460 COMP192) (0.446 COMP4) (0.393 COMP312) (0.357 COMP2292) (0.281 COMP2293)
VCAM1 expression inhibitor	0.720	COMP306	(0.668 COMP310) (0.605 COMP305) (0.551 COMP311) (0.430 COMP2291) (0.426 COMP308) (0.381 COMP192) (0.326 COMP313) (0.319 COMP309) (0.313 COMP307) (0.304 COMP314) (0.300 COMP312) (0.299 COMP4) (0.294 COMP1016)
VEGF expression inhibitor	0.530	COMP308	(0.516 COMP307) (0.228 COMP306) (0.227 COMP2293) (0.217 COMP192) (0.216 COMP310) (0.213 COMP2292) (0.206 COMP305) (0.164 COMP2291) (0.161 COMP314)
