Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.345	COMP700	(0.216 COMP1004) (0.149 COMP1005)
Carcinogenic	0.624	COMP1005	(0.523 COMP1004) (0.447 COMP700)
Carcinogenic. group 1	0.362	COMP1004	(0.347 COMP1005) (0.282 COMP700)
Carcinogenic. group 2A	0.228	COMP1005	(0.145 COMP1004) (0.140 COMP700)
Carcinogenic. group 2B	0.308	COMP700	(0.194 COMP1005) (0.106 COMP1004)
Carcinogenic. group 3	0.389	COMP700	(0.358 COMP1004) (0.123 COMP1005)
Cardiodepressant	0.426	COMP700	(0.301 COMP1004) (0.228 COMP1005)
Cytotoxic	0.583	COMP1005	(0.351 COMP1004) (0.331 COMP700)
DNA damaging	0.664	COMP1005	(0.363 COMP700) (0.215 COMP1004)
Embryotoxic	0.665	COMP1005	(0.326 COMP700) (0.313 COMP1004)
Eye irritation. high	0.298	COMP700	(0.252 COMP1004) (0.175 COMP1005)
Genotoxic	0.808	COMP1005	(0.583 COMP700) (0.221 COMP1004)
Hypoglycemic	0.737	COMP1005	(0.475 COMP700) (0.415 COMP1004)
Mutagenic	0.765	COMP1005	(0.449 COMP700) (0.304 COMP1004)
Pneumotoxic	0.633	COMP700	(0.196 COMP1005) (0.155 COMP1004)
Sedative	0.221	COMP1005	
Sensitization	0.757	COMP1005	(0.618 COMP700) (0.425 COMP1004)
Skin irritative effect	0.303	COMP700	(0.151 COMP1004) (0.086 COMP1005)
Teratogen	0.705	COMP1005	(0.356 COMP1004) (0.342 COMP700)
Toxic. respiratory center	0.142	COMP700	
Ulceration	0.546	COMP700	(0.524 COMP1005) (0.401 COMP1004)
