Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.109	COMP232	(0.067 COMP231) (0.035 COMP233) (0.026 COMP228)
5 Hydroxytryptamine 2A agonist	0.093	COMP228	(0.069 COMP227)
5 Hydroxytryptamine 2B agonist	0.044	COMP228	
5 Hydroxytryptamine 3 agonist	0.086	COMP228	(0.065 COMP229)
5 Hydroxytryptamine 3A agonist	0.217	COMP228	(0.100 COMP229)
ATPase inhibitor	0.271	COMP227	(0.267 COMP228) (0.147 COMP231) (0.141 COMP229) (0.140 COMP233)
Acetylcholine M1 receptor antagonist	0.148	COMP228	
Acetylcholine M3 receptor antagonist	0.057	COMP228	
Acetylcholinesterase inhibitor	0.181	COMP227	(0.139 COMP229)
Aconitate hydratase inhibitor	0.107	COMP228	(0.066 COMP229) (0.058 COMP227)
Acyl-CoA dehydrogenase inhibitor	0.115	COMP228	(0.068 COMP227) (0.049 COMP229)
Adenosine deaminase inhibitor	0.062	COMP228	
Adenylate cyclase inhibitor	0.177	COMP228	(0.106 COMP229)
Adenylate kinase inhibitor	0.201	COMP228	(0.121 COMP229) (0.108 COMP227)
Alcohol dehydrogenase inhibitor	0.243	COMP228	(0.106 COMP229)
Aldosterone antagonist	0.093	COMP232	(0.061 COMP231) (0.051 COMP228)
Alkaline phosphatase inhibitor	0.240	COMP228	(0.193 COMP229) (0.136 COMP227)
Alpha 1b adrenoreceptor antagonist	0.063	COMP229	
Alpha 2a adrenoreceptor agonist	0.037	COMP228	(0.019 COMP229)
Alpha 2b adrenoreceptor agonist	0.022	COMP228	(0.018 COMP229)
Alpha-mannosidase inhibitor	0.073	COMP228	(0.054 COMP229)
Androgen agonist	0.321	COMP230	(0.238 COMP231) (0.115 COMP233) (0.112 COMP228) (0.059 COMP232)
Androgen antagonist	0.863	COMP230	(0.653 COMP231) (0.407 COMP233) (0.172 COMP232) (0.167 COMP228) (0.104 COMP229) (0.085 COMP227)
Arginase inhibitor	0.042	COMP228	
Argininosuccinate synthase inhibitor	0.127	COMP228	(0.056 COMP229)
Aryl hydrocarbon receptor agonist	0.556	COMP229	(0.362 COMP228) (0.220 COMP227)
Beta 1 adrenoreceptor agonist	0.023	COMP228	
Beta 1 adrenoreceptor antagonist	0.081	COMP228	(0.069 COMP227) (0.063 COMP229)
Beta 2 adrenoreceptor agonist	0.076	COMP228	
Beta 2 adrenoreceptor antagonist	0.075	COMP228	(0.046 COMP229)
Butyrylcholinesterase inhibitor	0.101	COMP227	
CYP1A2 inhibitor	0.524	COMP227	(0.309 COMP228) (0.307 COMP229)
CYP2C9 inhibitor	0.335	COMP228	(0.255 COMP227) (0.220 COMP229)
CYP2D6 inhibitor	0.184	COMP228	
CYP3A4 inhibitor	0.787	COMP230	(0.221 COMP227) (0.215 COMP228)
Ca2+-transporting ATPase inhibitor	0.203	COMP228	(0.173 COMP227) (0.159 COMP229) (0.139 COMP230)
Calcium channel L-type blocker	0.087	COMP227	
Cannabinoid CB2 receptor antagonist	0.046	COMP228	
Carbonic anhydrase I inhibitor	0.054	COMP228	
Carbonic anhydrase II inhibitor	0.057	COMP228	
Carbonic anhydrase inhibitor	0.072	COMP228	
Catalase inhibitor	0.144	COMP227	(0.136 COMP228) (0.069 COMP229)
Cyclooxygenase 1 inhibitor	0.287	COMP227	(0.204 COMP228)
Cyclooxygenase 2 inhibitor	0.186	COMP227	(0.125 COMP228) (0.104 COMP229)
Cyclooxygenase inhibitor	0.223	COMP227	(0.165 COMP228) (0.119 COMP229)
Cystathionine beta-synthase inhibitor	0.417	COMP228	(0.271 COMP227) (0.205 COMP229)
