Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.459	COMP231	(0.390 COMP228) (0.346 COMP232/COMP233) (0.295 COMP227) (0.241 COMP229)
Carcinogenic	0.983	COMP230	(0.926 COMP233) (0.896 COMP231) (0.451 COMP228) (0.394 COMP232) (0.306 COMP227) (0.296 COMP229)
Carcinogenic. group 1	0.396	COMP228	(0.311 COMP229) (0.297 COMP227)
Carcinogenic. group 2A	0.211	COMP228	(0.205 COMP229) (0.187 COMP227)
Carcinogenic. group 2B	0.401	COMP228	(0.266 COMP229) (0.260 COMP227)
Carcinogenic. group 3	0.598	COMP228	(0.363 COMP227) (0.204 COMP229)
Cardiodepressant	0.871	COMP230	(0.391 COMP228) (0.303 COMP231) (0.289 COMP227) (0.218 COMP233) (0.188 COMP229)
Cytotoxic	0.594	COMP231	(0.582 COMP232) (0.561 COMP233) (0.338 COMP229) (0.310 COMP228) (0.209 COMP227) (0.140 COMP230)
DNA damaging	0.353	COMP227	(0.330 COMP229) (0.253 COMP228)
Embryotoxic	0.995	COMP230	(0.830 COMP231) (0.786 COMP233) (0.512 COMP232) (0.377 COMP228) (0.183 COMP227) (0.164 COMP229)
Eye irritation. high	0.997	COMP230	(0.482 COMP228) (0.235 COMP227) (0.198 COMP229) (0.165 COMP232)
Genotoxic	0.488	COMP228	(0.255 COMP229) (0.239 COMP227)
Hypoglycemic	0.327	COMP231	(0.325 COMP228) (0.320 COMP233) (0.286 COMP232) (0.278 COMP227)
Mutagenic	0.765	COMP230	(0.422 COMP229) (0.416 COMP228) (0.337 COMP227) (0.202 COMP233) (0.131 COMP232)
Pneumotoxic	0.721	COMP228	(0.388 COMP227) (0.322 COMP229)
Sedative	0.192	COMP227	(0.190 COMP231) (0.164 COMP228) (0.147 COMP229)
Sensitization	0.640	COMP227	(0.593 COMP228) (0.570 COMP231) (0.564 COMP232) (0.492 COMP229) (0.465 COMP233)
Skin irritative effect	0.995	COMP230	(0.447 COMP228) (0.405 COMP229) (0.349 COMP227) (0.253 COMP232) (0.107 COMP231)
Teratogen	0.995	COMP230	(0.857 COMP231) (0.827 COMP233) (0.531 COMP232) (0.378 COMP228) (0.183 COMP227) (0.176 COMP229)
Toxic. respiratory center	0.223	COMP228	(0.195 COMP233) (0.153 COMP231)
Ulceration	0.567	COMP227	(0.548 COMP228) (0.463 COMP229)
