Name	Activation_Prob	Compound	Another_Probs
ATPase inhibitor	0.267	COMP364	(0.235 COMP366) (0.187 COMP363) (0.186 COMP362) (0.155 COMP365)
Acetylcholinesterase inhibitor	0.136	COMP362	(0.135 COMP366) (0.119 COMP363)
Adenosine A1 receptor agonist	0.031	COMP363	(0.030 COMP362) (0.023 COMP366) (0.021 COMP364)
Adenosine deaminase inhibitor	0.077	COMP363	(0.075 COMP362) (0.043 COMP366)
Adenylate cyclase inhibitor	0.244	COMP362	(0.205 COMP363) (0.095 COMP365)
Adenylate kinase inhibitor	0.096	COMP363	
Alcohol dehydrogenase inhibitor	0.251	COMP363	(0.232 COMP362) (0.128 COMP366)
Alkaline phosphatase inhibitor	0.287	COMP366	(0.276 COMP362) (0.260 COMP363)
Alpha-mannosidase inhibitor	0.150	COMP364	(0.122 COMP366) (0.096 COMP365) (0.084 COMP363) (0.073 COMP362)
Arginase inhibitor	0.073	COMP362	(0.070 COMP363) (0.050 COMP366)
Aryl hydrocarbon receptor agonist	0.162	COMP366	
CYP1A2 inhibitor	0.369	COMP366	(0.190 COMP362) (0.180 COMP363)
CYP2C9 inhibitor	0.340	COMP362	(0.326 COMP363)
CYP3A4 inhibitor	0.316	COMP364	(0.206 COMP363) (0.201 COMP362)
Ca2+-transporting ATPase inhibitor	0.146	COMP364	(0.142 COMP363) (0.137 COMP362) (0.133 COMP366)
Cyclooxygenase 1 inhibitor	0.122	COMP362	(0.119 COMP364/COMP366) (0.118 COMP363)
Cyclooxygenase 2 inhibitor	0.107	COMP362	
Cyclooxygenase inhibitor	0.119	COMP362	(0.116 COMP366) (0.114 COMP363)
Cystathionine beta-synthase inhibitor	0.532	COMP362	(0.513 COMP366) (0.496 COMP363)
DOPA decarboxylase inhibitor	0.105	COMP362	(0.097 COMP363)
Electron transport complex I inhibitor	0.137	COMP362	(0.132 COMP363) (0.107 COMP366)
Estrogen agonist	0.137	COMP363	(0.103 COMP362) (0.090 COMP366)
GABA aminotransferase inhibitor	0.074	COMP366	
GRP78 expression inhibitor	0.023	COMP364	(0.022 COMP365/COMP366)
Glucose-6-phosphate isomerase inhibitor	0.122	COMP364	(0.111 COMP365) (0.084 COMP366) (0.080 COMP363) (0.074 COMP362)
Glutamate dehydrogenase inhibitor	0.097	COMP363	(0.087 COMP362)
Heat shock protein 70 antagonist	0.204	COMP366	(0.163 COMP362) (0.162 COMP363) (0.133 COMP365)
Hexokinase inhibitor	0.350	COMP366	(0.186 COMP363) (0.168 COMP362) (0.158 COMP364)
MAO A inhibitor	0.153	COMP366	(0.118 COMP362) (0.110 COMP363)
MAO inhibitor	0.108	COMP362	(0.104 COMP363) (0.097 COMP366)
Na+ K+ transporting ATPase inhibitor	0.161	COMP365	(0.155 COMP364) (0.135 COMP366) (0.122 COMP363) (0.121 COMP362)
Peroxidase inhibitor	0.279	COMP362	(0.267 COMP363)
Phosphofructokinase-1 inhibitor	0.228	COMP365	(0.187 COMP363) (0.186 COMP364) (0.170 COMP362) (0.164 COMP366)
Phosphoglycerate kinase inhibitor	0.036	COMP362/COMP363	
Phospholipase C inhibitor	0.186	COMP363	(0.180 COMP362)
Phosphorylase inhibitor	0.132	COMP363	(0.118 COMP362) (0.046 COMP364) (0.039 COMP366)
Pyruvate kinase inhibitor	0.164	COMP366	
Topoisomerase I inhibitor	0.510	COMP365	(0.394 COMP366) (0.362 COMP362) (0.356 COMP363) (0.234 COMP364)
Topoisomerase II alpha inhibitor	0.355	COMP366	(0.308 COMP363) (0.304 COMP362) (0.088 COMP365)
Triose-phosphate isomerase inhibitor	0.175	COMP363	(0.168 COMP366) (0.155 COMP362) (0.153 COMP365) (0.134 COMP364)
UDP-glucose 4-epimerase inhibitor	0.481	COMP363	(0.465 COMP362) (0.345 COMP364) (0.336 COMP366) (0.176 COMP365)
