Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.139	COMP347	(0.130 COMP131) (0.106 COMP337/COMP349)
Aldehyde dehydrogenase substrate	0.109	COMP347	(0.099 COMP308)
Aldehyde oxidase substrate	0.303	COMP347	(0.208 COMP351) (0.183 COMP354) (0.171 COMP350) (0.164 COMP308) (0.162 COMP356) (0.147 COMP344) (0.138 COMP358) (0.137 COMP360)
Aldose reductase substrate	0.507	COMP310	(0.482 COMP337/COMP349) (0.419 COMP346) (0.404 COMP348) (0.379 COMP46) (0.348 COMP361) (0.309 COMP357) (0.205 COMP347) (0.133 COMP351) (0.130 COMP350) (0.126 COMP342)
Arylamine N-Acetyltransferase substrate	0.338	COMP361	(0.165 COMP350) (0.158 COMP354) (0.152 COMP347) (0.136 COMP349) (0.135 COMP308/COMP310) (0.114 COMP337) (0.104 COMP351) (0.084 COMP358) (0.074 COMP344) (0.071 COMP360) (0.070 COMP359)
CYP1A2 inhibitor	0.952	COMP342	(0.942 COMP341) (0.934 COMP344) (0.928 COMP358) (0.921 COMP360) (0.917 COMP359) (0.908 COMP308) (0.837 COMP354) (0.827 COMP350) (0.377 COMP337) (0.362 COMP310) (0.290 COMP349) (0.280 COMP46) (0.277 COMP361) (0.256 COMP346) (0.252 COMP348)
CYP1A2 substrate	0.755	COMP308	(0.710 COMP358) (0.684 COMP344) (0.682 COMP359) (0.665 COMP360) (0.655 COMP347) (0.651 COMP350) (0.629 COMP342) (0.624 COMP354) (0.557 COMP46) (0.544 COMP348) (0.516 COMP349) (0.484 COMP341) (0.453 COMP310) (0.438 COMP346) (0.432 COMP337) (0.339 COMP361) (0.253 COMP357) (0.230 COMP356) (0.225 COMP351)
CYP24 inhibitor	0.029	COMP353	(0.021 COMP343)
CYP2A6 inhibitor	0.579	COMP342	(0.509 COMP341) (0.092 COMP347) (0.084 COMP351) (0.072 COMP350) (0.066 COMP308)
CYP2B6 inhibitor	0.637	COMP342	(0.533 COMP308) (0.451 COMP350/COMP354) (0.428 COMP341) (0.315 COMP344/COMP358) (0.307 COMP360) (0.305 COMP359) (0.248 COMP347) (0.169 COMP351) (0.161 COMP131) (0.147 COMP343)
