Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.482	COMP2694	(0.425 COMP2683) (0.387 COMP2702) (0.346 COMP2689) (0.256 COMP1364) (0.225 COMP887) (0.215 COMP2687) (0.164 COMP1600) (0.159 COMP62) (0.157 COMP2679/COMP2680) (0.148 COMP875) (0.146 COMP131/COMP1427) (0.144 COMP2686/COMP492/COMP715/COMP721) (0.136 COMP982) (0.111 COMP2699) (0.105 COMP2695) (0.101 COMP244/COMP247/COMP467/COMP777) (0.100 COMP175) (0.099 COMP6) (0.090 COMP141) (0.087 COMP2708) (0.086 COMP2678)
AR expression inhibitor	0.950	COMP706	(0.843 COMP875) (0.823 COMP2697) (0.810 COMP777) (0.805 COMP715/COMP721) (0.804 COMP2679/COMP2680) (0.760 COMP2705) (0.759 COMP2688) (0.754 COMP244/COMP247/COMP467) (0.731 COMP302) (0.725 COMP2422) (0.712 COMP2682) (0.677 COMP2707) (0.655 COMP1600) (0.651 COMP2699) (0.634 COMP2701) (0.587 COMP887) (0.575 COMP2695) (0.570 COMP731) (0.565 COMP2702) (0.548 COMP1364) (0.530 COMP2683) (0.526 COMP2689) (0.525 COMP2700) (0.521 COMP2678) (0.515 COMP2687) (0.514 COMP2694) (0.509 COMP2692) (0.479 COMP62) (0.477 COMP726) (0.471 COMP141) (0.458 COMP2698) (0.456 COMP175) (0.455 COMP118) (0.451 COMP2684) (0.424 COMP404/COMP880) (0.420 COMP1143) (0.392 COMP2708) (0.391 COMP1298) (0.376 COMP2696) (0.355 COMP2693) (0.343 COMP2686/COMP492) (0.337 COMP1605) (0.302 COMP2681) (0.297 COMP2703) (0.288 COMP2691) (0.273 COMP2690) (0.268 COMP6) (0.255 COMP131/COMP1427) (0.243 COMP2706) (0.231 COMP2685) (0.198 COMP587) (0.195 COMP2704/COMP904)
CTGF expression inhibitor	0.862	COMP1143	(0.844 COMP2699) (0.819 COMP777) (0.802 COMP887) (0.783 COMP715/COMP721) (0.765 COMP2678) (0.760 COMP2688) (0.751 COMP2679/COMP2680) (0.738 COMP875) (0.702 COMP2697) (0.650 COMP1600) (0.619 COMP244/COMP247/COMP467) (0.614 COMP2422) (0.595 COMP2701) (0.581 COMP2682) (0.562 COMP2708) (0.533 COMP2693) (0.529 COMP1298) (0.509 COMP1364) (0.500 COMP2700) (0.488 COMP2703) (0.478 COMP1605) (0.477 COMP2681) (0.467 COMP2691) (0.457 COMP404) (0.441 COMP2706) (0.436 COMP706) (0.432 COMP731) (0.426 COMP982) (0.398 COMP2685) (0.384 COMP880) (0.382 COMP2690) (0.369 COMP904) (0.364 COMP587) (0.359 COMP2704) (0.353 COMP131/COMP1427) (0.351 COMP2702) (0.346 COMP118/COMP2694) (0.343 COMP2705) (0.342 COMP6) (0.324 COMP175) (0.301 COMP2707) (0.284 COMP62) (0.278 COMP2683) (0.269 COMP2692) (0.264 COMP141) (0.261 COMP323) (0.257 COMP319) (0.252 COMP2695) (0.213 COMP2696/COMP302) (0.204 COMP2684) (0.202 COMP2686/COMP492)
GRP78 expression inhibitor	0.067	COMP2700	(0.058 COMP982) (0.051 COMP323) (0.050 COMP706) (0.039 COMP175) (0.036 COMP319) (0.034 COMP731) (0.031 COMP2688) (0.030 COMP2696) (0.029 COMP2701/COMP904) (0.028 COMP2692) (0.026 COMP2678) (0.025 COMP131/COMP1427/COMP587) (0.022 COMP2698/COMP2699) (0.021 COMP2679/COMP2680/COMP2707) (0.020 COMP880)
ICAM1 expression inhibitor	0.628	COMP404	(0.609 COMP731) (0.606 COMP2697) (0.562 COMP2688) (0.561 COMP2707) (0.547 COMP2422) (0.544 COMP2692) (0.538 COMP2684) (0.535 COMP2682) (0.518 COMP2696) (0.512 COMP2679/COMP2680) (0.505 COMP2699) (0.496 COMP726) (0.495 COMP62) (0.488 COMP2698) (0.482 COMP2700) (0.481 COMP2708) (0.468 COMP2705) (0.457 COMP777) (0.452 COMP887) (0.434 COMP706) (0.429 COMP715/COMP721) (0.427 COMP6) (0.426 COMP2678) (0.422 COMP2689) (0.418 COMP875) (0.406 COMP2693) (0.404 COMP175) (0.394 COMP2702) (0.390 COMP2683) (0.386 COMP131/COMP1427) (0.384 COMP2687) (0.383 COMP1298) (0.382 COMP1600) (0.375 COMP1364) (0.374 COMP244/COMP247/COMP467) (0.363 COMP2703) (0.358 COMP2681) (0.355 COMP1605) (0.353 COMP141) (0.344 COMP2694) (0.337 COMP2686/COMP492/COMP904) (0.333 COMP1143/COMP2691) (0.332 COMP880) (0.327 COMP2695) (0.321 COMP2706) (0.300 COMP2685) (0.290 COMP587) (0.281 COMP118) (0.268 COMP2690) (0.262 COMP2704) (0.251 COMP982) (0.201 COMP302) (0.198 COMP323)
LDLR expression enhancer	0.445	COMP2679/COMP2680	(0.414 COMP875) (0.393 COMP715/COMP721) (0.373 COMP1364) (0.361 COMP2702) (0.315 COMP777) (0.312 COMP887) (0.307 COMP2683) (0.302 COMP1600) (0.300 COMP2705) (0.291 COMP1298) (0.290 COMP2699) (0.289 COMP244/COMP247/COMP467) (0.278 COMP404) (0.271 COMP2694) (0.254 COMP118) (0.245 COMP2678) (0.235 COMP302) (0.231 COMP880) (0.214 COMP1143) (0.212 COMP2700) (0.208 COMP2701) (0.206 COMP2703) (0.205 COMP2693) (0.195 COMP2687) (0.189 COMP2686/COMP492) (0.184 COMP1605) (0.173 COMP2689) (0.171 COMP2708) (0.168 COMP2695) (0.166 COMP6) (0.155 COMP904) (0.145 COMP2706) (0.143 COMP175) (0.137 COMP2691)
NOS2 expression inhibitor	0.962	COMP2697	(0.951 COMP2422) (0.945 COMP2707) (0.939 COMP2688) (0.886 COMP2682) (0.882 COMP731) (0.866 COMP2679/COMP2680) (0.857 COMP777) (0.854 COMP2705) (0.822 COMP715/COMP721) (0.821 COMP404) (0.818 COMP2692) (0.775 COMP2684) (0.767 COMP62/COMP875) (0.762 COMP244/COMP247/COMP467) (0.741 COMP2696) (0.714 COMP1364) (0.694 COMP2698) (0.668 COMP726) (0.649 COMP887) (0.642 COMP2699) (0.614 COMP1600) (0.604 COMP141) (0.575 COMP2693) (0.563 COMP302) (0.531 COMP1298) (0.524 COMP2678) (0.519 COMP118) (0.503 COMP880) (0.493 COMP2703) (0.477 COMP1143) (0.475 COMP2702) (0.448 COMP1605/COMP2687) (0.445 COMP2700) (0.402 COMP6) (0.387 COMP2683) (0.384 COMP2701) (0.381 COMP2708) (0.377 COMP2695) (0.376 COMP706) (0.372 COMP2686/COMP492) (0.368 COMP2689) (0.357 COMP904) (0.342 COMP2694) (0.298 COMP175) (0.279 COMP982) (0.271 COMP131/COMP1427) (0.209 COMP323) (0.201 COMP319) (0.180 COMP587) (0.149 COMP2706)
NOS3 expression enhancer	0.803	COMP706	(0.712 COMP2688) (0.705 COMP2697) (0.692 COMP2679/COMP2680) (0.686 COMP2682) (0.682 COMP875) (0.668 COMP715/COMP721) (0.667 COMP731) (0.663 COMP2707) (0.656 COMP2422) (0.641 COMP777) (0.631 COMP2692) (0.605 COMP244/COMP247/COMP467) (0.582 COMP2699) (0.572 COMP1600) (0.550 COMP887) (0.380 COMP726) (0.370 COMP2696) (0.365 COMP62) (0.350 COMP404) (0.348 COMP118) (0.342 COMP2684) (0.331 COMP2678) (0.323 COMP175) (0.316 COMP2698) (0.287 COMP2700/COMP2705) (0.204 COMP880) (0.203 COMP302) (0.186 COMP2691) (0.171 COMP2683) (0.169 COMP2702) (0.168 COMP1364) (0.161 COMP323) (0.150 COMP2681/COMP319) (0.148 COMP2706) (0.137 COMP1143) (0.132 COMP2694) (0.127 COMP2685)
NOS3 expression inhibitor	0.960	COMP904	(0.893 COMP62) (0.871 COMP1364) (0.867 COMP2679/COMP2680) (0.862 COMP2697) (0.854 COMP1600) (0.821 COMP731) (0.805 COMP2688) (0.774 COMP2422) (0.722 COMP2682) (0.690 COMP2699) (0.682 COMP2692) (0.677 COMP2696) (0.674 COMP715/COMP721/COMP875) (0.671 COMP777) (0.644 COMP2700) (0.639 COMP2684) (0.636 COMP2707) (0.624 COMP244/COMP247/COMP467) (0.622 COMP726) (0.614 COMP2698) (0.590 COMP706) (0.530 COMP2678) (0.512 COMP2702) (0.482 COMP175) (0.474 COMP2683) (0.470 COMP2693) (0.468 COMP2695) (0.466 COMP1298) (0.454 COMP887) (0.450 COMP2708) (0.429 COMP2689) (0.421 COMP2694) (0.419 COMP2703) (0.406 COMP2691) (0.402 COMP404) (0.397 COMP2687) (0.363 COMP880) (0.361 COMP2706) (0.358 COMP2705) (0.339 COMP2690) (0.328 COMP1143) (0.324 COMP2685) (0.320 COMP2701) (0.314 COMP131/COMP1427/COMP2681) (0.297 COMP1605) (0.278 COMP2704) (0.266 COMP302) (0.243 COMP118) (0.234 COMP587) (0.202 COMP2686/COMP492) (0.201 COMP982) (0.200 COMP141)
TNF expression inhibitor	0.960	COMP2697	(0.949 COMP2422) (0.947 COMP2679/COMP2680) (0.944 COMP1364) (0.942 COMP62) (0.930 COMP2682) (0.920 COMP731) (0.916 COMP2692) (0.911 COMP2688) (0.833 COMP887) (0.815 COMP2707) (0.806 COMP2684) (0.797 COMP777) (0.777 COMP1600) (0.748 COMP2689) (0.737 COMP2695) (0.733 COMP2693/COMP2696) (0.732 COMP726) (0.731 COMP2705) (0.728 COMP2700) (0.706 COMP2699) (0.695 COMP715/COMP721) (0.672 COMP2701) (0.665 COMP2702) (0.658 COMP302) (0.651 COMP1298/COMP875) (0.626 COMP2708) (0.611 COMP2703) (0.610 COMP2698) (0.609 COMP404) (0.575 COMP2683) (0.570 COMP2678) (0.557 COMP244/COMP247/COMP467) (0.553 COMP2687) (0.539 COMP706) (0.534 COMP1605) (0.526 COMP1143) (0.523 COMP904) (0.509 COMP175) (0.496 COMP6) (0.494 COMP118/COMP880) (0.493 COMP141) (0.476 COMP2694) (0.456 COMP2686/COMP492) (0.358 COMP982) (0.345 COMP323) (0.342 COMP131/COMP1427) (0.299 COMP319) (0.289 COMP587) (0.271 COMP2706) (0.226 COMP2690)
