Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.580	COMP141	(0.558 COMP2701) (0.525 COMP1143) (0.523 COMP904) (0.415 COMP1600) (0.371 COMP302) (0.370 COMP2679/COMP2680) (0.305 COMP2705) (0.290 COMP1298) (0.286 COMP1364) (0.273 COMP2693) (0.269 COMP62) (0.265 COMP2703) (0.254 COMP887) (0.212 COMP6) (0.198 COMP2696) (0.194 COMP726) (0.189 COMP880) (0.174 COMP2684) (0.173 COMP2692) (0.165 COMP2695/COMP2708) (0.160 COMP2702) (0.157 COMP2707) (0.156 COMP2689) (0.154 COMP2683) (0.152 COMP2699) (0.150 COMP2698) (0.146 COMP2694) (0.138 COMP118) (0.134 COMP731) (0.130 COMP131/COMP1427/COMP2678) (0.129 COMP2700/COMP404) (0.124 COMP2686/COMP492/COMP706) (0.117 COMP2687/COMP982) (0.108 COMP715/COMP721) (0.105 COMP175) (0.104 COMP875)
Aldehyde dehydrogenase substrate	0.491	COMP1143	(0.351 COMP141) (0.218 COMP1298) (0.210 COMP904) (0.206 COMP887) (0.188 COMP2696) (0.186 COMP982) (0.185 COMP6) (0.179 COMP2703) (0.173 COMP2699) (0.168 COMP2678/COMP2707) (0.162 COMP2693/COMP323) (0.155 COMP2692) (0.138 COMP731) (0.137 COMP2705) (0.135 COMP2684) (0.130 COMP118) (0.129 COMP302) (0.118 COMP880) (0.115 COMP726) (0.114 COMP319) (0.113 COMP2708) (0.108 COMP404) (0.103 COMP2689) (0.101 COMP1605/COMP2700) (0.099 COMP175) (0.098 COMP587)
Aldehyde oxidase substrate	0.648	COMP1143	(0.306 COMP904) (0.296 COMP323) (0.276 COMP982) (0.270 COMP2678) (0.254 COMP2700) (0.234 COMP2699) (0.228 COMP2693) (0.210 COMP1298) (0.208 COMP118) (0.207 COMP2701) (0.205 COMP319/COMP706/COMP887) (0.204 COMP404) (0.196 COMP587) (0.195 COMP2703) (0.175 COMP175) (0.139 COMP715/COMP721) (0.138 COMP777)
Aldose reductase substrate	0.968	COMP904	(0.638 COMP2684) (0.592 COMP731) (0.535 COMP706) (0.512 COMP2696) (0.502 COMP2692) (0.467 COMP2707) (0.431 COMP2688) (0.425 COMP2697) (0.408 COMP2698) (0.391 COMP726) (0.379 COMP2700) (0.356 COMP62) (0.339 COMP2422) (0.302 COMP2693) (0.274 COMP2682) (0.249 COMP175/COMP587) (0.228 COMP982) (0.226 COMP2703) (0.192 COMP1298) (0.180 COMP887) (0.170 COMP1143) (0.141 COMP2678) (0.137 COMP880) (0.131 COMP777) (0.129 COMP1364) (0.128 COMP404)
Arylamine N-Acetyltransferase substrate	0.339	COMP982	(0.314 COMP323) (0.174 COMP2678) (0.173 COMP587) (0.170 COMP904) (0.165 COMP2699) (0.164 COMP175) (0.163 COMP2700) (0.137 COMP319) (0.125 COMP2693) (0.123 COMP706) (0.115 COMP887) (0.105 COMP2688) (0.103 COMP2701) (0.085 COMP731) (0.084 COMP118) (0.066 COMP302)
CYP1A2 inhibitor	0.490	COMP2699	(0.486 COMP2697) (0.430 COMP887) (0.388 COMP2688) (0.380 COMP118) (0.378 COMP777) (0.350 COMP2705) (0.342 COMP1143) (0.338 COMP2682) (0.302 COMP404) (0.299 COMP715/COMP721) (0.281 COMP2678) (0.270 COMP1298/COMP875) (0.259 COMP2422) (0.247 COMP244/COMP247/COMP467) (0.227 COMP6) (0.219 COMP2701/COMP319) (0.209 COMP2693) (0.201 COMP323) (0.196 COMP982) (0.176 COMP2700) (0.175 COMP731)
CYP1A2 substrate	0.947	COMP777	(0.914 COMP2679/COMP2680) (0.804 COMP1600) (0.754 COMP2688) (0.736 COMP2697) (0.733 COMP1143) (0.727 COMP875) (0.706 COMP715/COMP721) (0.639 COMP2699) (0.625 COMP118) (0.616 COMP244/COMP247/COMP467) (0.602 COMP2693) (0.568 COMP1605) (0.564 COMP887) (0.537 COMP1298/COMP982) (0.518 COMP2678) (0.496 COMP2703) (0.465 COMP2700) (0.444 COMP2701) (0.423 COMP2682) (0.385 COMP2422) (0.368 COMP904) (0.361 COMP404) (0.360 COMP6) (0.356 COMP2707) (0.352 COMP175) (0.342 COMP731) (0.320 COMP319) (0.308 COMP323) (0.306 COMP2692) (0.265 COMP2684) (0.253 COMP2696) (0.249 COMP2708) (0.248 COMP587) (0.244 COMP2702) (0.235 COMP141) (0.233 COMP880) (0.231 COMP2683) (0.222 COMP706) (0.218 COMP1364) (0.215 COMP2706) (0.208 COMP302) (0.199 COMP2705) (0.195 COMP2681) (0.191 COMP2691/COMP62) (0.188 COMP2687) (0.186 COMP2694)
CYP24 inhibitor	0.137	COMP2699	(0.068 COMP2686/COMP492) (0.065 COMP1364) (0.038 COMP2678) (0.030 COMP175) (0.029 COMP2689) (0.027 COMP731) (0.025 COMP141) (0.024 COMP62) (0.021 COMP2679/COMP2680/COMP6)
CYP2A6 inhibitor	0.252	COMP141	(0.182 COMP302) (0.173 COMP2705) (0.171 COMP1143/COMP118) (0.164 COMP2701) (0.152 COMP6) (0.127 COMP319) (0.112 COMP2678/COMP2699) (0.102 COMP323/COMP982)
CYP2B6 inhibitor	0.349	COMP141/COMP302	(0.340 COMP2705) (0.320 COMP887) (0.319 COMP2699) (0.309 COMP118) (0.304 COMP2678) (0.276 COMP2693) (0.269 COMP1298) (0.267 COMP6) (0.261 COMP1143) (0.254 COMP2701) (0.244 COMP2686/COMP492) (0.243 COMP2703) (0.240 COMP904) (0.227 COMP777) (0.221 COMP982) (0.219 COMP1605) (0.218 COMP880) (0.217 COMP2700) (0.210 COMP404) (0.196 COMP715/COMP721) (0.178 COMP1364) (0.169 COMP319) (0.168 COMP2708) (0.165 COMP875) (0.161 COMP131/COMP1427) (0.158 COMP1600/COMP323) (0.155 COMP244/COMP247/COMP467)
