Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.509	COMP994	(0.427 COMP1909) (0.346 COMP697) (0.225 COMP887) (0.169 COMP12) (0.163 COMP1014/COMP16/COMP18/COMP53) (0.149 COMP984) (0.141 COMP2305) (0.138 COMP725) (0.137 COMP1100) (0.136 COMP122/COMP238) (0.119 COMP322/COMP40) (0.103 COMP27) (0.102 COMP191) (0.092 COMP1910) (0.090 COMP141) (0.089 COMP1911/COMP20) (0.087 COMP2303) (0.086 COMP463/COMP774/COMP891)
AR expression inhibitor	0.935	COMP2305	(0.894 COMP463/COMP774/COMP891) (0.887 COMP2303) (0.870 COMP191) (0.867 COMP265) (0.862 COMP2308) (0.730 COMP337) (0.692 COMP2310/COMP2311) (0.680 COMP2309) (0.666 COMP238) (0.652 COMP697) (0.594 COMP1909) (0.587 COMP887) (0.559 COMP994) (0.556 COMP40) (0.539 COMP1530) (0.524 COMP27) (0.523 COMP725) (0.521 COMP1731/COMP2306/COMP2307) (0.504 COMP1014/COMP16/COMP18/COMP53) (0.499 COMP122) (0.489 COMP1910) (0.484 COMP1911/COMP20) (0.471 COMP141) (0.450 COMP1100) (0.445 COMP110) (0.441 COMP12) (0.413 COMP984) (0.397 COMP2302) (0.391 COMP2298) (0.370 COMP340) (0.363 COMP322) (0.344 COMP2304) (0.330 COMP2300/COMP2301) (0.311 COMP2297) (0.298 COMP2299) (0.223 COMP1155)
CTGF expression inhibitor	0.917	COMP2305	(0.912 COMP191) (0.885 COMP265) (0.864 COMP2308) (0.855 COMP2303) (0.807 COMP697) (0.802 COMP887) (0.777 COMP40) (0.766 COMP1014/COMP16/COMP18/COMP53) (0.742 COMP27) (0.719 COMP1909) (0.683 COMP725) (0.678 COMP1911/COMP20) (0.674 COMP984) (0.673 COMP12) (0.653 COMP1910) (0.640 COMP337) (0.633 COMP1100) (0.614 COMP994) (0.610 COMP322) (0.581 COMP122) (0.551 COMP463/COMP774/COMP891) (0.418 COMP2299) (0.384 COMP2298) (0.374 COMP2300/COMP2301) (0.345 COMP2309) (0.340 COMP1155) (0.337 COMP2297) (0.322 COMP110) (0.313 COMP2302) (0.264 COMP141) (0.255 COMP2310/COMP2311) (0.233 COMP1731/COMP2306/COMP2307) (0.191 COMP238)
GRP78 expression inhibitor	0.072	COMP1731/COMP2306/COMP2307	(0.043 COMP2310/COMP2311) (0.041 COMP12/COMP994) (0.033 COMP1014/COMP16/COMP18/COMP53) (0.032 COMP1100/COMP340) (0.031 COMP122) (0.030 COMP322/COMP725) (0.028 COMP2304) (0.027 COMP2309) (0.026 COMP1155/COMP984) (0.025 COMP337) (0.024 COMP1909) (0.023 COMP1910/COMP40) (0.021 COMP110/COMP1530/COMP1911/COMP20/COMP27/COMP697)
ICAM1 expression inhibitor	0.688	COMP238	(0.605 COMP1731/COMP2306/COMP2307) (0.598 COMP1530) (0.569 COMP337) (0.565 COMP2310/COMP2311) (0.557 COMP2305) (0.532 COMP2309) (0.519 COMP2299) (0.511 COMP27) (0.509 COMP2300/COMP2301) (0.503 COMP1910) (0.500 COMP1911/COMP20) (0.493 COMP725) (0.492 COMP265) (0.489 COMP340) (0.484 COMP2308) (0.477 COMP2304/COMP40) (0.476 COMP697) (0.470 COMP1100/COMP463/COMP774/COMP891) (0.456 COMP191) (0.452 COMP887) (0.451 COMP1909) (0.436 COMP1014/COMP16/COMP18/COMP53) (0.420 COMP984) (0.416 COMP2298) (0.412 COMP2302) (0.403 COMP994) (0.401 COMP12) (0.399 COMP122) (0.398 COMP2303) (0.388 COMP2297) (0.372 COMP322) (0.353 COMP141) (0.321 COMP1155)
LDLR expression enhancer	0.315	COMP191	(0.312 COMP887) (0.306 COMP2305) (0.302 COMP265) (0.301 COMP122) (0.285 COMP2308) (0.279 COMP2303) (0.249 COMP697) (0.247 COMP725) (0.229 COMP1100) (0.226 COMP27) (0.224 COMP1909) (0.211 COMP1911/COMP20) (0.210 COMP40/COMP994) (0.208 COMP322) (0.207 COMP1910) (0.206 COMP984) (0.178 COMP1014/COMP12/COMP16/COMP18/COMP53) (0.160 COMP2300/COMP2301) (0.158 COMP238) (0.144 COMP2299) (0.137 COMP463/COMP774/COMP891)
NOS2 expression inhibitor	0.943	COMP337	(0.928 COMP2309) (0.884 COMP2308) (0.874 COMP265) (0.861 COMP191) (0.851 COMP2305) (0.754 COMP1530) (0.703 COMP2303) (0.649 COMP887) (0.604 COMP141) (0.596 COMP238) (0.583 COMP1731/COMP2306/COMP2307) (0.568 COMP2310/COMP2311) (0.558 COMP697) (0.542 COMP27) (0.530 COMP984) (0.527 COMP725) (0.515 COMP40) (0.506 COMP1910) (0.502 COMP1911/COMP20) (0.470 COMP1100) (0.466 COMP463/COMP774/COMP891) (0.463 COMP12) (0.449 COMP2304) (0.446 COMP1909) (0.445 COMP1014/COMP16/COMP18/COMP53) (0.430 COMP122) (0.414 COMP2298) (0.406 COMP2302/COMP340) (0.374 COMP994) (0.373 COMP2297) (0.361 COMP322) (0.353 COMP2300/COMP2301) (0.332 COMP2299) (0.306 COMP1155) (0.277 COMP110)
NOS3 expression enhancer	0.783	COMP2310/COMP2311	(0.767 COMP463/COMP774/COMP891) (0.756 COMP1731/COMP2306/COMP2307) (0.697 COMP2305) (0.673 COMP1909) (0.672 COMP697) (0.661 COMP337) (0.599 COMP191) (0.550 COMP887) (0.540 COMP1530) (0.515 COMP2309) (0.487 COMP994) (0.472 COMP2303) (0.449 COMP265) (0.442 COMP2308) (0.278 COMP340) (0.275 COMP725) (0.261 COMP122) (0.252 COMP2304) (0.199 COMP1100/COMP322) (0.170 COMP40) (0.166 COMP984) (0.151 COMP1910) (0.141 COMP1911/COMP20/COMP27)
NOS3 expression inhibitor	0.943	COMP1731/COMP2306/COMP2307	(0.918 COMP1155) (0.916 COMP2310/COMP2311) (0.842 COMP27) (0.830 COMP2305) (0.826 COMP1910) (0.823 COMP1911/COMP20) (0.806 COMP337) (0.764 COMP40) (0.735 COMP2309) (0.703 COMP191) (0.680 COMP2300/COMP2301) (0.666 COMP2302) (0.664 COMP1014/COMP16/COMP18/COMP53) (0.649 COMP2298) (0.636 COMP2299) (0.613 COMP265) (0.608 COMP2308) (0.594 COMP340) (0.580 COMP2304) (0.578 COMP2297) (0.571 COMP2303) (0.568 COMP12) (0.566 COMP1530) (0.564 COMP463/COMP774/COMP891) (0.526 COMP697) (0.499 COMP994) (0.481 COMP984) (0.477 COMP725) (0.470 COMP238) (0.464 COMP1909) (0.454 COMP887) (0.412 COMP1100) (0.368 COMP322) (0.362 COMP122) (0.315 COMP110) (0.200 COMP141)
TNF expression inhibitor	0.947	COMP337	(0.892 COMP1911/COMP20/COMP2309) (0.881 COMP27) (0.880 COMP1910) (0.857 COMP40) (0.838 COMP2300/COMP2301) (0.836 COMP191) (0.833 COMP887) (0.829 COMP2305) (0.809 COMP238) (0.806 COMP2299) (0.782 COMP265) (0.772 COMP697) (0.763 COMP1014/COMP16/COMP18/COMP53) (0.739 COMP2308) (0.717 COMP2298) (0.713 COMP2302) (0.670 COMP2303) (0.664 COMP1909) (0.662 COMP1731/COMP2306/COMP2307) (0.651 COMP1530) (0.646 COMP12) (0.636 COMP463/COMP774/COMP891) (0.621 COMP994) (0.617 COMP2297) (0.599 COMP725) (0.586 COMP122) (0.569 COMP1155) (0.553 COMP2310/COMP2311) (0.551 COMP984) (0.539 COMP1100) (0.517 COMP322) (0.493 COMP141) (0.396 COMP340) (0.363 COMP2304) (0.338 COMP110)
