Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.880	COMP110	(0.596 COMP2300/COMP2301) (0.580 COMP141) (0.520 COMP994) (0.493 COMP1910) (0.488 COMP1911/COMP20) (0.438 COMP2299) (0.421 COMP40) (0.401 COMP1155) (0.400 COMP27) (0.352 COMP1014/COMP16/COMP18/COMP53) (0.345 COMP2302) (0.336 COMP2298) (0.334 COMP1909) (0.326 COMP2297) (0.307 COMP697) (0.305 COMP12) (0.260 COMP984) (0.254 COMP887) (0.238 COMP2304) (0.225 COMP2310/COMP2311) (0.221 COMP1731/COMP2306/COMP2307) (0.150 COMP340) (0.144 COMP725) (0.141 COMP1100) (0.137 COMP463/COMP774/COMP891) (0.127 COMP1530) (0.122 COMP122/COMP238) (0.117 COMP322) (0.106 COMP337)
Aldehyde dehydrogenase substrate	0.729	COMP110	(0.351 COMP141) (0.336 COMP1911/COMP20) (0.335 COMP1910) (0.314 COMP2298) (0.311 COMP2302/COMP40) (0.301 COMP27) (0.299 COMP2297) (0.298 COMP2299) (0.294 COMP1014/COMP16/COMP18/COMP2300/COMP2301/COMP53) (0.262 COMP2304) (0.256 COMP12) (0.211 COMP1909/COMP697) (0.210 COMP994) (0.209 COMP984) (0.206 COMP887) (0.201 COMP1731/COMP2306/COMP2307) (0.199 COMP725) (0.188 COMP1100) (0.183 COMP1155) (0.179 COMP122) (0.149 COMP322) (0.134 COMP2310/COMP2311) (0.121 COMP340) (0.119 COMP1530) (0.118 COMP463/COMP774/COMP891)
Aldehyde oxidase substrate	0.302	COMP1155	(0.283 COMP12) (0.279 COMP322) (0.265 COMP984) (0.259 COMP122) (0.258 COMP994) (0.255 COMP1014/COMP16/COMP18/COMP53) (0.247 COMP1100) (0.218 COMP725) (0.216 COMP1909) (0.205 COMP887) (0.193 COMP2303) (0.186 COMP1910/COMP40) (0.180 COMP697) (0.173 COMP191) (0.166 COMP1911/COMP20/COMP27) (0.149 COMP265) (0.145 COMP2308) (0.141 COMP2310/COMP2311) (0.137 COMP2299/COMP2305)
Aldose reductase substrate	0.954	COMP1731/COMP2306/COMP2307	(0.945 COMP1155) (0.941 COMP2310/COMP2311) (0.519 COMP340) (0.482 COMP337) (0.466 COMP2309) (0.435 COMP1530) (0.389 COMP2304) (0.323 COMP994) (0.297 COMP12) (0.267 COMP463/COMP774/COMP891) (0.248 COMP1014/COMP16/COMP18/COMP53) (0.224 COMP1909) (0.221 COMP984) (0.204 COMP697) (0.194 COMP1910/COMP40) (0.180 COMP1100/COMP887) (0.179 COMP1911/COMP20/COMP27) (0.177 COMP2299) (0.166 COMP2300/COMP2301) (0.161 COMP322) (0.160 COMP122) (0.151 COMP725) (0.142 COMP2297) (0.132 COMP2298)
Arylamine N-Acetyltransferase substrate	0.513	COMP2298	(0.483 COMP2302) (0.442 COMP725) (0.418 COMP27) (0.417 COMP1100) (0.392 COMP1910) (0.390 COMP1911/COMP20) (0.381 COMP40) (0.332 COMP2297) (0.318 COMP1014/COMP16/COMP18/COMP53) (0.296 COMP994) (0.274 COMP12) (0.234 COMP322) (0.231 COMP2303) (0.219 COMP697) (0.214 COMP122) (0.194 COMP191) (0.172 COMP1909) (0.171 COMP984) (0.160 COMP1155) (0.140 COMP2300/COMP2301) (0.126 COMP2299) (0.121 COMP2305) (0.115 COMP887) (0.114 COMP337) (0.110 COMP1731/COMP2306/COMP2307) (0.109 COMP2309) (0.103 COMP2310/COMP2311) (0.090 COMP265) (0.064 COMP2308)
CYP1A2 inhibitor	0.957	COMP2308	(0.942 COMP265) (0.911 COMP2305) (0.843 COMP191) (0.748 COMP2303) (0.430 COMP887) (0.377 COMP337) (0.352 COMP697) (0.350 COMP2309) (0.286 COMP1909) (0.274 COMP984) (0.240 COMP122) (0.213 COMP725) (0.187 COMP1100) (0.178 COMP27/COMP322)
CYP1A2 substrate	0.912	COMP2305	(0.758 COMP191) (0.753 COMP2303) (0.730 COMP2308) (0.696 COMP265) (0.630 COMP984) (0.600 COMP27) (0.574 COMP697) (0.564 COMP887) (0.535 COMP1910) (0.532 COMP40) (0.515 COMP1909) (0.513 COMP1911/COMP20) (0.497 COMP12) (0.487 COMP994) (0.432 COMP337) (0.428 COMP1014/COMP16/COMP18/COMP53) (0.424 COMP2309) (0.373 COMP122) (0.320 COMP1155/COMP725) (0.298 COMP1100) (0.281 COMP2300/COMP2301) (0.275 COMP322) (0.270 COMP2310/COMP2311) (0.264 COMP463/COMP774/COMP891) (0.251 COMP1731/COMP2306/COMP2307) (0.235 COMP141) (0.233 COMP2298) (0.222 COMP2299) (0.220 COMP1530) (0.212 COMP2302) (0.195 COMP2297) (0.185 COMP2304) (0.183 COMP340)
CYP24 inhibitor	0.025	COMP141	
CYP2A6 inhibitor	0.252	COMP141	(0.141 COMP2305) (0.122 COMP322) (0.109 COMP191) (0.101 COMP265) (0.100 COMP2303) (0.083 COMP994) (0.082 COMP2308) (0.078 COMP12) (0.073 COMP1014/COMP16/COMP18/COMP53) (0.066 COMP40)
CYP2B6 inhibitor	0.528	COMP191	(0.447 COMP2303) (0.440 COMP2308) (0.430 COMP27) (0.426 COMP265) (0.391 COMP40) (0.375 COMP1911/COMP20) (0.367 COMP1910) (0.354 COMP2305) (0.349 COMP141) (0.330 COMP1014/COMP16/COMP18/COMP53) (0.320 COMP887) (0.317 COMP697) (0.309 COMP984) (0.289 COMP1909) (0.287 COMP12/COMP994) (0.256 COMP2298) (0.252 COMP725) (0.249 COMP2302) (0.239 COMP322) (0.236 COMP1100) (0.235 COMP2299) (0.229 COMP2300/COMP2301) (0.224 COMP2297) (0.207 COMP122) (0.164 COMP1155) (0.148 COMP110)
