Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.240 COMP285) (0.214 COMP860) (0.159 COMP62) (0.140 COMP292) (0.136 COMP122/COMP238) (0.128 COMP271) (0.125 COMP2486) (0.124 COMP2041/COMP2045) (0.108 COMP927) (0.091 COMP910) (0.087 COMP2485)
AR expression inhibitor	0.896	COMP2485	(0.786 COMP910/COMP927) (0.785 COMP2488) (0.770 COMP2486) (0.755 COMP860) (0.681 COMP292) (0.666 COMP238) (0.622 COMP215) (0.548 COMP2482) (0.514 COMP2483) (0.503 COMP2041/COMP2045) (0.499 COMP122) (0.485 COMP77) (0.479 COMP62) (0.474 COMP271) (0.457 COMP285) (0.374 COMP343) (0.370 COMP2481) (0.356 COMP2487) (0.332 COMP2484) (0.195 COMP31)
CTGF expression inhibitor	0.811	COMP77	(0.767 COMP285) (0.759 COMP215) (0.700 COMP2041/COMP2045) (0.677 COMP271) (0.581 COMP122) (0.522 COMP2485) (0.369 COMP31) (0.352 COMP343) (0.343 COMP2483) (0.284 COMP62) (0.271 COMP292) (0.269 COMP2481) (0.248 COMP860) (0.230 COMP2488) (0.222 COMP825) (0.216 COMP2482) (0.192 COMP2487) (0.191 COMP238)
GRP78 expression inhibitor	0.076	COMP2482	(0.070 COMP825) (0.046 COMP2484) (0.031 COMP122) (0.029 COMP31) (0.027 COMP343) (0.026 COMP2483) (0.025 COMP271) (0.022 COMP215/COMP860)
ICAM1 expression inhibitor	0.688	COMP238	(0.687 COMP292) (0.617 COMP2482) (0.598 COMP860) (0.595 COMP2486) (0.568 COMP927) (0.549 COMP910) (0.522 COMP2487) (0.519 COMP2483) (0.516 COMP215) (0.509 COMP2488) (0.495 COMP62) (0.479 COMP2484) (0.467 COMP2485) (0.450 COMP2481) (0.443 COMP343) (0.432 COMP271) (0.429 COMP2041/COMP2045) (0.413 COMP77) (0.405 COMP285) (0.399 COMP122) (0.337 COMP31)
LDLR expression enhancer	0.365	COMP77	(0.306 COMP271) (0.301 COMP122) (0.271 COMP860) (0.256 COMP285) (0.252 COMP215) (0.227 COMP2486) (0.213 COMP2483) (0.192 COMP292) (0.180 COMP2041/COMP2045) (0.158 COMP238) (0.155 COMP31)
NOS2 expression inhibitor	0.767	COMP62	(0.761 COMP910) (0.733 COMP215) (0.730 COMP927) (0.709 COMP2486) (0.701 COMP2488) (0.676 COMP2482) (0.643 COMP2487) (0.603 COMP77) (0.596 COMP238) (0.595 COMP292) (0.564 COMP2483) (0.526 COMP860) (0.521 COMP2041/COMP2045) (0.515 COMP285) (0.508 COMP271) (0.449 COMP2481) (0.442 COMP2485) (0.430 COMP122) (0.420 COMP343) (0.366 COMP2484) (0.357 COMP31) (0.207 COMP825)
NOS3 expression enhancer	0.768	COMP2485	(0.584 COMP2482) (0.401 COMP2484) (0.366 COMP2041/COMP2045) (0.365 COMP62) (0.324 COMP285) (0.283 COMP271) (0.271 COMP215) (0.263 COMP77) (0.261 COMP122) (0.221 COMP2483)
NOS3 expression inhibitor	0.960	COMP31	(0.910 COMP77) (0.893 COMP62) (0.862 COMP285) (0.775 COMP2482) (0.698 COMP2484) (0.667 COMP215) (0.622 COMP860) (0.577 COMP2485) (0.528 COMP292) (0.514 COMP2486) (0.510 COMP2483) (0.498 COMP910) (0.473 COMP927) (0.470 COMP238) (0.458 COMP2041/COMP2045) (0.456 COMP2488) (0.419 COMP825) (0.410 COMP343) (0.400 COMP271) (0.362 COMP122) (0.347 COMP2481) (0.306 COMP2487)
TNF expression inhibitor	0.942	COMP62	(0.899 COMP77) (0.887 COMP2486) (0.858 COMP2041/COMP2045) (0.809 COMP238) (0.772 COMP860) (0.758 COMP292) (0.755 COMP285) (0.737 COMP215) (0.710 COMP910) (0.703 COMP927) (0.680 COMP2482) (0.651 COMP271) (0.611 COMP2485) (0.609 COMP2488) (0.586 COMP122) (0.578 COMP825) (0.542 COMP2483) (0.526 COMP2484) (0.523 COMP31) (0.499 COMP343) (0.436 COMP2487) (0.400 COMP2481)
VCAM1 expression inhibitor	0.618	COMP2482	(0.537 COMP2485) (0.521 COMP31) (0.512 COMP271) (0.487 COMP122) (0.413 COMP2041/COMP2045/COMP2487) (0.408 COMP215) (0.352 COMP62) (0.308 COMP2484) (0.256 COMP2483) (0.242 COMP2481) (0.204 COMP77) (0.184 COMP343)
VEGF expression inhibitor	0.352	COMP215	(0.277 COMP271) (0.251 COMP122) (0.210 COMP31) (0.194 COMP2041/COMP2045) (0.181 COMP343) (0.179 COMP860) (0.165 COMP2483/COMP825)
