Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.494	COMP271	(0.477 COMP122) (0.342 COMP2041/COMP2045) (0.324 COMP215) (0.321 COMP343) (0.305 COMP31) (0.302 COMP2483) (0.296 COMP2481) (0.290 COMP2482) (0.162 COMP2485) (0.158 COMP2484) (0.112 COMP2487)
Acetylcholine release stimulant	0.119	COMP122	(0.118 COMP2482/COMP271) (0.108 COMP31)
Actinic keratosis treatment	0.383	COMP77	(0.297 COMP62) (0.275 COMP285) (0.213 COMP927) (0.192 COMP122) (0.191 COMP2483) (0.182 COMP2041/COMP2045) (0.181 COMP271/COMP860) (0.176 COMP910) (0.148 COMP2488) (0.143 COMP238) (0.141 COMP2481/COMP2485) (0.140 COMP215) (0.132 COMP2486) (0.130 COMP2487) (0.119 COMP2482) (0.114 COMP31) (0.105 COMP343) (0.103 COMP2484) (0.101 COMP292) (0.092 COMP825)
Acute neurologic disorders treatment	0.339	COMP31	(0.325 COMP825) (0.298 COMP2484)
Acute respiratory distress syndrome (ARDS) treatment	0.500	COMP2482	(0.439 COMP927) (0.398 COMP910) (0.392 COMP238) (0.389 COMP2486) (0.370 COMP2488) (0.345 COMP292) (0.329 COMP31) (0.315 COMP2484) (0.311 COMP62) (0.271 COMP343/COMP860) (0.254 COMP2481) (0.236 COMP2483/COMP2485) (0.180 COMP285) (0.162 COMP2487) (0.152 COMP77) (0.148 COMP2041/COMP2045)
Age-related macular degeneration treatment	0.227	COMP271/COMP825	(0.211 COMP122) (0.178 COMP77)
Alzheimer's disease treatment	0.600	COMP285	(0.489 COMP2481) (0.475 COMP215) (0.457 COMP2487) (0.428 COMP77) (0.414 COMP2482) (0.388 COMP62) (0.371 COMP910) (0.329 COMP2485) (0.307 COMP927) (0.291 COMP292) (0.267 COMP238)
Amyotrophic lateral sclerosis treatment	0.701	COMP285	(0.685 COMP77) (0.592 COMP62) (0.254 COMP860) (0.242 COMP927) (0.195 COMP910)
Anabolic	0.213	COMP77	(0.212 COMP285) (0.207 COMP2486) (0.192 COMP860) (0.190 COMP2483) (0.185 COMP2488) (0.181 COMP292/COMP927) (0.180 COMP238) (0.176 COMP910) (0.162 COMP2485/COMP343) (0.153 COMP62) (0.150 COMP2487) (0.144 COMP2481) (0.143 COMP122/COMP31) (0.140 COMP215) (0.138 COMP271) (0.124 COMP2041/COMP2045) (0.118 COMP825) (0.113 COMP2482) (0.095 COMP2484)
Analeptic	0.902	COMP62	(0.767 COMP2484) (0.762 COMP77) (0.707 COMP2482) (0.698 COMP2483) (0.589 COMP2481) (0.587 COMP285) (0.577 COMP215) (0.565 COMP343) (0.490 COMP122) (0.485 COMP271) (0.431 COMP860) (0.415 COMP2486) (0.410 COMP2041/COMP2045/COMP2488) (0.382 COMP2487) (0.374 COMP31) (0.351 COMP927) (0.339 COMP910) (0.322 COMP2485) (0.320 COMP825) (0.221 COMP238)
Analgesic	0.234	COMP285	
Andropause treatment	0.081	COMP2482	(0.080 COMP285/COMP77) (0.076 COMP62) (0.068 COMP910) (0.066 COMP2483) (0.065 COMP927)
Anesthetic	0.828	COMP77	(0.715 COMP285) (0.532 COMP62) (0.261 COMP292) (0.254 COMP31) (0.213 COMP2486) (0.200 COMP2485) (0.192 COMP271) (0.191 COMP860) (0.170 COMP2041/COMP2045) (0.167 COMP122) (0.133 COMP2488) (0.132 COMP2483) (0.126 COMP927) (0.120 COMP910)
Anesthetic general	0.844	COMP62	(0.807 COMP77) (0.691 COMP285) (0.570 COMP2482) (0.442 COMP2484) (0.411 COMP271) (0.395 COMP122) (0.347 COMP31) (0.343 COMP2485) (0.325 COMP860) (0.272 COMP215) (0.264 COMP2041/COMP2045) (0.256 COMP2483) (0.248 COMP2488) (0.244 COMP2486) (0.215 COMP292) (0.198 COMP927) (0.184 COMP910) (0.180 COMP825)
Anesthetic inhalation	0.356	COMP31	(0.088 COMP2482) (0.085 COMP860/COMP910) (0.084 COMP2488) (0.073 COMP2486) (0.072 COMP122) (0.071 COMP927) (0.065 COMP77) (0.061 COMP271) (0.060 COMP285) (0.059 COMP2483) (0.058 COMP215) (0.056 COMP2484) (0.054 COMP292) (0.053 COMP825)
Anesthetic local	0.180	COMP271	(0.160 COMP31) (0.139 COMP122) (0.136 COMP77) (0.121 COMP2041/COMP2045) (0.118 COMP285)
Angiogenesis inhibitor	0.384	COMP2482	(0.352 COMP2484) (0.260 COMP2041/COMP2045)
Angiogenesis stimulant	0.882	COMP2482	(0.830 COMP2484) (0.623 COMP62) (0.607 COMP910) (0.574 COMP927) (0.566 COMP2487) (0.545 COMP2481) (0.535 COMP2488) (0.415 COMP343) (0.393 COMP825) (0.383 COMP2486) (0.379 COMP238) (0.361 COMP77) (0.340 COMP292) (0.337 COMP860) (0.323 COMP2485) (0.318 COMP285) (0.314 COMP2041/COMP2045) (0.313 COMP122) (0.292 COMP271) (0.261 COMP2483) (0.229 COMP31) (0.203 COMP215)
