Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.111	COMP178	(0.100 COMP1304) (0.089 COMP1302/COMP1305)
AR expression inhibitor	0.649	COMP1302/COMP1305	(0.581 COMP178) (0.570 COMP1304) (0.328 COMP1307) (0.308 COMP243) (0.238 COMP1303/COMP1306) (0.217 COMP1301)
CTGF expression inhibitor	0.289	COMP243	(0.232 COMP1303/COMP1306) (0.227 COMP178) (0.224 COMP1302/COMP1305) (0.222 COMP1301)
ICAM1 expression inhibitor	0.679	COMP178	(0.656 COMP1304) (0.619 COMP1302/COMP1305) (0.422 COMP1307) (0.361 COMP243) (0.333 COMP1301) (0.330 COMP1303/COMP1306)
LDLR expression enhancer	0.322	COMP1306	(0.295 COMP1301) (0.275 COMP1303) (0.250 COMP243)
NOS2 expression inhibitor	0.713	COMP243	(0.596 COMP1307) (0.546 COMP1303/COMP1306) (0.522 COMP1302/COMP1305) (0.510 COMP1301) (0.479 COMP178) (0.457 COMP1304)
NOS3 expression enhancer	0.128	COMP1302/COMP1305	
NOS3 expression inhibitor	0.609	COMP1302/COMP1305	(0.528 COMP1304) (0.498 COMP178) (0.335 COMP1307)
TNF expression inhibitor	0.694	COMP1302/COMP1305	(0.650 COMP178) (0.638 COMP1307) (0.573 COMP1304) (0.537 COMP243) (0.468 COMP1306) (0.467 COMP1303) (0.441 COMP1301)
VCAM1 expression inhibitor	0.344	COMP243	(0.332 COMP1307) (0.307 COMP1303/COMP1306) (0.295 COMP1301) (0.168 COMP1302/COMP1305)
VEGF expression inhibitor	0.176	COMP243	(0.167 COMP1303/COMP1306) (0.159 COMP1301)
