Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.495	COMP188	(0.421 COMP1312/COMP40/COMP41) (0.400 COMP27) (0.368 COMP1314) (0.352 COMP16/COMP18) (0.350 COMP184) (0.313 COMP1120) (0.285 COMP615) (0.269 COMP62) (0.251 COMP1311) (0.153 COMP1310) (0.148 COMP1321) (0.138 COMP118) (0.135 COMP1318) (0.134 COMP116) (0.127 COMP120) (0.126 COMP1320) (0.122 COMP1308) (0.121 COMP1319) (0.116 COMP102/COMP146) (0.112 COMP1315) (0.109 COMP1316/COMP263) (0.107 COMP1309/COMP1313) (0.104 COMP758)
Aldehyde dehydrogenase substrate	0.311	COMP1312/COMP40/COMP41	(0.301 COMP27) (0.294 COMP16/COMP18) (0.277 COMP1314) (0.268 COMP184) (0.262 COMP1120) (0.250 COMP615) (0.184 COMP1311) (0.182 COMP188) (0.136 COMP116) (0.130 COMP118) (0.129 COMP1309) (0.125 COMP102/COMP146) (0.121 COMP120) (0.115 COMP1308) (0.113 COMP1310) (0.111 COMP1321) (0.100 COMP1315) (0.099 COMP1313) (0.098 COMP1317)
Aldehyde oxidase substrate	0.292	COMP1309	(0.267 COMP263) (0.255 COMP16/COMP18) (0.226 COMP116) (0.208 COMP118) (0.205 COMP120) (0.196 COMP1313) (0.186 COMP1312/COMP40/COMP41) (0.173 COMP1311/COMP615) (0.166 COMP27) (0.156 COMP188) (0.154 COMP1317) (0.147 COMP102/COMP146)
Aldose reductase substrate	0.710	COMP1310	(0.395 COMP1308) (0.375 COMP758) (0.361 COMP1315) (0.356 COMP62) (0.351 COMP1316) (0.248 COMP16/COMP18) (0.194 COMP1312/COMP40/COMP41) (0.183 COMP1313) (0.179 COMP27) (0.178 COMP1311) (0.152 COMP1317)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.381 COMP1312/COMP40/COMP41) (0.318 COMP16/COMP18) (0.199 COMP263) (0.178 COMP1120) (0.172 COMP1313) (0.160 COMP184) (0.141 COMP1317) (0.139 COMP1314) (0.121 COMP1309) (0.098 COMP188/COMP615) (0.084 COMP118) (0.073 COMP1311) (0.071 COMP116)
CYP1A2 inhibitor	0.838	COMP1317	(0.707 COMP1313) (0.608 COMP102/COMP146) (0.393 COMP1311) (0.384 COMP120) (0.383 COMP116) (0.380 COMP118) (0.256 COMP263) (0.250 COMP188) (0.235 COMP1309) (0.186 COMP1120) (0.178 COMP27)
CYP1A2 substrate	0.806	COMP1313	(0.803 COMP1317) (0.625 COMP118) (0.616 COMP116) (0.600 COMP27) (0.550 COMP102/COMP146) (0.535 COMP120) (0.532 COMP1312/COMP40/COMP41) (0.500 COMP758) (0.437 COMP1309) (0.433 COMP1311) (0.428 COMP16/COMP18) (0.381 COMP263) (0.369 COMP1120) (0.345 COMP184) (0.295 COMP1314) (0.240 COMP615) (0.229 COMP188) (0.218 COMP1310) (0.212 COMP1319) (0.196 COMP1320) (0.191 COMP62)
CYP24 inhibitor	0.024	COMP62	(0.022 COMP263) (0.021 COMP1309) (0.020 COMP102/COMP146)
CYP2A6 inhibitor	0.280	COMP188	(0.256 COMP263) (0.234 COMP1309) (0.171 COMP118) (0.155 COMP116) (0.150 COMP120) (0.132 COMP1313) (0.073 COMP16/COMP18) (0.069 COMP102/COMP146) (0.066 COMP1312/COMP40/COMP41)
CYP2B6 inhibitor	0.478	COMP1313	(0.462 COMP188) (0.430 COMP27) (0.422 COMP1317) (0.391 COMP1312/COMP40/COMP41) (0.376 COMP1120) (0.342 COMP184) (0.340 COMP1309) (0.330 COMP16/COMP18) (0.318 COMP1314) (0.309 COMP118) (0.307 COMP116) (0.290 COMP263) (0.281 COMP120) (0.275 COMP1311) (0.273 COMP615) (0.248 COMP102/COMP146)
