Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.544	COMP1312/COMP40/COMP41	(0.530 COMP27) (0.518 COMP1120) (0.507 COMP16/COMP18) (0.501 COMP1314) (0.485 COMP184) (0.476 COMP188) (0.461 COMP615) (0.450 COMP1318) (0.438 COMP1320) (0.436 COMP62) (0.433 COMP1321) (0.421 COMP1319) (0.398 COMP1311) (0.347 COMP1309) (0.341 COMP263) (0.340 COMP118) (0.330 COMP120) (0.307 COMP116) (0.273 COMP102/COMP146) (0.258 COMP1310) (0.255 COMP1313) (0.242 COMP1317)
Carcinogenic	0.959	COMP62	(0.937 COMP1315) (0.923 COMP1316) (0.909 COMP1308) (0.809 COMP758) (0.748 COMP27) (0.714 COMP184) (0.708 COMP1312/COMP40/COMP41) (0.672 COMP1314) (0.647 COMP188) (0.637 COMP1310) (0.608 COMP1120) (0.602 COMP16/COMP18) (0.585 COMP1313) (0.548 COMP615) (0.434 COMP1320) (0.431 COMP1317) (0.350 COMP116/COMP118) (0.326 COMP120/COMP1319) (0.323 COMP1318) (0.319 COMP263) (0.314 COMP1311) (0.288 COMP102/COMP146) (0.279 COMP1309) (0.235 COMP1321)
Carcinogenic. group 1	0.488	COMP1310	(0.461 COMP16/COMP18) (0.453 COMP1309) (0.441 COMP1312/COMP40/COMP41) (0.397 COMP263) (0.393 COMP27) (0.387 COMP118) (0.351 COMP116) (0.341 COMP120) (0.317 COMP1120) (0.292 COMP615) (0.287 COMP1313) (0.281 COMP1314) (0.255 COMP188) (0.253 COMP184) (0.240 COMP1311) (0.239 COMP102/COMP146) (0.218 COMP1308) (0.208 COMP758) (0.197 COMP1317) (0.167 COMP1315) (0.154 COMP1316)
Carcinogenic. group 2A	0.617	COMP1310	(0.322 COMP263) (0.271 COMP118) (0.249 COMP116) (0.243 COMP758) (0.242 COMP120) (0.232 COMP1309) (0.175 COMP1313/COMP188) (0.161 COMP1308) (0.151 COMP102/COMP146) (0.130 COMP615) (0.122 COMP16/COMP18) (0.118 COMP1311) (0.111 COMP1317) (0.107 COMP1120/COMP1314) (0.106 COMP1315) (0.099 COMP1312/COMP40/COMP41) (0.090 COMP184) (0.089 COMP1316) (0.082 COMP27)
Carcinogenic. group 2B	0.494	COMP118	(0.388 COMP116) (0.379 COMP1313) (0.378 COMP263) (0.375 COMP1309) (0.335 COMP120) (0.330 COMP1310) (0.251 COMP1311) (0.226 COMP758) (0.216 COMP615) (0.203 COMP16/COMP18) (0.202 COMP1317) (0.170 COMP1314/COMP188) (0.166 COMP102/COMP146) (0.161 COMP1312/COMP40/COMP41) (0.145 COMP184) (0.135 COMP27)
Carcinogenic. group 3	0.605	COMP1313	(0.473 COMP263) (0.461 COMP1314) (0.454 COMP1312/COMP40/COMP41) (0.437 COMP615) (0.431 COMP16/COMP18) (0.387 COMP184) (0.381 COMP27) (0.359 COMP1120) (0.346 COMP118) (0.338 COMP758) (0.319 COMP116) (0.306 COMP1310) (0.295 COMP120) (0.268 COMP1309) (0.254 COMP102/COMP1317/COMP146) (0.232 COMP1311) (0.186 COMP188) (0.130 COMP62)
Cardiodepressant	0.584	COMP120	(0.580 COMP116) (0.545 COMP118) (0.462 COMP1320) (0.445 COMP1309) (0.423 COMP615) (0.412 COMP16/COMP18) (0.395 COMP1317) (0.381 COMP1313/COMP1319) (0.367 COMP1318) (0.349 COMP263) (0.326 COMP1314) (0.316 COMP1312/COMP40/COMP41) (0.303 COMP1310) (0.302 COMP1311) (0.279 COMP102/COMP146) (0.276 COMP184) (0.264 COMP27) (0.258 COMP1120) (0.210 COMP758) (0.156 COMP1321)
Cytotoxic	0.788	COMP62	(0.621 COMP1319/COMP758) (0.618 COMP1320) (0.583 COMP1316) (0.578 COMP1315) (0.562 COMP1318) (0.550 COMP1308) (0.524 COMP1321) (0.523 COMP1310) (0.456 COMP27) (0.433 COMP1312/COMP40/COMP41) (0.392 COMP1317) (0.386 COMP1120) (0.384 COMP184) (0.371 COMP188) (0.363 COMP1314) (0.360 COMP16/COMP18) (0.355 COMP1313) (0.316 COMP120) (0.293 COMP116) (0.288 COMP615) (0.273 COMP118) (0.251 COMP1311) (0.215 COMP263) (0.199 COMP1309) (0.174 COMP102/COMP146)
DNA damaging	0.677	COMP758	(0.591 COMP1316) (0.580 COMP1315) (0.500 COMP1317) (0.495 COMP1308) (0.484 COMP1310) (0.441 COMP1313) (0.432 COMP1311) (0.416 COMP62) (0.396 COMP615) (0.363 COMP102/COMP146) (0.354 COMP1320) (0.338 COMP1314) (0.334 COMP16/COMP18) (0.323 COMP1319) (0.292 COMP1120) (0.284 COMP120) (0.283 COMP184) (0.275 COMP1312/COMP40/COMP41) (0.257 COMP116) (0.243 COMP263) (0.239 COMP118) (0.226 COMP27) (0.219 COMP1309) (0.178 COMP188)
Embryotoxic	0.965	COMP62	(0.904 COMP1315) (0.903 COMP1316) (0.895 COMP1308) (0.730 COMP1314) (0.714 COMP1310) (0.702 COMP1312/COMP40/COMP41/COMP615) (0.682 COMP184) (0.671 COMP16/COMP18) (0.644 COMP27) (0.612 COMP758) (0.573 COMP1120) (0.563 COMP188) (0.415 COMP1313) (0.404 COMP1320) (0.346 COMP1311) (0.305 COMP1317) (0.304 COMP120) (0.303 COMP1309) (0.285 COMP118) (0.284 COMP116) (0.282 COMP263) (0.262 COMP1319) (0.189 COMP1318) (0.149 COMP1321) (0.144 COMP102/COMP146)
