Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.294	COMP1336	(0.263 COMP148) (0.246 COMP728) (0.242 COMP1311) (0.190 COMP1345) (0.163 COMP16/COMP18) (0.159 COMP62) (0.119 COMP1312/COMP40/COMP41) (0.117 COMP615) (0.107 COMP263) (0.105 COMP1309) (0.103 COMP27) (0.101 COMP1318) (0.092 COMP1314) (0.090 COMP1313/COMP1331) (0.086 COMP1333)
AR expression inhibitor	0.874	COMP188	(0.854 COMP360) (0.819 COMP1332) (0.812 COMP1331) (0.808 COMP758) (0.807 COMP1325) (0.802 COMP1317) (0.794 COMP1313) (0.755 COMP1333) (0.726 COMP1328) (0.724 COMP1327) (0.704 COMP1330) (0.698 COMP1329) (0.686 COMP1324) (0.636 COMP1310) (0.613 COMP728) (0.597 COMP1343) (0.594 COMP1326) (0.586 COMP1318) (0.556 COMP1312/COMP40/COMP41) (0.536 COMP1311) (0.526 COMP1308) (0.524 COMP27) (0.523 COMP148) (0.515 COMP1336) (0.504 COMP16/COMP18) (0.488 COMP1315/COMP1316) (0.479 COMP120/COMP62) (0.467 COMP116) (0.455 COMP118) (0.432 COMP1344) (0.418 COMP102/COMP146) (0.398 COMP1314) (0.393 COMP1120) (0.391 COMP1322/COMP1323) (0.375 COMP184) (0.364 COMP1345) (0.315 COMP615) (0.312 COMP1339) (0.297 COMP1309) (0.290 COMP1334) (0.281 COMP263) (0.236 COMP1335)
CTGF expression inhibitor	0.878	COMP1332	(0.869 COMP1331) (0.857 COMP1313) (0.831 COMP1333) (0.818 COMP1330) (0.816 COMP360) (0.806 COMP1317) (0.780 COMP1325) (0.777 COMP1312/COMP40/COMP41) (0.766 COMP16/COMP18) (0.742 COMP27) (0.731 COMP728) (0.728 COMP148) (0.715 COMP1343) (0.680 COMP1336) (0.678 COMP1311) (0.649 COMP758) (0.632 COMP102/COMP146) (0.623 COMP1326) (0.604 COMP1309) (0.577 COMP1120) (0.548 COMP263) (0.530 COMP1314) (0.527 COMP1328) (0.512 COMP615) (0.475 COMP184) (0.437 COMP1329) (0.395 COMP116/COMP1344) (0.392 COMP1327) (0.346 COMP118) (0.344 COMP120) (0.342 COMP188) (0.322 COMP1324) (0.292 COMP1335) (0.284 COMP62) (0.280 COMP1310) (0.270 COMP1341) (0.222 COMP745) (0.221 COMP1338) (0.195 COMP1339)
GRP78 expression inhibitor	0.054	COMP1322	(0.047 COMP1310) (0.044 COMP1323) (0.041 COMP1309) (0.035 COMP263) (0.033 COMP16/COMP18) (0.028 COMP1324) (0.026 COMP1329) (0.023 COMP1312/COMP1327/COMP40/COMP41) (0.021 COMP1328/COMP1330/COMP27) (0.020 COMP188)
ICAM1 expression inhibitor	0.628	COMP1318	(0.581 COMP1310) (0.561 COMP1328) (0.556 COMP1329) (0.542 COMP1327) (0.532 COMP1322) (0.527 COMP1324) (0.524 COMP1323) (0.517 COMP1308) (0.511 COMP27) (0.503 COMP184) (0.499 COMP758) (0.496 COMP1315/COMP1316) (0.495 COMP62) (0.489 COMP1120/COMP360) (0.483 COMP1345) (0.477 COMP1312/COMP40/COMP41) (0.471 COMP1314) (0.448 COMP1344) (0.440 COMP1311) (0.436 COMP16/COMP18) (0.434 COMP148) (0.432 COMP615) (0.429 COMP728) (0.428 COMP1336) (0.424 COMP1332) (0.418 COMP102/COMP146) (0.405 COMP1331) (0.404 COMP1333) (0.396 COMP1317) (0.393 COMP1313) (0.392 COMP263) (0.387 COMP1325/COMP1334) (0.386 COMP1330) (0.378 COMP188) (0.345 COMP1309) (0.336 COMP1326) (0.309 COMP120) (0.303 COMP116/COMP1335) (0.289 COMP1339) (0.281 COMP118) (0.270 COMP1343)
LDLR expression enhancer	0.323	COMP188	(0.307 COMP728) (0.299 COMP1332) (0.284 COMP1311) (0.282 COMP148) (0.281 COMP1335) (0.280 COMP360) (0.272 COMP120) (0.271 COMP116) (0.268 COMP1339) (0.264 COMP1336) (0.257 COMP1344) (0.256 COMP102/COMP1325/COMP146) (0.254 COMP118) (0.252 COMP1317) (0.239 COMP1333) (0.232 COMP1343) (0.226 COMP27) (0.225 COMP1313) (0.223 COMP1331) (0.218 COMP1120) (0.215 COMP1309) (0.214 COMP1330) (0.213 COMP1326) (0.210 COMP1312/COMP40/COMP41) (0.209 COMP263) (0.201 COMP184) (0.184 COMP1314) (0.178 COMP16/COMP18) (0.151 COMP615) (0.147 COMP758)
NOS2 expression inhibitor	0.952	COMP1328	(0.941 COMP758) (0.929 COMP1324/COMP1327) (0.917 COMP1329) (0.878 COMP1332) (0.826 COMP360) (0.811 COMP1326) (0.798 COMP1317) (0.776 COMP1333) (0.771 COMP1325) (0.767 COMP62) (0.764 COMP1331) (0.749 COMP1313) (0.699 COMP1330) (0.692 COMP1344) (0.691 COMP102/COMP146) (0.633 COMP1343) (0.615 COMP1310) (0.603 COMP1335) (0.582 COMP188) (0.565 COMP1323) (0.563 COMP120) (0.559 COMP116) (0.556 COMP1311) (0.555 COMP728) (0.553 COMP148) (0.552 COMP1308) (0.542 COMP27) (0.540 COMP1322) (0.529 COMP1120) (0.519 COMP118) (0.515 COMP1312/COMP40/COMP41) (0.513 COMP1336) (0.510 COMP1339) (0.492 COMP184) (0.472 COMP1316) (0.464 COMP1314) (0.453 COMP1315) (0.445 COMP16/COMP18) (0.411 COMP1318) (0.400 COMP263) (0.397 COMP615) (0.362 COMP1309) (0.304 COMP1345) (0.218 COMP1334)
NOS3 expression enhancer	0.728	COMP1329	(0.708 COMP1328) (0.649 COMP758) (0.642 COMP1327) (0.601 COMP1310) (0.578 COMP1324) (0.556 COMP1331) (0.552 COMP728) (0.545 COMP1332) (0.523 COMP1313) (0.502 COMP1336/COMP148) (0.497 COMP1308) (0.478 COMP1311) (0.424 COMP1315) (0.416 COMP1333) (0.413 COMP1330) (0.402 COMP1316) (0.390 COMP1317) (0.365 COMP1325/COMP62) (0.355 COMP1322/COMP1323) (0.354 COMP116) (0.349 COMP360) (0.348 COMP118) (0.326 COMP120) (0.292 COMP1343) (0.226 COMP1326) (0.220 COMP263) (0.202 COMP102/COMP146) (0.189 COMP1339) (0.170 COMP1312/COMP40/COMP41) (0.168 COMP188) (0.141 COMP27)
NOS3 expression inhibitor	0.893	COMP62	(0.842 COMP27) (0.823 COMP1328) (0.816 COMP1329) (0.799 COMP1327) (0.764 COMP1312/COMP40/COMP41) (0.763 COMP1324) (0.732 COMP1120) (0.724 COMP184) (0.698 COMP758) (0.688 COMP1310) (0.686 COMP1332) (0.675 COMP1331) (0.664 COMP1313/COMP16/COMP18) (0.627 COMP1322/COMP1323) (0.614 COMP1333) (0.611 COMP1314) (0.599 COMP1308) (0.596 COMP1330) (0.582 COMP1317) (0.566 COMP1325) (0.565 COMP360) (0.562 COMP1315) (0.550 COMP1316) (0.503 COMP1344) (0.483 COMP1318) (0.474 COMP1343) (0.462 COMP615) (0.460 COMP1326) (0.429 COMP728) (0.418 COMP148) (0.403 COMP1311) (0.400 COMP1336) (0.334 COMP188) (0.311 COMP1334) (0.295 COMP1309) (0.293 COMP102/COMP146) (0.277 COMP116) (0.250 COMP263) (0.247 COMP120) (0.243 COMP118) (0.222 COMP1345) (0.197 COMP1339)
TNF expression inhibitor	0.942	COMP62	(0.887 COMP1328) (0.881 COMP27) (0.857 COMP1312/COMP40/COMP41) (0.852 COMP1329) (0.834 COMP1324) (0.816 COMP1327) (0.815 COMP184) (0.775 COMP1314) (0.764 COMP188) (0.763 COMP16/COMP18) (0.760 COMP1120/COMP728) (0.757 COMP148) (0.750 COMP1311) (0.743 COMP1332) (0.722 COMP1308) (0.704 COMP102/COMP146) (0.702 COMP1336) (0.694 COMP360) (0.666 COMP1315/COMP615) (0.662 COMP1316) (0.625 COMP1333) (0.617 COMP1317/COMP1325) (0.616 COMP758) (0.613 COMP1344) (0.608 COMP1313) (0.607 COMP1331) (0.582 COMP1322) (0.570 COMP1330) (0.565 COMP1310) (0.548 COMP1323) (0.540 COMP116) (0.535 COMP120) (0.517 COMP1318) (0.499 COMP1343) (0.494 COMP118) (0.489 COMP263) (0.478 COMP1326) (0.427 COMP1335) (0.418 COMP1309) (0.347 COMP1339) (0.213 COMP1334)
