Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.495	COMP188	(0.421 COMP1312/COMP40/COMP41) (0.400 COMP27) (0.368 COMP1314) (0.352 COMP16/COMP18) (0.350 COMP184) (0.313 COMP1120) (0.285 COMP615) (0.276 COMP1335) (0.269 COMP62) (0.267 COMP1336) (0.257 COMP148) (0.251 COMP1311) (0.245 COMP728) (0.205 COMP1337) (0.153 COMP1310) (0.138 COMP118) (0.135 COMP1318) (0.134 COMP116/COMP1326) (0.131 COMP1339) (0.127 COMP120) (0.125 COMP1330) (0.122 COMP1308) (0.116 COMP102/COMP146) (0.115 COMP1322/COMP1323) (0.112 COMP1315/COMP1327) (0.109 COMP1316/COMP1329/COMP263) (0.108 COMP1328) (0.107 COMP1309/COMP1313/COMP1324) (0.104 COMP758)
Aldehyde dehydrogenase substrate	0.311	COMP1312/COMP40/COMP41	(0.301 COMP27) (0.294 COMP16/COMP18) (0.277 COMP1314) (0.268 COMP184) (0.262 COMP1120) (0.250 COMP615) (0.195 COMP148) (0.192 COMP1336) (0.188 COMP728) (0.184 COMP1311) (0.182 COMP188) (0.136 COMP116) (0.130 COMP118) (0.129 COMP1309) (0.125 COMP102/COMP146) (0.122 COMP1330) (0.121 COMP120) (0.116 COMP1335) (0.115 COMP1308) (0.113 COMP1310) (0.105 COMP1324/COMP1327) (0.101 COMP1332) (0.100 COMP1315/COMP1328) (0.099 COMP1313) (0.098 COMP1317)
Aldehyde oxidase substrate	0.331	COMP1341	(0.292 COMP1309) (0.267 COMP263) (0.255 COMP16/COMP18) (0.243 COMP1330) (0.237 COMP1343) (0.226 COMP116) (0.210 COMP745) (0.208 COMP118) (0.205 COMP120) (0.196 COMP1313) (0.191 COMP148) (0.186 COMP1312/COMP1325/COMP40/COMP41) (0.180 COMP1331) (0.175 COMP1336) (0.173 COMP1311/COMP615/COMP728) (0.167 COMP1332) (0.166 COMP27) (0.156 COMP188) (0.154 COMP1317/COMP1337) (0.148 COMP1338) (0.147 COMP102/COMP146) (0.143 COMP1333) (0.139 COMP1342) (0.137 COMP360) (0.135 COMP1340/COMP1344)
Aldose reductase substrate	0.710	COMP1310	(0.704 COMP1322/COMP1323) (0.551 COMP1329) (0.521 COMP1327) (0.496 COMP1328) (0.493 COMP1324) (0.395 COMP1308) (0.375 COMP758) (0.361 COMP1315) (0.356 COMP62) (0.351 COMP1316) (0.248 COMP16/COMP18) (0.212 COMP1330) (0.199 COMP1336) (0.194 COMP1312/COMP40/COMP41) (0.188 COMP1331) (0.187 COMP148) (0.183 COMP1313) (0.182 COMP728) (0.179 COMP27) (0.178 COMP1311) (0.176 COMP1343) (0.162 COMP1333) (0.160 COMP1335) (0.152 COMP1317) (0.145 COMP1325) (0.135 COMP1332)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.381 COMP1312/COMP40/COMP41) (0.318 COMP16/COMP18) (0.242 COMP1330) (0.199 COMP263) (0.186 COMP1331) (0.178 COMP1120) (0.172 COMP1313) (0.160 COMP184) (0.144 COMP1325) (0.141 COMP1317) (0.139 COMP1314) (0.134 COMP1327) (0.121 COMP1309/COMP1332) (0.113 COMP1343) (0.106 COMP1341) (0.101 COMP1336) (0.099 COMP728) (0.098 COMP188/COMP615) (0.097 COMP745) (0.089 COMP148) (0.084 COMP118) (0.083 COMP1324) (0.073 COMP1311) (0.072 COMP1333) (0.071 COMP116/COMP360)
CYP1A2 inhibitor	0.921	COMP360	(0.850 COMP1332) (0.838 COMP1317) (0.802 COMP1333) (0.783 COMP1326) (0.772 COMP1325) (0.761 COMP1331) (0.707 COMP1313) (0.697 COMP1343) (0.645 COMP1344) (0.608 COMP102/COMP146) (0.588 COMP1330) (0.501 COMP1337) (0.420 COMP1341) (0.400 COMP728) (0.393 COMP1311/COMP148) (0.390 COMP1336) (0.386 COMP745) (0.384 COMP120) (0.383 COMP116) (0.380 COMP118) (0.361 COMP1335) (0.324 COMP1328) (0.274 COMP1324/COMP1327/COMP1329) (0.256 COMP263) (0.250 COMP188) (0.235 COMP1309) (0.215 COMP1338) (0.186 COMP1120) (0.178 COMP27)
CYP1A2 substrate	0.871	COMP1331	(0.849 COMP1332) (0.837 COMP1333) (0.806 COMP1313) (0.803 COMP1317) (0.746 COMP1325) (0.723 COMP1326) (0.713 COMP1330) (0.697 COMP1343) (0.667 COMP1344) (0.665 COMP360) (0.625 COMP118) (0.616 COMP116) (0.600 COMP27) (0.585 COMP728) (0.561 COMP1327) (0.550 COMP102/COMP146) (0.543 COMP1328) (0.535 COMP120) (0.532 COMP1312/COMP40/COMP41) (0.518 COMP1336) (0.510 COMP148) (0.504 COMP1329) (0.502 COMP1324) (0.500 COMP758) (0.480 COMP745) (0.474 COMP1335) (0.437 COMP1309) (0.433 COMP1311) (0.428 COMP16/COMP18) (0.403 COMP1339) (0.381 COMP263) (0.369 COMP1120) (0.345 COMP184) (0.295 COMP1314) (0.279 COMP1338) (0.271 COMP1341) (0.258 COMP1340) (0.240 COMP615) (0.229 COMP1322/COMP188) (0.225 COMP1337) (0.218 COMP1310) (0.191 COMP62)
CYP24 inhibitor	0.024	COMP62	(0.022 COMP263) (0.021 COMP1309) (0.020 COMP102/COMP1336/COMP146)
CYP2A6 inhibitor	0.316	COMP1341	(0.280 COMP188) (0.256 COMP263) (0.234 COMP1309) (0.224 COMP1344) (0.177 COMP1343) (0.171 COMP118/COMP745) (0.163 COMP1330) (0.155 COMP116) (0.152 COMP1331) (0.150 COMP120) (0.132 COMP1313) (0.131 COMP1333) (0.124 COMP1326) (0.100 COMP1337) (0.086 COMP1338) (0.073 COMP16/COMP18) (0.069 COMP102/COMP146) (0.066 COMP1312/COMP1342/COMP40/COMP41)
CYP2B6 inhibitor	0.509	COMP1331	(0.478 COMP1313) (0.462 COMP188) (0.450 COMP1332) (0.442 COMP1326) (0.440 COMP1330) (0.438 COMP1343) (0.430 COMP27) (0.422 COMP1317) (0.401 COMP1333) (0.391 COMP1312/COMP40/COMP41) (0.376 COMP1120) (0.365 COMP1325) (0.342 COMP184) (0.340 COMP1309) (0.336 COMP1344) (0.330 COMP16/COMP18) (0.325 COMP1341) (0.318 COMP1314) (0.309 COMP118) (0.307 COMP116/COMP360) (0.304 COMP1336) (0.301 COMP148) (0.290 COMP263) (0.286 COMP728) (0.281 COMP120) (0.275 COMP1311) (0.273 COMP615) (0.256 COMP745) (0.248 COMP102/COMP146) (0.238 COMP1337) (0.220 COMP1335) (0.194 COMP1338) (0.168 COMP1340)
