Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.567	COMP683	(0.312 COMP389/COMP390) (0.232 COMP218) (0.180 COMP191/COMP49) (0.177 COMP463/COMP774) (0.143 COMP508) (0.129 COMP773/COMP781/COMP782) (0.123 COMP48) (0.113 COMP737/COMP775/COMP776/COMP777/COMP778) (0.111 COMP724)
Acetylcholine release stimulant	0.100	COMP389/COMP390	(0.098 COMP683)
Actinic keratosis treatment	0.255	COMP683	(0.225 COMP389/COMP390) (0.192 COMP782) (0.189 COMP737/COMP775/COMP776/COMP777/COMP778) (0.162 COMP191) (0.157 COMP724) (0.148 COMP49) (0.144 COMP786) (0.143 COMP238/COMP48/COMP772) (0.142 COMP463/COMP774) (0.134 COMP783) (0.129 COMP510/COMP787) (0.121 COMP773/COMP781) (0.115 COMP305) (0.111 COMP301/COMP56) (0.108 COMP508) (0.103 COMP779) (0.098 COMP784) (0.091 COMP692/COMP780/COMP785) (0.089 COMP218)
Acute neurologic disorders treatment	0.225	COMP683	
Acute respiratory distress syndrome (ARDS) treatment	0.392	COMP238/COMP772	(0.366 COMP773/COMP781) (0.343 COMP508) (0.318 COMP305) (0.310 COMP784) (0.300 COMP786) (0.298 COMP301/COMP56) (0.295 COMP783) (0.289 COMP692/COMP785) (0.288 COMP782) (0.281 COMP510/COMP787) (0.233 COMP463/COMP774) (0.216 COMP771) (0.169 COMP389/COMP390) (0.127 COMP683)
Age-related macular degeneration treatment	0.211	COMP683	(0.190 COMP389/COMP390)
Alzheimer's disease treatment	0.663	COMP737/COMP775/COMP776/COMP777/COMP778	(0.584 COMP773/COMP781) (0.558 COMP508/COMP784) (0.547 COMP724/COMP786) (0.534 COMP692/COMP785) (0.526 COMP301/COMP56) (0.521 COMP510/COMP787) (0.504 COMP191) (0.502 COMP48/COMP782) (0.499 COMP305) (0.492 COMP783) (0.451 COMP49) (0.449 COMP780) (0.441 COMP771) (0.415 COMP218) (0.395 COMP779) (0.388 COMP463/COMP774) (0.273 COMP389/COMP390) (0.267 COMP238/COMP772)
Amyotrophic lateral sclerosis treatment	0.180	COMP49	(0.179 COMP724) (0.174 COMP389/COMP390) (0.172 COMP48)
Anabolic	0.180	COMP238/COMP772	(0.163 COMP683) (0.155 COMP463/COMP774) (0.147 COMP191) (0.145 COMP389/COMP390) (0.142 COMP737/COMP775/COMP776/COMP777/COMP778) (0.135 COMP49) (0.133 COMP48) (0.131 COMP724) (0.109 COMP779/COMP782) (0.108 COMP218) (0.101 COMP780) (0.096 COMP508) (0.094 COMP773/COMP781) (0.090 COMP771) (0.089 COMP783) (0.087 COMP510/COMP787)
Analeptic	0.632	COMP784	(0.590 COMP692/COMP785) (0.569 COMP683) (0.551 COMP786) (0.545 COMP305) (0.531 COMP301/COMP56) (0.524 COMP773/COMP781) (0.519 COMP218) (0.512 COMP783) (0.498 COMP510/COMP787) (0.485 COMP782) (0.472 COMP508) (0.358 COMP389/COMP390) (0.334 COMP737/COMP775/COMP776/COMP777/COMP778) (0.323 COMP463/COMP774) (0.316 COMP724) (0.313 COMP191) (0.312 COMP771) (0.297 COMP49) (0.290 COMP48) (0.257 COMP779/COMP780) (0.221 COMP238/COMP772)
