Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.453	COMP238/COMP772	(0.407 COMP683) (0.392 COMP389/COMP390) (0.295 COMP463/COMP774) (0.259 COMP737/COMP775/COMP776/COMP777/COMP778) (0.252 COMP191) (0.213 COMP218) (0.210 COMP49) (0.201 COMP48) (0.194 COMP779) (0.187 COMP724/COMP780) (0.172 COMP771)
Carcinogenic	0.921	COMP773/COMP781	(0.918 COMP786) (0.917 COMP782) (0.913 COMP784) (0.912 COMP301/COMP56) (0.907 COMP508) (0.903 COMP510/COMP787) (0.898 COMP305) (0.895 COMP692/COMP785) (0.888 COMP783) (0.790 COMP724) (0.789 COMP463/COMP774) (0.753 COMP48) (0.724 COMP49) (0.675 COMP191) (0.627 COMP780) (0.612 COMP779) (0.607 COMP389/COMP390) (0.548 COMP737/COMP775/COMP776/COMP777/COMP778) (0.522 COMP683) (0.515 COMP218) (0.386 COMP238/COMP772) (0.284 COMP771)
Carcinogenic. group 1	0.544	COMP218	(0.521 COMP783) (0.490 COMP786) (0.465 COMP305) (0.441 COMP510/COMP787) (0.393 COMP301/COMP56) (0.315 COMP683) (0.313 COMP49) (0.294 COMP724) (0.273 COMP191) (0.268 COMP48/COMP773/COMP781) (0.254 COMP779) (0.246 COMP780) (0.245 COMP508) (0.241 COMP784) (0.236 COMP389/COMP390) (0.221 COMP692/COMP785) (0.170 COMP737/COMP775/COMP776/COMP777/COMP778) (0.156 COMP771) (0.146 COMP782)
Carcinogenic. group 2A	0.263	COMP218	(0.205 COMP786) (0.203 COMP783) (0.184 COMP305) (0.176 COMP510/COMP683/COMP787) (0.158 COMP301/COMP56) (0.146 COMP773/COMP781) (0.121 COMP771) (0.118 COMP508) (0.109 COMP737/COMP775/COMP776/COMP777/COMP778) (0.102 COMP389/COMP390) (0.086 COMP191) (0.079 COMP724) (0.077 COMP49)
Carcinogenic. group 2B	0.509	COMP389/COMP390	(0.328 COMP191) (0.253 COMP508) (0.232 COMP49) (0.226 COMP48) (0.213 COMP773/COMP781) (0.207 COMP305) (0.205 COMP683/COMP783) (0.202 COMP301/COMP56) (0.200 COMP510/COMP787) (0.191 COMP724) (0.189 COMP779) (0.185 COMP218) (0.171 COMP786) (0.169 COMP737/COMP775/COMP776/COMP777/COMP778) (0.163 COMP780) (0.136 COMP463/COMP774) (0.114 COMP692/COMP785) (0.096 COMP771) (0.088 COMP784)
Carcinogenic. group 3	0.799	COMP49	(0.751 COMP48) (0.672 COMP724) (0.533 COMP191) (0.516 COMP780) (0.466 COMP218) (0.454 COMP305) (0.439 COMP389/COMP390) (0.437 COMP783) (0.426 COMP779) (0.395 COMP301/COMP56) (0.387 COMP508) (0.382 COMP510/COMP787) (0.379 COMP683) (0.325 COMP773/COMP781) (0.322 COMP786) (0.306 COMP692/COMP785) (0.248 COMP784) (0.235 COMP782) (0.227 COMP463/COMP774) (0.213 COMP737/COMP775/COMP776/COMP777/COMP778)
Cardiodepressant	0.503	COMP238/COMP772	(0.403 COMP779) (0.393 COMP683) (0.343 COMP780) (0.342 COMP191) (0.329 COMP48) (0.314 COMP49) (0.295 COMP389/COMP390) (0.270 COMP724) (0.265 COMP218) (0.205 COMP463/COMP774) (0.202 COMP737/COMP775/COMP776/COMP777/COMP778) (0.179 COMP510/COMP787) (0.164 COMP783) (0.135 COMP301/COMP56)
Cytotoxic	0.637	COMP782	(0.626 COMP301/COMP56) (0.618 COMP786) (0.617 COMP510/COMP787) (0.610 COMP305) (0.607 COMP773/COMP781) (0.605 COMP508) (0.602 COMP783) (0.598 COMP784) (0.597 COMP692/COMP785) (0.595 COMP238/COMP772) (0.555 COMP771) (0.480 COMP463/COMP774) (0.456 COMP724) (0.454 COMP48) (0.453 COMP780) (0.446 COMP779) (0.428 COMP191) (0.423 COMP49) (0.406 COMP737/COMP775/COMP776/COMP777/COMP778) (0.402 COMP218) (0.295 COMP683) (0.290 COMP389/COMP390)
DNA damaging	0.855	COMP782	(0.840 COMP786) (0.834 COMP773/COMP781) (0.824 COMP301/COMP56) (0.810 COMP510/COMP787) (0.805 COMP508) (0.798 COMP305) (0.779 COMP783) (0.684 COMP784) (0.649 COMP692/COMP785) (0.586 COMP737/COMP775/COMP776/COMP777/COMP778) (0.585 COMP779) (0.519 COMP724) (0.518 COMP780) (0.505 COMP218) (0.500 COMP191) (0.491 COMP771) (0.479 COMP48) (0.441 COMP49) (0.403 COMP389/COMP390) (0.307 COMP463/COMP774) (0.294 COMP683)
Embryotoxic	0.806	COMP463/COMP774	(0.772 COMP786) (0.768 COMP301/COMP56) (0.756 COMP305) (0.754 COMP773/COMP781) (0.751 COMP510/COMP787) (0.739 COMP783) (0.733 COMP508) (0.721 COMP784) (0.711 COMP782) (0.698 COMP692/COMP785) (0.516 COMP683) (0.502 COMP389/COMP390) (0.500 COMP724) (0.484 COMP737/COMP775/COMP776/COMP777/COMP778) (0.461 COMP48) (0.438 COMP49) (0.391 COMP191) (0.375 COMP771) (0.338 COMP780) (0.291 COMP218) (0.271 COMP779) (0.163 COMP238/COMP772)
Eye irritation. high	0.495	COMP389/COMP390	(0.302 COMP683) (0.193 COMP191) (0.187 COMP463/COMP774) (0.177 COMP218) (0.161 COMP49) (0.158 COMP783) (0.150 COMP305) (0.149 COMP737/COMP775/COMP776/COMP777/COMP778) (0.142 COMP48) (0.140 COMP510/COMP787) (0.136 COMP508) (0.135 COMP724) (0.134 COMP301/COMP56) (0.133 COMP786) (0.130 COMP771) (0.129 COMP773/COMP781) (0.118 COMP782)
Genotoxic	0.974	COMP692/COMP785	(0.973 COMP784) (0.963 COMP301/COMP56) (0.961 COMP510/COMP787) (0.960 COMP786) (0.951 COMP508) (0.950 COMP773/COMP781) (0.946 COMP782) (0.945 COMP305) (0.940 COMP783) (0.908 COMP737/COMP775/COMP776/COMP777/COMP778) (0.895 COMP48) (0.893 COMP724) (0.880 COMP780) (0.827 COMP49) (0.816 COMP191) (0.771 COMP779) (0.637 COMP683) (0.481 COMP218) (0.461 COMP771) (0.422 COMP389/COMP390) (0.279 COMP463/COMP774)
Hypoglycemic	0.814	COMP305	(0.806 COMP784) (0.805 COMP301/COMP56) (0.796 COMP786) (0.793 COMP692/COMP785) (0.792 COMP783) (0.782 COMP510/COMP773/COMP781/COMP787) (0.768 COMP508) (0.735 COMP737/COMP775/COMP776/COMP777/COMP778) (0.722 COMP782) (0.648 COMP771) (0.622 COMP238/COMP772) (0.598 COMP724) (0.583 COMP49) (0.582 COMP48) (0.551 COMP191) (0.544 COMP389/COMP390) (0.521 COMP780) (0.506 COMP779) (0.492 COMP683) (0.384 COMP218) (0.381 COMP463/COMP774)
Mutagenic	0.957	COMP301/COMP56/COMP773/COMP781/COMP786	(0.951 COMP305/COMP508/COMP510/COMP787) (0.945 COMP783) (0.943 COMP784) (0.935 COMP692/COMP785) (0.918 COMP782) (0.798 COMP737/COMP775/COMP776/COMP777/COMP778) (0.740 COMP463/COMP774) (0.733 COMP724) (0.712 COMP48) (0.691 COMP49) (0.635 COMP191) (0.626 COMP780) (0.595 COMP779) (0.552 COMP389/COMP390) (0.457 COMP683) (0.434 COMP218) (0.196 COMP771)
Pneumotoxic	0.519	COMP779	(0.509 COMP683) (0.484 COMP191/COMP389/COMP390) (0.476 COMP48) (0.459 COMP780) (0.457 COMP218) (0.447 COMP49) (0.424 COMP737/COMP775/COMP776/COMP777/COMP778) (0.423 COMP724) (0.260 COMP463/COMP774) (0.180 COMP782) (0.173 COMP508) (0.153 COMP773/COMP781) (0.149 COMP510/COMP787)
Sedative	0.175	COMP218	(0.159 COMP301/COMP56) (0.158 COMP305) (0.151 COMP786) (0.149 COMP510/COMP784/COMP787) (0.147 COMP692/COMP783/COMP785) (0.136 COMP683)
Sensitization	0.868	COMP463/COMP774	(0.800 COMP389/COMP390) (0.743 COMP782) (0.695 COMP305) (0.686 COMP783) (0.674 COMP301/COMP56) (0.666 COMP510/COMP787) (0.631 COMP508) (0.628 COMP786) (0.609 COMP683) (0.590 COMP773/COMP781) (0.569 COMP238/COMP772) (0.524 COMP737/COMP775/COMP776/COMP777/COMP778) (0.508 COMP692/COMP785) (0.465 COMP49) (0.452 COMP191) (0.451 COMP784) (0.439 COMP48) (0.404 COMP779) (0.397 COMP724) (0.395 COMP780) (0.391 COMP771) (0.362 COMP218)
Skin irritative effect	0.567	COMP389/COMP390	(0.391 COMP683) (0.267 COMP463/COMP774) (0.120 COMP218) (0.108 COMP191) (0.103 COMP737/COMP775/COMP776/COMP777/COMP778)
Teratogen	0.834	COMP463/COMP774	(0.807 COMP301/COMP56) (0.806 COMP786) (0.794 COMP305) (0.791 COMP773/COMP781) (0.790 COMP510/COMP787) (0.776 COMP783) (0.773 COMP508) (0.767 COMP784) (0.750 COMP692/COMP785) (0.749 COMP782) (0.549 COMP724) (0.543 COMP389/COMP390) (0.536 COMP737/COMP775/COMP776/COMP777/COMP778) (0.529 COMP683) (0.512 COMP48) (0.486 COMP49) (0.439 COMP191) (0.409 COMP771) (0.397 COMP780) (0.342 COMP218) (0.311 COMP779) (0.199 COMP238/COMP772)
Toxic. respiratory center	0.206	COMP737/COMP775/COMP776/COMP777/COMP778	(0.156 COMP48) (0.155 COMP49) (0.154 COMP780) (0.150 COMP779) (0.145 COMP724)
Ulceration	0.755	COMP782	(0.749 COMP508) (0.720 COMP692/COMP785) (0.714 COMP773/COMP781) (0.698 COMP218) (0.683 COMP784) (0.676 COMP301/COMP56) (0.672 COMP510/COMP787) (0.655 COMP683) (0.646 COMP780) (0.645 COMP305) (0.643 COMP389/COMP390) (0.641 COMP779/COMP783) (0.631 COMP786) (0.621 COMP48) (0.596 COMP191) (0.587 COMP49) (0.576 COMP724) (0.550 COMP771) (0.461 COMP463/COMP774) (0.424 COMP737/COMP775/COMP776/COMP777/COMP778)
