Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.052	COMP768	(0.045 COMP769) (0.036 COMP765) (0.031 COMP770) (0.025 COMP413/COMP767)
ATPase inhibitor	0.304	COMP766	(0.214 COMP539) (0.186 COMP767) (0.153 COMP765) (0.140 COMP413) (0.138 COMP769)
Acetylcholine M1 receptor antagonist	0.157	COMP539	(0.124 COMP767)
Acetylcholinesterase inhibitor	0.172	COMP769	
Aconitate hydratase inhibitor	0.478	COMP539	(0.386 COMP767)
Acyl-CoA dehydrogenase inhibitor	0.258	COMP539	(0.228 COMP767)
Adenosine A1 receptor agonist	0.031	COMP766	
Adenosine deaminase inhibitor	0.092	COMP539	(0.060 COMP767)
Adenylate cyclase inhibitor	0.201	COMP539	(0.185 COMP767) (0.181 COMP766) (0.171 COMP769) (0.163 COMP765/COMP770) (0.144 COMP768)
Adenylate kinase inhibitor	0.441	COMP767	(0.440 COMP539)
Alcohol dehydrogenase inhibitor	0.408	COMP539	(0.264 COMP767)
Aldosterone antagonist	0.251	COMP769	(0.079 COMP765) (0.077 COMP770) (0.073 COMP768) (0.054 COMP767) (0.049 COMP539)
Alpha-mannosidase inhibitor	0.142	COMP539	(0.110 COMP766) (0.088 COMP767) (0.064 COMP765)
Aminopeptidase A inhibitor	0.041	COMP539	(0.019 COMP767)
Aminopeptidase N inhibitor	0.048	COMP539	
Androgen agonist	0.136	COMP769	(0.104 COMP765) (0.091 COMP770) (0.082 COMP539) (0.075 COMP767) (0.059 COMP768) (0.053 COMP413)
Androgen antagonist	0.273	COMP770	(0.236 COMP769) (0.214 COMP768) (0.195 COMP413) (0.152 COMP765) (0.097 COMP539)
Arginase inhibitor	0.112	COMP539	(0.063 COMP767) (0.032 COMP766)
Argininosuccinate synthase inhibitor	0.362	COMP767	(0.361 COMP539)
Aryl hydrocarbon receptor agonist	0.168	COMP767	
Beta 1 adrenoreceptor antagonist	0.074	COMP539	(0.051 COMP767)
Beta 2 adrenoreceptor agonist	0.064	COMP539	
Beta 2 adrenoreceptor antagonist	0.065	COMP539	
CYP2C9 inhibitor	0.235	COMP767	(0.221 COMP539)
Ca2+-transporting ATPase inhibitor	0.238	COMP539	(0.192 COMP767) (0.152 COMP765) (0.146 COMP766) (0.143 COMP770) (0.139 COMP769)
Calcium channel L-type blocker	0.064	COMP539	
Carbonic anhydrase I inhibitor	0.059	COMP767	
Carbonic anhydrase II inhibitor	0.056	COMP767	
Carbonic anhydrase inhibitor	0.163	COMP766	(0.064 COMP767)
Catalase inhibitor	0.459	COMP767	(0.445 COMP539)
Cystathionine beta-synthase inhibitor	0.276	COMP767	(0.273 COMP539) (0.201 COMP766)
DOPA decarboxylase inhibitor	0.260	COMP767	(0.184 COMP539)
Dihydrofolate reductase inhibitor	0.062	COMP539	
Electron transport complex I inhibitor	0.169	COMP539	(0.135 COMP767)
Endothelin A receptor antagonist	0.024	COMP539	
Estrogen agonist	0.178	COMP770	(0.124 COMP413) (0.085 COMP769) (0.082 COMP765) (0.067 COMP768) (0.044 COMP766)
Excitatory amino acid transporter 2 inhibitor	0.066	COMP539	(0.039 COMP767)
Fumarate hydratase inhibitor	0.698	COMP767	(0.435 COMP539)
GABA aminotransferase inhibitor	0.277	COMP539	(0.136 COMP767) (0.070 COMP770) (0.069 COMP768)
GABA transporter 1 inhibitor	0.018	COMP539	(0.015 COMP767)
GRP78 expression inhibitor	0.035	COMP767	(0.033 COMP539) (0.023 COMP769)
Glucocorticoid agonist	0.044	COMP770	(0.029 COMP413) (0.014 COMP769)
Glucocorticoid antagonist	0.076	COMP770	(0.067 COMP769) (0.061 COMP413)
Glucose-6-phosphate isomerase inhibitor	0.242	COMP539	(0.193 COMP767) (0.141 COMP766) (0.044 COMP765)
Glutamate dehydrogenase inhibitor	0.687	COMP767	(0.514 COMP539) (0.066 COMP770)
HMG CoA reductase inhibitor	0.059	COMP539	(0.037 COMP767) (0.036 COMP413) (0.032 COMP766)
Heat shock protein 70 antagonist	0.187	COMP539	(0.160 COMP766) (0.155 COMP767/COMP769)
Hexokinase inhibitor	0.262	COMP766	(0.245 COMP767) (0.181 COMP539)
Histamine H2 receptor agonist	0.041	COMP539	
Hypoxanthine phosphoribosyltransferase inhibitor	0.048	COMP539	(0.036 COMP767)
Lysine carboxypeptidase inhibitor	0.099	COMP539	(0.041 COMP767)
NMDA receptor agonist	0.244	COMP539	(0.127 COMP767)
Na+ K+ transporting ATPase inhibitor	0.182	COMP765	(0.165 COMP769) (0.157 COMP768) (0.155 COMP413) (0.147 COMP770) (0.139 COMP766) (0.116 COMP539) (0.104 COMP767)
Neuropeptide Y1 antagonist	0.125	COMP539	
Neutral endopeptidase inhibitor	0.039	COMP539	
Opioid kappa receptor agonist	0.042	COMP413	
Ornithine carbamoyltransferase inhibitor	0.295	COMP539	(0.160 COMP767)
Peroxidase inhibitor	0.547	COMP539	(0.546 COMP767)
Phenylalanine 4-hydroxylase inhibitor	0.265	COMP539	(0.257 COMP767)
Phosphofructokinase-1 inhibitor	0.447	COMP539	(0.358 COMP767) (0.278 COMP766) (0.069 COMP770)
Phosphoglycerate kinase inhibitor	0.084	COMP539	(0.053 COMP767)
Phospholipase A2 inhibitor	0.385	COMP539	(0.281 COMP768) (0.234 COMP765) (0.226 COMP769) (0.221 COMP767) (0.132 COMP770)
Phospholipase C inhibitor	0.588	COMP539	(0.251 COMP767) (0.225 COMP768) (0.202 COMP765) (0.201 COMP766/COMP770) (0.137 COMP769)
Phosphorylase inhibitor	0.274	COMP766	(0.057 COMP765) (0.055 COMP539) (0.053 COMP767) (0.049 COMP770)
Platelet activating factor antagonist	0.114	COMP769	
Prostaglandin F2 alpha agonist	0.091	COMP539	(0.048 COMP767)
Pyruvate kinase inhibitor	0.431	COMP767	(0.177 COMP539)
Retinoic acid alpha receptor agonist	0.053	COMP539	(0.049 COMP769) (0.047 COMP770) (0.046 COMP765/COMP768) (0.043 COMP767)
Succinate dehydrogenase inhibitor	0.886	COMP767	(0.885 COMP539) (0.140 COMP769)
Superoxide dismutase inhibitor	0.550	COMP539	(0.541 COMP767)
Thyroid hormone agonist	0.060	COMP539	(0.036 COMP767)
