Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.133	COMP539	(0.039 COMP767)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.020	COMP539	(0.013 COMP767)
1.3-Beta-glucan synthase inhibitor	0.034	COMP766	(0.028 COMP539) (0.027 COMP765)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.063	COMP413	(0.041 COMP769)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.052	COMP768	(0.045 COMP769) (0.036 COMP765) (0.031 COMP770) (0.025 COMP413/COMP767)
12-Lipoxygenase inhibitor	0.260	COMP539	(0.216 COMP767)
15-Lipoxygenase inhibitor	0.317	COMP539	(0.239 COMP769)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.044	COMP770	(0.043 COMP768) (0.037 COMP539)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.017	COMP768	(0.012 COMP769)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.116	COMP770	(0.106 COMP768) (0.078 COMP769) (0.060 COMP767) (0.058 COMP539) (0.053 COMP765)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.072	COMP767	(0.069 COMP539)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.137	COMP539	(0.089 COMP766) (0.066 COMP767)
3C-Like protease (SARS coronavirus) inhibitor	0.113	COMP769	(0.109 COMP768) (0.094 COMP770)
3C-like protease (Human coronavirus) inhibitor	0.178	COMP767	(0.148 COMP768)
5 Hydroxytryptamine 1E antagonist	0.169	COMP539	
5 Hydroxytryptamine 3E antagonist	0.193	COMP767	(0.172 COMP539)
5 Hydroxytryptamine release inhibitor	0.626	COMP539	(0.531 COMP767) (0.275 COMP769)
5 Hydroxytryptamine release stimulant	0.662	COMP539	(0.651 COMP765) (0.542 COMP767) (0.246 COMP766) (0.233 COMP768) (0.207 COMP769) (0.163 COMP770)
5 Hydroxytryptamine uptake stimulant	0.607	COMP539	(0.424 COMP767) (0.218 COMP769) (0.213 COMP768)
5-Alpha-reductase 1 inhibitor	0.096	COMP539	(0.064 COMP768) (0.024 COMP770)
5-Alpha-reductase 2 inhibitor	0.117	COMP539	(0.079 COMP768) (0.036 COMP770) (0.017 COMP767)
5-Alpha-reductase inhibitor	0.184	COMP768	(0.158 COMP770) (0.145 COMP539) (0.087 COMP769) (0.076 COMP765) (0.058 COMP767)
5-Lipoxygenase inhibitor	0.209	COMP539	(0.110 COMP767)
ABCA1 expression enhancer	0.187	COMP769	(0.166 COMP768) (0.163 COMP539) (0.143 COMP765) (0.132 COMP413) (0.124 COMP767) (0.122 COMP770)
AICAR transformylase inhibitor	0.093	COMP539	(0.062 COMP767)
AMP-activated protein kinase stimulant	0.185	COMP766	(0.151 COMP539) (0.143 COMP765) (0.112 COMP769) (0.090 COMP770)
AMPA 1 receptor antagonist	0.089	COMP539	
AMPA 2 receptor antagonist	0.073	COMP539	
AMPA 3 receptor antagonist	0.093	COMP539	
AMPA 4 receptor antagonist	0.168	COMP539	(0.052 COMP767)
AMPA receptor agonist	0.035	COMP767	
AMPA receptor antagonist	0.057	COMP539	
AR expression inhibitor	0.517	COMP770	(0.504 COMP539) (0.494 COMP766) (0.468 COMP765) (0.458 COMP769) (0.377 COMP767) (0.369 COMP768) (0.347 COMP413)
ATP citrate lysase inhibitor	0.166	COMP539	(0.054 COMP767) (0.038 COMP769) (0.029 COMP770)
ATPase (Vacuolar H+) inhibitor	0.169	COMP766	(0.106 COMP769) (0.098 COMP539) (0.088 COMP767) (0.087 COMP765)
ATPase inhibitor	0.304	COMP766	(0.214 COMP539) (0.186 COMP767) (0.153 COMP765) (0.140 COMP413) (0.138 COMP769)
Abortion inducer	0.507	COMP539	(0.459 COMP765) (0.427 COMP770) (0.414 COMP769) (0.390 COMP767) (0.382 COMP413) (0.378 COMP768)
Acaricide	0.462	COMP539	(0.387 COMP767) (0.168 COMP765) (0.163 COMP769) (0.117 COMP768)
Acetyl-CoA transferase 1 inhibitor	0.050	COMP539	(0.036 COMP769)
Acetyl-CoA transferase 2 inhibitor	0.091	COMP769	(0.079 COMP539) (0.069 COMP765) (0.057 COMP770) (0.056 COMP768)
Acetyl-CoA transferase inhibitor	0.093	COMP539	(0.057 COMP769)
Acetylcholine M1 receptor antagonist	0.157	COMP539	(0.124 COMP767)
Acetylcholine muscarinic antagonist	0.102	COMP539	
Acetylcholine nicotinic antagonist	0.081	COMP539	
Acetylcholine release stimulant	0.149	COMP539	(0.114 COMP767)
Acetylcholinesterase inhibitor	0.172	COMP769	
Acid ceramidase inhibitor	0.030	COMP539	
Aconitate hydratase inhibitor	0.478	COMP539	(0.386 COMP767)
Actinic keratosis treatment	0.249	COMP539	(0.223 COMP768) (0.217 COMP769) (0.207 COMP770) (0.187 COMP765) (0.182 COMP767) (0.083 COMP413/COMP766)
Acute neurologic disorders treatment	0.828	COMP767	(0.396 COMP539) (0.392 COMP413)
Acute respiratory distress syndrome (ARDS) treatment	0.488	COMP413	(0.338 COMP766) (0.209 COMP539) (0.128 COMP767)
Acyl-CoA dehydrogenase inhibitor	0.258	COMP539	(0.228 COMP767)
Adenine nucleotide translocase inhibitor	0.084	COMP539	(0.063 COMP767) (0.059 COMP766)
Adenosine A1 receptor agonist	0.031	COMP766	
Adenosine A2a receptor agonist	0.014	COMP539	
Adenosine A3 receptor antagonist	0.076	COMP539	
Adenosine deaminase inhibitor	0.092	COMP539	(0.060 COMP767)
Adenosine uptake inhibitor	0.037	COMP539	(0.035 COMP767)
Adenylate cyclase 1 inhibitor	0.095	COMP769	(0.058 COMP770) (0.057 COMP767) (0.056 COMP539) (0.050 COMP768) (0.048 COMP765)
Adenylate cyclase inhibitor	0.201	COMP539	(0.185 COMP767) (0.181 COMP766) (0.171 COMP769) (0.163 COMP765/COMP770) (0.144 COMP768)
Adenylate cyclase stimulant	0.273	COMP539	(0.223 COMP765) (0.207 COMP767) (0.202 COMP769) (0.193 COMP770) (0.176 COMP768) (0.152 COMP766)
Adenylate kinase inhibitor	0.441	COMP767	(0.440 COMP539)
Adrenaline agonist	0.079	COMP539	
Age-related macular degeneration treatment	0.239	COMP539	
Aggrecanase 1 inhibitor	0.040	COMP539	
Alcohol dehydrogenase inhibitor	0.408	COMP539	(0.264 COMP767)
Alcohol dehydrogenase substrate	0.394	COMP768	(0.393 COMP770) (0.361 COMP767) (0.352 COMP539) (0.201 COMP765) (0.164 COMP413) (0.136 COMP769) (0.120 COMP766)
Alcohol oxidase inhibitor	0.818	COMP767	(0.812 COMP539)
Aldehyde dehydrogenase inhibitor	0.557	COMP539	(0.358 COMP767) (0.173 COMP768) (0.118 COMP769)
Aldehyde dehydrogenase substrate	0.367	COMP768	(0.310 COMP770) (0.294 COMP539) (0.143 COMP767) (0.104 COMP766)
Aldehyde oxidase inhibitor	0.733	COMP767	(0.718 COMP539) (0.588 COMP770) (0.257 COMP768) (0.218 COMP769)
Aldehyde oxidase substrate	0.255	COMP539	(0.217 COMP767)
Aldose reductase inhibitor	0.358	COMP766	(0.103 COMP539) (0.087 COMP767)
Aldose reductase substrate	0.390	COMP766	(0.268 COMP767) (0.248 COMP539) (0.237 COMP765)
Aldosterone antagonist	0.251	COMP769	(0.079 COMP765) (0.077 COMP770) (0.073 COMP768) (0.054 COMP767) (0.049 COMP539)
Alkylator	0.249	COMP539	(0.215 COMP766) (0.160 COMP765) (0.135 COMP767) (0.126 COMP769)
Allergic rhinitis treatment	0.330	COMP539	
Alpha 1L adrenoreceptor agonist	0.055	COMP769	(0.040 COMP768)
Alpha-N-acetylglucosaminidase inhibitor	0.781	COMP767	(0.735 COMP539) (0.346 COMP766) (0.140 COMP765)
Alpha-glucosidase inhibitor	0.565	COMP770	(0.482 COMP766)
Alpha-mannosidase inhibitor	0.142	COMP539	(0.110 COMP766) (0.088 COMP767) (0.064 COMP765)
Amidase inhibitor	0.103	COMP539	
Aminoacyl-tRNA synthetase inhibitor	0.095	COMP539	
Aminopeptidase A inhibitor	0.041	COMP539	(0.019 COMP767)
Aminopeptidase B inhibitor	0.286	COMP539	(0.250 COMP767)
Aminopeptidase I inhibitor	0.211	COMP767	(0.209 COMP539)
Aminopeptidase N inhibitor	0.048	COMP539	
Aminopeptidase microsomal inhibitor	0.066	COMP539	
Amylase inhibitor	0.803	COMP766	(0.296 COMP539) (0.252 COMP767) (0.138 COMP765) (0.130 COMP769)
Amyloid beta aggregation inhibitor	0.410	COMP766	
Amyotrophic lateral sclerosis treatment	0.210	COMP767	(0.189 COMP539)
Anabolic	0.471	COMP413	(0.194 COMP770) (0.183 COMP769) (0.182 COMP539) (0.174 COMP768) (0.168 COMP767) (0.156 COMP765)
Analeptic	0.764	COMP766	(0.622 COMP539) (0.588 COMP413) (0.524 COMP770) (0.418 COMP768) (0.331 COMP769) (0.309 COMP767) (0.305 COMP765)
Androgen agonist	0.136	COMP769	(0.104 COMP765) (0.091 COMP770) (0.082 COMP539) (0.075 COMP767) (0.059 COMP768) (0.053 COMP413)
Androgen antagonist	0.273	COMP770	(0.236 COMP769) (0.214 COMP768) (0.195 COMP413) (0.152 COMP765) (0.097 COMP539)
Andropause treatment	0.072	COMP413	
Anesthetic	0.301	COMP539	(0.274 COMP413) (0.193 COMP768) (0.171 COMP770) (0.161 COMP765) (0.151 COMP767) (0.128 COMP769)
