Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP57	(0.435 COMP30) (0.231 COMP55) (0.226 COMP51) (0.220 COMP33) (0.193 COMP24/COMP52) (0.174 COMP9) (0.169 COMP12) (0.163 COMP16/COMP18/COMP53/COMP54) (0.162 COMP34/COMP36) (0.151 COMP15) (0.149 COMP45) (0.145 COMP49) (0.141 COMP48/COMP5) (0.140 COMP14) (0.139 COMP19) (0.126 COMP37/COMP39) (0.119 COMP26/COMP28/COMP40/COMP41) (0.117 COMP43) (0.114 COMP38) (0.112 COMP22) (0.110 COMP29) (0.106 COMP21/COMP23/COMP25/COMP50) (0.104 COMP11/COMP8) (0.103 COMP27) (0.099 COMP1/COMP6) (0.089 COMP20) (0.083 COMP2)
AR expression inhibitor	0.991	COMP57	(0.937 COMP48/COMP49) (0.927 COMP34/COMP36) (0.884 COMP1) (0.859 COMP5) (0.856 COMP37/COMP39) (0.806 COMP30) (0.793 COMP46) (0.790 COMP38) (0.780 COMP15) (0.771 COMP56) (0.723 COMP43) (0.706 COMP22) (0.658 COMP11/COMP8) (0.654 COMP21/COMP50) (0.635 COMP45) (0.609 COMP14) (0.556 COMP26/COMP28/COMP40/COMP41) (0.534 COMP3) (0.524 COMP27) (0.515 COMP0/COMP35/COMP42) (0.504 COMP16/COMP18/COMP24/COMP52/COMP53/COMP54) (0.484 COMP20) (0.458 COMP10/COMP51) (0.441 COMP12) (0.438 COMP47) (0.437 COMP7) (0.414 COMP13) (0.411 COMP55) (0.401 COMP33) (0.351 COMP2) (0.337 COMP4) (0.297 COMP23/COMP25) (0.294 COMP29) (0.268 COMP6) (0.261 COMP19) (0.250 COMP17) (0.222 COMP9) (0.208 COMP44) (0.206 COMP32) (0.195 COMP31)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.908 COMP5) (0.868 COMP34/COMP36) (0.826 COMP37/COMP39) (0.786 COMP22) (0.779 COMP32) (0.777 COMP26/COMP28/COMP40/COMP41) (0.766 COMP16/COMP18/COMP43/COMP53/COMP54) (0.759 COMP38) (0.752 COMP15) (0.742 COMP27) (0.704 COMP57) (0.683 COMP23/COMP25) (0.678 COMP20) (0.673 COMP12) (0.669 COMP24/COMP52) (0.664 COMP56) (0.659 COMP29) (0.651 COMP14) (0.608 COMP46) (0.606 COMP7) (0.571 COMP2) (0.565 COMP33) (0.551 COMP19) (0.521 COMP55) (0.463 COMP1) (0.436 COMP9) (0.421 COMP17) (0.411 COMP51) (0.369 COMP31) (0.342 COMP6) (0.331 COMP21/COMP50) (0.330 COMP30) (0.311 COMP13) (0.268 COMP44) (0.267 COMP11/COMP8) (0.203 COMP4)
GRP78 expression inhibitor	0.041	COMP12	(0.039 COMP10) (0.038 COMP33/COMP55) (0.033 COMP16/COMP18/COMP53/COMP54) (0.030 COMP24/COMP52) (0.029 COMP31/COMP47) (0.025 COMP19) (0.024 COMP2) (0.023 COMP0/COMP26/COMP28/COMP35/COMP40/COMP41/COMP42) (0.022 COMP29/COMP9) (0.021 COMP20/COMP27/COMP32/COMP7) (0.020 COMP23/COMP25/COMP56)
ICAM1 expression inhibitor	0.664	COMP45	(0.633 COMP34/COMP36) (0.611 COMP46) (0.609 COMP0/COMP35/COMP42) (0.584 COMP37/COMP39) (0.578 COMP56) (0.564 COMP49) (0.561 COMP47) (0.560 COMP48) (0.557 COMP10) (0.542 COMP38) (0.511 COMP27) (0.500 COMP20) (0.477 COMP26/COMP28/COMP40/COMP41) (0.455 COMP29) (0.453 COMP23/COMP25) (0.436 COMP16/COMP18/COMP53/COMP54) (0.427 COMP6) (0.414 COMP33) (0.405 COMP7) (0.404 COMP3) (0.402 COMP5) (0.401 COMP12) (0.385 COMP17) (0.381 COMP19) (0.360 COMP9) (0.356 COMP51) (0.352 COMP2) (0.337 COMP31) (0.335 COMP22) (0.332 COMP24/COMP52) (0.328 COMP43) (0.325 COMP30) (0.312 COMP13) (0.300 COMP15) (0.292 COMP21/COMP50) (0.290 COMP55) (0.246 COMP11/COMP8) (0.238 COMP1) (0.218 COMP4)
LDLR expression enhancer	0.349	COMP48	(0.314 COMP49) (0.297 COMP23/COMP25) (0.292 COMP29) (0.271 COMP30) (0.251 COMP34/COMP36) (0.248 COMP4) (0.234 COMP5) (0.226 COMP27) (0.223 COMP1/COMP9) (0.220 COMP33) (0.214 COMP11/COMP8) (0.211 COMP20) (0.210 COMP26/COMP28/COMP40/COMP41) (0.206 COMP37/COMP39) (0.203 COMP2/COMP7) (0.196 COMP24/COMP52) (0.189 COMP38) (0.184 COMP21/COMP50) (0.183 COMP45) (0.178 COMP12/COMP16/COMP18/COMP53/COMP54) (0.169 COMP15) (0.166 COMP6) (0.155 COMP31) (0.152 COMP22) (0.147 COMP43) (0.141 COMP19)
NOS2 expression inhibitor	0.967	COMP46	(0.958 COMP56) (0.903 COMP48) (0.891 COMP5) (0.871 COMP49) (0.626 COMP38) (0.606 COMP0/COMP35/COMP42) (0.594 COMP4) (0.561 COMP34/COMP36) (0.547 COMP37/COMP39) (0.542 COMP27/COMP47) (0.537 COMP30/COMP45) (0.533 COMP21/COMP50) (0.515 COMP26/COMP28/COMP40/COMP41) (0.502 COMP20) (0.491 COMP10) (0.488 COMP11/COMP8) (0.472 COMP24/COMP52) (0.467 COMP1) (0.463 COMP12) (0.452 COMP13) (0.445 COMP16/COMP18/COMP53/COMP54) (0.444 COMP7) (0.402 COMP6) (0.384 COMP2) (0.380 COMP29) (0.376 COMP19/COMP23/COMP25) (0.358 COMP43/COMP9) (0.357 COMP31) (0.355 COMP22) (0.337 COMP17) (0.334 COMP33) (0.325 COMP15) (0.321 COMP55) (0.319 COMP51) (0.290 COMP57) (0.281 COMP14) (0.273 COMP32) (0.206 COMP3) (0.201 COMP44)
NOS3 expression enhancer	0.722	COMP46	(0.721 COMP34/COMP36/COMP56) (0.703 COMP48) (0.697 COMP49) (0.677 COMP5) (0.647 COMP37/COMP39) (0.577 COMP38) (0.458 COMP0/COMP35/COMP42) (0.452 COMP10) (0.442 COMP21/COMP50) (0.376 COMP47) (0.288 COMP33) (0.192 COMP3) (0.183 COMP4) (0.182 COMP13) (0.171 COMP11/COMP8) (0.170 COMP26/COMP28/COMP40/COMP41) (0.141 COMP20/COMP27) (0.134 COMP51) (0.129 COMP9) (0.125 COMP29)
NOS3 expression inhibitor	0.960	COMP31	(0.842 COMP27) (0.837 COMP56) (0.834 COMP49) (0.827 COMP48) (0.823 COMP20) (0.764 COMP26/COMP28/COMP40/COMP41) (0.757 COMP46) (0.744 COMP5) (0.664 COMP16/COMP18/COMP53/COMP54) (0.651 COMP10) (0.644 COMP7) (0.606 COMP47) (0.587 COMP51) (0.570 COMP0/COMP35/COMP42) (0.568 COMP12) (0.557 COMP55) (0.556 COMP11/COMP21/COMP50/COMP8) (0.553 COMP22) (0.541 COMP43) (0.533 COMP23/COMP25) (0.532 COMP2) (0.522 COMP29) (0.520 COMP15) (0.500 COMP45) (0.490 COMP3) (0.478 COMP13) (0.439 COMP24/COMP38/COMP52) (0.418 COMP37/COMP39) (0.372 COMP33) (0.366 COMP34/COMP36) (0.344 COMP9) (0.309 COMP57) (0.270 COMP19) (0.227 COMP1) (0.217 COMP30) (0.189 COMP14)
TNF expression inhibitor	0.951	COMP56	(0.949 COMP34/COMP36) (0.914 COMP37/COMP39) (0.892 COMP20) (0.881 COMP27) (0.877 COMP48) (0.873 COMP38) (0.870 COMP11/COMP8) (0.869 COMP46) (0.857 COMP26/COMP28/COMP40/COMP41) (0.847 COMP49) (0.841 COMP30) (0.806 COMP45) (0.763 COMP16/COMP18/COMP53/COMP54) (0.747 COMP7) (0.658 COMP13) (0.648 COMP2) (0.646 COMP12) (0.618 COMP5) (0.617 COMP24/COMP52) (0.605 COMP10) (0.601 COMP1) (0.592 COMP47) (0.572 COMP15/COMP55) (0.542 COMP22) (0.525 COMP17) (0.524 COMP0/COMP35/COMP42) (0.523 COMP31/COMP43) (0.516 COMP23/COMP25) (0.508 COMP33) (0.497 COMP29) (0.496 COMP6) (0.475 COMP19) (0.469 COMP9) (0.448 COMP57) (0.446 COMP4) (0.421 COMP51) (0.396 COMP3) (0.386 COMP21/COMP50) (0.338 COMP32) (0.307 COMP14) (0.288 COMP44)
